Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;0.0;969.9;969.9;969.2;;25.4;19.6;26.6;25.3;22.1;18.7;77.0;66.0;70.0;107.0;4.8;0.9
2022/01/01;0100 UTC;0.0;970.8;970.8;969.8;;24.3;20.7;25.5;24.3;21.4;19.7;82.0;70.0;80.0;212.0;3.5;1.3
2022/01/01;0200 UTC;0.0;971.3;971.3;970.8;;22.7;19.9;24.3;22.7;20.9;19.8;85.0;80.0;84.0;181.0;5.1;1.1
2022/01/01;0300 UTC;0.0;970.6;971.3;970.6;;22.3;19.7;22.7;22.1;20.0;19.3;86.0;83.0;86.0;106.0;2.9;0.4
2022/01/01;0400 UTC;1.0;970.0;970.6;970.0;;21.9;20.1;22.4;21.9;20.2;19.7;90.0;85.0;90.0;221.0;6.1;3.1
2022/01/01;0500 UTC;15.2;970.0;970.5;969.9;;20.8;19.5;21.9;20.6;20.3;19.3;92.0;90.0;92.0;245.0;6.1;1.4
2022/01/01;0600 UTC;1.2;969.7;970.0;969.5;;20.9;19.4;21.0;20.8;19.6;19.3;92.0;91.0;91.0;20.0;3.5;0.1
2022/01/01;0700 UTC;0.4;970.0;970.0;969.6;;21.2;19.7;21.2;20.9;19.7;19.5;92.0;90.0;91.0;69.0;2.9;1.3
2022/01/01;0800 UTC;1.6;970.3;970.3;970.0;;21.1;19.8;21.2;21.1;19.8;19.6;92.0;91.0;92.0;80.0;3.2;1.2
2022/01/01;0900 UTC;0.2;971.1;971.1;970.3;;21.2;19.9;21.2;21.1;19.9;19.7;93.0;92.0;93.0;71.0;3.1;1.4
2022/01/01;1000 UTC;0.0;971.4;971.4;971.0;78.5;21.2;20.0;21.4;21.2;20.1;19.9;93.0;92.0;93.0;102.0;3.4;1.6
2022/01/01;1100 UTC;0.0;972.1;972.1;971.4;401.4;22.0;20.6;22.1;21.2;20.8;20.0;93.0;92.0;92.0;72.0;4.1;1.4
2022/01/01;1200 UTC;0.0;972.6;972.6;972.1;1228.4;23.8;20.7;23.8;21.9;21.0;20.4;92.0;83.0;83.0;37.0;3.5;0.1
2022/01/01;1300 UTC;0.0;972.9;973.0;972.6;969.2;24.9;20.8;25.0;23.8;21.2;20.3;83.0;77.0;78.0;65.0;1.8;0.5
2022/01/01;1400 UTC;0.0;972.7;973.0;972.7;1478.7;25.7;20.8;26.2;24.8;21.4;20.4;79.0;72.0;75.0;113.0;2.3;0.7
2022/01/01;1500 UTC;0.6;971.9;972.7;971.9;1389.7;24.9;22.4;25.7;24.6;22.6;20.8;86.0;75.0;86.0;53.0;4.3;2.4
2022/01/01;1600 UTC;0.0;971.0;971.9;971.0;2882.9;25.7;21.7;26.4;24.5;22.7;21.3;86.0;77.0;78.0;57.0;6.3;3.6
2022/01/01;1700 UTC;6.8;970.8;971.2;970.8;945.0;22.5;20.1;26.0;22.3;21.8;19.3;86.0;73.0;86.0;178.0;6.3;0.9
2022/01/01;1800 UTC;0.8;970.4;970.8;970.1;677.8;23.6;21.6;23.6;22.4;21.7;20.0;89.0;86.0;89.0;76.0;3.7;0.7
2022/01/01;1900 UTC;4.0;969.4;970.4;969.4;174.1;23.6;21.8;23.9;23.4;22.1;21.5;90.0;88.0;89.0;290.0;1.9;0.4
2022/01/01;2000 UTC;0.4;969.3;969.4;969.1;376.5;24.2;22.2;24.2;23.6;22.3;21.7;90.0;88.0;89.0;170.0;2.5;1.0
2022/01/01;2100 UTC;0.0;969.5;969.5;968.8;605.6;24.7;22.0;25.0;24.2;22.7;21.4;89.0;82.0;85.0;82.0;3.8;2.1
2022/01/01;2200 UTC;0.0;970.9;970.9;969.5;173.4;24.1;21.9;24.8;24.1;22.2;21.8;88.0;85.0;88.0;74.0;4.2;1.6
2022/01/01;2300 UTC;0.0;971.2;971.2;970.9;;23.7;22.1;24.1;23.7;22.1;21.9;91.0;88.0;91.0;82.0;3.7;1.2
2022/01/02;0000 UTC;0.0;971.4;971.4;971.2;;23.2;21.6;23.7;23.2;22.1;21.6;91.0;90.0;91.0;91.0;3.0;1.2
2022/01/02;0100 UTC;0.0;972.2;972.2;971.4;;23.1;21.3;23.2;23.1;21.6;21.3;91.0;90.0;90.0;81.0;3.4;1.3
2022/01/02;0200 UTC;0.0;972.6;972.6;972.2;;22.8;21.2;23.1;22.8;21.4;21.2;90.0;90.0;90.0;91.0;2.7;0.4
2022/01/02;0300 UTC;0.0;972.2;972.7;972.2;;22.9;20.5;22.9;22.7;21.1;20.4;90.0;86.0;86.0;86.0;4.0;2.4
2022/01/02;0400 UTC;0.0;971.8;972.3;971.8;;22.7;20.6;22.9;22.6;20.6;20.4;88.0;86.0;88.0;80.0;4.9;0.8
2022/01/02;0500 UTC;0.0;971.6;971.8;971.5;;22.4;20.6;22.7;22.4;20.7;20.5;90.0;88.0;90.0;40.0;2.6;0.1
2022/01/02;0600 UTC;0.0;971.5;971.6;971.4;;22.5;20.9;22.5;22.4;20.9;20.6;91.0;90.0;91.0;53.0;2.0;0.7
2022/01/02;0700 UTC;0.0;971.7;971.7;971.5;;22.4;21.0;22.5;22.4;21.1;20.9;92.0;91.0;92.0;112.0;2.1;0.2
2022/01/02;0800 UTC;0.0;971.9;971.9;971.6;;22.3;20.9;22.4;22.2;21.0;20.9;92.0;92.0;92.0;75.0;1.5;0.4
2022/01/02;0900 UTC;0.0;972.6;972.6;971.9;;22.5;21.1;22.5;22.3;21.1;20.9;92.0;92.0;92.0;114.0;2.3;0.0
2022/01/02;1000 UTC;0.0;973.2;973.2;972.6;141.4;23.2;21.6;23.2;22.4;21.7;21.0;92.0;91.0;91.0;77.0;1.0;0.0
2022/01/02;1100 UTC;0.0;973.9;973.9;973.2;419.2;24.2;22.2;24.2;23.0;22.2;21.2;91.0;87.0;89.0;254.0;1.0;0.0
2022/01/02;1200 UTC;0.0;974.4;974.4;973.9;1240.2;25.4;21.1;25.6;24.0;22.0;21.0;89.0;77.0;77.0;243.0;2.1;0.7
