Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;0.0;952.1;952.1;951.3;0.0;23.8;20.8;24.1;23.6;21.4;20.8;86.0;83.0;83.0;1.0;5.3;3.1
2022/01/01;0100 UTC;0.0;952.5;952.6;952.1;0.0;23.5;20.6;23.8;23.3;20.9;20.2;84.0;81.0;84.0;360.0;6.1;3.5
2022/01/01;0200 UTC;0.6;953.3;953.7;952.5;0.0;21.4;18.7;23.6;21.4;21.1;18.7;86.0;80.0;85.0;225.0;10.7;4.0
2022/01/01;0300 UTC;3.6;953.1;953.6;953.1;0.0;21.2;19.7;21.4;20.6;19.7;18.6;92.0;85.0;91.0;336.0;10.7;3.2
2022/01/01;0400 UTC;1.6;952.5;953.2;952.5;0.0;20.7;19.0;21.2;20.6;19.7;19.0;92.0;90.0;90.0;311.0;8.4;4.8
2022/01/01;0500 UTC;0.6;952.3;952.6;952.2;0.0;20.7;19.1;20.7;20.6;19.2;19.0;92.0;90.0;91.0;303.0;7.2;2.9
2022/01/01;0600 UTC;0.2;952.0;952.3;952.0;0.0;20.5;19.0;20.7;20.5;19.3;19.0;92.0;91.0;92.0;307.0;4.8;1.7
2022/01/01;0700 UTC;0.0;952.2;952.2;951.9;0.0;20.5;18.9;20.5;20.3;19.0;18.7;92.0;90.0;90.0;326.0;3.3;1.8
2022/01/01;0800 UTC;0.0;951.9;952.2;951.9;0.0;20.6;18.9;20.7;20.4;18.9;18.7;91.0;89.0;90.0;311.0;4.1;2.7
2022/01/01;0900 UTC;0.0;952.8;952.8;951.8;7.5;20.5;18.9;20.9;20.5;18.9;18.8;90.0;88.0;90.0;238.0;3.7;0.3
2022/01/01;1000 UTC;0.0;953.6;953.6;952.8;319.4;22.2;19.8;22.2;20.5;20.1;18.9;91.0;86.0;86.0;341.0;2.5;1.1
2022/01/01;1100 UTC;0.2;954.1;954.2;953.6;777.9;24.0;19.9;24.2;22.2;20.7;19.2;87.0;76.0;78.0;3.0;2.1;1.0
2022/01/01;1200 UTC;0.0;954.6;954.7;954.1;1635.0;25.3;20.6;25.3;23.9;20.9;19.5;80.0;73.0;75.0;292.0;3.4;1.5
2022/01/01;1300 UTC;0.0;954.6;954.7;954.5;2266.8;26.5;20.9;27.0;25.3;21.4;19.8;75.0;69.0;71.0;322.0;4.3;1.7
2022/01/01;1400 UTC;0.0;954.5;954.7;954.5;1305.4;26.7;19.7;26.8;26.2;21.7;19.7;75.0;66.0;66.0;273.0;7.1;3.6
2022/01/01;1500 UTC;0.0;954.2;954.5;954.2;1221.0;25.9;20.0;27.0;25.8;20.5;19.4;71.0;64.0;70.0;262.0;9.3;3.6
2022/01/01;1600 UTC;0.0;954.0;954.2;954.0;1108.5;25.0;20.8;25.9;24.9;20.9;19.7;78.0;70.0;77.0;258.0;7.4;2.4
2022/01/01;1700 UTC;0.0;952.9;954.0;952.9;1746.2;26.3;21.3;26.8;24.9;21.9;20.3;80.0;70.0;74.0;242.0;4.1;1.0
2022/01/01;1800 UTC;0.0;952.0;952.9;952.0;1831.2;26.5;20.4;27.1;26.1;21.7;20.4;75.0;69.0;69.0;326.0;4.7;2.4
2022/01/01;1900 UTC;0.0;951.4;952.0;951.4;1543.0;27.4;20.2;28.3;26.3;21.5;19.8;74.0;63.0;65.0;308.0;5.5;3.4
2022/01/01;2000 UTC;0.0;951.5;951.5;951.3;1067.8;26.5;20.0;27.7;26.5;20.9;19.5;69.0;63.0;68.0;315.0;5.5;2.7
2022/01/01;2100 UTC;0.0;951.8;951.8;951.4;488.7;25.0;19.9;26.5;25.0;20.7;19.4;74.0;65.0;74.0;357.0;5.3;3.2
2022/01/01;2200 UTC;0.0;952.4;952.4;951.8;103.0;24.2;20.5;25.0;24.2;20.6;19.7;80.0;73.0;80.0;4.0;5.1;2.9
2022/01/01;2300 UTC;0.0;953.4;953.4;952.4;0.0;24.0;20.7;24.3;23.9;20.8;20.3;82.0;79.0;82.0;4.0;4.9;3.2
2022/01/02;0000 UTC;0.0;954.0;954.1;953.4;0.0;23.7;20.8;24.1;23.7;20.8;20.7;84.0;82.0;84.0;358.0;4.9;2.8
2022/01/02;0100 UTC;0.0;954.5;954.5;954.0;0.0;23.5;21.3;23.7;23.5;21.3;20.8;87.0;84.0;87.0;7.0;4.1;2.4
2022/01/02;0200 UTC;0.0;954.6;954.6;954.4;0.0;23.4;21.0;23.6;23.4;21.3;21.0;87.0;86.0;87.0;6.0;5.6;3.4
2022/01/02;0300 UTC;0.0;954.0;954.6;954.0;0.0;23.0;21.0;23.4;23.0;21.0;20.9;89.0;87.0;89.0;343.0;5.7;2.1
2022/01/02;0400 UTC;0.0;953.8;954.0;953.7;0.0;23.0;20.2;23.2;22.9;21.0;20.2;89.0;84.0;84.0;329.0;4.1;2.6
2022/01/02;0500 UTC;0.0;953.5;953.8;953.5;0.0;22.8;20.1;23.0;22.7;20.2;20.1;86.0;84.0;85.0;334.0;4.1;1.6
2022/01/02;0600 UTC;0.0;953.4;953.5;953.3;0.0;22.8;20.2;22.9;22.7;20.2;20.1;85.0;84.0;85.0;353.0;4.8;2.7
2022/01/02;0700 UTC;0.0;953.6;953.7;953.4;0.0;22.8;20.2;22.9;22.7;20.2;20.2;86.0;85.0;86.0;352.0;4.0;2.2
2022/01/02;0800 UTC;0.0;954.0;954.0;953.6;0.0;22.5;20.2;22.8;22.4;20.3;20.2;88.0;85.0;87.0;355.0;3.4;1.9
2022/01/02;0900 UTC;0.0;954.5;954.5;954.0;3.2;22.6;20.2;22.6;22.4;20.3;20.2;88.0;86.0;86.0;1.0;3.1;1.8
2022/01/02;1000 UTC;0.0;955.2;955.2;954.5;196.1;23.2;20.4;23.2;22.5;20.5;20.1;87.0;84.0;84.0;2.0;2.9;1.8
2022/01/02;1100 UTC;0.0;955.8;955.8;955.2;528.2;24.1;20.8;24.1;23.0;20.9;20.2;86.0;81.0;82.0;8.0;3.7;2.7
2022/01/02;1200 UTC;0.0;956.1;956.1;955.8;965.2;25.0;20.4;25.1;24.1;20.9;20.2;81.0;75.0;76.0;359.0;4.0;1.8
2022/01/02;1300 UTC;0.2;955.9;956.1;955.9;1821.1;26.2;20.5;26.5;25.0;21.5;19.7;77.0;69.0;71.0;313.0;5.2;2.3
2022/01/02;1400 UTC;6.8;955.7;956.2;955.7;1654.1;24.2;22.9;27.7;21.5;22.9;19.2;92.0;64.0;92.0;227.0;8.9;0.9
2022/01/02;1500 UTC;0.4;955.0;955.7;955.0;2590.1;24.7;21.8;27.8;24.3;23.5;20.9;92.0;69.0;83.0;315.0;5.9;2.4
