Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;;977.0;977.1;976.8;0.7;21.8;20.6;22.7;21.7;20.9;20.4;93.0;88.0;93.0;65.0;2.2;0.7
2022/01/01;0100 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0200 UTC;;978.4;978.4;977.2;;21.5;20.6;22.1;21.5;21.2;20.6;95.0;94.0;94.0;90.0;2.8;0.0
2022/01/01;0300 UTC;;977.7;978.4;977.7;;21.3;20.7;21.6;21.2;21.0;20.4;97.0;94.0;96.0;89.0;1.5;0.0
2022/01/01;0400 UTC;;977.5;977.8;977.5;;20.9;20.4;21.5;20.9;20.9;20.4;97.0;96.0;97.0;95.0;1.5;0.0
2022/01/01;0500 UTC;;977.0;977.5;977.0;;20.8;20.4;21.3;20.7;20.8;20.2;97.0;97.0;97.0;106.0;1.6;0.0
2022/01/01;0600 UTC;;976.7;977.0;976.6;;21.2;20.9;21.2;20.4;20.9;20.0;98.0;97.0;98.0;157.0;0.0;0.0
2022/01/01;0700 UTC;;976.8;976.9;976.6;;21.0;20.7;21.3;21.0;21.0;20.7;98.0;98.0;98.0;130.0;1.9;0.0
2022/01/01;0800 UTC;;977.0;977.0;976.7;;21.1;20.8;21.1;20.9;20.8;20.6;98.0;98.0;98.0;125.0;2.3;0.4
2022/01/01;0900 UTC;;977.7;977.7;977.0;;21.2;20.9;21.3;21.0;20.9;20.7;98.0;98.0;98.0;125.0;2.4;1.0
2022/01/01;1000 UTC;;978.6;978.7;977.7;;21.1;20.8;21.3;20.9;20.9;20.5;98.0;98.0;98.0;91.0;2.6;0.1
2022/01/01;1100 UTC;;979.3;979.3;978.6;;21.6;21.2;21.8;21.1;21.3;20.7;98.0;97.0;97.0;95.0;1.8;0.1
2022/01/01;1200 UTC;;979.9;979.9;979.3;49.5;24.1;21.8;24.1;21.5;22.1;20.9;97.0;87.0;87.0;68.0;1.8;0.0
2022/01/01;1300 UTC;;980.1;980.1;979.9;1448.4;26.7;22.2;26.7;24.0;22.9;21.3;87.0;75.0;76.0;227.0;2.5;0.0
2022/01/01;1400 UTC;;979.6;980.1;979.6;;28.9;21.5;29.4;26.6;22.8;21.2;76.0;63.0;64.0;268.0;5.0;1.8
2022/01/01;1500 UTC;;978.9;979.6;978.9;;31.1;21.6;31.1;28.9;22.8;21.4;68.0;57.0;57.0;313.0;6.2;2.8
2022/01/01;1600 UTC;;978.2;978.9;978.2;;31.2;20.1;31.8;29.7;22.6;20.1;63.0;51.0;52.0;304.0;6.1;2.9
2022/01/01;1700 UTC;;977.3;978.2;977.3;;32.5;20.5;32.7;31.1;21.8;18.8;56.0;45.0;49.0;307.0;6.1;2.6
2022/01/01;1800 UTC;;975.9;977.3;975.9;;33.3;20.3;33.3;31.6;21.7;19.4;54.0;45.0;46.0;275.0;5.9;2.0
2022/01/01;1900 UTC;;975.1;975.9;975.1;;32.8;19.9;33.6;31.9;21.3;19.4;50.0;45.0;47.0;268.0;5.0;1.8
2022/01/01;2000 UTC;;974.7;975.1;974.6;;33.2;19.1;33.4;31.9;21.0;19.1;53.0;43.0;44.0;314.0;5.0;1.1
2022/01/01;2100 UTC;;974.6;974.7;974.5;;32.9;19.5;33.9;31.7;21.8;18.8;56.0;42.0;45.0;341.0;4.1;0.5
2022/01/01;2200 UTC;;975.1;975.1;974.6;;29.5;19.8;33.0;29.1;21.6;18.7;61.0;44.0;56.0;47.0;3.6;1.5
2022/01/01;2300 UTC;;975.9;975.9;975.1;3658.7;27.5;21.4;29.5;27.3;21.4;19.3;69.0;55.0;69.0;40.0;2.7;1.7
2022/01/02;0000 UTC;;;;;;;;;;;;;;;;;
2022/01/02;0100 UTC;;977.4;977.4;976.7;162.2;25.1;22.3;27.1;25.1;22.6;21.2;85.0;71.0;85.0;198.0;3.1;0.0
2022/01/02;0200 UTC;;977.9;977.9;977.4;;24.1;22.2;25.4;24.1;22.9;22.1;89.0;85.0;89.0;75.0;1.2;0.0
2022/01/02;0300 UTC;;977.9;978.1;977.9;;24.3;21.9;24.5;23.8;22.8;21.8;91.0;86.0;86.0;299.0;1.7;0.0
2022/01/02;0400 UTC;;977.7;977.9;977.7;;23.7;22.8;24.3;23.5;22.8;21.8;94.0;86.0;94.0;191.0;1.6;0.0
2022/01/02;0500 UTC;;977.4;977.8;977.4;;23.0;21.9;24.1;23.0;23.0;21.9;95.0;93.0;94.0;120.0;2.5;0.0
2022/01/02;0600 UTC;;;;;;;;;;;;;;;;;
2022/01/02;0700 UTC;;;;;;;;;;;;;;;;;
2022/01/02;0800 UTC;;;;;;;;;;;;;;;;;
2022/01/02;0900 UTC;;;;;;;;;;;;;;;;;
2022/01/02;1000 UTC;;979.9;;;;24.0;22.1;;;;;;;89.0;268.0;;0.0
2022/01/02;1100 UTC;;980.4;980.5;979.9;16.4;26.2;22.6;26.5;24.0;23.1;21.9;90.0;79.0;81.0;89.0;2.9;0.5
2022/01/02;1200 UTC;;981.1;981.3;980.4;1947.0;27.6;22.4;28.1;25.9;23.2;21.7;82.0;71.0;74.0;248.0;3.3;0.6
2022/01/02;1300 UTC;;981.7;981.8;981.2;;28.1;21.4;29.3;27.6;23.2;21.2;75.0;66.0;67.0;281.0;8.4;3.7
2022/01/02;1400 UTC;;981.9;982.0;981.7;;27.0;22.1;28.3;26.7;22.5;20.7;75.0;65.0;74.0;298.0;6.9;3.1
2022/01/02;1500 UTC;;981.0;981.9;981.0;3848.4;27.2;20.7;27.5;26.6;22.8;20.7;80.0;67.0;68.0;325.0;7.6;2.8
