Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;0.0;985.6;985.6;984.5;;25.2;21.6;25.5;25.1;21.6;21.0;80.0;76.0;80.0;13.0;3.9;1.5
2022/01/01;0100 UTC;0.0;986.1;986.1;985.6;;25.3;21.7;25.3;25.1;21.8;21.5;82.0;80.0;81.0;12.0;2.4;1.2
2022/01/01;0200 UTC;0.0;986.3;986.3;986.1;;25.2;21.6;25.4;25.2;21.8;21.5;81.0;79.0;81.0;342.0;2.2;0.8
2022/01/01;0300 UTC;0.0;985.5;986.3;985.5;;24.6;21.6;25.2;24.6;21.6;21.4;83.0;80.0;83.0;16.0;2.6;1.1
2022/01/01;0400 UTC;0.0;985.1;985.5;985.1;;24.5;21.8;24.7;24.5;21.9;21.6;85.0;83.0;85.0;204.0;2.0;0.9
2022/01/01;0500 UTC;0.0;984.9;985.1;984.8;;24.7;21.9;24.7;24.4;22.1;21.8;86.0;85.0;85.0;308.0;1.8;1.0
2022/01/01;0600 UTC;0.0;984.5;984.9;984.5;;24.3;21.8;24.7;24.3;21.9;21.6;86.0;83.0;86.0;334.0;2.8;1.1
2022/01/01;0700 UTC;0.0;985.0;985.0;984.5;;24.4;22.0;24.4;24.2;22.0;21.8;87.0;86.0;87.0;44.0;2.1;1.2
2022/01/01;0800 UTC;0.0;985.8;985.8;984.8;;23.3;20.2;24.4;23.3;22.0;20.2;87.0;83.0;83.0;120.0;6.4;3.6
2022/01/01;0900 UTC;4.4;986.2;986.2;985.8;0.1;22.0;19.8;23.3;21.8;20.2;19.2;88.0;82.0;88.0;129.0;7.5;2.2
2022/01/01;1000 UTC;;;;;;;;;;;;;;;;;
2022/01/01;1100 UTC;;;;;;;;;;;;;;;;;
2022/01/01;1200 UTC;;;;;;;;;;;;;;;;;
2022/01/01;1300 UTC;0.0;988.3;;;676.5;25.0;21.3;;;;;;;80.0;271.0;;1.6
2022/01/01;1400 UTC;0.0;987.7;988.3;987.7;1594.8;26.1;21.2;26.7;24.9;21.5;20.3;80.0;70.0;74.0;287.0;3.4;1.7
2022/01/01;1500 UTC;0.0;987.1;987.7;987.1;1242.4;26.8;21.1;26.8;25.9;21.7;20.5;75.0;70.0;71.0;291.0;4.8;1.5
2022/01/01;1600 UTC;0.0;986.0;987.1;986.0;1722.8;28.2;21.3;28.5;26.6;22.0;20.4;73.0;64.0;66.0;266.0;3.7;1.7
2022/01/01;1700 UTC;0.0;984.8;986.0;984.8;1359.6;28.7;21.5;28.7;27.9;21.7;20.3;68.0;63.0;65.0;256.0;3.6;2.0
2022/01/01;1800 UTC;0.0;983.9;984.8;983.9;1224.7;29.0;20.8;29.2;28.1;22.0;20.5;67.0;60.0;61.0;278.0;4.8;1.9
2022/01/01;1900 UTC;0.0;983.5;983.9;983.5;800.9;28.3;21.2;29.4;28.1;21.7;20.2;66.0;61.0;65.0;285.0;3.7;1.2
2022/01/01;2000 UTC;0.0;983.8;983.8;983.4;361.9;28.0;20.3;28.4;28.0;21.4;19.9;66.0;61.0;63.0;263.0;3.1;1.0
2022/01/01;2100 UTC;0.0;984.3;984.3;983.8;70.7;27.1;20.9;28.0;27.1;21.2;20.1;69.0;62.0;69.0;259.0;1.8;0.8
2022/01/01;2200 UTC;0.0;984.9;984.9;984.3;;26.4;21.4;27.1;26.4;21.4;20.9;74.0;69.0;74.0;222.0;2.1;1.2
2022/01/01;2300 UTC;0.0;985.7;985.7;984.9;;26.1;21.7;26.4;26.1;21.7;21.3;76.0;74.0;76.0;232.0;3.7;1.9
2022/01/02;0000 UTC;0.0;986.0;986.0;985.6;;25.6;21.4;26.1;25.6;21.7;21.4;78.0;76.0;78.0;256.0;3.8;1.4
2022/01/02;0100 UTC;0.0;986.4;986.5;986.0;;25.4;21.7;25.7;25.4;21.7;21.4;80.0;78.0;80.0;247.0;3.5;0.9
2022/01/02;0200 UTC;0.0;987.1;987.1;986.4;;25.1;21.9;25.4;25.1;21.9;21.7;82.0;80.0;82.0;6.0;4.7;2.8
2022/01/02;0300 UTC;0.0;986.3;987.1;986.3;;25.4;21.5;25.4;25.1;21.9;21.5;82.0;79.0;79.0;345.0;4.7;1.7
2022/01/02;0400 UTC;0.0;986.0;986.3;985.9;;25.4;21.4;25.6;25.4;21.5;21.0;79.0;75.0;78.0;3.0;3.6;0.6
2022/01/02;0500 UTC;0.0;985.7;986.0;985.7;;25.0;21.7;25.4;25.0;21.7;21.2;82.0;78.0;82.0;93.0;1.1;0.7
2022/01/02;0600 UTC;0.0;985.3;985.7;985.2;;24.9;21.8;25.0;24.8;21.8;21.4;83.0;81.0;83.0;117.0;2.9;0.2
2022/01/02;0700 UTC;0.2;985.8;985.8;985.3;;24.2;21.6;24.9;24.2;21.8;21.6;86.0;83.0;86.0;98.0;2.6;1.6
2022/01/02;0800 UTC;29.4;986.2;986.2;985.8;;21.9;20.5;24.2;21.7;21.8;19.8;91.0;86.0;91.0;135.0;10.2;4.5
2022/01/02;0900 UTC;12.4;987.0;987.0;986.2;0.1;21.9;20.6;22.0;21.8;20.7;20.5;92.0;91.0;92.0;106.0;8.6;3.2
2022/01/02;1000 UTC;13.0;988.3;988.3;987.0;12.0;21.8;20.6;21.9;21.7;20.6;20.4;93.0;92.0;93.0;263.0;6.1;0.6
2022/01/02;1100 UTC;2.6;988.8;988.8;988.3;133.0;22.4;21.2;22.4;21.8;21.2;20.6;93.0;93.0;93.0;324.0;2.3;0.8
2022/01/02;1200 UTC;1.2;989.0;989.0;988.8;478.1;23.6;22.0;23.8;22.3;22.2;21.1;93.0;91.0;91.0;32.0;2.6;1.5
2022/01/02;1300 UTC;0.0;988.9;989.0;988.9;1278.0;25.7;21.5;25.8;23.4;22.3;21.1;91.0;76.0;78.0;41.0;4.1;2.3
2022/01/02;1400 UTC;0.0;988.2;988.9;988.2;1624.9;26.6;20.8;26.8;25.6;21.6;20.6;78.0;69.0;70.0;299.0;4.2;1.6
2022/01/02;1500 UTC;0.0;987.5;988.2;987.5;1770.6;27.6;19.7;27.9;26.6;21.7;19.7;72.0;62.0;62.0;297.0;4.7;1.3
2022/01/02;1600 UTC;0.0;986.5;987.5;986.5;2183.2;28.9;21.2;29.2;27.5;21.5;19.6;66.0;58.0;63.0;333.0;4.0;2.0
2022/01/02;1700 UTC;0.0;985.3;986.5;985.3;2073.7;29.4;19.8;30.1;28.4;21.5;19.6;64.0;55.0;56.0;285.0;5.2;1.5
2022/01/02;1800 UTC;0.0;984.9;985.3;984.9;1439.9;26.7;20.8;30.3;26.7;21.2;19.0;70.0;53.0;70.0;116.0;7.4;4.4
2022/01/02;1900 UTC;0.0;984.3;984.9;984.3;733.1;27.9;20.8;27.9;26.2;21.8;20.7;76.0;65.0;66.0;161.0;7.4;1.4
