Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;;1006.2;1006.2;1005.4;;26.9;21.9;27.2;26.9;22.0;21.8;74.0;73.0;74.0;55.0;5.1;2.2
2022/01/01;0100 UTC;;1006.7;1006.7;1006.2;;26.9;22.0;27.0;26.9;22.0;21.9;75.0;74.0;74.0;61.0;4.9;2.4
2022/01/01;0200 UTC;;1006.6;1006.7;1006.5;;26.5;21.9;26.9;26.5;22.0;21.9;76.0;74.0;76.0;80.0;4.0;1.5
2022/01/01;0300 UTC;;1005.9;1006.6;1005.9;;26.2;21.9;26.5;26.2;21.9;21.8;77.0;76.0;77.0;66.0;3.5;1.9
2022/01/01;0400 UTC;;1005.3;1005.9;1005.3;;26.1;21.2;26.2;26.0;21.9;21.2;77.0;75.0;75.0;80.0;3.8;1.4
2022/01/01;0500 UTC;;1005.1;1005.3;1005.1;;26.1;20.8;26.2;26.0;21.2;20.7;75.0;72.0;72.0;90.0;4.5;2.6
2022/01/01;0600 UTC;;1005.0;1005.2;1005.0;;25.7;20.6;26.1;25.7;20.7;20.6;74.0;72.0;74.0;100.0;5.7;2.7
2022/01/01;0700 UTC;;1004.9;1005.0;1004.7;;25.3;20.7;25.7;25.3;20.7;20.6;75.0;74.0;75.0;110.0;5.9;3.4
2022/01/01;0800 UTC;;1005.6;1005.6;1004.8;;25.1;20.7;25.4;25.1;20.8;20.7;77.0;75.0;77.0;100.0;5.7;3.3
2022/01/01;0900 UTC;;1006.5;1006.5;1005.6;53.3;25.5;21.0;25.5;25.0;21.1;20.7;78.0;76.0;76.0;125.0;4.9;2.1
2022/01/01;1000 UTC;;1006.5;1006.6;1006.4;702.9;27.4;21.0;27.4;25.4;21.4;20.9;76.0;68.0;68.0;112.0;9.0;5.2
2022/01/01;1100 UTC;;1007.0;1007.0;1006.5;1047.5;28.2;20.2;28.4;27.2;21.0;20.2;69.0;62.0;62.0;100.0;10.7;7.4
2022/01/01;1200 UTC;;1007.5;1007.5;1007.0;1939.3;29.7;19.9;30.0;28.2;20.7;19.9;63.0;56.0;56.0;94.0;11.8;5.6
2022/01/01;1300 UTC;;1007.2;1007.6;1007.1;2592.1;31.1;19.0;32.3;29.5;20.2;19.0;57.0;48.0;49.0;89.0;9.5;4.9
2022/01/01;1400 UTC;;1006.6;1007.2;1006.6;3073.9;33.2;18.6;33.2;31.0;19.8;18.3;49.0;42.0;42.0;78.0;10.2;4.7
2022/01/01;1500 UTC;;1005.6;1006.6;1005.6;2836.2;33.6;17.1;34.2;32.2;19.0;17.1;44.0;38.0;38.0;85.0;9.0;4.0
2022/01/01;1600 UTC;;1004.5;1005.6;1004.5;3131.5;34.5;17.4;35.0;33.2;17.9;16.4;39.0;34.0;36.0;88.0;8.0;3.9
2022/01/01;1700 UTC;;1003.5;1004.5;1003.5;2332.6;33.8;18.7;35.7;33.7;18.7;16.1;41.0;33.0;41.0;69.0;8.5;4.3
2022/01/01;1800 UTC;;1002.9;1003.5;1002.9;1587.8;33.0;20.4;34.0;32.7;20.8;18.5;48.0;41.0;48.0;48.0;11.9;5.7
2022/01/01;1900 UTC;;1003.2;1003.2;1002.9;772.0;31.3;20.0;33.2;31.3;20.4;19.4;51.0;46.0;51.0;69.0;11.9;5.4
2022/01/01;2000 UTC;;1003.6;1003.6;1003.2;593.8;30.2;19.8;31.4;30.2;20.3;19.4;54.0;51.0;54.0;59.0;10.7;6.0
2022/01/01;2100 UTC;;1004.7;1004.7;1003.6;67.2;29.3;20.1;30.3;29.3;20.2;19.8;58.0;54.0;58.0;56.0;10.7;3.7
2022/01/01;2200 UTC;;1005.3;1005.3;1004.7;;28.5;21.1;29.3;28.5;21.1;20.1;64.0;58.0;64.0;59.0;9.0;3.8
2022/01/01;2300 UTC;;1006.5;1006.5;1005.3;;28.3;21.2;28.5;28.2;21.4;21.1;66.0;64.0;65.0;65.0;8.0;3.2
2022/01/02;0000 UTC;;1007.1;1007.2;1006.5;;28.3;20.9;28.5;28.3;21.1;20.8;65.0;64.0;64.0;52.0;5.4;1.7
2022/01/02;0100 UTC;;1007.3;1007.3;1007.1;;28.2;21.6;28.4;28.1;21.6;20.9;68.0;64.0;68.0;57.0;6.5;3.9
2022/01/02;0200 UTC;;1007.1;1007.4;1007.1;;28.1;21.5;28.2;28.0;21.8;21.5;68.0;68.0;68.0;63.0;7.3;3.6
2022/01/02;0300 UTC;;1006.7;1007.1;1006.7;;28.0;20.4;28.2;28.0;21.5;20.4;68.0;64.0;64.0;75.0;7.4;3.5
2022/01/02;0400 UTC;;1006.2;1006.7;1006.1;;27.7;20.9;28.0;27.5;20.9;20.4;67.0;64.0;67.0;86.0;6.5;3.2
2022/01/02;0500 UTC;;1006.2;1006.4;1006.1;;27.5;20.0;27.7;27.4;20.9;20.0;67.0;64.0;64.0;92.0;6.9;3.7
2022/01/02;0600 UTC;;1006.1;1006.2;1005.9;;27.0;20.0;27.5;27.0;20.0;19.8;65.0;63.0;65.0;103.0;8.3;3.8
2022/01/02;0700 UTC;;1006.1;1006.2;1006.0;;26.2;20.1;27.0;26.2;20.1;19.9;69.0;65.0;69.0;92.0;6.1;3.0
2022/01/02;0800 UTC;;1006.2;1006.2;1006.0;;25.6;20.3;26.3;25.6;20.3;20.1;72.0;69.0;72.0;98.0;4.6;2.5
2022/01/02;0900 UTC;;1006.9;1006.9;1006.2;52.8;25.7;20.7;25.7;25.5;20.7;20.3;74.0;72.0;74.0;100.0;3.6;1.8
2022/01/02;1000 UTC;;1007.9;1007.9;1006.9;413.5;27.1;21.1;27.1;25.7;21.2;20.7;74.0;70.0;70.0;95.0;5.2;3.3
2022/01/02;1100 UTC;;1008.8;1008.8;1007.9;912.3;28.4;20.3;28.5;27.1;21.3;20.3;70.0;62.0;62.0;94.0;7.9;5.0
2022/01/02;1200 UTC;;1008.8;1008.9;1008.7;1071.2;29.5;19.6;29.5;28.2;20.5;19.4;62.0;55.0;55.0;96.0;8.4;5.2
2022/01/02;1300 UTC;;1008.5;1008.8;1008.5;1908.1;31.0;19.6;31.0;29.2;20.0;19.0;57.0;50.0;51.0;96.0;7.7;4.4
2022/01/02;1400 UTC;;1007.6;1008.5;1007.6;2137.0;32.0;18.4;32.6;30.7;19.7;18.2;51.0;43.0;44.0;86.0;8.0;4.1
2022/01/02;1500 UTC;;1006.7;1007.7;1006.7;2190.6;33.0;17.9;33.1;31.6;18.7;17.8;45.0;41.0;41.0;77.0;9.8;4.2
2022/01/02;1600 UTC;;1005.8;1006.7;1005.8;2340.7;33.2;17.2;34.3;32.4;18.6;17.0;42.0;38.0;39.0;73.0;10.2;5.1
2022/01/02;1700 UTC;;1004.9;1005.8;1004.9;1823.2;33.7;18.3;33.8;32.6;18.3;16.8;41.0;37.0;40.0;44.0;10.2;4.2
2022/01/02;1800 UTC;;1004.6;1004.9;1004.5;1596.6;31.6;20.4;34.6;31.5;20.5;17.2;52.0;37.0;52.0;41.0;10.1;5.7
2022/01/02;1900 UTC;;1004.4;1004.6;1004.4;1300.4;30.7;19.8;31.7;30.6;20.5;19.5;52.0;50.0;52.0;50.0;10.6;5.3
2022/01/02;2000 UTC;;1005.3;1005.3;1004.4;547.2;29.4;20.5;30.9;29.4;20.5;19.4;59.0;51.0;59.0;52.0;9.4;4.7
2022/01/02;2100 UTC;;1006.3;1006.3;1005.3;53.8;28.5;21.0;29.4;28.5;21.1;20.5;64.0;59.0;64.0;42.0;9.2;4.1
2022/01/02;2200 UTC;;1007.0;1007.0;1006.3;;28.1;21.6;28.5;28.0;21.7;21.0;68.0;64.0;68.0;45.0;7.6;3.3
2022/01/02;2300 UTC;;1007.5;1007.5;1007.0;;27.8;21.7;28.1;27.8;21.7;21.6;69.0;68.0;69.0;52.0;6.4;2.8
2022/01/03;0000 UTC;;1008.1;1008.1;1007.5;;27.7;21.7;27.9;27.6;21.8;21.7;70.0;69.0;70.0;51.0;6.6;2.8
2022/01/03;0100 UTC;;1008.0;1008.2;1008.0;;27.3;21.9;27.7;27.3;21.9;21.6;72.0;70.0;72.0;56.0;5.3;3.1
2022/01/03;0200 UTC;;1007.0;1008.0;1007.0;;27.0;21.9;27.3;27.0;22.0;21.9;74.0;72.0;74.0;69.0;5.4;3.1
2022/01/03;0300 UTC;;1006.8;1007.0;1006.7;;26.8;21.8;27.0;26.7;22.0;21.8;75.0;74.0;74.0;61.0;5.5;3.0
2022/01/03;0400 UTC;;1006.4;1006.8;1006.4;;26.5;21.7;26.9;26.5;21.8;21.6;75.0;74.0;75.0;62.0;4.9;2.5
2022/01/03;0500 UTC;;1005.9;1006.4;1005.9;;26.2;21.7;26.5;26.2;21.8;21.6;76.0;75.0;76.0;72.0;4.0;1.9
2022/01/03;0600 UTC;;1006.2;1006.2;1005.7;;26.1;21.7;26.2;26.0;21.7;21.6;77.0;76.0;77.0;72.0;4.1;1.3
2022/01/03;0700 UTC;;1006.5;1006.6;1006.1;1.6;25.1;21.5;26.2;24.4;21.8;20.2;81.0;76.0;81.0;87.0;9.4;2.5
2022/01/03;0800 UTC;;1006.7;1006.8;1006.4;3.0;24.9;21.3;25.4;24.9;21.9;21.2;81.0;80.0;80.0;101.0;7.6;5.0
2022/01/03;0900 UTC;;1007.4;1007.4;1006.7;46.0;25.2;21.6;25.3;24.7;21.7;21.1;81.0;80.0;80.0;95.0;7.6;3.0
2022/01/03;1000 UTC;;1008.3;1008.4;1007.4;261.8;26.0;21.1;26.6;25.2;22.2;21.1;81.0;75.0;75.0;97.0;9.5;4.5
2022/01/03;1100 UTC;;1008.3;1008.6;1008.3;735.4;26.1;21.7;26.1;24.3;22.0;20.6;82.0;75.0;77.0;98.0;9.5;4.8
2022/01/03;1200 UTC;;1008.4;1008.5;1008.3;1761.6;29.1;22.1;29.1;26.1;22.2;21.4;77.0;66.0;66.0;91.0;9.1;5.0
2022/01/03;1300 UTC;;1008.8;1008.8;1008.2;1859.9;26.9;20.3;29.6;26.5;22.2;19.6;68.0;61.0;67.0;67.0;13.5;6.4
2022/01/03;1400 UTC;;1007.4;1008.9;1007.4;2876.7;30.6;21.2;30.8;26.5;21.7;19.7;69.0;56.0;57.0;71.0;11.2;6.1
2022/01/03;1500 UTC;;1007.3;1007.6;1007.3;2386.7;29.0;20.1;31.4;28.2;21.6;20.1;64.0;54.0;59.0;61.0;13.6;6.8
2022/01/03;1600 UTC;;1006.2;1007.3;1006.0;3790.6;30.6;21.2;32.1;28.9;21.2;19.3;59.0;49.0;57.0;47.0;11.9;5.6
2022/01/03;1700 UTC;;1005.4;1006.2;1005.4;728.3;29.7;20.7;30.6;29.3;21.6;20.2;60.0;57.0;59.0;59.0;9.5;5.3
2022/01/03;1800 UTC;;1005.1;1005.4;1005.0;525.9;28.4;20.9;30.3;28.4;21.1;20.3;64.0;57.0;64.0;70.0;8.6;3.9
2022/01/03;1900 UTC;;1004.6;1005.1;1004.6;379.3;28.3;21.2;28.5;27.7;22.2;20.9;71.0;64.0;65.0;64.0;7.5;4.1
2022/01/03;2000 UTC;;1004.8;1005.0;1004.5;513.5;28.5;21.0;28.8;28.3;21.4;20.7;66.0;62.0;64.0;63.0;8.4;4.3
2022/01/03;2100 UTC;;1005.0;1005.1;1004.7;94.5;27.6;21.6;28.5;27.6;21.6;21.0;70.0;64.0;70.0;77.0;8.9;4.0
2022/01/03;2200 UTC;;1005.5;1005.5;1005.0;;27.1;21.9;27.7;27.1;21.9;21.6;73.0;70.0;73.0;76.0;7.2;2.1
2022/01/03;2300 UTC;;1006.2;1006.2;1005.5;;26.6;21.9;27.1;26.6;21.9;21.8;75.0;73.0;75.0;53.0;3.9;0.7
2022/01/04;0000 UTC;;1007.4;1007.4;1006.2;;26.4;22.1;26.6;26.4;22.2;21.8;78.0;75.0;77.0;34.0;2.0;0.5
2022/01/04;0100 UTC;;1007.0;1007.5;1007.0;;26.1;22.2;26.4;26.0;22.3;22.1;79.0;77.0;79.0;49.0;1.9;0.8
2022/01/04;0200 UTC;;1006.3;1007.0;1006.3;;26.1;22.2;26.2;26.0;22.3;22.2;80.0;79.0;79.0;91.0;2.6;1.0
2022/01/04;0300 UTC;;1005.6;1006.3;1005.6;;25.8;22.0;26.2;25.7;22.2;22.0;80.0;79.0;80.0;89.0;2.2;1.3
2022/01/04;0400 UTC;;1005.1;1005.6;1005.1;;26.0;21.5;26.0;25.6;22.0;21.5;80.0;76.0;76.0;107.0;3.9;2.3
2022/01/04;0500 UTC;;1004.6;1005.1;1004.6;;25.8;20.8;26.0;25.8;21.4;20.8;76.0;74.0;74.0;108.0;3.9;2.4
2022/01/04;0600 UTC;;1004.3;1004.6;1004.3;;25.1;20.9;25.8;25.1;21.0;20.7;78.0;74.0;78.0;128.0;3.9;0.7
2022/01/04;0700 UTC;;1004.1;1004.3;1004.0;;24.7;20.8;25.1;24.7;21.0;20.7;79.0;78.0;79.0;87.0;4.1;2.2
2022/01/04;0800 UTC;;1004.5;1004.5;1004.1;;24.7;20.9;24.7;24.3;20.9;20.6;80.0;79.0;80.0;102.0;4.4;2.8
2022/01/04;0900 UTC;;1005.3;1005.3;1004.5;74.1;25.3;20.6;25.3;24.7;21.0;20.5;80.0;75.0;75.0;100.0;5.6;2.9
2022/01/04;1000 UTC;;1005.7;1005.8;1005.3;483.5;26.8;20.4;26.8;25.3;20.9;20.3;75.0;68.0;68.0;107.0;8.5;5.5
2022/01/04;1100 UTC;;1006.2;1006.2;1005.7;1119.2;28.5;19.8;28.5;26.8;20.6;19.7;68.0;59.0;59.0;111.0;9.8;6.3
2022/01/04;1200 UTC;;1006.2;1006.4;1006.1;2053.4;29.9;19.0;30.5;28.5;20.0;18.9;59.0;51.0;52.0;88.0;10.3;5.9
2022/01/04;1300 UTC;;1006.0;1006.3;1005.9;2548.6;31.3;18.1;32.1;29.9;19.5;18.1;53.0;44.0;45.0;106.0;9.6;4.7
2022/01/04;1400 UTC;;1005.3;1006.0;1005.3;3074.6;32.7;17.7;33.4;31.2;18.5;16.9;46.0;39.0;41.0;89.0;9.1;3.8
2022/01/04;1500 UTC;;1004.3;1005.3;1004.3;2922.0;33.1;16.5;34.0;32.5;17.7;16.4;41.0;36.0;37.0;86.0;8.4;3.2
2022/01/04;1600 UTC;;1003.7;1004.3;1003.7;2146.7;33.5;16.3;34.4;33.1;17.4;15.4;38.0;33.0;36.0;73.0;7.2;2.3
2022/01/04;1700 UTC;;1003.1;1003.7;1003.1;909.4;31.9;19.2;33.8;31.9;19.3;16.0;47.0;35.0;47.0;10.0;8.0;4.2
2022/01/04;1800 UTC;;1002.8;1003.2;1002.8;1055.2;32.1;19.8;32.3;30.7;20.5;19.1;54.0;47.0;48.0;11.0;8.7;4.2
2022/01/04;1900 UTC;;1002.7;1002.8;1002.7;1471.6;31.5;20.2;32.6;31.5;20.9;19.9;51.0;48.0;51.0;35.0;9.4;5.5
2022/01/04;2000 UTC;;1003.2;1003.2;1002.7;691.2;29.8;20.9;31.5;29.8;21.0;20.1;59.0;51.0;59.0;56.0;9.4;4.6
2022/01/04;2100 UTC;;1003.8;1003.8;1003.1;144.3;28.4;21.5;29.8;28.4;21.5;20.8;66.0;59.0;66.0;54.0;9.3;4.9
2022/01/04;2200 UTC;;1004.5;1004.5;1003.8;;27.8;21.8;28.4;27.8;21.9;21.4;70.0;66.0;70.0;58.0;9.2;5.1
2022/01/04;2300 UTC;;1005.3;1005.4;1004.5;;27.6;21.8;27.8;27.5;21.9;21.8;71.0;70.0;71.0;62.0;8.0;4.7
2022/01/05;0000 UTC;;1006.0;1006.0;1005.3;;27.5;22.1;27.6;27.4;22.1;21.8;72.0;71.0;72.0;56.0;8.3;4.2
2022/01/05;0100 UTC;;1006.3;1006.3;1006.0;;27.4;21.5;27.5;27.3;22.1;21.5;73.0;70.0;70.0;61.0;7.6;4.1
2022/01/05;0200 UTC;;1006.1;1006.3;1006.1;;27.4;21.6;27.5;27.4;21.6;21.3;70.0;69.0;70.0;71.0;8.2;3.0
2022/01/05;0300 UTC;;1005.6;1006.1;1005.6;;26.1;21.7;27.4;26.1;21.7;21.6;77.0;70.0;77.0;57.0;7.4;3.4
2022/01/05;0400 UTC;;1005.1;1005.6;1005.1;;25.6;22.1;26.1;25.6;22.2;21.7;81.0;77.0;81.0;66.0;5.8;1.6
