Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;0.8;879.7;879.7;878.8;0.0;17.2;15.3;17.3;17.1;15.4;15.2;89.0;89.0;89.0;39.0;7.0;4.1
2022/01/01;0100 UTC;2.0;880.0;880.1;879.7;0.1;17.0;15.2;17.4;17.0;15.6;15.2;89.0;89.0;89.0;28.0;10.3;3.1
2022/01/01;0200 UTC;0.4;879.7;880.0;879.7;0.0;17.7;15.9;17.7;17.0;15.9;15.1;89.0;89.0;89.0;39.0;6.8;3.7
2022/01/01;0300 UTC;0.0;879.4;879.7;879.4;0.0;17.7;15.9;17.7;17.6;15.9;15.7;89.0;89.0;89.0;17.0;5.2;2.2
2022/01/01;0400 UTC;1.4;878.9;879.3;878.9;0.1;17.7;15.9;17.7;17.7;15.9;15.9;89.0;89.0;89.0;350.0;6.0;2.8
2022/01/01;0500 UTC;0.0;878.3;879.0;878.3;0.0;17.8;16.1;17.8;17.7;16.1;15.9;89.0;89.0;89.0;45.0;6.1;1.5
2022/01/01;0600 UTC;0.0;878.0;878.3;877.9;0.0;17.9;16.2;17.9;17.8;16.2;16.0;90.0;89.0;89.0;47.0;5.8;4.5
2022/01/01;0700 UTC;0.4;878.2;878.2;877.9;0.0;18.0;16.3;18.1;17.9;16.3;16.2;90.0;89.0;90.0;44.0;6.4;4.2
2022/01/01;0800 UTC;0.4;878.6;878.6;878.2;0.0;17.9;16.2;18.1;17.9;16.3;16.2;90.0;90.0;90.0;41.0;6.8;4.3
2022/01/01;0900 UTC;0.0;879.0;879.0;878.6;28.9;18.2;16.4;18.2;17.9;16.4;16.1;90.0;90.0;90.0;47.0;8.9;5.8
2022/01/01;1000 UTC;0.8;879.7;879.7;879.0;163.9;18.3;16.5;18.4;18.2;16.7;16.4;90.0;89.0;89.0;39.0;9.2;4.4
2022/01/01;1100 UTC;13.8;880.1;880.3;879.7;176.5;17.7;15.9;18.3;17.7;16.5;15.9;89.0;89.0;89.0;299.0;8.6;5.1
2022/01/01;1200 UTC;6.4;880.8;880.8;880.1;265.2;17.8;16.1;18.1;17.4;16.3;15.7;90.0;89.0;90.0;319.0;8.6;3.0
2022/01/01;1300 UTC;5.4;880.9;881.0;880.8;568.3;17.9;16.2;18.0;17.0;16.2;15.3;90.0;90.0;90.0;359.0;11.6;2.7
2022/01/01;1400 UTC;0.0;880.7;881.0;880.6;930.5;19.4;17.6;19.8;17.9;17.9;16.3;90.0;89.0;89.0;339.0;7.2;2.7
2022/01/01;1500 UTC;0.2;880.2;880.7;880.1;452.0;18.9;17.1;19.4;18.8;17.5;17.0;89.0;89.0;89.0;342.0;7.1;3.4
2022/01/01;1600 UTC;0.0;879.8;880.2;879.8;976.3;19.6;17.0;20.8;18.9;18.8;17.0;89.0;85.0;85.0;41.0;6.7;2.9
2022/01/01;1700 UTC;3.0;879.0;879.8;879.0;899.8;19.0;16.4;21.1;19.0;18.9;16.4;87.0;82.0;85.0;33.0;7.4;2.9
2022/01/01;1800 UTC;10.8;878.7;879.0;878.6;533.0;18.6;16.6;20.0;18.5;17.7;16.1;88.0;85.0;88.0;326.0;7.0;3.6
2022/01/01;1900 UTC;4.0;878.2;878.7;878.2;465.3;19.5;17.4;19.5;18.1;17.4;16.3;89.0;88.0;88.0;358.0;8.2;2.3
2022/01/01;2000 UTC;0.0;878.3;878.4;878.2;650.8;20.2;16.6;20.4;19.5;17.3;16.5;88.0;79.0;80.0;41.0;4.6;2.6
2022/01/01;2100 UTC;0.0;879.0;879.0;878.2;246.7;19.6;16.7;20.3;19.5;16.8;16.2;84.0;78.0;84.0;46.0;5.2;3.4
2022/01/01;2200 UTC;1.0;879.7;879.7;879.0;11.2;18.1;16.1;19.6;17.7;16.8;15.6;89.0;83.0;89.0;42.0;13.7;2.5
2022/01/01;2300 UTC;4.2;880.2;880.3;879.7;0.0;18.4;16.5;18.5;18.0;16.6;16.1;89.0;89.0;89.0;66.0;6.4;3.7
2022/01/02;0000 UTC;0.0;880.7;880.7;880.2;0.0;18.3;16.1;18.5;18.2;16.6;16.1;89.0;87.0;87.0;91.0;5.9;3.8
2022/01/02;0100 UTC;0.0;881.2;881.2;880.7;0.0;18.7;16.6;18.7;18.1;16.6;16.1;88.0;87.0;88.0;48.0;6.7;4.4
2022/01/02;0200 UTC;1.4;881.7;881.7;881.2;0.2;17.9;16.0;18.7;17.9;16.6;16.0;89.0;87.0;89.0;350.0;8.5;3.4
2022/01/02;0300 UTC;4.4;881.3;881.7;881.2;0.1;17.8;16.1;18.0;17.8;16.2;16.0;89.0;89.0;89.0;5.0;8.6;3.2
2022/01/02;0400 UTC;3.6;880.8;881.3;880.8;0.2;17.4;15.6;17.8;17.3;16.0;15.6;89.0;89.0;89.0;13.0;8.6;2.4
2022/01/02;0500 UTC;0.8;880.4;880.8;880.4;0.0;16.8;15.1;17.4;16.8;15.6;15.1;90.0;89.0;90.0;53.0;5.1;3.3
2022/01/02;0600 UTC;0.2;880.1;880.4;880.1;0.0;16.8;15.1;16.9;16.8;15.2;15.1;90.0;90.0;90.0;43.0;5.5;3.8
2022/01/02;0700 UTC;0.4;879.9;880.1;879.9;0.0;17.1;15.3;17.1;16.8;15.4;15.1;90.0;90.0;90.0;79.0;5.7;3.8
2022/01/02;0800 UTC;0.0;880.4;880.4;879.9;0.0;17.1;15.3;17.3;17.0;15.5;15.2;90.0;90.0;90.0;95.0;6.4;4.0
2022/01/02;0900 UTC;0.2;880.9;880.9;880.3;42.6;17.3;15.6;17.4;17.0;15.6;15.3;90.0;89.0;89.0;82.0;6.1;4.1
2022/01/02;1000 UTC;0.0;881.4;881.4;880.9;266.5;18.1;16.4;18.1;17.3;16.4;15.6;89.0;89.0;89.0;95.0;6.1;4.3
2022/01/02;1100 UTC;0.0;882.0;882.0;881.4;646.8;18.8;17.0;18.9;18.1;17.0;16.4;89.0;89.0;89.0;98.0;5.6;3.7
2022/01/02;1200 UTC;0.0;882.1;882.1;882.0;792.0;19.8;17.3;20.0;18.8;17.8;16.9;89.0;85.0;85.0;86.0;4.7;2.3
2022/01/02;1300 UTC;0.0;882.1;882.2;882.0;1314.4;21.1;17.1;21.4;19.7;18.5;16.2;86.0;77.0;78.0;50.0;6.8;3.7
2022/01/02;1400 UTC;0.0;881.7;882.1;881.7;1494.4;20.7;16.2;22.5;20.7;18.0;16.2;78.0;72.0;75.0;19.0;6.8;2.4
2022/01/02;1500 UTC;3.2;881.1;881.8;881.1;1928.1;22.7;18.8;22.7;19.3;19.9;15.8;88.0;75.0;78.0;20.0;6.8;2.2
2022/01/02;1600 UTC;0.0;880.3;881.1;880.3;2461.7;23.5;17.1;24.2;21.5;19.3;16.8;79.0;66.0;67.0;50.0;6.3;2.8
2022/01/02;1700 UTC;0.0;879.2;880.3;879.2;2812.3;25.5;18.3;25.5;23.1;18.8;16.1;73.0;63.0;64.0;56.0;6.3;2.2
2022/01/02;1800 UTC;0.0;878.5;879.2;878.5;2138.2;21.8;16.9;26.3;21.8;18.8;15.6;74.0;58.0;74.0;51.0;8.4;4.5
2022/01/02;1900 UTC;0.0;878.4;878.6;878.4;1043.0;24.0;18.1;24.0;21.7;18.1;17.1;79.0;69.0;70.0;59.0;8.4;3.1
2022/01/02;2000 UTC;0.0;878.7;878.7;878.2;956.2;21.3;17.0;25.1;21.2;18.7;16.7;77.0;64.0;77.0;67.0;10.2;4.9
2022/01/02;2100 UTC;0.2;879.1;879.1;878.4;165.9;20.0;17.1;21.3;20.0;17.4;16.9;83.0;76.0;83.0;86.0;10.2;3.7
2022/01/02;2200 UTC;0.6;879.8;879.9;878.8;31.3;18.9;16.9;20.0;18.9;17.2;16.9;88.0;84.0;88.0;101.0;11.7;5.6
2022/01/02;2300 UTC;0.0;880.2;880.2;879.7;0.0;18.7;16.8;18.9;18.7;16.9;16.7;89.0;88.0;89.0;114.0;10.4;6.8
2022/01/03;0000 UTC;0.4;880.5;880.5;880.1;0.0;18.7;16.9;18.7;18.6;16.9;16.8;89.0;89.0;89.0;101.0;9.5;6.8
2022/01/03;0100 UTC;0.2;881.5;881.5;880.5;0.0;18.8;17.0;18.8;18.7;17.0;16.9;89.0;89.0;89.0;99.0;9.1;4.7
2022/01/03;0200 UTC;0.4;881.7;881.7;881.5;0.0;19.0;17.1;19.1;18.8;17.2;16.9;89.0;89.0;89.0;82.0;6.9;3.5
2022/01/03;0300 UTC;1.4;881.4;881.7;881.4;0.0;18.8;17.0;19.0;18.8;17.1;16.9;89.0;89.0;89.0;52.0;6.6;4.5
2022/01/03;0400 UTC;2.4;880.7;881.4;880.7;0.0;18.7;16.9;18.9;18.7;17.0;16.9;89.0;89.0;89.0;42.0;6.3;3.7
2022/01/03;0500 UTC;0.2;880.2;880.7;880.2;0.0;18.8;17.0;18.8;18.7;17.0;16.9;89.0;89.0;89.0;36.0;5.9;3.3
2022/01/03;0600 UTC;2.2;880.1;880.2;880.0;0.0;18.7;16.9;18.8;18.7;17.0;16.9;89.0;89.0;89.0;355.0;4.8;2.4
2022/01/03;0700 UTC;3.8;880.3;880.3;880.1;0.1;18.6;16.8;18.8;18.6;17.0;16.8;89.0;89.0;89.0;331.0;6.7;3.6
2022/01/03;0800 UTC;7.0;880.6;880.7;880.3;1.0;17.5;15.7;18.6;17.1;16.8;15.3;90.0;89.0;90.0;275.0;11.5;5.1
2022/01/03;0900 UTC;1.8;881.1;881.1;880.6;8.8;18.2;16.4;18.2;17.4;16.4;15.7;90.0;90.0;90.0;25.0;7.8;1.3
2022/01/03;1000 UTC;0.4;881.4;881.4;881.1;134.5;18.9;17.2;18.9;18.2;17.2;16.4;90.0;89.0;89.0;47.0;4.5;3.3
2022/01/03;1100 UTC;0.0;881.8;881.8;881.4;343.4;19.3;17.5;19.3;18.8;17.5;17.0;90.0;89.0;89.0;36.0;5.3;2.5
2022/01/03;1200 UTC;0.0;881.9;881.9;881.8;662.7;19.3;17.5;20.0;19.0;18.2;17.2;90.0;89.0;89.0;346.0;6.5;2.1
2022/01/03;1300 UTC;9.6;882.2;882.2;881.9;266.2;19.1;17.3;19.3;18.5;17.4;16.8;89.0;89.0;89.0;28.0;6.5;1.8
2022/01/03;1400 UTC;0.2;881.6;882.2;881.6;1007.1;20.1;18.3;20.6;18.9;18.7;17.2;89.0;89.0;89.0;338.0;5.0;2.3
2022/01/03;1500 UTC;0.2;880.7;881.6;880.7;923.1;20.9;18.9;20.9;20.0;19.0;18.1;89.0;89.0;89.0;19.0;5.0;1.6
2022/01/03;1600 UTC;0.0;879.7;880.7;879.7;2452.1;23.3;18.7;23.3;20.9;20.3;18.0;89.0;75.0;75.0;53.0;6.1;3.1
2022/01/03;1700 UTC;0.0;879.0;879.7;879.0;1393.3;21.6;18.1;23.5;21.2;18.8;17.5;82.0;72.0;80.0;38.0;6.3;3.0
2022/01/03;1800 UTC;0.0;878.5;879.0;878.5;893.2;21.5;17.5;22.1;20.9;18.2;17.4;82.0;77.0;78.0;54.0;6.4;3.1
2022/01/03;1900 UTC;0.0;877.8;878.5;877.8;1126.2;21.8;16.5;22.7;21.2;18.4;16.5;79.0;71.0;72.0;62.0;6.8;3.5
2022/01/03;2000 UTC;0.0;877.9;878.2;877.9;1300.5;22.9;16.6;23.7;21.7;17.9;16.1;74.0;65.0;68.0;54.0;6.6;3.5
2022/01/03;2100 UTC;0.0;878.1;878.1;877.8;713.5;20.5;16.4;23.3;20.5;17.3;16.1;77.0;66.0;77.0;92.0;6.4;4.0
2022/01/03;2200 UTC;0.0;878.5;878.5;878.1;47.3;19.8;16.7;20.5;19.8;16.8;16.4;83.0;77.0;83.0;98.0;8.5;6.4
2022/01/03;2300 UTC;0.0;879.0;879.0;878.5;0.0;19.2;16.8;19.8;19.2;16.8;16.7;86.0;83.0;86.0;99.0;9.8;5.8
2022/01/04;0000 UTC;0.0;879.7;879.7;879.0;0.0;18.7;16.5;19.3;18.7;17.1;16.5;87.0;86.0;87.0;106.0;10.9;7.3
2022/01/04;0100 UTC;0.0;879.9;880.0;879.7;0.0;18.1;16.1;18.7;18.0;16.5;16.0;88.0;87.0;88.0;102.0;9.8;6.5
2022/01/04;0200 UTC;0.0;879.9;880.0;879.8;0.0;18.2;16.4;18.2;18.0;16.4;16.1;89.0;88.0;89.0;102.0;9.8;6.7
2022/01/04;0300 UTC;0.0;879.4;879.9;879.4;0.0;18.3;16.3;18.5;18.1;16.5;16.3;89.0;88.0;88.0;100.0;9.8;6.4
2022/01/04;0400 UTC;0.0;878.9;879.5;878.9;0.0;18.0;16.0;18.3;17.9;16.4;16.0;88.0;88.0;88.0;102.0;9.8;5.2
2022/01/04;0500 UTC;0.0;878.5;878.9;878.3;0.0;17.9;16.1;18.0;17.7;16.1;15.9;89.0;88.0;89.0;95.0;8.1;4.6
2022/01/04;0600 UTC;0.0;878.4;878.5;878.3;0.0;18.0;16.1;18.1;17.9;16.2;16.1;89.0;89.0;89.0;103.0;6.9;4.5
2022/01/04;0700 UTC;0.0;878.4;878.5;878.3;0.0;17.9;16.0;18.0;17.8;16.2;16.0;89.0;89.0;89.0;102.0;8.0;5.8
2022/01/04;0800 UTC;0.0;879.0;879.0;878.4;0.0;17.8;15.7;17.9;17.8;16.0;15.7;89.0;88.0;88.0;104.0;8.2;5.0
2022/01/04;0900 UTC;0.0;879.5;879.5;879.0;56.1;18.1;16.0;18.1;17.7;16.0;15.7;88.0;87.0;87.0;89.0;6.3;4.2
2022/01/04;1000 UTC;0.0;879.8;879.8;879.5;479.3;19.6;16.0;19.6;18.1;16.2;15.8;87.0;79.0;80.0;58.0;7.8;4.7
2022/01/04;1100 UTC;0.0;880.3;880.3;879.7;367.4;19.1;16.0;19.9;18.9;16.2;15.4;82.0;78.0;82.0;43.0;7.3;3.1
2022/01/04;1200 UTC;0.0;880.6;880.6;880.2;868.7;21.0;16.5;21.1;19.1;16.7;16.0;83.0;75.0;75.0;54.0;7.4;3.7
2022/01/04;1300 UTC;0.0;880.6;880.8;880.6;957.9;21.2;16.3;21.3;20.4;16.6;15.8;77.0;74.0;74.0;36.0;7.0;3.6
2022/01/04;1400 UTC;0.0;880.5;880.7;880.4;1214.7;22.2;16.7;22.3;20.7;17.5;16.0;76.0;71.0;71.0;41.0;6.8;2.1
2022/01/04;1500 UTC;0.0;880.0;880.5;880.0;1180.4;21.8;15.9;22.5;21.4;17.0;15.5;73.0;68.0;69.0;39.0;6.4;2.7
2022/01/04;1600 UTC;0.2;879.3;880.0;879.3;1102.7;22.3;15.8;23.1;21.3;16.9;15.0;71.0;65.0;67.0;46.0;7.5;2.5
2022/01/04;1700 UTC;0.0;878.8;879.3;878.8;997.6;22.5;16.7;23.4;21.7;16.8;15.3;72.0;64.0;70.0;47.0;7.0;2.3
2022/01/04;1800 UTC;0.0;878.0;878.8;878.0;2517.1;24.2;16.3;25.7;22.5;17.9;16.0;71.0;58.0;62.0;59.0;7.2;4.1
2022/01/04;1900 UTC;0.0;877.2;878.0;877.2;1537.2;23.3;16.7;24.9;22.5;17.8;15.5;70.0;59.0;67.0;58.0;9.0;4.5
2022/01/04;2000 UTC;0.0;876.9;877.2;876.9;948.3;21.0;18.1;23.8;20.6;18.1;16.8;83.0;65.0;83.0;102.0;8.6;5.1
2022/01/04;2100 UTC;0.0;876.9;877.0;876.7;746.3;20.3;16.7;21.4;20.3;18.3;16.7;84.0;79.0;80.0;107.0;9.5;7.2
2022/01/04;2200 UTC;5.2;878.2;878.2;876.9;12.6;19.3;17.3;20.4;19.0;17.3;16.4;88.0;80.0;88.0;66.0;9.9;2.3
2022/01/04;2300 UTC;1.2;878.8;878.8;878.2;0.0;19.5;17.6;19.6;19.2;17.7;17.3;89.0;88.0;89.0;345.0;5.4;2.9
2022/01/05;0000 UTC;1.0;879.3;879.3;878.7;0.2;19.1;17.3;19.6;19.0;17.7;17.1;89.0;89.0;89.0;44.0;8.2;3.9
2022/01/05;0100 UTC;0.0;879.7;879.8;879.3;0.0;18.7;16.9;19.2;18.7;17.3;16.9;89.0;89.0;89.0;51.0;8.1;5.1
2022/01/05;0200 UTC;0.2;879.5;879.7;879.5;0.5;18.6;16.6;18.8;18.5;16.9;16.6;89.0;88.0;88.0;46.0;8.7;5.4
2022/01/05;0300 UTC;0.0;879.0;879.5;879.0;0.1;18.5;16.1;18.6;18.4;16.6;16.1;88.0;86.0;86.0;38.0;8.7;3.8
2022/01/05;0400 UTC;0.0;878.4;879.0;878.4;0.1;18.1;15.8;18.6;18.1;16.1;15.8;87.0;85.0;87.0;47.0;7.4;4.5
2022/01/05;0500 UTC;0.0;877.9;878.4;877.9;0.0;18.1;15.7;18.2;18.1;15.9;15.7;87.0;86.0;86.0;48.0;7.4;4.1
2022/01/05;0600 UTC;0.0;877.5;878.0;877.5;0.0;18.3;15.6;18.4;18.1;15.9;15.6;86.0;84.0;84.0;40.0;6.8;4.2
2022/01/05;0700 UTC;0.0;877.6;877.6;877.4;0.0;18.3;15.2;18.3;18.2;15.6;15.2;84.0;82.0;82.0;31.0;7.3;2.8
2022/01/05;0800 UTC;0.0;878.0;878.0;877.6;0.0;18.0;15.4;18.3;17.9;15.4;15.1;85.0;82.0;85.0;38.0;5.6;2.1
2022/01/05;0900 UTC;0.0;878.5;878.5;878.0;24.8;18.0;16.0;18.0;17.7;16.0;15.4;88.0;85.0;88.0;7.0;4.7;2.1
2022/01/05;1000 UTC;0.2;879.0;879.0;878.5;235.2;18.6;16.7;18.6;18.0;16.7;16.1;89.0;88.0;89.0;6.0;6.5;2.7
2022/01/05;1100 UTC;0.0;879.3;879.3;879.0;352.0;18.9;17.1;18.9;18.5;17.1;16.6;89.0;89.0;89.0;348.0;8.2;3.8
2022/01/05;1200 UTC;0.0;879.5;879.5;879.2;414.9;18.9;16.9;19.3;18.9;17.4;16.9;89.0;88.0;88.0;340.0;9.9;3.7
2022/01/05;1300 UTC;0.0;879.6;879.6;879.5;453.3;19.2;16.3;19.4;18.9;17.2;16.3;88.0;83.0;83.0;348.0;11.0;4.0
2022/01/05;1400 UTC;0.0;879.4;879.6;879.3;566.4;19.6;17.3;19.8;19.2;17.3;16.3;87.0;83.0;87.0;342.0;9.0;4.3
2022/01/05;1500 UTC;0.0;878.7;879.4;878.7;1424.6;21.7;18.3;21.7;19.6;18.5;16.1;87.0;76.0;81.0;345.0;13.0;2.8
