Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0100 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0200 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0300 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0400 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0500 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0600 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0700 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0800 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0900 UTC;0.0;;943.4;942.9;320.8;20.6;18.7;20.7;19.6;19.4;18.5;93.0;89.0;89.0;357.0;2.7;0.8
2022/01/01;1000 UTC;0.0;;;;;;;;;;;;;;;;
2022/01/01;1100 UTC;0.0;944.7;944.7;944.3;1059.7;23.5;16.9;23.6;21.6;17.8;16.9;77.0;67.0;67.0;18.0;4.4;1.7
2022/01/01;1200 UTC;0.0;;945.0;944.7;1087.2;24.2;17.1;24.2;23.5;18.1;16.9;70.0;64.0;65.0;341.0;5.1;1.3
2022/01/01;1300 UTC;0.0;;945.2;945.0;1136.8;25.2;17.6;25.2;24.3;18.3;16.8;67.0;62.0;63.0;316.0;2.7;0.9
2022/01/01;1400 UTC;0.0;944.8;945.3;944.8;1885.1;26.3;17.5;26.6;25.0;18.6;16.3;65.0;55.0;58.0;359.0;4.0;1.8
2022/01/01;1500 UTC;0.0;944.0;944.8;944.0;1899.5;26.9;18.2;27.0;26.0;18.7;16.9;62.0;56.0;59.0;28.0;5.4;3.2
2022/01/01;1600 UTC;0.0;943.2;944.0;943.2;2704.5;27.6;17.8;27.8;26.8;18.7;17.2;60.0;53.0;55.0;5.0;6.5;3.6
2022/01/01;1700 UTC;0.0;943.2;943.2;943.0;2664.6;28.2;17.9;28.6;27.3;18.2;16.7;56.0;49.0;54.0;5.0;6.0;1.9
2022/01/01;1800 UTC;;;;;;;;;;;;;;;;;
2022/01/01;1900 UTC;0.0;;943.0;942.5;654.1;27.0;18.1;27.7;27.0;18.4;17.3;58.0;54.0;58.0;283.0;5.4;2.4
