Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;0.0;963.3;963.3;962.5;;25.5;19.7;25.9;25.2;20.0;18.9;72.0;67.0;71.0;209.0;0.0;0.0
2022/01/01;0100 UTC;0.0;964.1;964.1;963.3;;25.3;19.5;25.7;24.8;19.8;19.0;74.0;68.0;71.0;117.0;0.0;0.0
2022/01/01;0200 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0300 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0400 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0500 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0600 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0700 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0800 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0900 UTC;;;;;;;;;;;;;;;;;
2022/01/01;1000 UTC;0.0;965.0;;;234.6;23.6;20.3;;;;;;;82.0;138.0;;0.0
2022/01/01;1100 UTC;0.0;966.1;966.1;965.0;1195.8;24.9;20.0;25.0;23.6;20.6;19.8;82.0;74.0;74.0;114.0;0.0;0.0
2022/01/01;1200 UTC;0.0;966.6;966.6;966.1;2099.4;26.5;19.9;26.8;24.9;20.8;19.3;75.0;64.0;67.0;108.0;2.4;0.0
2022/01/01;1300 UTC;0.0;966.6;966.6;966.5;2538.6;28.3;20.1;28.4;26.5;20.2;18.7;67.0;57.0;61.0;63.0;4.7;0.0
2022/01/01;1400 UTC;0.0;966.4;966.6;966.3;3184.3;30.1;19.5;30.1;28.3;20.1;18.1;62.0;51.0;53.0;62.0;5.5;0.0
2022/01/01;1500 UTC;0.0;965.8;966.4;965.8;3534.6;30.4;16.8;31.4;29.6;19.8;16.8;53.0;43.0;44.0;32.0;6.3;0.2
2022/01/01;1600 UTC;0.0;965.0;965.8;965.0;4039.0;31.6;15.5;32.1;30.2;18.2;15.3;46.0;37.0;38.0;42.0;7.4;0.0
2022/01/01;1700 UTC;0.0;963.8;965.0;963.8;4095.1;32.5;16.8;32.9;31.4;18.4;15.7;43.0;38.0;39.0;31.0;6.3;0.5
2022/01/01;1800 UTC;0.0;963.1;963.9;963.1;3707.2;33.3;17.2;33.5;32.0;17.4;14.6;41.0;33.0;38.0;7.0;10.7;0.0
2022/01/01;1900 UTC;0.0;962.2;963.1;962.2;3133.0;32.4;17.0;33.8;32.4;18.1;15.2;41.0;34.0;40.0;58.0;7.0;0.0
2022/01/01;2000 UTC;0.0;962.0;962.2;961.9;1941.6;32.9;15.3;33.4;32.4;17.8;15.2;41.0;34.0;35.0;36.0;0.0;0.0
2022/01/01;2100 UTC;0.0;961.8;962.0;961.7;1211.0;32.8;16.0;33.4;32.5;16.7;14.8;38.0;34.0;37.0;7.0;0.0;0.0
2022/01/01;2200 UTC;0.0;962.4;962.4;961.8;477.4;31.5;17.7;32.8;31.5;17.8;15.4;44.0;35.0;44.0;87.0;0.0;0.0
2022/01/01;2300 UTC;0.0;963.1;963.1;962.4;19.4;29.4;17.6;31.4;29.3;18.2;16.8;50.0;44.0;49.0;115.0;0.0;0.0
2022/01/02;0000 UTC;0.0;964.0;964.0;963.1;;28.4;18.8;29.4;28.4;18.8;17.6;56.0;49.0;56.0;125.0;0.0;0.0
2022/01/02;0100 UTC;;;;;;;;;;;;;;;;;
2022/01/02;0200 UTC;;;;;;;;;;;;;;;;;
2022/01/02;0300 UTC;;;;;;;;;;;;;;;;;
2022/01/02;0400 UTC;;;;;;;;;;;;;;;;;
2022/01/02;0500 UTC;;;;;;;;;;;;;;;;;
2022/01/02;0600 UTC;;;;;;;;;;;;;;;;;
2022/01/02;0700 UTC;;;;;;;;;;;;;;;;;
2022/01/02;0800 UTC;;;;;;;;;;;;;;;;;
2022/01/02;0900 UTC;;;;;;;;;;;;;;;;;
2022/01/02;1000 UTC;0.0;967.3;;;224.9;24.4;20.6;;;;;;;79.0;132.0;;0.0
2022/01/02;1100 UTC;0.0;967.7;967.9;967.3;1218.9;26.0;21.2;26.1;24.4;21.4;20.5;79.0;75.0;75.0;96.0;4.1;0.0
2022/01/02;1200 UTC;0.0;968.1;968.1;967.7;2130.0;28.2;21.8;28.2;25.8;22.0;21.0;76.0;68.0;68.0;93.0;6.7;0.0
