Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;;;;;;;;;;;;;;;;;
2023/01/01;0100 UTC;0.0;918.0;918.0;917.3;0.0;23.2;18.6;24.0;23.0;18.6;18.1;76.0;70.0;75.0;59.0;3.9;0.9
2023/01/01;0200 UTC;0.0;918.0;918.2;917.9;0.0;22.8;18.7;23.3;22.5;19.1;18.5;81.0;75.0;78.0;11.0;2.5;1.4
2023/01/01;0300 UTC;0.0;917.5;918.0;917.5;0.0;22.4;18.6;23.3;22.4;18.8;18.6;79.0;75.0;79.0;65.0;3.7;1.3
2023/01/01;0400 UTC;0.0;916.6;917.5;916.6;0.0;21.7;18.8;22.4;21.7;18.9;18.6;84.0;79.0;84.0;46.0;3.3;1.1
2023/01/01;0500 UTC;0.0;916.1;916.6;916.0;0.0;21.4;19.2;21.7;21.3;19.2;18.8;87.0;84.0;87.0;48.0;4.4;2.1
2023/01/01;0600 UTC;0.0;915.9;916.1;915.9;0.0;21.2;19.1;21.4;21.1;19.2;19.0;88.0;87.0;88.0;68.0;4.0;1.8
2023/01/01;0700 UTC;0.0;916.1;916.2;915.8;0.0;20.5;18.5;21.2;20.5;19.1;18.5;88.0;88.0;88.0;63.0;4.0;1.2
2023/01/01;0800 UTC;0.0;916.1;916.1;916.0;0.0;20.5;18.5;20.5;20.4;18.5;18.4;89.0;88.0;88.0;55.0;2.7;0.9
2023/01/01;0900 UTC;0.0;916.9;916.9;916.1;1.5;20.6;18.4;20.6;20.5;18.5;18.4;88.0;87.0;87.0;51.0;2.1;0.7
2023/01/01;1000 UTC;0.0;917.5;917.6;916.9;179.7;21.9;18.8;21.9;20.6;18.8;18.4;87.0;83.0;83.0;35.0;2.6;1.4
2023/01/01;1100 UTC;0.0;918.1;918.1;917.5;558.9;22.7;19.0;22.7;21.9;19.2;18.5;83.0;79.0;80.0;47.0;3.4;1.7
2023/01/01;1200 UTC;0.0;918.6;918.6;918.1;1271.2;24.8;19.7;24.9;22.6;20.1;18.8;80.0;73.0;73.0;29.0;5.8;3.2
2023/01/01;1300 UTC;0.0;918.7;918.7;918.5;1659.4;25.9;19.1;26.7;24.7;20.5;18.9;75.0;65.0;66.0;23.0;7.7;4.4
2023/01/01;1400 UTC;0.0;918.4;918.8;918.4;1670.7;26.9;19.1;27.3;25.9;20.3;18.0;68.0;57.0;62.0;350.0;7.3;4.6
2023/01/01;1500 UTC;0.0;917.9;918.4;917.8;2466.6;28.3;17.8;29.5;26.8;20.0;17.8;64.0;51.0;53.0;347.0;8.6;3.3
2023/01/01;1600 UTC;0.0;917.0;917.9;917.0;2042.4;29.4;18.6;29.9;27.4;19.8;17.4;61.0;50.0;52.0;306.0;6.5;2.8
2023/01/01;1700 UTC;0.0;916.0;917.0;916.0;2884.5;29.0;18.9;30.8;28.4;19.4;17.6;56.0;46.0;54.0;293.0;6.9;2.7
2023/01/01;1800 UTC;0.0;915.0;916.0;915.0;3457.0;30.0;18.1;31.0;29.0;19.6;16.5;56.0;44.0;49.0;265.0;7.1;3.2
2023/01/01;1900 UTC;0.0;914.1;915.0;914.1;2796.1;28.1;18.7;31.3;28.1;20.5;17.8;59.0;46.0;57.0;276.0;7.2;4.1
2023/01/01;2000 UTC;0.0;914.7;915.0;914.0;1206.2;25.4;19.1;28.1;25.0;20.2;18.7;71.0;57.0;68.0;277.0;9.6;5.0
2023/01/01;2100 UTC;0.0;914.4;914.8;914.2;587.3;25.1;19.0;25.7;24.6;19.1;17.9;69.0;64.0;69.0;275.0;7.9;1.3
2023/01/01;2200 UTC;1.0;915.9;915.9;914.4;85.5;22.9;18.3;25.3;22.8;19.0;17.8;75.0;64.0;75.0;354.0;6.7;1.6
2023/01/01;2300 UTC;1.4;916.6;916.7;915.9;1.6;22.5;19.7;22.9;21.9;19.8;18.5;86.0;75.0;84.0;112.0;5.6;2.8
2023/01/02;0000 UTC;;;;;;;;;;;;;;;;;
2023/01/02;0100 UTC;1.2;917.2;917.3;916.2;0.0;21.3;19.4;22.3;21.3;19.4;19.0;89.0;82.0;89.0;16.0;5.4;0.7
2023/01/02;0200 UTC;;;;;;;;;;;;;;;;;
2023/01/02;0300 UTC;0.0;916.7;917.4;916.3;0.0;20.8;18.8;21.0;20.7;19.2;18.8;89.0;88.0;88.0;45.0;3.4;0.2
2023/01/02;0400 UTC;0.0;916.4;917.0;916.4;0.0;20.5;18.6;21.2;20.5;19.3;18.6;89.0;88.0;89.0;354.0;2.3;1.3
2023/01/02;0500 UTC;0.2;916.0;916.4;916.0;0.0;20.1;18.3;20.5;20.1;18.8;18.3;90.0;89.0;89.0;162.0;3.5;2.0
2023/01/02;0600 UTC;0.0;915.4;916.0;915.3;0.0;19.9;18.3;20.1;19.5;18.4;17.8;91.0;89.0;90.0;309.0;3.5;1.7
