Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;918.4;918.4;917.7;;19.5;19.5;20.2;19.5;20.2;19.5;100.0;100.0;100.0;77;7.4;2.6
2023/01/01;0100 UTC;0.0;918.7;918.7;918.4;;19.1;19.1;19.7;19.1;19.6;19.1;100.0;100.0;100.0;75;8.4;2.9
2023/01/01;0200 UTC;0.0;918.9;918.9;918.7;;18.8;18.8;19.1;18.7;19.1;18.7;100.0;100.0;100.0;63;7.2;3.5
2023/01/01;0300 UTC;0.0;918.6;919.0;918.6;;18.3;;18.8;17.9;18.8;18.0;100.0;100.0;;60;6.5;1.8
2023/01/01;0400 UTC;0.0;918.1;918.6;918.1;;17.9;;18.4;17.8;18.4;17.8;100.0;100.0;;63;4.6;1.2
2023/01/01;0500 UTC;0.0;917.5;918.1;917.5;;17.8;;18.1;17.7;;;;;;86;3.7;1.9
2023/01/01;0600 UTC;0.2;917.5;917.6;917.5;;17.2;;17.8;17.2;;;;;;77;3.4;1.6
2023/01/01;0700 UTC;0.0;917.6;917.7;917.4;;16.0;;17.4;16.0;;;;;;84;3.9;1.3
2023/01/01;0800 UTC;0.0;917.8;917.8;917.5;;16.2;;16.6;15.8;;;;;;78;3.1;1.5
2023/01/01;0900 UTC;0.0;918.4;918.5;917.8;39.0;16.3;;16.4;15.5;;;;;;106;2.4;0.8
2023/01/01;1000 UTC;0.0;918.7;918.8;918.4;790.3;20.4;19.7;20.4;16.3;;;;;95.0;104;2.7;1.0
2023/01/01;1100 UTC;0.0;919.0;919.0;918.7;2140.4;21.3;18.9;21.9;19.6;19.9;18.5;97.0;84.0;86.0;70;6.8;2.5
2023/01/01;1200 UTC;0.0;919.2;919.2;919.0;2323.1;22.5;19.4;22.6;20.9;19.7;18.4;87.0;81.0;83.0;73;7.4;2.6
2023/01/01;1300 UTC;0.0;919.1;919.3;919.1;2308.0;22.9;19.4;23.6;21.8;20.3;18.7;85.0;80.0;81.0;114;6.2;2.7
2023/01/01;1400 UTC;0.0;918.5;919.1;918.5;2973.3;23.7;19.8;24.8;22.7;20.6;18.3;84.0;73.0;79.0;118;6.3;2.1
2023/01/01;1500 UTC;0.0;918.0;918.5;918.0;2725.5;26.3;20.5;26.3;23.7;20.6;18.7;78.0;67.0;71.0;121;6.5;2.5
2023/01/01;1600 UTC;0.0;917.5;918.0;917.4;3520.2;26.5;19.7;26.8;24.7;20.5;18.5;74.0;62.0;66.0;122;6.3;2.3
2023/01/01;1700 UTC;0.0;916.6;917.5;916.6;4377.9;27.5;19.2;27.7;25.0;20.8;18.1;69.0;60.0;60.0;94;7.8;2.2
2023/01/01;1800 UTC;0.0;915.9;916.6;915.9;2663.7;26.1;19.1;27.5;25.0;19.6;18.0;69.0;58.0;65.0;135;6.8;3.1
2023/01/01;1900 UTC;0.0;915.6;915.9;915.6;2083.9;25.5;19.0;26.5;24.9;19.7;18.3;71.0;64.0;67.0;98;7.5;2.2
2023/01/01;2000 UTC;0.0;915.9;915.9;915.6;1399.1;24.8;19.0;25.6;24.7;19.4;18.4;71.0;65.0;70.0;141;6.4;3.3
2023/01/01;2100 UTC;0.0;916.2;916.2;915.9;634.8;23.1;18.6;25.1;23.1;19.2;18.5;76.0;69.0;76.0;132;6.4;2.1
2023/01/01;2200 UTC;0.0;917.0;917.0;916.2;43.6;21.2;19.7;23.1;21.2;19.7;18.4;91.0;76.0;91.0;126;5.7;2.4
2023/01/01;2300 UTC;0.0;917.7;917.7;917.0;;20.8;20.0;21.2;20.8;20.1;19.7;95.0;91.0;95.0;129;5.7;1.8
2023/01/02;0000 UTC;0.4;918.6;918.6;917.7;;19.8;;20.8;19.8;20.0;19.8;100.0;95.0;;86;5.6;2.4
2023/01/02;0100 UTC;0.2;918.5;918.6;918.4;;19.5;;19.8;19.5;;;;;;83;5.8;2.4
2023/01/02;0200 UTC;0.0;918.3;918.7;918.3;;19.3;19.3;19.5;19.3;;;;;100.0;79;5.8;2.1
2023/01/02;0300 UTC;0.6;917.9;918.4;917.9;;18.9;;19.3;18.9;;;;;;89;5.6;2.3
2023/01/02;0400 UTC;0.0;917.4;918.0;917.4;;18.1;;18.9;18.0;;;;;;100;5.0;1.6
2023/01/02;0500 UTC;0.0;916.9;917.4;916.9;;18.0;;18.1;17.9;;;;;;122;3.8;1.0
2023/01/02;0600 UTC;0.0;916.7;916.9;916.7;;18.3;;18.4;18.0;;;;;;106;4.3;2.0
2023/01/02;0700 UTC;0.0;916.9;916.9;916.7;;18.2;;18.3;18.2;;;;;;115;5.3;1.8
2023/01/02;0800 UTC;0.0;916.9;917.0;916.7;;18.0;;18.2;17.8;;;;;;126;3.5;1.4
2023/01/02;0900 UTC;0.0;917.1;917.1;916.8;54.5;18.2;;18.3;18.0;;;;;;106;2.6;1.3
2023/01/02;1000 UTC;0.0;917.5;917.5;917.1;490.6;19.0;19.0;19.3;18.1;19.3;18.8;100.0;100.0;100.0;85;2.9;1.3
2023/01/02;1100 UTC;0.0;918.1;918.1;917.4;950.0;20.3;20.0;20.3;19.0;20.1;19.0;100.0;97.0;98.0;75;4.4;1.7
2023/01/02;1200 UTC;0.0;918.4;918.4;918.1;1355.7;21.6;20.0;21.9;20.3;20.8;19.7;98.0;89.0;91.0;75;4.2;2.1
2023/01/02;1300 UTC;1.4;918.5;918.7;918.4;1349.5;20.4;20.4;21.6;20.3;21.0;19.9;100.0;91.0;100.0;65;4.2;1.9
2023/01/02;1400 UTC;0.6;917.9;918.5;917.9;3166.0;22.1;22.0;23.1;20.2;22.2;20.2;100.0;92.0;99.0;156;4.3;2.0
2023/01/02;1500 UTC;13.4;917.5;917.9;917.5;1014.8;19.9;;22.4;19.9;21.9;19.9;100.0;95.0;;201;4.3;1.3
2023/01/02;1600 UTC;0.0;916.7;917.4;916.7;2312.4;23.0;21.4;23.0;19.9;21.9;20.4;100.0;91.0;91.0;111;3.7;1.6
2023/01/02;1700 UTC;0.0;915.6;916.7;915.6;3520.2;24.1;21.5;24.5;22.4;22.3;20.7;95.0;83.0;85.0;102;5.4;2.9
2023/01/02;1800 UTC;0.0;915.1;915.7;915.1;915.6;21.6;20.5;24.9;21.6;22.1;20.3;94.0;81.0;93.0;89;5.4;1.7
