Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;924.0;924.0;923.7;;19.7;18.5;20.0;19.7;18.5;18.1;93.0;90.0;93.0;110.0;3.5;1.8
2023/01/01;0100 UTC;0.0;923.7;924.0;923.6;;19.7;18.5;20.0;19.7;18.8;18.4;93.0;92.0;92.0;107.0;5.1;1.9
2023/01/01;0200 UTC;0.0;923.3;923.8;923.3;;19.9;18.5;19.9;19.6;18.7;18.4;93.0;92.0;92.0;97.0;5.2;2.7
2023/01/01;0300 UTC;0.0;922.4;923.3;922.4;;19.7;18.2;19.9;19.7;18.6;18.2;92.0;91.0;91.0;84.0;4.2;2.5
2023/01/01;0400 UTC;0.0;921.7;922.4;921.7;;19.6;18.1;19.7;19.6;18.2;18.0;91.0;90.0;91.0;84.0;5.1;2.9
2023/01/01;0500 UTC;0.0;921.3;921.7;921.3;;19.5;18.2;19.7;19.4;18.3;18.1;93.0;91.0;93.0;76.0;4.7;2.8
2023/01/01;0600 UTC;0.0;921.1;921.3;921.1;;19.6;18.2;19.6;19.5;18.3;18.2;93.0;92.0;92.0;64.0;6.5;3.3
2023/01/01;0700 UTC;0.0;921.0;921.1;920.9;;19.3;18.2;19.6;19.2;18.2;18.0;93.0;92.0;93.0;68.0;5.2;2.9
2023/01/01;0800 UTC;0.0;921.5;921.5;921.0;;19.1;18.2;19.3;19.0;18.2;18.1;95.0;93.0;94.0;69.0;4.5;2.1
2023/01/01;0900 UTC;0.0;922.1;922.1;921.5;136.7;19.4;18.6;19.4;18.9;18.6;18.1;95.0;94.0;95.0;81.0;3.9;1.6
2023/01/01;1000 UTC;0.0;922.4;922.4;922.1;857.3;21.5;18.7;21.6;19.4;19.3;18.6;95.0;84.0;84.0;89.0;4.1;2.4
2023/01/01;1100 UTC;0.0;923.0;923.0;922.4;1598.9;23.2;18.6;23.5;21.4;18.9;17.8;84.0;74.0;75.0;79.0;5.8;3.8
2023/01/01;1200 UTC;0.0;923.0;923.0;922.8;1700.9;23.4;17.8;24.6;22.5;19.2;17.5;75.0;68.0;71.0;71.0;6.0;3.2
2023/01/01;1300 UTC;0.0;922.7;923.0;922.7;2004.6;24.8;17.3;25.8;23.4;18.6;17.2;71.0;61.0;63.0;84.0;7.4;3.7
2023/01/01;1400 UTC;0.0;922.1;922.7;922.1;2450.3;25.4;17.7;26.9;24.8;18.8;17.3;65.0;59.0;62.0;62.0;7.4;3.0
2023/01/01;1500 UTC;0.2;921.5;922.2;921.5;1106.6;24.2;19.6;25.4;22.5;19.7;17.5;81.0;62.0;76.0;67.0;6.6;2.5
2023/01/01;1600 UTC;0.0;920.8;921.5;920.8;1860.0;24.7;19.1;26.4;23.2;20.4;18.0;77.0;62.0;71.0;98.0;5.5;1.8
