Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;969.0;969.0;968.4;;24.9;17.9;26.4;24.9;18.4;17.9;65.0;61.0;65.0;15.0;2.7;0.0
2023/01/01;0100 UTC;0.0;969.3;969.3;969.0;;24.1;17.7;24.9;24.1;18.2;17.7;68.0;65.0;67.0;116.0;0.9;0.0
2023/01/01;0200 UTC;0.0;969.1;969.3;969.1;;23.1;17.5;24.1;23.1;17.7;17.3;71.0;67.0;70.0;202.0;1.7;1.0
2023/01/01;0300 UTC;0.0;968.8;969.1;968.8;;22.9;17.6;23.4;22.9;17.8;17.5;72.0;70.0;72.0;241.0;2.4;0.2
2023/01/01;0400 UTC;0.0;968.3;968.8;968.3;;22.3;17.4;22.9;22.2;17.5;17.2;75.0;72.0;74.0;188.0;2.0;0.6
2023/01/01;0500 UTC;0.0;968.3;968.3;968.2;;21.8;17.3;22.3;21.8;17.6;17.3;75.0;74.0;75.0;206.0;2.2;1.0
2023/01/01;0600 UTC;0.0;968.4;968.4;968.2;;21.2;17.0;21.8;21.2;17.3;16.9;77.0;75.0;77.0;233.0;1.9;1.0
2023/01/01;0700 UTC;0.0;968.5;968.6;968.3;;20.3;16.3;21.2;20.3;17.1;16.3;78.0;77.0;78.0;31.0;2.0;0.3
2023/01/01;0800 UTC;0.0;968.8;968.8;968.5;;20.2;16.6;20.5;20.2;16.7;16.4;80.0;78.0;80.0;99.0;1.5;0.0
2023/01/01;0900 UTC;0.0;969.3;969.3;968.8;22.1;19.8;16.3;20.3;19.7;16.7;16.2;80.0;80.0;80.0;168.0;0.8;0.0
2023/01/01;1000 UTC;0.0;970.2;970.2;969.3;551.5;21.9;18.6;21.9;19.8;18.6;16.3;82.0;80.0;82.0;257.0;1.7;0.5
2023/01/01;1100 UTC;0.0;970.6;970.6;970.2;1506.4;25.0;20.2;25.0;21.9;20.5;18.6;82.0;75.0;75.0;121.0;8.0;4.0
2023/01/01;1200 UTC;0.0;970.6;970.7;970.5;2334.0;26.2;19.4;26.2;24.9;20.3;19.1;75.0;65.0;66.0;110.0;8.0;3.6
2023/01/01;1300 UTC;0.0;970.2;970.6;970.2;3075.4;27.6;19.2;27.6;26.2;19.6;18.7;67.0;60.0;60.0;106.0;8.2;3.4
2023/01/01;1400 UTC;0.0;969.6;970.2;969.6;3480.9;28.5;18.5;28.7;27.6;19.5;18.5;61.0;55.0;55.0;94.0;7.8;3.1
2023/01/01;1500 UTC;0.0;968.8;969.6;968.8;3978.2;30.1;18.5;30.2;28.5;19.7;18.3;56.0;50.0;50.0;83.0;7.5;3.2
2023/01/01;1600 UTC;0.0;967.8;968.8;967.7;3649.1;30.9;18.3;31.0;29.9;19.4;18.3;52.0;47.0;47.0;95.0;7.3;3.0
2023/01/01;1700 UTC;0.0;967.0;967.8;967.0;3389.6;31.7;19.1;31.8;30.3;20.0;18.0;51.0;47.0;47.0;101.0;6.5;3.1
2023/01/01;1800 UTC;0.0;966.2;967.0;966.2;2912.5;31.6;18.7;31.9;31.4;19.7;18.5;49.0;46.0;46.0;84.0;6.5;2.4
2023/01/01;1900 UTC;0.0;965.9;966.2;965.8;2120.7;32.0;18.4;32.1;31.5;19.2;17.7;47.0;44.0;45.0;79.0;5.5;2.3
2023/01/01;2000 UTC;0.0;966.1;966.1;965.9;1205.3;31.2;17.7;32.0;31.2;18.3;17.4;45.0;43.0;44.0;70.0;5.8;2.5
2023/01/01;2100 UTC;0.0;966.5;966.5;966.0;238.2;29.2;17.0;31.2;29.2;17.8;16.9;48.0;44.0;48.0;82.0;4.7;1.5
2023/01/01;2200 UTC;0.0;967.1;967.1;966.5;;27.0;16.9;29.2;27.0;17.0;16.8;54.0;48.0;54.0;109.0;2.4;0.4
2023/01/01;2300 UTC;0.0;967.8;967.8;967.1;;25.4;17.0;27.0;25.4;17.0;16.6;60.0;54.0;60.0;177.0;1.5;0.0
