Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;990.8;990.8;989.9;0.0;24.2;21.9;24.9;24.0;21.9;21.0;88.0;79.0;87.0;12.0;3.9;0.3
2023/01/01;0100 UTC;0.0;992.2;992.2;990.8;0.0;23.3;21.8;24.2;23.3;22.2;21.8;91.0;87.0;91.0;54.0;1.5;0.0
2023/01/01;0200 UTC;0.0;993.1;993.2;992.2;0.0;23.4;22.1;23.6;23.2;22.1;21.8;92.0;91.0;92.0;13.0;0.7;0.0
2023/01/01;0300 UTC;0.0;993.6;993.6;993.1;0.0;23.1;21.9;23.5;23.0;22.1;21.8;93.0;92.0;93.0;28.0;0.0;0.0
2023/01/01;0400 UTC;0.0;993.0;993.7;993.0;0.0;23.3;21.9;23.5;23.1;22.3;21.9;93.0;92.0;92.0;27.0;0.0;0.0
2023/01/01;0500 UTC;0.0;992.7;993.0;992.7;0.0;23.0;22.0;23.3;22.9;22.0;21.8;94.0;92.0;94.0;14.0;0.0;0.0
2023/01/01;0600 UTC;0.0;992.2;992.7;992.2;0.0;22.9;21.9;23.3;22.9;22.3;21.8;94.0;93.0;94.0;31.0;0.0;0.0
2023/01/01;0700 UTC;0.0;991.7;992.2;991.7;0.0;23.0;21.9;23.1;22.9;22.1;21.9;94.0;93.0;93.0;19.0;0.0;0.0
2023/01/01;0800 UTC;0.0;991.3;991.7;991.3;0.0;23.1;21.9;23.1;22.9;22.0;21.8;94.0;93.0;93.0;13.0;1.5;0.0
2023/01/01;0900 UTC;0.0;991.4;991.5;991.3;0.0;23.1;22.0;23.1;23.0;22.0;21.8;94.0;93.0;94.0;23.0;1.6;0.0
2023/01/01;1000 UTC;0.0;991.9;991.9;991.4;0.0;23.0;21.9;23.1;23.0;22.0;21.9;94.0;93.0;93.0;22.0;0.5;0.0
2023/01/01;1100 UTC;0.0;992.6;992.6;991.9;74.9;23.4;22.0;23.4;22.9;22.1;21.8;94.0;92.0;92.0;360.0;1.9;0.6
2023/01/01;1200 UTC;0.0;993.7;993.7;992.6;333.2;24.4;22.5;24.4;23.4;22.5;21.9;92.0;89.0;89.0;15.0;1.9;0.1
2023/01/01;1300 UTC;0.0;994.6;994.6;993.7;1014.2;26.4;22.3;26.7;24.4;23.1;22.2;89.0;78.0;78.0;346.0;3.2;1.2
2023/01/01;1400 UTC;0.0;995.5;995.5;994.6;1742.1;28.3;21.6;28.4;26.3;22.9;21.4;80.0;67.0;67.0;354.0;4.6;1.2
2023/01/01;1500 UTC;0.0;995.3;995.7;995.3;1677.1;28.9;22.1;29.0;28.1;23.1;21.4;71.0;66.0;67.0;354.0;4.6;1.1
2023/01/01;1600 UTC;0.0;994.2;995.3;994.2;2577.0;30.2;21.4;30.7;28.8;22.9;21.1;69.0;58.0;59.0;337.0;6.3;1.8
2023/01/01;1700 UTC;0.0;993.4;994.2;993.3;3216.2;29.3;21.6;30.5;28.4;23.6;20.8;71.0;58.0;63.0;333.0;7.7;2.6
2023/01/01;1800 UTC;0.0;992.4;993.6;992.4;3688.8;28.7;21.0;29.3;27.9;21.8;20.1;66.0;60.0;63.0;2.0;11.0;3.2
2023/01/01;1900 UTC;0.0;991.2;992.4;991.2;2930.7;28.4;22.0;29.3;28.1;22.2;20.4;69.0;60.0;68.0;355.0;13.2;3.8
2023/01/01;2000 UTC;0.0;991.0;991.3;990.9;1924.7;28.0;22.1;28.7;27.7;22.5;21.2;71.0;66.0;70.0;345.0;8.3;2.5
2023/01/01;2100 UTC;0.0;990.7;991.0;990.7;1487.7;28.0;21.4;28.5;26.8;23.4;21.4;80.0;68.0;68.0;338.0;7.6;1.9
2023/01/01;2200 UTC;0.0;990.1;990.7;990.1;568.3;27.1;21.1;28.0;27.0;21.8;21.0;72.0;66.0;70.0;359.0;7.7;0.9
2023/01/01;2300 UTC;0.0;990.2;990.2;989.9;124.1;26.3;21.4;27.1;26.3;21.5;21.0;75.0;69.0;74.0;8.0;4.5;0.3
2023/01/02;0000 UTC;0.0;991.1;991.1;990.2;0.0;24.2;21.9;26.3;24.2;21.9;21.1;87.0;73.0;87.0;24.0;2.2;0.0
2023/01/02;0100 UTC;0.0;991.6;991.6;991.1;0.0;23.6;21.9;24.2;23.6;22.0;21.8;90.0;87.0;90.0;28.0;0.0;0.0
2023/01/02;0200 UTC;0.0;991.9;991.9;991.6;0.0;24.1;21.6;24.2;23.6;22.1;21.6;91.0;86.0;86.0;12.0;0.9;0.0
2023/01/02;0300 UTC;0.0;992.3;992.3;991.8;0.0;23.1;21.6;24.1;23.1;21.9;21.5;91.0;86.0;91.0;28.0;0.5;0.0
2023/01/02;0400 UTC;0.0;992.4;992.6;992.3;0.0;23.1;21.9;23.1;22.9;21.9;21.5;93.0;91.0;93.0;29.0;0.0;0.0
2023/01/02;0500 UTC;0.0;991.6;992.4;991.6;0.0;23.4;21.6;23.5;23.1;22.1;21.5;93.0;89.0;90.0;25.0;0.0;0.0
2023/01/02;0600 UTC;0.0;991.1;991.6;991.1;0.0;23.6;21.4;23.7;23.4;21.7;21.3;90.0;87.0;87.0;25.0;2.0;0.6
2023/01/02;0700 UTC;0.0;990.9;991.2;990.9;0.0;23.1;21.4;23.7;23.1;21.6;21.4;90.0;87.0;90.0;25.0;2.6;0.3
2023/01/02;0800 UTC;0.0;990.7;990.9;990.7;0.0;23.0;21.3;23.2;23.0;21.5;21.2;91.0;90.0;90.0;7.0;2.0;0.5
2023/01/02;0900 UTC;0.0;990.9;990.9;990.7;0.0;23.0;21.1;23.1;23.0;21.3;21.1;90.0;89.0;89.0;30.0;2.5;0.3
2023/01/02;1000 UTC;0.0;991.8;991.8;990.9;0.0;22.7;21.1;23.1;22.7;21.2;20.9;91.0;89.0;90.0;30.0;3.1;0.0
2023/01/02;1100 UTC;0.0;993.0;993.0;991.8;42.1;22.9;21.2;22.9;22.5;21.3;21.0;92.0;90.0;90.0;28.0;1.3;0.0
2023/01/02;1200 UTC;0.0;994.1;994.1;993.0;302.2;23.5;21.4;23.5;22.8;21.5;21.0;90.0;88.0;88.0;27.0;3.4;1.1
2023/01/02;1300 UTC;0.0;995.0;995.0;994.1;879.6;25.1;22.0;25.1;23.4;22.1;21.3;88.0;82.0;82.0;17.0;3.4;1.2
2023/01/02;1400 UTC;0.0;995.2;995.2;995.0;1507.6;26.1;21.1;26.5;25.2;22.5;21.1;83.0;74.0;74.0;3.0;4.8;1.7
2023/01/02;1500 UTC;0.0;994.7;995.2;994.7;1645.6;26.7;21.0;26.7;26.0;21.9;20.6;76.0;70.0;71.0;345.0;4.8;1.4
2023/01/02;1600 UTC;0.0;993.7;994.7;993.7;2801.6;29.0;21.8;29.3;26.7;22.5;21.2;73.0;63.0;65.0;346.0;5.0;1.1
2023/01/02;1700 UTC;0.0;992.7;993.7;992.7;3524.7;30.3;22.3;30.4;28.6;22.3;20.4;66.0;57.0;62.0;352.0;7.1;1.4
2023/01/02;1800 UTC;0.0;991.7;992.7;991.7;3333.0;30.6;21.8;31.0;29.4;22.5;20.8;65.0;55.0;59.0;338.0;5.8;1.9
2023/01/02;1900 UTC;0.0;990.2;991.7;990.2;2776.5;30.5;21.6;30.9;29.6;22.4;20.9;64.0;56.0;59.0;357.0;6.1;2.0
2023/01/02;2000 UTC;0.0;989.0;990.2;989.0;2601.7;31.8;21.9;31.8;30.3;22.6;20.7;62.0;53.0;56.0;338.0;5.2;0.9
2023/01/02;2100 UTC;0.0;988.3;989.0;988.3;1333.4;31.4;21.4;31.8;29.7;22.2;20.3;64.0;53.0;55.0;342.0;4.8;0.9
2023/01/02;2200 UTC;0.0;988.3;988.3;988.2;884.3;29.8;21.8;31.7;29.8;22.3;20.2;62.0;53.0;62.0;1.0;4.1;0.7
2023/01/02;2300 UTC;0.0;989.0;989.0;988.2;73.0;27.5;22.6;29.7;27.5;22.7;21.4;75.0;61.0;75.0;14.0;2.8;0.0
2023/01/03;0000 UTC;0.0;990.2;990.2;989.0;0.0;27.1;22.0;27.6;26.3;23.4;22.0;83.0;73.0;74.0;15.0;3.2;1.1
2023/01/03;0100 UTC;0.0;990.9;990.9;990.2;0.0;25.9;21.6;27.1;25.9;22.2;21.5;77.0;73.0;77.0;21.0;2.8;0.9
2023/01/03;0200 UTC;0.0;992.0;992.0;990.9;0.0;25.3;21.9;25.9;25.3;22.1;21.6;82.0;77.0;81.0;25.0;2.5;0.6
2023/01/03;0300 UTC;0.0;992.5;992.6;992.0;0.0;24.7;22.3;25.3;24.7;22.3;21.8;87.0;81.0;86.0;26.0;2.1;0.5
2023/01/03;0400 UTC;0.0;992.1;992.6;992.1;0.0;24.2;22.1;24.7;24.2;22.4;22.1;88.0;86.0;88.0;20.0;2.7;0.8
2023/01/03;0500 UTC;0.0;991.4;992.1;991.4;0.0;23.8;21.9;24.2;23.8;22.1;21.9;89.0;88.0;89.0;19.0;2.7;0.4
2023/01/03;0600 UTC;0.0;991.3;991.5;991.2;0.0;23.4;21.8;23.8;23.4;21.9;21.7;91.0;89.0;91.0;26.0;2.3;0.1
2023/01/03;0700 UTC;0.0;990.7;991.3;990.7;0.0;23.1;21.7;23.4;23.1;21.8;21.6;92.0;90.0;92.0;26.0;2.1;0.5
2023/01/03;0800 UTC;0.0;990.9;991.0;990.7;0.0;23.0;21.6;23.1;23.0;21.8;21.6;92.0;92.0;92.0;27.0;2.8;0.6
2023/01/03;0900 UTC;0.0;990.9;991.0;990.8;0.0;23.1;21.6;23.2;23.0;21.8;21.6;92.0;91.0;91.0;23.0;2.6;0.7
2023/01/03;1000 UTC;0.0;991.8;991.8;990.9;0.0;23.1;21.6;23.2;23.1;21.8;21.6;92.0;91.0;92.0;12.0;2.5;0.4
2023/01/03;1100 UTC;0.0;992.7;992.7;991.8;61.8;23.6;21.8;23.6;23.1;21.9;21.7;92.0;90.0;90.0;11.0;4.2;1.0
2023/01/03;1200 UTC;0.0;993.5;993.5;992.7;358.1;24.2;21.9;24.3;23.6;22.2;21.8;90.0;87.0;87.0;16.0;4.1;1.6
2023/01/03;1300 UTC;0.0;993.6;993.6;993.5;886.3;25.5;22.2;25.5;24.2;22.5;21.8;88.0;82.0;82.0;23.0;4.0;1.3
2023/01/03;1400 UTC;0.0;993.7;993.8;993.5;1419.8;27.1;22.5;27.4;25.4;23.1;22.2;83.0;76.0;76.0;2.0;5.0;1.8
2023/01/03;1500 UTC;0.0;993.4;993.7;993.4;2067.8;28.1;23.0;28.1;26.8;23.3;22.0;79.0;72.0;74.0;8.0;5.9;2.2
