Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;1014.0;1014.0;1013.0;;25.4;19.6;26.0;25.2;20.1;19.6;73.0;68.0;70.0;115.0;3.1;0.8
2023/01/01;0100 UTC;0.0;1013.9;1014.3;1013.9;;25.0;19.5;25.8;24.5;20.2;19.5;74.0;69.0;72.0;30.0;1.9;1.2
2023/01/01;0200 UTC;0.0;1013.5;1013.9;1013.5;;24.3;19.6;25.0;24.1;19.8;19.3;76.0;71.0;75.0;258.0;1.7;0.9
2023/01/01;0300 UTC;0.0;1012.9;1013.7;1012.9;;24.6;18.7;26.0;24.3;20.0;18.2;76.0;63.0;70.0;298.0;6.6;1.8
2023/01/01;0400 UTC;0.0;1012.7;1013.1;1012.6;;23.2;19.4;24.6;23.1;19.4;18.7;79.0;70.0;79.0;258.0;5.1;1.0
2023/01/01;0500 UTC;0.0;1011.9;1012.7;1011.9;;23.3;18.8;23.7;23.1;19.4;18.6;79.0;74.0;76.0;277.0;3.4;1.3
2023/01/01;0600 UTC;0.0;1011.6;1011.9;1011.5;;22.8;18.3;23.6;22.6;18.8;18.3;78.0;74.0;76.0;268.0;4.5;1.5
2023/01/01;0700 UTC;0.0;1011.6;1011.7;1011.5;;21.7;18.4;22.8;21.7;18.7;18.2;81.0;76.0;81.0;28.0;4.2;0.7
2023/01/01;0800 UTC;0.0;1011.8;1011.8;1011.6;;22.2;18.7;22.2;21.3;18.9;18.4;84.0;80.0;81.0;333.0;4.0;1.3
2023/01/01;0900 UTC;0.0;1012.2;1012.2;1011.8;31.8;22.8;18.5;23.2;22.2;18.7;18.1;81.0;73.0;77.0;223.0;4.0;0.9
2023/01/01;1000 UTC;0.0;1013.0;1013.0;1012.2;208.8;23.8;19.4;23.8;22.6;19.4;18.4;79.0;72.0;76.0;249.0;3.3;1.0
2023/01/01;1100 UTC;0.0;1013.2;1013.3;1013.0;545.4;25.7;19.3;25.7;23.8;19.9;18.9;77.0;67.0;68.0;158.0;2.8;0.7
2023/01/01;1200 UTC;0.0;1013.3;1013.3;1013.1;983.9;27.1;19.9;27.1;25.7;20.3;19.2;70.0;63.0;65.0;160.0;2.0;0.6
2023/01/01;1300 UTC;0.0;1013.1;1013.3;1013.1;1457.6;28.7;20.3;28.7;27.1;20.7;19.2;65.0;59.0;61.0;148.0;2.3;1.3
2023/01/01;1400 UTC;0.0;1012.5;1013.1;1012.5;2629.9;29.6;19.5;30.0;28.6;20.9;18.9;60.0;53.0;55.0;133.0;4.4;2.4
2023/01/01;1500 UTC;0.0;1012.0;1012.5;1012.0;1993.8;30.7;20.5;30.8;28.8;21.4;19.0;61.0;52.0;54.0;90.0;6.1;1.6
2023/01/01;1600 UTC;0.0;1011.3;1012.0;1011.3;3083.2;32.0;19.6;32.0;30.2;21.6;17.7;57.0;46.0;48.0;60.0;5.4;2.3
2023/01/01;1700 UTC;0.0;1010.5;1011.3;1010.5;2711.5;31.2;20.7;32.0;30.3;21.1;19.3;57.0;47.0;54.0;42.0;5.6;2.6
2023/01/01;1800 UTC;0.0;1010.5;1010.7;1010.4;1622.4;29.4;20.8;31.8;29.4;21.6;19.8;60.0;52.0;60.0;230.0;5.8;1.2
2023/01/01;1900 UTC;0.0;1010.4;1010.6;1010.3;508.7;27.8;20.5;29.5;27.8;20.7;19.9;65.0;57.0;65.0;34.0;7.1;3.0
2023/01/01;2000 UTC;0.0;1010.8;1010.8;1010.2;315.5;27.3;20.0;27.8;27.3;20.5;20.0;66.0;63.0;64.0;63.0;7.8;2.8
2023/01/01;2100 UTC;0.0;1011.5;1011.5;1010.8;55.3;26.5;20.0;27.4;26.4;20.1;19.7;68.0;63.0;68.0;40.0;7.1;1.7
2023/01/01;2200 UTC;0.0;1011.4;1011.6;1011.3;;24.6;21.0;26.5;24.1;21.1;20.0;83.0;68.0;81.0;280.0;5.4;0.8
