Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;924.3;924.4;923.8;;21.5;17.0;22.3;21.1;17.3;16.5;78.0;70.0;75.0;217.0;2.1;0.5
2023/01/01;0100 UTC;0.0;924.6;924.7;924.2;;20.2;17.1;21.5;20.2;17.4;16.7;82.0;74.0;82.0;110.0;2.1;0.9
2023/01/01;0200 UTC;0.0;924.5;924.6;924.4;;21.7;17.2;21.9;20.1;17.4;16.8;82.0;74.0;75.0;154.0;3.3;0.4
2023/01/01;0300 UTC;0.0;924.2;924.5;924.2;;21.5;17.9;21.7;21.2;17.9;17.2;80.0;75.0;80.0;81.0;3.6;1.2
2023/01/01;0400 UTC;0.0;923.9;924.3;923.9;;21.0;17.6;21.6;20.9;18.0;17.5;82.0;79.0;81.0;95.0;6.9;4.0
2023/01/01;0500 UTC;0.0;923.0;923.9;923.0;;20.3;16.7;21.0;20.2;17.5;16.6;81.0;79.0;80.0;100.0;9.3;4.2
2023/01/01;0600 UTC;0.0;922.6;923.0;922.6;;19.7;16.3;20.3;19.7;16.6;16.2;81.0;78.0;81.0;105.0;8.2;4.4
2023/01/01;0700 UTC;0.0;922.8;922.8;922.5;;19.4;16.1;19.9;19.4;16.3;16.1;81.0;80.0;81.0;107.0;9.8;5.6
2023/01/01;0800 UTC;0.0;923.4;923.5;922.8;;19.3;16.4;19.4;19.2;16.4;16.1;83.0;81.0;83.0;102.0;8.6;3.7
2023/01/01;0900 UTC;0.0;924.2;924.2;923.5;16.4;19.2;16.5;19.3;19.1;16.5;16.3;85.0;83.0;84.0;96.0;6.2;2.3
2023/01/01;1000 UTC;0.0;924.6;924.6;924.2;263.3;19.7;17.0;19.7;19.2;17.0;16.5;85.0;84.0;84.0;90.0;5.2;2.9
2023/01/01;1100 UTC;0.0;924.7;924.7;924.6;1064.3;20.7;17.3;20.8;19.6;17.8;16.9;86.0;81.0;81.0;120.0;7.4;4.1
2023/01/01;1200 UTC;0.0;925.0;925.0;924.7;844.3;21.1;17.2;21.2;20.2;17.7;16.9;82.0;79.0;79.0;110.0;6.4;3.5
2023/01/01;1300 UTC;0.0;924.9;925.0;924.8;1619.9;22.5;17.2;22.5;21.1;17.7;16.9;78.0;72.0;72.0;120.0;6.3;3.8
2023/01/01;1400 UTC;0.0;924.8;924.9;924.8;1340.7;22.6;17.0;22.9;22.1;17.4;16.5;72.0;69.0;71.0;93.0;6.7;3.0
2023/01/01;1500 UTC;0.0;924.4;924.8;924.3;2627.5;23.3;17.8;25.6;22.6;18.9;16.7;72.0;63.0;71.0;46.0;7.9;4.8
