Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;;934.6;934.6;933.8;;21.5;19.6;22.1;21.4;20.2;19.6;91.0;88.0;89.0;194.0;4.0;1.7
2023/01/01;0100 UTC;;936.3;936.3;934.6;;20.9;19.2;21.5;20.9;19.6;19.2;91.0;88.0;90.0;100.0;8.1;3.7
2023/01/01;0200 UTC;;935.7;937.1;935.7;0.0;19.7;17.8;21.1;18.9;19.5;17.3;92.0;88.0;88.0;249.0;11.5;1.0
2023/01/01;0300 UTC;;935.6;935.8;935.6;;19.6;18.1;20.0;19.6;18.3;17.6;91.0;88.0;91.0;240.0;3.7;2.4
2023/01/01;0400 UTC;;934.1;935.6;934.1;;19.9;18.6;19.9;19.5;18.6;18.0;92.0;91.0;92.0;243.0;3.8;1.7
2023/01/01;0500 UTC;;933.1;934.1;933.1;;19.9;18.7;20.0;19.6;18.7;18.3;93.0;92.0;93.0;265.0;2.5;0.9
2023/01/01;0600 UTC;;932.8;933.2;932.7;;19.4;18.2;19.9;19.2;18.7;17.9;93.0;92.0;93.0;237.0;3.4;0.6
2023/01/01;0700 UTC;;932.8;932.8;932.6;;19.1;18.4;19.4;19.0;18.4;17.8;96.0;93.0;96.0;152.0;2.9;1.1
2023/01/01;0800 UTC;;933.5;933.5;932.8;;19.6;19.4;19.6;19.1;19.4;18.4;99.0;96.0;99.0;332.0;2.3;1.1
2023/01/01;0900 UTC;;934.1;934.1;933.5;15.8;20.2;19.9;20.2;19.6;19.9;19.5;99.0;98.0;98.0;316.0;2.6;1.3
2023/01/01;1000 UTC;;934.7;934.7;934.1;90.4;20.5;19.3;20.5;20.2;19.9;19.2;98.0;93.0;93.0;137.0;2.3;0.3
2023/01/01;1100 UTC;;935.1;935.1;934.7;452.9;21.2;19.4;21.2;20.4;19.5;19.2;93.0;90.0;90.0;237.0;1.5;0.6
2023/01/01;1200 UTC;;935.8;935.8;935.1;569.6;21.8;19.5;21.8;21.2;19.7;19.4;90.0;86.0;87.0;166.0;2.6;1.1
2023/01/01;1300 UTC;;935.7;935.8;935.7;658.2;22.6;19.6;22.6;21.8;20.0;19.2;87.0;83.0;83.0;69.0;3.2;1.9
2023/01/01;1400 UTC;;935.3;935.7;935.3;1341.9;23.9;20.1;23.9;22.5;20.1;19.3;83.0;79.0;79.0;35.0;5.5;3.2
2023/01/01;1500 UTC;;934.8;935.3;934.8;1714.2;25.2;20.1;25.2;23.7;20.4;19.0;79.0;72.0;73.0;63.0;5.6;2.3
2023/01/01;1600 UTC;;934.1;934.8;934.1;2603.5;25.8;19.4;26.6;24.8;20.6;18.9;75.0;66.0;68.0;54.0;4.6;2.3
2023/01/01;1700 UTC;;933.1;934.1;933.1;2569.0;27.6;18.4;28.5;25.8;21.3;18.4;72.0;57.0;57.0;26.0;4.5;2.0
2023/01/01;1800 UTC;;931.9;933.1;931.9;2779.7;28.8;17.9;29.3;27.0;20.1;17.4;62.0;51.0;52.0;67.0;5.2;2.8
2023/01/01;1900 UTC;;931.0;931.9;931.0;2643.8;28.8;18.1;29.3;28.5;19.3;17.4;57.0;50.0;52.0;19.0;6.3;2.6
2023/01/01;2000 UTC;;930.8;931.0;930.6;1554.5;27.5;19.3;29.4;27.3;19.9;17.9;62.0;51.0;61.0;118.0;5.7;2.6
2023/01/01;2100 UTC;;931.0;931.0;930.8;485.4;26.7;17.1;27.6;25.1;20.2;16.8;66.0;55.0;56.0;20.0;8.5;2.3
2023/01/01;2200 UTC;;931.7;931.7;930.9;76.5;25.3;19.3;27.0;25.1;19.5;17.2;71.0;56.0;69.0;123.0;3.6;1.3
2023/01/01;2300 UTC;;932.3;932.4;931.7;;23.9;19.6;25.3;23.9;19.8;19.3;77.0;69.0;77.0;109.0;2.7;1.1
2023/01/02;0000 UTC;;933.1;933.2;932.3;;23.3;19.7;24.1;23.1;19.8;19.3;81.0;75.0;80.0;203.0;2.4;0.9
2023/01/02;0100 UTC;;933.7;933.7;933.0;;23.3;19.2;23.8;23.2;19.7;18.5;80.0;73.0;78.0;239.0;3.3;1.8
2023/01/02;0200 UTC;;934.1;934.2;933.7;;23.2;19.1;23.9;22.8;19.4;18.8;80.0;73.0;78.0;145.0;5.0;2.5
2023/01/02;0300 UTC;;933.5;934.1;933.5;;22.7;19.1;23.4;22.6;19.2;19.0;81.0;77.0;80.0;3.0;5.1;1.3
2023/01/02;0400 UTC;;932.6;933.4;932.6;;22.9;18.8;23.4;22.7;19.2;18.7;80.0;76.0;78.0;30.0;4.5;2.2
2023/01/02;0500 UTC;;;;;;;;;;;;;;;;;
2023/01/02;0600 UTC;;932.0;932.1;931.8;;21.1;18.7;22.1;21.1;19.2;18.7;87.0;81.0;86.0;239.0;2.8;1.3
2023/01/02;0700 UTC;;932.3;932.3;932.0;;20.9;18.5;21.4;20.9;19.0;18.5;87.0;85.0;87.0;225.0;2.0;1.1
2023/01/02;0800 UTC;;932.4;932.4;932.2;;20.7;18.4;21.5;20.7;18.9;18.4;87.0;85.0;87.0;228.0;2.6;1.8
2023/01/02;0900 UTC;;932.9;932.9;932.4;6.7;21.1;18.8;21.3;20.7;18.9;18.5;87.0;85.0;87.0;165.0;2.6;1.0
2023/01/02;1000 UTC;;933.7;933.7;932.9;220.0;21.9;19.1;21.9;21.1;19.1;18.8;87.0;84.0;84.0;182.0;2.8;0.8
2023/01/02;1100 UTC;;933.6;934.0;933.6;1102.8;24.0;18.8;24.3;21.8;19.9;18.7;85.0;72.0;73.0;47.0;6.5;4.2
2023/01/02;1200 UTC;;933.8;933.9;933.6;2219.8;25.5;18.0;25.6;24.0;19.5;18.0;74.0;63.0;64.0;34.0;7.2;4.8
2023/01/02;1300 UTC;;934.1;934.1;933.8;3032.1;26.8;18.4;27.6;25.3;19.5;18.0;65.0;58.0;60.0;31.0;8.6;4.9
2023/01/02;1400 UTC;;933.9;934.1;933.9;2287.2;27.4;18.0;27.7;26.0;19.1;17.4;62.0;56.0;57.0;37.0;8.6;4.7
2023/01/02;1500 UTC;;933.0;933.9;933.0;2874.1;28.3;17.6;28.8;27.2;18.9;16.7;57.0;52.0;52.0;39.0;8.6;4.9
2023/01/02;1600 UTC;;931.9;933.0;931.9;3048.6;29.0;17.9;29.3;27.7;18.6;17.0;56.0;49.0;51.0;33.0;8.5;3.5
2023/01/02;1700 UTC;;930.6;931.9;930.6;2467.9;28.6;16.1;29.8;28.3;18.2;16.1;52.0;46.0;47.0;17.0;7.8;4.7
2023/01/02;1800 UTC;;929.8;930.6;929.7;2855.6;30.0;15.7;30.1;28.5;17.4;15.5;50.0;41.0;42.0;22.0;8.1;4.0
2023/01/02;1900 UTC;;928.6;929.8;928.6;2283.5;29.2;15.0;30.9;29.2;17.6;14.5;47.0;39.0;42.0;49.0;7.4;3.2
2023/01/02;2000 UTC;;928.2;928.6;928.2;796.0;28.9;16.3;29.5;28.9;16.4;14.6;47.0;41.0;46.0;38.0;6.3;3.8
2023/01/02;2100 UTC;;928.5;928.5;928.1;532.1;28.5;17.2;29.0;28.4;17.4;16.0;51.0;46.0;51.0;57.0;5.7;3.1
2023/01/02;2200 UTC;;929.5;929.6;928.5;80.8;26.8;18.0;28.5;26.8;18.0;17.2;59.0;51.0;59.0;122.0;5.2;0.8
2023/01/02;2300 UTC;;929.9;929.9;929.4;;25.4;18.7;26.8;25.3;18.9;17.9;67.0;58.0;66.0;222.0;2.2;0.8
2023/01/03;0000 UTC;;931.2;931.2;929.9;;24.6;18.5;25.6;24.6;18.9;18.1;69.0;64.0;69.0;237.0;2.6;2.0
2023/01/03;0100 UTC;;;;;;;;;;;;;;;;;
2023/01/03;0200 UTC;;931.5;931.6;931.4;;24.5;18.9;25.1;24.5;18.9;18.4;71.0;67.0;71.0;194.0;1.9;1.2
2023/01/03;0300 UTC;;931.1;931.5;931.1;;24.0;18.5;24.5;24.0;19.0;18.5;73.0;71.0;71.0;163.0;3.1;1.7
2023/01/03;0400 UTC;;931.0;931.1;930.8;;21.3;19.5;24.0;21.3;19.5;18.5;89.0;71.0;89.0;249.0;8.3;4.8
2023/01/03;0500 UTC;;931.4;931.6;930.9;0.9;19.5;19.3;21.5;19.5;20.0;18.7;99.0;89.0;99.0;287.0;12.1;4.2
2023/01/03;0600 UTC;;931.9;931.9;931.2;;19.2;18.9;19.7;18.9;19.5;18.7;99.0;98.0;98.0;158.0;7.6;1.1
2023/01/03;0700 UTC;;931.7;932.2;931.7;;19.0;18.7;19.2;18.8;18.9;18.6;99.0;98.0;98.0;236.0;2.8;1.5
2023/01/03;0800 UTC;;931.2;931.7;930.7;;19.7;19.4;19.8;18.9;19.4;18.6;98.0;98.0;98.0;238.0;5.7;1.6
2023/01/03;0900 UTC;;931.5;931.5;931.2;0.5;19.8;19.5;19.8;19.4;19.5;19.1;98.0;98.0;98.0;225.0;4.0;2.2
2023/01/03;1000 UTC;;932.3;932.3;931.5;77.2;19.7;19.5;20.1;19.3;19.8;19.0;98.0;98.0;98.0;118.0;4.0;1.7
2023/01/03;1100 UTC;;933.3;933.4;932.3;341.9;20.4;20.1;20.4;19.7;20.2;19.4;99.0;98.0;98.0;40.0;6.3;3.6
2023/01/03;1200 UTC;;933.5;933.5;933.3;1063.5;21.9;21.7;21.9;20.4;21.7;20.1;99.0;98.0;99.0;77.0;5.5;2.4
2023/01/03;1300 UTC;;934.4;934.4;933.5;705.8;21.7;19.3;22.4;21.6;22.0;19.2;99.0;86.0;86.0;153.0;4.5;0.9
2023/01/03;1400 UTC;;934.3;934.5;934.3;1442.3;23.5;19.6;23.5;21.7;20.2;18.9;88.0;77.0;79.0;113.0;3.8;1.7
2023/01/03;1500 UTC;;933.7;934.3;933.7;1435.1;23.4;19.6;24.4;23.3;20.3;18.8;79.0;73.0;79.0;89.0;3.8;1.8
2023/01/03;1600 UTC;;932.8;933.7;932.8;1458.9;23.8;19.5;24.5;23.2;20.5;19.0;80.0;75.0;77.0;39.0;5.9;3.2
2023/01/03;1700 UTC;;931.4;932.8;931.4;2753.0;25.2;19.7;26.5;23.5;20.6;18.9;78.0;66.0;72.0;43.0;5.8;2.6
2023/01/03;1800 UTC;;930.4;931.4;930.4;2637.1;26.9;20.5;26.9;24.9;21.5;18.8;76.0;64.0;68.0;92.0;5.3;2.4
2023/01/03;1900 UTC;;930.0;930.4;930.0;1293.2;26.1;20.0;26.9;25.7;20.5;18.6;72.0;64.0;69.0;81.0;5.6;3.2
2023/01/03;2000 UTC;;930.1;930.2;929.9;516.5;24.5;19.9;26.1;24.5;20.2;19.2;76.0;68.0;75.0;323.0;5.8;2.7
2023/01/03;2100 UTC;;930.6;930.6;929.9;39.7;22.6;21.1;24.5;21.8;21.1;19.6;92.0;74.0;91.0;271.0;5.4;2.0
2023/01/03;2200 UTC;;931.6;931.6;930.6;5.4;21.4;19.8;22.6;21.4;21.0;19.8;91.0;86.0;90.0;233.0;4.4;1.8
2023/01/03;2300 UTC;;932.1;932.1;931.6;;21.1;19.2;21.4;21.0;19.7;19.1;91.0;89.0;89.0;237.0;3.6;1.9
2023/01/04;0000 UTC;;932.5;932.5;932.1;;20.6;19.2;21.1;20.6;19.4;19.0;92.0;88.0;92.0;149.0;3.0;1.0
2023/01/04;0100 UTC;;933.2;933.2;932.5;;20.9;19.4;21.0;20.6;19.5;19.2;92.0;90.0;91.0;243.0;1.6;0.7
2023/01/04;0200 UTC;;933.2;933.3;933.1;;20.7;19.4;21.0;20.6;19.7;19.2;92.0;91.0;92.0;359.0;1.6;0.4
2023/01/04;0300 UTC;;932.4;933.2;932.4;;20.4;19.1;20.8;20.3;19.5;19.0;93.0;92.0;92.0;194.0;1.4;0.6
2023/01/04;0400 UTC;;931.9;932.4;931.9;;20.8;19.6;20.8;20.4;19.6;19.1;93.0;92.0;93.0;31.0;1.6;1.2
2023/01/04;0500 UTC;;931.4;931.9;931.4;;20.9;19.7;20.9;20.4;19.7;19.2;93.0;92.0;93.0;36.0;2.0;1.2
2023/01/04;0600 UTC;;;;;;;;;;;;;;;;;
2023/01/04;0700 UTC;;931.4;931.4;931.3;;21.1;20.9;21.1;21.0;20.9;20.7;99.0;98.0;98.0;357.0;3.8;1.4
2023/01/04;0800 UTC;;931.4;931.4;931.3;;21.3;21.0;21.3;21.1;21.0;20.8;98.0;98.0;98.0;40.0;3.5;1.9
2023/01/04;0900 UTC;;932.1;932.1;931.4;7.2;21.3;21.0;21.3;21.2;21.1;21.0;99.0;98.0;99.0;349.0;2.8;0.7
2023/01/04;1000 UTC;;932.7;932.7;932.1;130.8;21.8;21.6;21.8;21.3;21.6;21.0;99.0;99.0;99.0;349.0;2.2;1.4
2023/01/04;1100 UTC;;933.2;933.2;932.7;431.2;22.4;19.6;22.5;21.8;21.6;19.5;99.0;84.0;84.0;7.0;3.9;2.3
2023/01/04;1200 UTC;;933.8;933.8;933.2;986.4;23.8;19.4;23.8;22.4;19.8;19.2;85.0;76.0;76.0;356.0;4.5;2.8
2023/01/04;1300 UTC;;933.8;933.9;933.8;1570.6;25.5;20.5;25.5;23.8;20.6;19.2;77.0;73.0;74.0;27.0;5.0;2.8
2023/01/04;1400 UTC;;933.5;933.8;933.5;1253.5;25.2;19.6;25.5;24.9;20.1;19.4;74.0;71.0;71.0;358.0;5.8;3.5
2023/01/04;1500 UTC;;932.6;933.6;932.6;1526.1;25.9;19.8;26.4;25.2;20.4;19.5;73.0;67.0;69.0;27.0;6.6;3.2
2023/01/04;1600 UTC;;931.6;932.6;931.6;2410.8;27.4;19.3;28.2;25.7;20.7;18.6;70.0;58.0;61.0;22.0;6.9;3.7
2023/01/04;1700 UTC;;930.5;931.6;930.5;1667.1;26.9;20.7;28.1;26.6;21.0;18.8;71.0;60.0;69.0;57.0;6.9;3.2
2023/01/04;1800 UTC;;930.3;930.9;930.3;302.5;22.4;19.4;26.9;21.4;20.5;19.0;88.0;67.0;84.0;197.0;7.6;2.0
2023/01/04;1900 UTC;;929.9;930.4;929.9;502.6;23.2;20.4;23.2;22.2;20.9;19.8;90.0;84.0;84.0;210.0;3.9;1.0
2023/01/04;2000 UTC;;929.3;929.9;929.2;635.1;24.4;20.5;24.4;23.1;21.1;20.2;84.0;78.0;79.0;261.0;2.3;1.0
2023/01/04;2100 UTC;;929.5;929.5;929.2;518.4;25.0;20.8;25.3;24.4;20.8;19.7;79.0;72.0;78.0;330.0;2.4;1.0
2023/01/04;2200 UTC;;930.4;930.4;929.5;63.1;23.3;18.5;25.0;23.3;20.9;17.8;79.0;65.0;75.0;318.0;5.9;1.1
2023/01/04;2300 UTC;;931.0;931.0;930.4;;21.6;19.1;23.3;21.4;19.2;18.5;87.0;74.0;86.0;243.0;3.5;1.9
2023/01/05;0000 UTC;;931.8;931.8;931.0;;21.2;19.6;21.6;21.0;19.6;19.1;91.0;86.0;91.0;256.0;3.5;1.4
2023/01/05;0100 UTC;;932.3;932.3;931.8;;21.4;19.8;21.4;21.0;19.8;19.5;91.0;90.0;91.0;8.0;2.3;0.6
2023/01/05;0200 UTC;;932.6;932.6;932.3;;20.9;19.7;21.4;20.9;19.9;19.6;93.0;91.0;93.0;157.0;2.0;0.8
2023/01/05;0300 UTC;;932.4;932.7;932.3;;21.3;20.1;21.3;20.9;20.1;19.7;93.0;93.0;93.0;340.0;1.6;0.6
2023/01/05;0400 UTC;;931.8;932.4;931.8;;21.5;20.0;21.6;21.3;20.2;20.0;93.0;91.0;91.0;336.0;2.2;1.1
2023/01/05;0500 UTC;;931.0;931.8;931.0;;21.1;19.7;21.5;21.1;20.0;19.6;92.0;91.0;92.0;23.0;2.3;0.8
2023/01/05;0600 UTC;;930.9;931.0;930.7;;21.1;19.8;21.1;20.7;19.8;19.4;93.0;92.0;92.0;23.0;1.6;0.8
2023/01/05;0700 UTC;;930.9;931.0;930.8;;20.6;19.5;21.1;20.4;19.9;19.1;93.0;92.0;93.0;21.0;1.5;0.6
2023/01/05;0800 UTC;;931.0;931.0;930.9;;21.1;19.6;21.6;20.6;20.2;19.2;94.0;90.0;91.0;2.0;2.5;1.5
2023/01/05;0900 UTC;;931.4;931.4;931.0;9.5;20.7;19.4;22.1;20.7;19.9;18.9;92.0;83.0;92.0;136.0;2.8;0.9
2023/01/05;1000 UTC;;932.0;932.0;931.4;290.6;22.1;20.2;22.1;20.7;20.3;19.4;94.0;89.0;89.0;29.0;3.2;1.1
2023/01/05;1100 UTC;;932.5;932.5;932.0;555.6;22.7;20.0;22.7;22.0;20.2;19.7;89.0;84.0;84.0;44.0;2.9;1.1
2023/01/05;1200 UTC;;933.2;933.2;932.5;1270.0;24.5;20.3;24.5;22.7;20.5;19.8;85.0;77.0;77.0;82.0;2.3;0.9
2023/01/05;1300 UTC;;933.3;933.4;933.2;2267.9;26.2;19.0;26.4;24.5;20.9;18.4;79.0;65.0;65.0;273.0;6.3;2.8
2023/01/05;1400 UTC;;932.9;933.3;932.9;2181.6;26.5;17.6;26.9;26.0;19.9;17.3;67.0;57.0;58.0;301.0;6.7;3.4
2023/01/05;1500 UTC;;932.0;932.9;932.0;3233.6;27.9;18.8;28.0;26.5;19.0;17.1;59.0;55.0;58.0;304.0;6.8;4.2
2023/01/05;1600 UTC;;931.4;932.0;931.4;2509.2;25.5;18.6;28.6;24.9;20.0;17.8;74.0;55.0;66.0;283.0;9.9;2.9
2023/01/05;1700 UTC;;930.4;931.4;930.3;3269.9;29.1;19.0;29.1;25.5;19.9;17.9;66.0;52.0;54.0;336.0;5.8;2.3
2023/01/05;1800 UTC;;929.3;930.4;929.3;2336.2;29.7;19.3;29.7;28.2;20.3;18.0;58.0;53.0;54.0;300.0;6.2;3.2
2023/01/05;1900 UTC;;928.6;929.3;928.6;2663.6;29.4;18.6;30.3;29.1;19.8;18.0;54.0;48.0;52.0;9.0;6.4;1.8
2023/01/05;2000 UTC;;928.8;928.8;928.5;793.6;24.4;20.8;29.7;23.4;21.3;18.3;83.0;51.0;80.0;291.0;10.0;2.7
2023/01/05;2100 UTC;;929.4;929.5;928.9;347.6;22.7;20.6;24.6;22.5;21.4;19.8;90.0;80.0;88.0;68.0;10.1;0.6
2023/01/05;2200 UTC;;930.2;930.2;929.3;26.6;22.7;19.8;23.1;22.5;20.8;19.7;88.0;83.0;84.0;327.0;6.6;3.5
2023/01/05;2300 UTC;;931.3;931.3;930.2;;21.7;20.0;22.7;21.7;20.3;19.4;90.0;83.0;90.0;286.0;7.3;4.3
2023/01/06;0000 UTC;;932.2;932.2;931.3;;21.5;19.5;21.7;21.4;20.2;19.5;91.0;88.0;88.0;304.0;6.5;3.2
2023/01/06;0100 UTC;;932.5;932.6;932.2;;21.2;19.5;21.5;20.7;19.6;19.1;91.0;88.0;90.0;17.0;5.7;1.7
2023/01/06;0200 UTC;;932.9;933.0;932.5;;21.3;19.8;21.5;21.0;20.0;19.4;92.0;89.0;91.0;350.0;4.0;2.5
2023/01/06;0300 UTC;;932.4;932.9;932.4;;21.0;19.6;21.3;21.0;19.9;19.6;92.0;91.0;92.0;356.0;4.5;1.8
2023/01/06;0400 UTC;;931.7;932.4;931.7;;20.8;19.6;21.1;20.8;19.8;19.5;93.0;92.0;92.0;358.0;5.5;3.8
2023/01/06;0500 UTC;;931.0;931.7;930.9;;21.1;19.8;21.2;20.9;19.9;19.6;93.0;92.0;92.0;43.0;5.5;1.2
2023/01/06;0600 UTC;;931.5;931.7;931.0;;20.7;19.7;21.3;20.7;20.2;19.6;94.0;92.0;94.0;187.0;4.2;1.0
2023/01/06;0700 UTC;;931.4;931.7;931.1;;20.2;19.5;20.7;20.2;20.1;19.5;96.0;94.0;96.0;295.0;4.9;0.6
2023/01/06;0800 UTC;;931.7;931.7;931.4;;20.3;19.8;20.5;20.2;19.9;19.5;97.0;96.0;97.0;117.0;1.5;0.6
2023/01/06;0900 UTC;;932.3;932.3;931.7;0.7;20.4;20.2;20.4;20.3;20.2;19.8;99.0;97.0;99.0;85.0;1.5;1.0
2023/01/06;1000 UTC;;932.8;932.8;932.3;100.4;21.1;20.9;21.1;20.4;20.9;20.2;99.0;99.0;99.0;24.0;1.6;1.1
2023/01/06;1100 UTC;;933.4;933.4;932.8;179.6;21.4;21.0;21.4;21.1;21.1;20.9;99.0;98.0;98.0;43.0;3.4;2.0
2023/01/06;1200 UTC;;934.1;934.1;933.4;433.6;22.0;20.7;22.0;21.4;21.2;20.6;98.0;92.0;92.0;37.0;3.7;2.1
2023/01/06;1300 UTC;;934.3;934.3;934.1;791.8;22.8;20.7;22.8;22.0;20.9;20.4;92.0;87.0;88.0;339.0;4.0;2.2
2023/01/06;1400 UTC;;934.1;934.4;934.1;1045.0;23.3;20.8;23.3;22.4;20.9;20.2;89.0;84.0;85.0;339.0;6.2;3.4
2023/01/06;1500 UTC;;933.6;934.1;933.6;1135.2;23.1;20.4;23.4;23.1;20.8;20.2;86.0;83.0;85.0;339.0;6.2;3.2
