Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;978.8;978.8;978.2;;28.5;12.7;30.7;27.9;14.3;11.7;43.0;31.0;38.0;125.0;2.9;1.4
2023/01/01;0100 UTC;0.0;979.3;979.3;978.8;;27.3;12.0;28.5;27.2;13.2;12.0;42.0;38.0;39.0;117.0;3.7;2.2
2023/01/01;0200 UTC;0.0;979.6;979.7;979.3;;25.8;12.0;27.4;25.8;12.6;11.9;43.0;38.0;42.0;110.0;3.9;1.4
2023/01/01;0300 UTC;0.0;979.8;979.8;979.6;;25.0;12.0;26.1;25.0;12.0;11.5;44.0;40.0;44.0;107.0;3.6;1.6
2023/01/01;0400 UTC;0.0;979.7;979.8;979.6;;23.8;12.6;25.2;23.8;12.6;11.8;49.0;43.0;49.0;100.0;3.3;1.5
2023/01/01;0500 UTC;0.0;979.4;979.7;979.4;;23.2;13.0;24.2;22.9;13.4;12.5;55.0;49.0;53.0;90.0;3.3;1.2
2023/01/01;0600 UTC;0.0;979.0;979.4;979.0;;22.8;13.2;23.2;22.6;13.3;13.0;56.0;53.0;55.0;82.0;2.6;1.6
2023/01/01;0700 UTC;0.0;979.0;979.0;978.8;;22.6;13.5;22.9;22.4;13.5;13.1;57.0;54.0;56.0;93.0;3.6;1.9
2023/01/01;0800 UTC;0.0;979.4;979.4;979.0;;22.7;13.9;22.9;22.3;13.9;13.5;58.0;56.0;58.0;107.0;3.6;1.6
2023/01/01;0900 UTC;0.0;979.9;979.9;979.4;5.1;23.0;14.8;23.8;22.4;15.8;13.8;64.0;53.0;60.0;108.0;3.0;1.1
2023/01/01;1000 UTC;0.0;980.3;980.3;979.9;199.2;25.4;15.1;25.4;23.0;15.2;14.0;60.0;53.0;53.0;75.0;3.2;1.2
2023/01/01;1100 UTC;0.0;980.5;980.7;980.3;668.0;27.4;16.7;27.4;25.4;16.9;15.1;58.0;52.0;52.0;60.0;5.9;2.4
2023/01/01;1200 UTC;0.0;980.9;980.9;980.5;1967.3;29.7;18.3;29.7;27.4;18.4;16.6;53.0;49.0;50.0;54.0;6.2;2.6
2023/01/01;1300 UTC;0.0;980.6;980.9;980.6;2506.1;30.9;19.2;31.2;29.7;19.8;18.1;53.0;49.0;50.0;16.0;7.5;3.2
2023/01/01;1400 UTC;0.0;980.4;980.6;980.4;2901.3;32.1;19.1;32.4;30.6;20.0;18.7;51.0;45.0;46.0;23.0;7.6;2.8
2023/01/01;1500 UTC;0.0;979.9;980.4;979.9;3618.6;33.6;20.4;33.6;32.1;20.4;18.0;47.0;41.0;46.0;357.0;8.2;2.8
2023/01/01;1600 UTC;0.0;979.0;979.9;979.0;3767.3;33.9;18.4;34.8;32.6;20.4;18.0;47.0;39.0;40.0;346.0;7.8;3.1
