data;umidade_observada;umidade_prevista
2023-10-20;44.44;44.606
2023-10-21;65.043;49.534
2023-10-22;65.6;69.186
2023-10-23;49.571;64.283
2023-10-24;57.854;50.458
2023-10-25;60.615;62.011
2023-10-26;66.733;62.134
2023-10-27;70.84;68.121
2023-10-28;79.772;70.901
2023-10-29;65.648;79.066
2023-10-30;58.511;63.176
2023-10-31;63.129;60.604
2023-11-01;66.022;65.78
2023-11-02;74.767;67.542
2023-11-03;78.774;75.735
2023-11-04;77.133;77.719
2023-11-05;76.606;75.701
2023-11-06;68.115;75.892
2023-11-07;61.479;67.52
2023-11-08;54.74;63.415
2023-11-09;35.562;57.8
2023-11-10;34.532;40.429
2023-11-11;35.389;43.998
2023-11-12;39.44;43.716
2023-11-13;50.868;47.947
2023-11-14;45.064;58.086
2023-11-15;47.809;49.712
2023-11-16;51.766;54.709
2023-11-17;57.14;57.196
2023-11-18;64.077;62.084
2023-11-19;59.169;67.569
2023-11-20;81.462;61.414
2023-11-21;79.744;85.179
2023-11-22;77.835;77.116
2023-11-23;72.222;77.834
2023-11-24;70.089;71.594
2023-11-25;70.452;71.662
2023-11-26;66.043;71.456
2023-11-27;79.886;67.678
2023-11-28;68.835;81.89
2023-11-29;65.484;67.626
2023-11-30;68.44;67.95
2023-12-01;73.088;70.621
2023-12-02;72.352;74.655
2023-12-03;78.867;72.772
2023-12-04;78.27;79.854
2023-12-05;80.901;77.207
2023-12-06;71.489;80.801
2023-12-07;54.626;70.236
2023-12-08;44.978;56.698
2023-12-09;50.978;50.122
2023-12-10;50.902;58.022
2023-12-11;70.37;55.421
2023-12-12;74.82;75.818
2023-12-13;64.78;74.365
2023-12-14;48.587;65.557
2023-12-15;37.793;51.069
2023-12-16;38.149;44.612
2023-12-17;47.421;45.838
2023-12-18;58.135;55.268
2023-12-19;71.717;62.863
2023-12-20;78.593;74.967
2023-12-21;88.191;78.078
2023-12-22;80.602;87.419
2023-12-23;78.719;76.828
2023-12-24;75.719;78.392
2023-12-25;72.143;74.295
2023-12-26;72.36;72.503
2023-12-27;70.281;72.49
2023-12-28;74.659;71.067
2023-12-29;72.6;75.183
2023-12-30;79.289;72.608
2023-12-31;79.883;79.451
2024-01-01;77.875;78.67
2024-01-02;85.969;76.555
2024-01-03;90.333;85.497
2024-01-04;90.458;87.156
2024-01-05;89.882;87.287
2024-01-06;80.853;86.337
2024-01-07;79.745;77.985
2024-01-08;86.253;78.784
2024-01-09;81.309;85.299
2024-01-10;86.526;78.454
2024-01-11;81.67;85.775
2024-01-12;73.38;78.677
2024-01-13;78.163;72.773
2024-01-14;82.266;78.621
2024-01-15;79.247;81.555
2024-01-16;74.263;77.505
2024-01-17;64.726;73.966
2024-01-18;68.441;65.098
2024-01-19;69.5;71.44
2024-01-20;66.447;70.437
2024-01-21;74.032;68.123
2024-01-22;81.714;75.86
2024-01-23;82.229;81.829
2024-01-24;86.204;80.525
2024-01-25;84.17;85.167
2024-01-26;86.677;81.62
2024-01-27;80.859;85.45
2024-01-28;84.537;78.29
2024-01-29;80.054;84.289
2024-01-30;78.301;77.788
2024-01-31;83.926;78.321
2024-02-01;79.606;83.204
2024-02-02;74.57;78.197
2024-02-03;74.287;74.085
2024-02-04;71.505;75.263
2024-02-05;79.862;71.805
2024-02-06;82.14;81.408
2024-02-07;77.347;80.739
2024-02-08;82.14;76.675
2024-02-09;81.849;82.042
2024-02-10;88.4;80.733
2024-02-11;90.723;87.3
2024-02-12;76.915;88.143
2024-02-13;62.692;74.083
2024-02-14;61.179;63.841
2024-02-15;68.667;64.733
2024-02-16;78.457;72.092
2024-02-17;82.656;79.695
2024-02-18;83.609;82.06
2024-02-19;85.968;82.255
2024-02-20;91.916;84.696
2024-02-21;89.095;89.834
2024-02-22;82.396;85.803
2024-02-23;83.16;80.154
2024-02-24;76.33;82.457
2024-02-25;72.375;74.939
