Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;936.9;937.0;935.2;;23.2;20.5;26.0;23.2;21.0;20.4;85.0;73.0;85.0;273.0;7.7;2.9
2019/01/01;0100 UTC;0.2;937.6;937.6;936.9;;22.1;19.0;23.2;22.1;20.7;19.0;87.0;80.0;83.0;330.0;6.1;0.9
2019/01/01;0200 UTC;1.6;938.2;938.5;937.6;;21.6;20.0;22.2;21.4;20.2;19.0;92.0;82.0;91.0;99.0;3.2;1.6
2019/01/01;0300 UTC;1.8;937.4;938.2;937.4;;21.7;20.9;21.7;21.2;20.9;19.9;95.0;90.0;95.0;355.0;4.4;2.5
2019/01/01;0400 UTC;2.6;936.4;937.4;936.4;;21.5;20.8;22.1;21.4;21.0;20.7;96.0;94.0;96.0;304.0;6.4;1.2
2019/01/01;0500 UTC;0.2;935.9;936.4;935.8;;21.5;20.9;22.3;21.3;21.3;20.6;96.0;94.0;96.0;270.0;5.3;0.0
2019/01/01;0600 UTC;0.0;936.7;936.7;935.9;;22.2;20.9;22.3;21.4;21.5;20.8;96.0;92.0;93.0;324.0;3.5;1.8
2019/01/01;0700 UTC;0.0;937.1;937.1;936.6;;21.6;20.1;22.2;21.5;20.9;20.0;93.0;90.0;91.0;340.0;5.9;2.0
2019/01/01;0800 UTC;0.0;937.4;937.4;937.1;;21.3;19.9;21.7;21.2;20.1;19.8;92.0;90.0;92.0;355.0;3.8;1.9
2019/01/01;0900 UTC;0.0;938.0;938.0;937.4;;21.2;19.4;21.4;21.2;19.9;19.3;92.0;89.0;89.0;359.0;3.7;2.0
2019/01/01;1000 UTC;0.0;939.4;939.4;938.0;275.3;21.5;18.8;21.5;21.0;19.4;18.6;89.0;84.0;85.0;2.0;6.3;2.6
2019/01/01;1100 UTC;0.0;940.2;940.3;939.3;885.2;23.0;19.7;23.2;21.5;20.1;18.8;85.0;81.0;82.0;319.0;6.9;2.8
2019/01/01;1200 UTC;0.0;940.9;940.9;940.2;1431.8;23.3;19.9;23.6;22.8;20.5;19.6;85.0;80.0;81.0;305.0;6.0;3.1
2019/01/01;1300 UTC;0.0;940.6;940.9;940.6;1563.3;24.5;20.3;24.8;23.3;20.6;19.7;82.0;76.0;78.0;316.0;6.0;3.3
2019/01/01;1400 UTC;0.0;940.2;940.7;940.2;2598.1;26.5;19.9;26.7;24.3;21.0;19.6;79.0;66.0;67.0;320.0;7.9;4.6
2019/01/01;1500 UTC;0.0;939.6;940.2;939.6;3210.9;28.1;20.3;28.1;26.0;20.6;19.4;71.0;62.0;63.0;329.0;7.9;4.3
2019/01/01;1600 UTC;0.0;938.8;939.6;938.8;3597.9;28.4;19.8;29.2;27.3;21.4;18.9;66.0;57.0;60.0;311.0;8.7;3.3
2019/01/01;1700 UTC;0.0;937.9;938.8;937.9;3121.3;29.0;18.7;29.4;27.8;20.6;18.6;63.0;54.0;54.0;303.0;8.0;3.6
2019/01/01;1800 UTC;0.0;937.1;937.9;937.1;2502.3;29.5;18.7;30.2;29.0;20.1;18.6;57.0;51.0;52.0;325.0;7.0;3.1
2019/01/01;1900 UTC;0.0;936.3;937.0;936.3;2347.3;30.2;19.2;30.6;28.5;20.1;18.2;56.0;50.0;52.0;321.0;6.9;3.6
2019/01/01;2000 UTC;0.0;936.3;936.4;936.3;876.1;28.5;19.2;30.2;26.6;19.4;18.5;65.0;51.0;57.0;330.0;8.1;1.1
2019/01/01;2100 UTC;0.0;936.3;936.3;935.9;1100.9;28.2;19.4;29.7;28.2;20.1;18.4;60.0;51.0;59.0;359.0;5.5;1.7
2019/01/01;2200 UTC;0.0;937.2;937.2;936.3;117.6;26.5;19.0;28.2;26.2;20.6;19.0;71.0;59.0;63.0;22.0;5.9;2.4
2019/01/01;2300 UTC;0.0;938.0;938.0;937.2;;24.7;18.3;26.5;24.7;19.0;18.3;70.0;63.0;67.0;27.0;4.6;1.2
2019/01/02;0000 UTC;0.0;939.0;939.0;938.0;;24.6;18.9;24.8;24.2;18.9;18.3;72.0;67.0;70.0;25.0;4.4;1.7
2019/01/02;0100 UTC;0.0;940.0;940.0;939.0;;23.5;19.6;24.7;23.5;19.6;18.8;78.0;70.0;78.0;329.0;5.0;2.0
2019/01/02;0200 UTC;0.0;940.0;940.3;940.0;;22.8;19.5;23.9;22.8;19.8;19.5;82.0;78.0;82.0;324.0;3.8;1.6
2019/01/02;0300 UTC;0.0;939.5;940.0;939.5;;22.1;19.8;23.4;22.1;20.2;19.5;87.0;81.0;87.0;286.0;3.6;0.9
2019/01/02;0400 UTC;0.0;939.3;939.6;939.3;;21.8;19.9;22.1;21.7;20.1;19.7;89.0;87.0;89.0;292.0;2.7;0.6
2019/01/02;0500 UTC;0.0;938.8;939.3;938.7;;21.7;20.0;22.0;21.6;20.2;19.7;91.0;89.0;90.0;281.0;1.6;0.9
2019/01/02;0600 UTC;0.0;938.6;938.9;938.6;;22.5;19.9;22.5;21.7;20.2;19.9;90.0;85.0;85.0;326.0;4.1;1.9
2019/01/02;0700 UTC;0.0;938.8;939.0;938.6;;22.0;19.9;22.5;21.6;20.0;19.7;90.0;85.0;88.0;305.0;4.1;2.1
2019/01/02;0800 UTC;0.0;939.5;939.5;938.8;;21.6;20.0;22.1;21.6;20.1;19.8;91.0;87.0;90.0;282.0;3.3;1.1
2019/01/02;0900 UTC;0.0;940.1;940.1;939.5;;21.8;19.8;22.1;21.2;20.2;19.8;92.0;87.0;88.0;283.0;2.1;1.0
2019/01/02;1000 UTC;0.0;940.8;940.8;940.1;99.5;21.9;20.3;21.9;21.3;20.3;19.7;93.0;88.0;91.0;121.0;2.1;0.6
2019/01/02;1100 UTC;0.0;941.7;941.7;940.8;339.1;22.3;20.5;22.3;21.9;20.7;20.2;91.0;88.0;89.0;128.0;1.4;0.7
2019/01/02;1200 UTC;0.0;942.3;942.3;941.7;904.5;24.3;20.7;24.3;22.3;21.0;20.2;90.0;81.0;81.0;280.0;1.6;0.8
2019/01/02;1300 UTC;0.0;942.4;942.5;942.3;1785.6;25.6;21.2;25.8;24.2;21.4;20.3;81.0;74.0;77.0;205.0;2.5;1.1
2019/01/02;1400 UTC;0.0;941.7;942.4;941.7;2640.0;27.6;20.2;27.8;25.6;22.1;20.2;78.0;64.0;64.0;316.0;5.0;2.7
2019/01/02;1500 UTC;0.0;940.8;941.7;940.8;3989.4;30.2;20.9;30.2;27.5;21.2;18.8;66.0;53.0;57.0;297.0;5.0;1.2
2019/01/02;1600 UTC;0.0;939.9;940.8;939.9;2008.0;30.1;18.9;30.8;29.0;21.2;18.4;59.0;50.0;51.0;6.0;3.7;0.6
2019/01/02;1700 UTC;0.0;939.0;939.9;939.0;1797.1;29.8;20.6;30.7;29.3;21.0;18.1;60.0;47.0;58.0;202.0;4.0;2.0
2019/01/02;1800 UTC;0.0;938.4;939.0;938.2;697.1;27.1;19.6;29.9;27.1;21.3;18.5;64.0;53.0;64.0;90.0;8.8;4.9
2019/01/02;1900 UTC;0.0;937.9;939.2;937.9;770.2;25.6;19.5;27.0;23.1;20.1;18.3;77.0;63.0;69.0;9.0;10.9;0.6
2019/01/02;2000 UTC;0.0;937.1;937.9;937.1;1886.6;26.6;21.1;27.9;25.6;21.4;18.0;72.0;59.0;72.0;177.0;3.9;2.3
2019/01/02;2100 UTC;0.0;937.2;937.3;937.0;1087.7;27.0;20.6;27.3;26.2;21.4;19.9;73.0;66.0;68.0;133.0;3.9;1.0
2019/01/02;2200 UTC;0.0;937.5;937.5;937.1;271.0;24.6;20.7;27.1;24.6;21.5;20.4;79.0;67.0;79.0;143.0;2.7;1.7
2019/01/02;2300 UTC;0.0;938.3;938.3;937.5;;24.2;20.8;24.6;23.6;21.3;20.6;84.0;79.0;82.0;76.0;3.2;1.2
