Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;929.8;929.8;929.1;;22.8;19.1;22.9;22.3;19.2;18.5;82.0;77.0;80.0;39.0;3.4;0.0
2019/01/01;0100 UTC;0.0;930.3;930.3;929.8;;21.6;19.7;22.8;21.6;19.7;19.1;89.0;80.0;89.0;9.0;4.4;0.0
2019/01/01;0200 UTC;0.0;930.2;930.6;930.2;;21.6;19.5;21.7;21.5;19.8;19.5;90.0;88.0;88.0;22.0;0.0;0.0
2019/01/01;0300 UTC;0.0;929.8;930.3;929.8;;21.1;19.4;21.6;21.1;19.5;19.3;90.0;88.0;90.0;95.0;0.0;0.0
2019/01/01;0400 UTC;1.2;929.1;929.8;929.1;;20.9;19.4;21.1;20.9;19.7;19.4;92.0;90.0;91.0;43.0;0.0;0.0
2019/01/01;0500 UTC;0.2;929.1;929.2;929.0;;20.7;19.6;20.9;20.6;19.7;19.4;93.0;91.0;93.0;145.0;0.0;0.0
2019/01/01;0600 UTC;0.0;929.1;929.2;929.0;;20.5;19.4;20.7;20.4;19.5;19.3;94.0;93.0;93.0;77.0;0.0;0.0
2019/01/01;0700 UTC;0.0;929.5;929.5;929.0;;20.6;19.5;20.7;20.5;19.5;19.4;93.0;93.0;93.0;63.0;0.0;0.0
2019/01/01;0800 UTC;0.0;930.4;930.4;929.5;;20.5;19.4;20.7;20.5;19.5;19.4;94.0;93.0;94.0;57.0;0.0;0.0
2019/01/01;0900 UTC;0.0;931.1;931.1;930.4;21.2;20.5;19.5;20.7;20.4;19.7;19.4;94.0;93.0;94.0;315.0;0.0;0.0
2019/01/01;1000 UTC;0.0;931.8;931.8;931.1;348.5;21.2;20.1;21.3;20.4;20.2;19.4;94.0;93.0;93.0;264.0;0.0;0.0
2019/01/01;1100 UTC;0.0;932.4;932.4;931.8;754.8;22.9;20.4;22.9;21.0;20.5;19.7;93.0;86.0;86.0;84.0;0.0;0.0
2019/01/01;1200 UTC;0.0;932.7;932.7;932.3;1365.8;23.7;20.3;24.6;22.5;21.1;19.7;88.0;78.0;81.0;26.0;0.0;0.0
2019/01/01;1300 UTC;0.0;932.5;932.8;932.5;2694.8;26.4;19.6;26.7;23.7;21.4;19.4;82.0;66.0;66.0;313.0;0.0;0.0
2019/01/01;1400 UTC;0.8;932.3;932.5;932.3;2062.4;23.8;20.7;27.1;23.7;21.0;19.0;84.0;64.0;82.0;307.0;6.4;1.1
2019/01/01;1500 UTC;3.4;931.5;932.4;931.5;1883.5;26.3;21.1;26.3;23.2;21.9;20.3;87.0;70.0;73.0;211.0;4.2;0.0
2019/01/01;1600 UTC;0.0;930.2;931.5;930.2;2495.8;28.3;19.7;28.7;26.2;21.4;19.2;75.0;59.0;59.0;112.0;0.0;0.0
2019/01/01;1700 UTC;0.0;929.4;930.2;929.4;3104.6;29.3;18.8;30.5;28.4;20.8;16.9;63.0;47.0;53.0;32.0;2.3;0.0
2019/01/01;1800 UTC;0.0;928.7;929.4;928.7;1505.6;28.8;20.0;30.0;28.2;20.3;17.9;61.0;49.0;59.0;134.0;1.4;0.0
2019/01/01;1900 UTC;0.0;928.6;928.7;928.5;1087.0;28.0;19.9;28.8;27.9;19.9;18.7;62.0;55.0;61.0;87.0;5.9;0.9
2019/01/01;2000 UTC;0.0;929.3;929.3;928.6;547.6;23.8;18.8;28.0;23.8;20.9;18.8;73.0;60.0;73.0;254.0;6.3;2.6
2019/01/01;2100 UTC;0.2;930.4;930.5;929.1;418.1;21.2;19.3;23.8;21.2;19.3;18.3;88.0;73.0;88.0;25.0;11.1;4.3
2019/01/01;2200 UTC;12.8;931.4;931.4;930.4;30.5;21.0;20.0;21.2;20.3;20.0;19.2;94.0;89.0;94.0;323.0;10.8;0.0
2019/01/01;2300 UTC;7.2;932.0;932.0;931.3;;20.6;19.6;21.0;20.5;20.0;19.4;94.0;93.0;94.0;67.0;3.9;0.0
2019/01/02;0000 UTC;2.4;932.1;932.1;931.9;;20.9;19.8;21.2;20.6;20.1;19.5;94.0;92.0;94.0;175.0;2.2;0.0
2019/01/02;0100 UTC;0.0;932.2;932.3;932.1;;20.5;19.6;20.9;20.3;19.8;19.3;94.0;94.0;94.0;3.0;0.0;0.0
2019/01/02;0200 UTC;0.2;932.1;932.3;932.0;;20.2;19.2;20.5;20.2;19.5;19.2;94.0;94.0;94.0;176.0;0.0;0.0
2019/01/02;0300 UTC;0.0;931.7;932.1;931.7;;19.8;19.0;20.3;19.8;19.4;19.0;95.0;94.0;95.0;299.0;0.0;0.0
2019/01/02;0400 UTC;0.0;931.1;931.7;931.0;;20.1;19.2;20.1;19.8;19.2;18.9;95.0;95.0;95.0;65.0;0.0;0.0
2019/01/02;0500 UTC;0.0;930.6;931.1;930.6;;20.1;19.2;20.2;19.9;19.3;19.0;95.0;94.0;95.0;37.0;0.0;0.0
2019/01/02;0600 UTC;0.0;930.5;930.6;930.5;;19.7;18.9;20.1;19.7;19.3;18.8;95.0;94.0;95.0;206.0;0.0;0.0
2019/01/02;0700 UTC;0.0;930.7;930.7;930.4;;19.4;18.6;19.8;19.4;18.9;18.6;95.0;95.0;95.0;238.0;0.0;0.0
2019/01/02;0800 UTC;0.0;931.3;931.3;930.7;;19.1;18.3;19.5;19.1;18.7;18.3;95.0;95.0;95.0;332.0;0.0;0.0
2019/01/02;0900 UTC;0.0;932.0;932.0;931.3;16.6;18.7;18.0;19.2;18.7;18.4;18.0;95.0;95.0;95.0;106.0;0.0;0.0
