Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;996.4;996.4;995.6;;28.8;25.5;29.6;28.8;25.9;25.5;83.0;79.0;83.0;150.0;2.0;0.2
2019/01/01;0100 UTC;0.0;997.6;997.6;996.4;;29.1;25.5;29.1;28.5;25.9;25.4;85.0;80.0;81.0;105.0;1.8;0.2
2019/01/01;0200 UTC;0.0;998.3;998.4;997.6;;28.8;24.8;29.2;28.6;25.6;24.8;83.0;78.0;79.0;3.0;3.4;1.2
2019/01/01;0300 UTC;0.0;999.1;999.2;998.3;;27.8;23.8;28.8;27.8;24.9;23.5;80.0;76.0;79.0;330.0;4.6;1.8
2019/01/01;0400 UTC;0.0;997.9;999.1;997.9;;26.8;23.2;27.8;26.8;23.7;23.1;81.0;77.0;81.0;20.0;5.6;0.8
2019/01/01;0500 UTC;0.0;997.7;997.9;997.7;;26.2;23.1;26.8;26.2;23.4;23.1;84.0;81.0;83.0;45.0;2.5;0.9
2019/01/01;0600 UTC;0.0;997.4;997.7;997.4;;26.1;23.4;26.2;26.0;23.4;23.1;85.0;83.0;85.0;22.0;3.3;1.5
2019/01/01;0700 UTC;0.0;997.5;997.5;997.2;;25.7;23.4;26.1;25.7;23.4;23.3;87.0;85.0;87.0;25.0;3.4;1.1
2019/01/01;0800 UTC;0.0;998.1;998.1;997.4;;25.5;23.5;25.7;25.5;23.5;23.4;89.0;87.0;89.0;40.0;3.3;1.5
2019/01/01;0900 UTC;0.0;998.9;998.9;998.1;;25.6;23.6;25.6;25.4;23.7;23.5;89.0;89.0;89.0;29.0;4.4;1.5
2019/01/01;1000 UTC;0.0;999.7;999.7;998.9;38.8;25.8;23.7;25.8;25.5;23.7;23.6;89.0;88.0;88.0;25.0;3.7;1.4
2019/01/01;1100 UTC;0.0;1000.6;1000.6;999.7;270.4;26.8;23.9;26.8;25.8;24.0;23.7;88.0;84.0;84.0;26.0;6.8;2.6
2019/01/01;1200 UTC;0.2;1000.9;1000.9;1000.6;673.9;28.0;24.4;28.0;26.8;24.4;23.8;84.0;80.0;80.0;25.0;6.8;2.6
2019/01/01;1300 UTC;0.0;1000.8;1001.0;1000.6;2022.4;30.2;23.9;30.2;28.1;24.9;23.6;80.0;69.0;69.0;344.0;6.3;2.7
2019/01/01;1400 UTC;0.0;1000.8;1001.0;1000.8;1987.2;30.7;23.6;31.0;29.9;24.9;23.6;72.0;66.0;66.0;347.0;7.1;2.8
2019/01/01;1500 UTC;0.0;1000.4;1000.9;1000.4;2376.3;31.6;24.2;32.0;30.3;25.7;23.5;70.0;63.0;65.0;330.0;6.7;2.6
