Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;954.1;954.1;953.5;;25.7;20.6;26.1;25.0;21.0;20.6;78.0;72.0;73.0;264.0;4.0;0.5
2019/01/01;0100 UTC;0.0;954.8;954.9;954.1;;25.2;20.8;25.9;25.1;21.2;20.5;78.0;72.0;77.0;293.0;2.4;1.4
2019/01/01;0200 UTC;0.0;955.6;955.6;954.8;;24.3;21.5;25.3;24.2;21.5;20.8;84.0;77.0;84.0;304.0;6.3;2.6
2019/01/01;0300 UTC;3.8;955.7;956.0;955.6;;23.2;21.3;24.4;23.2;21.9;21.2;89.0;84.0;89.0;267.0;8.5;1.8
2019/01/01;0400 UTC;0.0;954.9;955.7;954.9;;22.5;20.2;23.2;22.5;21.3;20.0;90.0;85.0;87.0;239.0;5.3;1.8
2019/01/01;0500 UTC;0.0;954.5;954.9;954.2;;21.9;20.1;22.5;21.9;20.3;19.9;90.0;87.0;90.0;284.0;3.8;1.1
2019/01/01;0600 UTC;0.0;954.3;954.5;954.3;;21.9;20.1;22.0;21.6;20.4;19.9;92.0;90.0;90.0;252.0;3.0;1.0
2019/01/01;0700 UTC;0.0;954.9;954.9;954.3;;21.7;20.3;21.9;21.4;20.5;19.9;94.0;89.0;92.0;240.0;3.7;1.9
2019/01/01;0800 UTC;0.0;955.3;955.3;954.9;;22.3;20.7;22.5;21.7;20.8;20.3;92.0;90.0;90.0;279.0;3.8;1.3
2019/01/01;0900 UTC;0.0;956.6;956.6;955.3;;22.7;20.7;22.8;22.3;20.8;20.6;90.0;88.0;88.0;290.0;3.0;1.4
2019/01/01;1000 UTC;0.0;957.8;957.8;956.6;290.9;23.6;21.2;23.6;22.6;21.2;20.7;90.0;86.0;87.0;308.0;3.7;2.3
2019/01/01;1100 UTC;0.0;958.0;958.1;957.8;1102.9;25.5;21.2;25.5;23.5;21.5;20.9;87.0;77.0;77.0;297.0;4.4;2.5
2019/01/01;1200 UTC;0.0;958.7;958.7;958.0;2009.9;27.1;21.0;27.2;25.5;21.6;20.4;77.0;68.0;69.0;305.0;6.7;3.5
2019/01/01;1300 UTC;0.0;958.7;958.8;958.6;2317.4;28.1;21.3;28.1;26.9;21.6;20.2;70.0;65.0;67.0;317.0;7.8;3.1
2019/01/01;1400 UTC;0.0;958.5;958.7;958.5;2847.4;29.0;20.9;29.1;27.5;21.4;19.9;67.0;61.0;62.0;319.0;7.0;3.0
