Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;978.9;979.3;978.5;;28.8;23.8;29.5;28.8;24.3;23.6;75.0;72.0;74.0;286.0;3.1;1.2
2019/01/01;0100 UTC;0.0;980.0;980.0;978.9;;28.2;23.8;28.7;27.7;24.8;23.8;83.0;75.0;77.0;261.0;3.5;1.1
2019/01/01;0200 UTC;0.0;980.4;980.5;980.0;;27.0;24.9;28.2;26.9;24.9;23.9;89.0;77.0;89.0;16.0;2.5;0.9
2019/01/01;0300 UTC;0.0;980.5;980.6;980.4;;27.3;24.5;27.3;26.9;25.0;24.5;89.0;85.0;85.0;304.0;1.7;0.5
2019/01/01;0400 UTC;0.0;980.0;980.6;980.0;;26.8;24.6;27.5;26.8;24.6;24.4;88.0;83.0;88.0;1.0;2.7;1.3
2019/01/01;0500 UTC;0.0;979.6;980.0;979.6;;26.1;24.5;26.9;26.1;24.6;24.5;91.0;87.0;91.0;40.0;3.6;1.7
2019/01/01;0600 UTC;0.0;979.2;979.7;979.2;;25.6;24.7;26.1;25.6;24.7;24.4;94.0;91.0;94.0;2.0;3.2;1.6
2019/01/01;0700 UTC;0.0;980.0;980.0;979.1;;25.3;;25.6;25.3;;;;;;34.0;2.8;1.1
2019/01/01;0800 UTC;0.0;980.6;980.6;980.0;;25.1;24.1;25.3;25.0;;;;;95.0;27.0;3.0;1.5
2019/01/01;0900 UTC;0.0;981.3;981.3;980.5;;24.7;23.9;25.1;24.7;24.2;23.8;96.0;94.0;95.0;42.0;3.0;0.9
