Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;964.7;964.7;963.8;;26.2;22.5;26.6;26.2;22.9;22.5;81.0;78.0;80.0;54.0;5.4;1.8
2019/01/01;0100 UTC;0.0;965.1;965.1;964.6;;26.1;22.6;26.6;26.1;22.8;21.7;82.0;75.0;81.0;110.0;3.4;2.2
2019/01/01;0200 UTC;0.0;965.4;965.7;965.1;;25.8;24.7;26.1;25.5;25.1;22.3;97.0;80.0;93.0;129.0;3.4;1.8
2019/01/01;0300 UTC;0.0;965.2;965.4;965.1;;25.6;22.7;26.3;25.6;24.4;21.7;93.0;76.0;84.0;146.0;2.5;0.7
2019/01/01;0400 UTC;0.0;964.7;965.2;964.6;;24.8;23.1;25.6;24.8;24.6;21.8;97.0;81.0;90.0;49.0;2.9;1.8
2019/01/01;0500 UTC;0.0;964.5;964.7;964.3;;24.8;24.0;25.2;24.6;24.8;22.0;99.0;82.0;96.0;237.0;2.7;0.7
2019/01/01;0600 UTC;0.0;964.6;964.6;964.3;;24.9;24.6;24.9;24.4;24.7;24.0;100.0;96.0;99.0;157.0;2.0;1.5
2019/01/01;0700 UTC;0.0;964.7;964.7;964.5;;25.2;24.6;25.7;24.9;25.1;24.3;99.0;94.0;97.0;91.0;5.8;3.0
2019/01/01;0800 UTC;0.0;966.0;966.0;964.7;;24.3;;25.3;24.2;25.0;24.4;100.0;97.0;;2.0;4.7;2.3
2019/01/01;0900 UTC;1.2;967.0;967.0;966.0;2.5;23.7;;24.5;23.7;;;;;;349.0;6.3;4.0
2019/01/01;1000 UTC;0.0;967.7;967.7;967.0;249.2;24.4;23.9;24.4;23.6;;;;;97.0;327.0;6.3;2.2
2019/01/01;1100 UTC;0.0;968.3;968.3;967.7;762.1;25.3;23.8;25.3;24.4;24.4;23.4;98.0;91.0;91.0;277.0;4.7;2.7
2019/01/01;1200 UTC;0.0;968.6;968.7;968.3;1981.8;27.7;22.1;27.8;25.3;24.5;21.5;93.0;70.0;72.0;198.0;4.7;1.4
