Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;955.4;955.4;953.8;;22.0;21.0;22.4;22.0;21.3;20.8;94.0;93.0;94.0;272.0;3.1;1.2
2019/01/01;0100 UTC;0.0;955.1;955.4;955.0;;21.7;20.9;22.0;21.6;21.1;20.8;95.0;94.0;95.0;33.0;2.9;2.3
2019/01/01;0200 UTC;0.0;955.9;955.9;955.1;;21.8;21.3;21.9;21.6;21.4;20.9;97.0;95.0;97.0;43.0;5.1;3.6
2019/01/01;0300 UTC;0.0;956.1;956.2;955.9;;22.4;21.9;22.4;21.8;21.9;21.3;97.0;97.0;97.0;19.0;7.3;3.0
2019/01/01;0400 UTC;0.0;955.5;956.2;955.5;;22.0;21.3;22.5;22.0;21.9;21.3;97.0;96.0;96.0;19.0;6.2;2.8
2019/01/01;0500 UTC;0.0;954.8;955.5;954.8;;21.9;21.1;22.0;21.9;21.3;21.1;96.0;95.0;95.0;9.0;6.0;4.1
2019/01/01;0600 UTC;0.0;954.7;954.8;954.5;;21.5;20.9;21.9;21.5;21.1;20.9;96.0;95.0;96.0;14.0;6.0;2.4
2019/01/01;0700 UTC;0.0;954.9;954.9;954.6;;21.6;21.1;21.6;21.5;21.1;20.9;97.0;96.0;97.0;47.0;3.9;2.2
2019/01/01;0800 UTC;0.0;955.3;955.3;954.8;;21.6;21.1;21.7;21.5;21.1;21.0;97.0;97.0;97.0;30.0;5.2;3.4
2019/01/01;0900 UTC;0.0;956.1;956.1;955.2;;21.7;21.0;21.8;21.6;21.2;21.0;97.0;96.0;96.0;34.0;6.9;3.8
2019/01/01;1000 UTC;0.0;957.2;957.2;956.1;92.2;22.0;20.9;22.0;21.7;21.0;20.8;96.0;94.0;94.0;23.0;5.8;3.7
2019/01/01;1100 UTC;0.0;957.8;957.9;957.2;500.1;22.8;21.1;22.8;22.0;21.2;20.7;94.0;90.0;90.0;38.0;6.8;3.9
2019/01/01;1200 UTC;0.0;958.2;958.2;957.8;1028.6;24.5;21.1;24.6;22.8;21.5;21.0;90.0;81.0;82.0;15.0;6.2;3.8
2019/01/01;1300 UTC;0.0;958.4;958.4;958.2;1554.4;25.2;21.3;25.6;24.5;21.9;21.1;83.0;78.0;79.0;18.0;6.8;3.8
2019/01/01;1400 UTC;0.0;957.9;958.4;957.9;2795.0;27.7;20.9;27.7;25.2;22.3;20.2;80.0;65.0;66.0;21.0;7.0;4.5
2019/01/01;1500 UTC;0.0;957.2;957.9;957.2;3574.9;28.7;21.1;28.8;26.9;21.6;20.1;70.0;63.0;63.0;354.0;7.3;3.5
2019/01/01;1600 UTC;0.0;956.4;957.2;956.4;2926.7;29.1;20.2;29.3;27.8;22.0;20.1;69.0;59.0;59.0;356.0;7.0;2.8
2019/01/01;1700 UTC;0.0;955.9;956.4;955.8;2927.4;29.8;20.0;30.3;28.3;21.5;19.8;64.0;55.0;56.0;358.0;7.6;5.0
2019/01/01;1800 UTC;0.0;955.0;955.8;955.0;2969.1;29.6;19.9;30.9;29.2;21.0;17.6;59.0;46.0;56.0;341.0;7.9;4.3
2019/01/01;1900 UTC;0.0;954.5;955.0;954.5;1268.3;28.2;22.5;30.6;27.7;22.6;19.4;72.0;53.0;71.0;294.0;6.6;2.9
2019/01/01;2000 UTC;0.0;954.4;954.5;954.2;1712.2;28.4;21.7;29.2;27.5;23.4;21.4;73.0;65.0;67.0;318.0;8.2;5.5
2019/01/01;2100 UTC;0.0;953.8;954.4;953.7;691.0;27.1;22.1;28.4;27.1;22.6;21.1;75.0;66.0;74.0;316.0;8.3;3.7
2019/01/01;2200 UTC;0.0;954.8;954.8;953.8;110.1;25.7;22.6;27.1;25.7;22.6;21.7;83.0;74.0;83.0;322.0;5.8;3.3
2019/01/01;2300 UTC;0.0;956.1;956.1;954.8;3.1;24.2;22.5;25.7;24.2;22.9;22.5;90.0;83.0;90.0;303.0;5.0;2.3
2019/01/02;0000 UTC;0.0;957.1;957.1;956.1;;24.3;22.9;24.5;24.2;23.1;22.5;92.0;90.0;91.0;352.0;3.3;2.1
2019/01/02;0100 UTC;0.0;958.1;958.1;957.1;;24.4;22.4;24.7;24.3;23.1;22.4;92.0;89.0;89.0;352.0;6.5;4.2
2019/01/02;0200 UTC;0.0;958.1;958.2;958.0;;23.9;22.0;24.4;23.8;22.4;22.0;91.0;88.0;89.0;2.0;7.4;3.3
2019/01/02;0300 UTC;0.0;958.2;958.3;958.0;;23.5;20.3;23.9;23.4;22.0;20.3;89.0;82.0;83.0;20.0;6.1;3.2
2019/01/02;0400 UTC;0.0;957.7;958.2;957.7;;22.4;20.3;23.5;22.4;20.4;20.1;88.0;83.0;88.0;20.0;8.3;3.6
2019/01/02;0500 UTC;0.0;956.9;957.7;956.9;;22.0;20.4;22.4;21.8;20.4;20.2;91.0;88.0;91.0;32.0;6.1;2.1
2019/01/02;0600 UTC;0.0;956.9;956.9;956.7;;22.3;20.3;22.3;21.9;20.5;20.2;91.0;89.0;89.0;40.0;5.3;3.3
2019/01/02;0700 UTC;0.0;956.9;957.0;956.8;;21.7;20.2;22.3;21.7;20.3;20.1;91.0;88.0;91.0;34.0;4.9;2.9
2019/01/02;0800 UTC;0.0;957.6;957.6;956.9;;21.7;20.3;21.7;21.6;20.3;20.2;92.0;91.0;92.0;15.0;4.0;1.8
2019/01/02;0900 UTC;0.0;957.9;957.9;957.5;;21.5;20.3;21.7;21.4;20.3;20.2;93.0;92.0;92.0;49.0;3.5;2.6
2019/01/02;1000 UTC;0.0;958.6;958.6;957.9;114.9;22.5;20.8;22.5;21.5;20.8;20.3;93.0;90.0;90.0;55.0;3.5;1.3
2019/01/02;1100 UTC;0.0;959.3;959.3;958.6;536.3;23.6;20.9;23.6;22.5;21.1;20.7;90.0;85.0;85.0;30.0;5.0;3.3
2019/01/02;1200 UTC;0.0;959.6;959.6;959.2;1336.4;26.2;20.0;26.5;23.6;21.4;19.7;86.0;67.0;68.0;10.0;6.4;4.5
2019/01/02;1300 UTC;0.0;959.7;959.8;959.5;2315.3;28.1;20.1;28.1;25.9;21.5;19.7;74.0;62.0;62.0;9.0;7.9;4.7
2019/01/02;1400 UTC;0.0;959.5;959.8;959.5;3156.4;29.1;20.3;29.6;27.7;21.2;19.1;66.0;54.0;59.0;342.0;9.1;5.8
2019/01/02;1500 UTC;0.0;959.1;959.6;959.0;3629.6;30.4;19.2;30.6;29.1;21.0;18.1;59.0;49.0;51.0;327.0;9.3;5.8
2019/01/02;1600 UTC;0.0;958.6;959.1;958.6;3554.3;30.6;19.5;31.8;29.7;20.3;18.1;54.0;47.0;51.0;335.0;9.6;5.8
2019/01/02;1700 UTC;0.0;957.7;958.6;957.7;3506.6;30.6;19.4;31.8;30.0;21.0;18.8;55.0;49.0;51.0;334.0;9.9;5.7
2019/01/02;1800 UTC;0.0;956.6;957.7;956.6;3176.6;31.5;18.9;32.1;30.4;20.5;18.6;53.0;47.0;47.0;312.0;9.3;5.5
2019/01/02;1900 UTC;0.0;955.3;956.6;955.3;2926.0;30.8;19.6;32.0;30.7;19.8;17.8;51.0;45.0;51.0;346.0;9.9;5.1
2019/01/02;2000 UTC;0.0;955.0;955.4;955.0;2055.9;30.5;20.6;31.4;30.2;21.1;18.8;57.0;48.0;56.0;340.0;7.6;4.9
2019/01/02;2100 UTC;0.0;954.7;955.0;954.6;1286.2;30.2;19.1;31.0;30.0;20.8;18.2;56.0;48.0;51.0;312.0;7.1;2.9
2019/01/02;2200 UTC;0.0;955.2;955.3;954.7;389.6;28.5;20.1;30.2;28.5;20.1;18.8;61.0;51.0;60.0;337.0;4.6;2.3
2019/01/02;2300 UTC;0.0;955.7;955.7;955.2;20.2;27.0;20.8;28.5;26.9;21.0;19.9;69.0;60.0;69.0;332.0;3.3;2.0
2019/01/03;0000 UTC;0.0;956.8;956.8;955.7;;25.7;21.6;27.0;25.7;21.7;20.2;78.0;69.0;78.0;17.0;4.0;1.9
2019/01/03;0100 UTC;0.0;957.7;957.7;956.8;;24.5;21.5;25.7;24.5;22.1;21.5;85.0;78.0;84.0;42.0;3.5;3.0
2019/01/03;0200 UTC;0.0;958.0;958.0;957.7;;24.0;20.9;24.5;24.0;21.7;20.9;85.0;82.0;83.0;67.0;3.8;3.2
2019/01/03;0300 UTC;0.0;957.5;958.0;957.5;;23.5;20.4;24.0;23.4;20.9;20.3;83.0;81.0;83.0;62.0;4.2;2.8
2019/01/03;0400 UTC;0.0;956.6;957.5;956.6;;22.8;20.2;23.7;22.8;20.4;20.1;85.0;80.0;85.0;71.0;4.1;2.5
2019/01/03;0500 UTC;0.0;956.0;956.6;956.0;;22.8;20.0;23.5;22.8;20.3;19.8;85.0;80.0;84.0;57.0;3.4;2.9
2019/01/03;0600 UTC;0.0;955.6;956.0;955.5;;22.1;19.8;22.8;22.1;20.1;19.8;88.0;84.0;87.0;78.0;3.6;2.6
2019/01/03;0700 UTC;0.0;955.8;955.8;955.6;;22.2;19.7;22.4;21.9;20.0;19.6;88.0;85.0;85.0;69.0;4.4;3.1
2019/01/03;0800 UTC;0.0;956.2;956.2;955.7;;22.5;19.9;22.8;22.1;20.0;19.7;87.0;84.0;85.0;42.0;4.3;2.3
2019/01/03;0900 UTC;0.0;957.0;957.0;956.2;;22.6;19.9;22.8;22.2;20.0;19.9;87.0;84.0;85.0;50.0;3.9;2.5
2019/01/03;1000 UTC;0.0;957.8;957.8;957.0;171.0;23.2;20.4;23.2;22.6;20.4;19.9;85.0;84.0;84.0;52.0;3.8;2.1
2019/01/03;1100 UTC;0.0;958.2;958.3;957.8;845.6;25.4;20.5;25.5;23.2;21.0;20.3;84.0;74.0;75.0;31.0;4.0;2.5
2019/01/03;1200 UTC;0.0;958.4;958.5;958.2;1665.6;27.4;20.8;27.7;25.3;21.4;20.5;76.0;66.0;68.0;3.0;5.9;4.0
2019/01/03;1300 UTC;0.0;958.5;958.6;958.4;2461.2;29.5;20.2;29.7;27.2;21.4;19.6;68.0;57.0;58.0;6.0;6.2;3.7
2019/01/03;1400 UTC;0.0;958.3;958.6;958.2;3096.3;30.8;20.5;31.0;29.4;20.8;19.4;59.0;52.0;55.0;359.0;7.6;4.3
2019/01/03;1500 UTC;0.0;957.5;958.3;957.5;3538.2;32.0;19.3;32.4;30.5;20.8;18.8;55.0;47.0;47.0;348.0;9.3;4.7
2019/01/03;1600 UTC;0.0;957.0;957.5;957.0;3041.9;32.4;19.2;32.9;30.9;20.9;18.3;51.0;44.0;46.0;339.0;9.5;5.1
2019/01/03;1700 UTC;0.0;956.6;957.1;956.6;3052.2;32.3;19.6;32.8;31.4;20.7;17.9;51.0;42.0;47.0;338.0;9.5;3.6
2019/01/03;1800 UTC;0.2;955.9;956.7;955.9;1750.9;31.0;20.1;33.2;26.9;22.8;19.3;76.0;46.0;52.0;276.0;8.9;3.4
2019/01/03;1900 UTC;0.0;954.8;955.9;954.8;2914.2;31.8;18.7;32.4;30.8;20.9;16.5;54.0;39.0;46.0;303.0;7.9;4.1
