Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;964.5;964.5;963.9;;26.9;23.1;28.2;26.9;23.8;23.1;80.0;78.0;80.0;94.0;3.1;0.6
2019/01/01;0100 UTC;0.0;965.1;965.1;964.4;;26.5;23.1;26.9;26.5;23.2;23.0;81.0;80.0;81.0;60.0;1.8;0.6
2019/01/01;0200 UTC;0.0;965.5;965.6;965.1;;26.1;22.9;26.5;26.1;23.1;22.9;82.0;81.0;82.0;78.0;1.5;0.8
2019/01/01;0300 UTC;0.0;965.3;965.6;965.2;;26.4;23.3;26.4;26.0;23.3;22.9;84.0;82.0;84.0;55.0;3.5;1.9
2019/01/01;0400 UTC;0.0;965.0;965.5;965.0;;26.3;23.3;26.4;26.3;23.4;23.2;84.0;83.0;83.0;354.0;7.0;1.4
2019/01/01;0500 UTC;0.4;964.4;965.2;964.4;;26.0;23.1;26.3;26.0;23.3;23.1;84.0;83.0;84.0;343.0;4.9;2.2
2019/01/01;0600 UTC;0.0;964.8;964.8;964.1;;25.0;22.0;26.0;25.0;23.1;22.0;84.0;83.0;84.0;359.0;3.7;1.7
2019/01/01;0700 UTC;1.6;965.7;965.8;964.8;;23.7;20.9;25.0;23.7;22.0;20.9;84.0;83.0;84.0;50.0;10.6;3.0
2019/01/01;0800 UTC;0.4;966.0;966.1;965.7;;23.7;21.1;23.7;23.6;21.1;20.9;85.0;84.0;85.0;9.0;5.8;0.8
2019/01/01;0900 UTC;0.6;965.8;966.0;965.5;;23.8;21.3;23.8;23.7;21.3;21.1;86.0;85.0;86.0;16.0;2.0;0.9
2019/01/01;1000 UTC;0.2;967.9;968.0;965.8;80.2;24.2;21.8;24.3;23.8;21.8;21.2;86.0;86.0;86.0;51.0;4.0;2.3
2019/01/01;1100 UTC;0.0;969.0;969.0;967.8;156.4;24.3;21.9;24.4;24.2;22.0;21.8;86.0;86.0;86.0;82.0;6.1;3.4
2019/01/01;1200 UTC;0.0;968.7;969.0;968.6;407.5;25.0;22.7;25.0;24.3;22.7;21.9;87.0;86.0;87.0;22.0;5.8;1.9
2019/01/01;1300 UTC;0.0;968.1;968.8;968.1;1945.4;27.9;25.6;27.9;25.0;25.6;22.6;88.0;87.0;87.0;302.0;3.8;1.1
2019/01/01;1400 UTC;0.0;968.1;968.2;968.1;2892.5;29.5;26.5;29.5;27.9;26.5;25.5;87.0;84.0;84.0;321.0;5.4;2.3
2019/01/01;1500 UTC;0.0;967.6;968.1;967.6;2644.7;30.2;26.5;30.4;29.5;27.2;26.1;84.0;80.0;80.0;3.0;5.8;2.5
2019/01/01;1600 UTC;0.0;966.7;967.6;966.7;3822.2;31.5;26.9;31.5;30.2;27.0;26.5;81.0;76.0;76.0;334.0;7.1;2.3
2019/01/01;1700 UTC;0.0;966.0;966.7;966.0;3048.7;31.7;26.4;31.9;31.1;26.8;26.2;76.0;73.0;74.0;6.0;6.1;2.4
2019/01/01;1800 UTC;0.0;965.4;966.0;965.4;3124.7;32.3;26.4;32.8;31.4;27.1;26.1;74.0;71.0;71.0;35.0;5.8;2.4
2019/01/01;1900 UTC;0.0;964.5;965.4;964.5;2523.6;32.7;26.3;32.9;32.0;26.7;25.5;72.0;69.0;69.0;6.0;5.3;2.0
2019/01/01;2000 UTC;0.0;964.4;964.6;964.3;1644.9;31.8;25.4;33.0;31.6;26.3;25.0;69.0;67.0;69.0;24.0;7.0;2.9
2019/01/01;2100 UTC;0.0;964.3;964.4;964.1;866.7;31.7;25.4;31.9;31.3;25.8;25.1;70.0;69.0;69.0;350.0;7.0;2.2
2019/01/01;2200 UTC;0.0;964.6;964.6;964.2;259.6;30.4;24.6;31.7;30.4;25.3;24.6;71.0;69.0;71.0;359.0;3.6;1.0
2019/01/01;2300 UTC;0.0;965.6;965.6;964.5;22.7;28.5;23.2;30.4;28.5;24.6;23.2;73.0;71.0;73.0;331.0;5.1;1.1
2019/01/02;0000 UTC;0.0;966.7;966.7;965.6;;27.5;22.7;28.5;27.4;23.2;22.7;75.0;73.0;75.0;360.0;2.3;1.2
2019/01/02;0100 UTC;0.0;967.8;967.8;966.7;;26.8;22.4;27.5;26.8;22.7;22.4;77.0;75.0;77.0;23.0;2.3;0.9
2019/01/02;0200 UTC;0.0;968.1;968.2;967.8;;26.5;22.4;26.8;26.5;22.5;22.4;79.0;77.0;78.0;136.0;2.3;0.5
2019/01/02;0300 UTC;0.0;967.7;968.1;967.7;;25.8;22.0;26.5;25.8;22.4;21.9;79.0;78.0;79.0;13.0;2.4;1.3
2019/01/02;0400 UTC;0.0;966.9;967.7;966.9;;25.7;22.0;25.9;25.7;22.1;22.0;80.0;79.0;80.0;38.0;3.2;1.2
2019/01/02;0500 UTC;0.0;966.8;966.9;966.6;;25.7;22.1;25.8;25.7;22.1;22.0;80.0;80.0;80.0;337.0;2.2;0.9
2019/01/02;0600 UTC;0.0;966.8;967.0;966.8;;25.8;22.3;25.8;25.7;22.3;22.1;81.0;80.0;81.0;19.0;2.9;1.3
2019/01/02;0700 UTC;0.0;966.9;966.9;966.6;;25.7;22.3;25.9;25.7;22.4;22.3;81.0;81.0;81.0;30.0;3.5;1.6
2019/01/02;0800 UTC;0.4;968.4;968.6;966.9;;23.4;19.8;25.7;23.4;22.3;19.8;82.0;80.0;80.0;345.0;14.2;6.0
2019/01/02;0900 UTC;0.0;968.7;968.7;968.1;;23.0;19.8;23.5;23.0;19.8;19.6;82.0;80.0;82.0;7.0;12.9;2.7
