Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;959.7;959.7;958.5;;26.9;23.5;27.5;26.7;24.0;23.3;85.0;77.0;82.0;325.0;6.0;1.6
2019/01/01;0100 UTC;0.0;960.0;960.1;959.7;;26.0;23.7;26.9;26.0;23.8;23.5;87.0;82.0;87.0;311.0;3.7;1.8
2019/01/01;0200 UTC;0.0;960.3;960.5;960.0;;25.3;23.5;26.0;25.3;23.6;23.4;90.0;86.0;90.0;306.0;3.4;2.0
2019/01/01;0300 UTC;0.0;960.3;960.5;960.3;;24.8;23.5;25.3;24.7;23.5;23.4;93.0;89.0;93.0;298.0;3.9;1.8
2019/01/01;0400 UTC;0.0;959.7;960.3;959.7;;24.6;23.3;24.8;24.6;23.5;23.3;93.0;92.0;93.0;323.0;2.9;1.9
2019/01/01;0500 UTC;0.0;959.4;959.9;959.3;;23.8;23.2;24.6;23.8;23.3;23.2;96.0;93.0;96.0;312.0;4.2;2.2
2019/01/01;0600 UTC;0.0;959.2;959.7;959.2;;23.9;23.2;24.0;23.8;23.3;23.2;96.0;95.0;96.0;330.0;4.2;1.8
2019/01/01;0700 UTC;0.0;960.3;960.3;959.2;;23.7;23.2;24.0;23.6;23.2;23.1;97.0;96.0;97.0;151.0;2.5;1.5
2019/01/01;0800 UTC;0.0;960.5;960.6;960.3;;23.8;23.3;23.8;23.7;23.4;23.2;98.0;97.0;97.0;163.0;3.9;1.4
2019/01/01;0900 UTC;1.0;962.4;962.4;960.5;;22.4;21.3;23.9;22.4;23.4;21.3;98.0;89.0;93.0;32.0;10.3;4.6
