Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;978.1;978.1;976.7;;23.7;21.5;23.7;23.6;21.5;21.4;88.0;87.0;88.0;101.0;2.3;1.0
2019/01/01;0100 UTC;0.0;979.3;979.3;978.1;;23.5;21.3;23.7;23.5;21.6;21.3;88.0;88.0;88.0;85.0;3.5;1.7
2019/01/01;0200 UTC;0.0;979.6;979.6;979.1;;22.8;20.6;23.5;22.8;21.3;20.6;88.0;88.0;88.0;107.0;3.8;0.2
2019/01/01;0300 UTC;0.0;979.2;979.7;979.2;;22.6;20.5;22.8;22.6;20.7;20.5;88.0;88.0;88.0;92.0;1.6;0.1
2019/01/01;0400 UTC;0.0;978.6;979.3;978.6;;22.5;20.6;22.6;22.5;20.6;20.5;89.0;88.0;89.0;143.0;1.5;0.0
2019/01/01;0500 UTC;0.0;977.9;978.7;977.9;;22.3;20.4;22.5;22.3;20.6;20.4;89.0;89.0;89.0;88.0;1.5;0.3
2019/01/01;0600 UTC;0.0;977.6;977.9;977.5;;22.3;20.4;22.4;22.3;20.4;20.3;89.0;89.0;89.0;79.0;2.3;0.5
2019/01/01;0700 UTC;0.0;977.9;977.9;977.6;;22.4;20.5;22.4;22.3;20.5;20.4;89.0;89.0;89.0;105.0;1.3;0.0
2019/01/01;0800 UTC;0.0;978.8;978.8;978.0;;22.2;20.3;22.4;22.2;20.5;20.3;89.0;89.0;89.0;114.0;1.8;0.1
2019/01/01;0900 UTC;0.0;979.2;979.4;978.8;;21.9;20.1;22.2;21.9;20.4;20.1;90.0;89.0;89.0;81.0;1.7;0.3
2019/01/01;1000 UTC;0.0;980.1;980.1;979.2;39.7;21.9;20.1;21.9;21.7;20.1;19.9;90.0;89.0;90.0;84.0;1.3;0.3
2019/01/01;1100 UTC;0.2;980.7;980.7;980.1;386.9;23.0;21.4;23.0;21.9;21.4;20.2;91.0;90.0;91.0;134.0;2.0;0.6
2019/01/01;1200 UTC;0.0;981.3;981.3;980.7;1157.1;24.6;22.8;24.7;23.0;23.0;21.5;91.0;89.0;89.0;119.0;2.7;0.9
2019/01/01;1300 UTC;0.0;981.6;981.6;981.3;1284.8;26.4;24.1;26.6;24.6;24.4;22.8;90.0;87.0;87.0;84.0;4.5;1.9
2019/01/01;1400 UTC;0.0;981.3;981.7;981.3;1995.5;27.6;24.5;27.7;26.2;24.9;23.7;87.0;83.0;83.0;70.0;4.7;1.4
2019/01/01;1500 UTC;0.0;980.5;981.3;980.5;3084.1;29.0;25.1;29.1;27.5;25.5;24.3;83.0;79.0;79.0;37.0;5.7;1.9
2019/01/01;1600 UTC;0.0;979.5;980.6;979.4;3378.7;30.3;25.6;30.3;28.8;25.6;24.6;79.0;76.0;76.0;57.0;5.0;2.2
2019/01/01;1700 UTC;0.0;978.7;979.4;978.7;3453.6;31.4;25.5;31.7;30.3;26.0;25.2;76.0;71.0;71.0;11.0;8.1;2.5
2019/01/01;1800 UTC;0.0;978.2;978.7;978.0;3059.0;29.6;23.0;31.5;29.6;25.6;23.0;71.0;67.0;67.0;25.0;8.2;2.2
2019/01/01;1900 UTC;0.0;977.5;978.2;977.4;1457.1;29.4;23.7;29.8;29.2;24.1;22.9;72.0;67.0;71.0;312.0;6.8;3.7
2019/01/01;2000 UTC;0.0;977.0;977.6;977.0;1875.4;30.8;24.8;30.8;29.4;24.9;23.5;72.0;69.0;70.0;211.0;7.6;0.9
2019/01/01;2100 UTC;0.0;976.9;977.1;976.6;1589.9;30.0;23.2;30.9;30.0;24.9;23.2;71.0;67.0;67.0;275.0;3.4;1.1
2019/01/01;2200 UTC;0.0;977.6;977.6;976.8;221.0;28.2;22.3;30.0;28.2;23.3;22.2;71.0;67.0;71.0;277.0;3.4;1.5
2019/01/01;2300 UTC;0.0;979.1;979.2;977.6;31.4;24.2;19.3;28.2;24.2;22.4;19.3;74.0;71.0;74.0;302.0;9.8;3.7
2019/01/02;0000 UTC;0.0;980.3;980.3;979.0;;24.3;20.0;24.3;24.0;20.0;19.3;77.0;74.0;77.0;279.0;6.6;0.9
2019/01/02;0100 UTC;0.0;981.0;981.0;980.3;;23.9;20.0;24.4;23.9;20.2;19.9;79.0;77.0;79.0;131.0;3.6;0.9
2019/01/02;0200 UTC;8.4;981.9;982.2;981.0;;23.4;20.1;23.9;23.4;20.1;20.0;82.0;79.0;82.0;101.0;6.0;1.4
2019/01/02;0300 UTC;1.6;981.9;982.0;981.8;;23.4;20.5;23.6;23.4;20.5;20.1;83.0;82.0;83.0;104.0;4.1;2.4
2019/01/02;0400 UTC;0.8;980.8;981.9;980.8;;23.1;20.4;23.4;23.1;20.5;20.4;85.0;83.0;85.0;146.0;4.1;1.0
2019/01/02;0500 UTC;0.2;980.6;980.9;980.5;;22.5;20.0;23.2;22.5;20.5;20.0;86.0;85.0;86.0;112.0;3.4;1.8
2019/01/02;0600 UTC;0.0;980.1;980.6;980.0;;22.7;20.3;22.7;22.5;20.3;20.0;86.0;86.0;86.0;65.0;2.7;0.3
2019/01/02;0700 UTC;0.0;980.2;980.2;979.8;;22.6;20.3;22.8;22.6;20.4;20.3;87.0;86.0;87.0;58.0;1.6;0.0
2019/01/02;0800 UTC;0.0;980.5;980.6;980.2;;22.6;20.4;22.7;22.6;20.4;20.2;87.0;87.0;87.0;126.0;1.9;0.2
2019/01/02;0900 UTC;0.0;980.8;980.8;980.4;;22.5;20.4;22.6;22.5;20.4;20.3;88.0;87.0;88.0;162.0;2.2;0.8
2019/01/02;1000 UTC;0.0;981.5;981.5;980.8;22.0;22.5;20.5;22.5;22.4;20.5;20.3;88.0;88.0;88.0;106.0;2.8;1.0
2019/01/02;1100 UTC;0.0;982.1;982.1;981.5;364.3;22.9;21.0;22.9;22.5;21.0;20.5;89.0;88.0;89.0;109.0;3.1;1.9
2019/01/02;1200 UTC;0.0;982.7;982.7;982.1;795.4;24.7;22.8;24.7;22.9;22.8;21.0;89.0;89.0;89.0;107.0;3.3;0.2
2019/01/02;1300 UTC;0.0;982.9;983.0;982.7;1921.1;26.8;24.4;26.8;24.7;24.4;22.9;89.0;86.0;86.0;20.0;1.8;0.3
2019/01/02;1400 UTC;0.0;982.7;982.9;982.7;2746.6;28.8;25.1;28.8;26.8;25.4;24.3;86.0;81.0;81.0;310.0;2.9;1.0
