Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.6;973.2;973.2;973.1;;22.4;21.5;22.4;22.1;21.5;21.2;95.0;94.0;95.0;198.0;0.0;0.0
2019/01/01;0100 UTC;0.8;973.7;973.8;973.2;;22.3;21.4;22.5;22.1;21.5;21.2;95.0;94.0;95.0;287.0;0.0;0.0
2019/01/01;0200 UTC;1.2;973.9;974.0;973.7;;22.2;21.3;22.3;22.1;21.4;21.2;95.0;95.0;95.0;77.0;0.0;0.0
2019/01/01;0300 UTC;0.6;973.5;973.9;973.5;;22.3;21.5;22.4;22.1;21.5;21.2;95.0;95.0;95.0;294.0;0.0;0.0
2019/01/01;0400 UTC;0.8;972.9;973.5;972.9;;22.2;21.4;22.4;22.2;21.5;21.3;95.0;95.0;95.0;302.0;0.0;0.0
2019/01/01;0500 UTC;1.0;973.0;973.0;972.8;;22.1;21.3;22.3;22.1;21.4;21.3;95.0;95.0;95.0;239.0;0.0;0.0
2019/01/01;0600 UTC;0.2;972.8;973.0;972.8;;22.1;21.2;22.2;22.0;21.4;21.2;95.0;95.0;95.0;248.0;0.0;0.0
2019/01/01;0700 UTC;0.4;973.2;973.2;972.8;;21.9;21.1;22.1;21.9;21.3;21.1;95.0;95.0;95.0;274.0;0.0;0.0
2019/01/01;0800 UTC;0.2;973.7;973.7;973.2;;21.9;21.1;22.0;21.8;21.1;21.0;95.0;95.0;95.0;255.0;0.0;0.0
2019/01/01;0900 UTC;0.0;974.1;974.1;973.7;;22.0;21.2;22.0;21.9;21.2;21.1;95.0;95.0;95.0;26.0;0.0;0.0
