Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;959.7;959.7;958.6;;25.0;20.5;26.0;25.0;21.3;20.3;79.0;72.0;76.0;274.0;7.5;2.6
2019/01/01;0100 UTC;0.2;959.6;959.7;959.5;;24.1;20.8;25.0;24.0;21.0;20.5;83.0;76.0;82.0;269.0;6.2;2.6
2019/01/01;0200 UTC;2.4;959.7;960.3;959.6;;22.5;21.5;24.1;22.1;21.6;20.2;94.0;82.0;94.0;294.0;4.7;1.1
2019/01/01;0300 UTC;1.0;960.0;960.6;959.7;;22.5;21.5;23.4;22.5;22.0;21.2;95.0;90.0;94.0;284.0;4.6;0.2
2019/01/01;0400 UTC;0.0;959.4;960.0;959.0;;20.8;18.8;22.6;20.8;21.6;18.8;95.0;86.0;89.0;171.0;3.6;1.9
2019/01/01;0500 UTC;0.0;958.9;959.4;958.9;;20.3;18.8;20.8;20.2;19.2;18.5;93.0;88.0;91.0;300.0;3.6;0.4
2019/01/01;0600 UTC;0.0;958.7;958.9;958.6;;20.2;19.2;20.6;20.2;19.2;18.6;94.0;88.0;94.0;282.0;1.9;0.4
2019/01/01;0700 UTC;0.0;959.0;959.0;958.7;;20.3;19.7;20.6;20.2;19.9;19.2;96.0;94.0;96.0;268.0;1.1;0.6
2019/01/01;0800 UTC;0.0;959.7;959.7;959.0;;20.3;19.8;20.4;20.3;19.9;19.7;97.0;96.0;97.0;283.0;1.2;0.6
2019/01/01;0900 UTC;0.0;960.4;960.4;959.7;23.0;20.4;19.8;20.4;20.0;19.8;19.6;98.0;97.0;97.0;281.0;1.8;0.5
2019/01/01;1000 UTC;0.0;961.5;961.5;960.4;404.5;21.7;20.3;21.7;20.4;20.6;19.9;97.0;92.0;92.0;319.0;1.8;0.1
2019/01/01;1100 UTC;0.0;962.1;962.2;961.5;1210.4;24.6;21.0;24.7;21.7;21.2;19.9;92.0;80.0;81.0;348.0;1.8;0.0
