Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;989.4;989.4;988.8;;25.1;21.8;25.4;25.0;22.1;21.8;82.0;81.0;82.0;94.0;6.5;2.8
2019/01/01;0100 UTC;0.0;989.6;989.6;989.4;;24.7;22.0;25.1;24.6;22.0;21.8;85.0;82.0;85.0;95.0;6.1;2.6
2019/01/01;0200 UTC;0.0;989.2;989.6;989.2;;24.2;22.9;24.7;24.2;23.0;22.1;92.0;85.0;92.0;93.0;5.6;2.6
2019/01/01;0300 UTC;0.0;988.6;989.2;988.6;;23.6;23.0;24.2;23.6;23.1;22.9;96.0;92.0;96.0;100.0;4.6;0.2
2019/01/01;0400 UTC;0.0;988.3;988.6;988.3;;23.4;23.0;23.6;23.3;23.1;22.9;98.0;96.0;98.0;95.0;2.2;1.2
2019/01/01;0500 UTC;0.0;988.5;988.5;988.3;;23.0;22.8;23.4;23.0;23.0;22.7;98.0;98.0;98.0;80.0;2.4;0.4
2019/01/01;0600 UTC;0.0;989.2;989.2;988.5;;22.9;22.7;23.0;22.8;22.8;22.6;99.0;98.0;99.0;59.0;1.9;0.5
2019/01/01;0700 UTC;0.0;989.7;989.7;989.2;;23.0;22.8;23.1;22.8;22.9;22.6;99.0;99.0;99.0;95.0;3.8;0.9
2019/01/01;0800 UTC;0.0;990.6;990.6;989.7;;23.1;22.9;23.4;23.0;23.2;22.8;99.0;99.0;99.0;89.0;3.5;1.7
2019/01/01;0900 UTC;0.0;991.2;991.3;990.6;194.8;24.2;23.6;24.2;23.1;23.6;22.9;99.0;96.0;96.0;87.0;3.9;2.1
2019/01/01;1000 UTC;0.0;991.6;991.6;991.2;596.2;25.0;23.2;25.0;24.2;23.6;23.1;96.0;90.0;90.0;97.0;5.1;2.8
2019/01/01;1100 UTC;0.0;991.7;991.7;991.5;1329.7;26.6;21.3;27.5;25.0;23.4;21.2;90.0;71.0;73.0;77.0;7.6;4.0
2019/01/01;1200 UTC;0.0;991.8;991.8;991.7;2368.7;27.9;20.3;29.1;26.6;21.8;20.3;73.0;61.0;63.0;99.0;6.9;3.3
