Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;928.0;928.3;927.9;;24.3;16.2;25.2;24.3;16.3;16.1;61.0;57.0;60.0;144;7.0;2.8
2019/01/01;0100 UTC;0.0;928.0;928.1;928.0;;22.9;16.2;24.3;22.9;16.2;16.1;66.0;60.0;66.0;132;6.3;2.3
2019/01/01;0200 UTC;0.0;927.7;928.0;927.6;;22.3;16.5;22.9;22.3;16.5;16.1;70.0;66.0;70.0;140;4.3;2.1
2019/01/01;0300 UTC;0.0;927.2;927.7;927.2;;22.1;16.7;22.3;21.5;16.7;16.4;73.0;70.0;72.0;134;5.9;3.0
2019/01/01;0400 UTC;0.0;927.2;927.3;926.9;;21.8;17.2;22.2;21.6;17.2;16.5;75.0;71.0;75.0;125;7.2;2.5
2019/01/01;0500 UTC;0.0;927.2;927.4;927.2;;21.0;17.6;21.8;21.0;17.6;16.9;81.0;75.0;81.0;150;5.5;2.3
2019/01/01;0600 UTC;0.0;927.6;927.6;927.2;;20.2;17.6;21.1;20.0;17.7;16.9;85.0;80.0;85.0;170;4.0;2.3
2019/01/01;0700 UTC;0.0;927.9;928.0;927.6;;20.4;18.5;20.4;20.1;18.5;17.7;89.0;85.0;89.0;146;5.0;2.6
2019/01/01;0800 UTC;0.0;928.8;928.8;927.9;;20.2;18.4;20.5;20.2;18.5;18.3;89.0;88.0;89.0;154;5.0;2.1
2019/01/01;0900 UTC;0.0;929.5;929.5;928.8;136.2;21.2;18.6;21.2;20.1;18.6;18.3;90.0;85.0;85.0;124;4.3;2.2
2019/01/01;1000 UTC;0.0;930.0;930.0;929.5;892.4;23.6;18.6;23.6;21.2;18.8;18.2;85.0;73.0;73.0;123;7.0;3.6
2019/01/01;1100 UTC;0.0;930.9;930.9;930.0;1054.1;24.0;18.4;24.4;23.5;18.8;18.0;74.0;70.0;71.0;93;7.2;3.5
2019/01/01;1200 UTC;0.0;931.3;931.4;930.9;991.5;24.8;19.1;24.8;24.0;19.2;18.3;72.0;70.0;71.0;89;7.0;4.1
2019/01/01;1300 UTC;0.0;931.1;931.4;931.1;2530.7;26.1;18.4;26.5;24.7;19.3;18.2;71.0;62.0;63.0;114;8.1;4.4
2019/01/01;1400 UTC;0.0;930.5;931.1;930.5;3249.3;28.4;18.4;28.4;26.1;18.6;17.3;63.0;54.0;55.0;89;8.8;3.7
2019/01/01;1500 UTC;0.0;929.7;930.5;929.7;2807.5;28.9;17.1;29.4;27.7;18.1;16.4;55.0;47.0;49.0;98;8.0;3.7
2019/01/01;1600 UTC;0.0;929.0;929.8;929.0;3127.3;29.3;16.7;30.7;28.3;18.0;16.0;49.0;43.0;47.0;106;7.3;3.7
2019/01/01;1700 UTC;0.0;928.1;929.0;928.0;3512.9;30.9;16.3;31.5;29.1;17.6;15.3;47.0;38.0;42.0;103;8.3;3.3
2019/01/01;1800 UTC;0.0;927.4;928.1;927.4;2277.4;31.2;15.5;31.8;29.8;16.8;15.2;44.0;38.0;39.0;150;8.3;3.4
2019/01/01;1900 UTC;0.0;927.1;927.4;927.1;2117.3;31.8;14.7;31.9;30.8;15.9;14.4;39.0;35.0;36.0;124;8.8;4.2
2019/01/01;2000 UTC;0.0;927.3;927.3;927.1;925.5;30.6;13.7;31.8;30.3;14.9;13.6;38.0;34.0;36.0;118;8.3;3.8
2019/01/01;2100 UTC;0.0;927.7;927.7;927.3;217.5;28.9;13.8;30.7;28.9;14.1;13.5;40.0;36.0;40.0;99;7.2;3.6
2019/01/01;2200 UTC;0.0;928.3;928.3;927.7;;27.3;14.1;28.9;27.3;14.1;13.8;44.0;40.0;44.0;101;6.1;3.3
2019/01/01;2300 UTC;0.0;929.0;929.0;928.3;;26.4;14.9;27.3;26.3;14.9;14.1;49.0;44.0;49.0;104;6.2;3.7
2019/01/02;0000 UTC;0.0;929.4;929.5;929.0;;24.9;15.2;26.4;24.9;15.2;14.9;55.0;49.0;55.0;112;6.4;3.0
2019/01/02;0100 UTC;0.0;929.4;929.5;929.3;;23.9;15.1;24.9;23.9;15.2;15.1;58.0;55.0;58.0;126;4.6;1.5
2019/01/02;0200 UTC;0.0;929.3;929.4;929.2;;24.2;15.7;24.3;23.1;15.7;15.1;62.0;57.0;59.0;114;9.5;5.4
2019/01/02;0300 UTC;0.0;928.9;929.3;928.9;;23.0;17.4;24.2;23.0;17.4;15.7;71.0;59.0;71.0;112;8.6;5.1
2019/01/02;0400 UTC;0.0;928.5;928.9;928.5;;22.4;17.9;23.0;22.4;18.0;17.4;76.0;71.0;76.0;111;11.4;5.9
2019/01/02;0500 UTC;0.0;928.6;928.6;928.5;;21.6;15.6;22.4;21.6;17.9;15.5;76.0;67.0;69.0;122;11.2;4.2
2019/01/02;0600 UTC;0.0;929.1;929.1;928.6;;20.7;16.2;21.6;20.7;16.2;15.5;75.0;69.0;75.0;139;7.9;2.7
2019/01/02;0700 UTC;0.0;929.2;929.2;929.1;;19.9;16.5;20.7;19.9;16.5;16.2;81.0;76.0;81.0;140;5.9;2.0
2019/01/02;0800 UTC;0.0;929.7;929.7;929.2;;18.8;16.2;19.9;18.8;16.5;16.2;85.0;81.0;85.0;147;4.6;2.7
2019/01/02;0900 UTC;0.0;930.1;930.1;929.7;140.7;19.7;16.5;19.7;18.7;16.5;16.2;85.0;82.0;82.0;141;5.9;3.0
2019/01/02;1000 UTC;0.0;930.3;930.3;930.1;919.9;22.0;17.2;22.0;19.7;17.2;16.5;82.0;74.0;74.0;129;9.2;4.5
2019/01/02;1100 UTC;0.0;930.8;930.9;930.3;1877.7;24.2;18.1;24.5;22.0;18.4;17.2;74.0;68.0;69.0;124;9.6;4.7
2019/01/02;1200 UTC;0.0;931.2;931.2;930.8;1893.5;24.7;18.2;25.0;23.8;18.5;17.9;70.0;67.0;67.0;135;9.5;4.1
2019/01/02;1300 UTC;0.0;931.0;931.2;930.9;2693.6;26.8;18.3;27.3;24.4;19.1;17.8;68.0;58.0;59.0;119;9.7;4.8
2019/01/02;1400 UTC;0.0;930.5;931.0;930.5;3267.1;27.8;17.1;28.4;26.6;18.9;16.7;62.0;50.0;52.0;122;9.7;4.9
2019/01/02;1500 UTC;0.0;929.8;930.5;929.8;3929.3;29.8;15.2;30.1;27.8;17.4;15.2;52.0;41.0;41.0;124;10.1;4.0
2019/01/02;1600 UTC;0.0;928.9;929.8;928.9;3404.6;31.4;15.0;31.8;29.5;15.9;13.5;43.0;36.0;37.0;112;10.9;4.0
2019/01/02;1700 UTC;0.0;928.4;929.0;928.4;3342.3;31.6;13.5;32.0;30.6;15.3;13.3;38.0;33.0;33.0;89;9.8;4.8
2019/01/02;1800 UTC;0.0;928.1;928.4;927.9;2580.6;31.9;13.2;32.6;30.5;14.5;13.0;36.0;32.0;32.0;97;9.8;5.7
2019/01/02;1900 UTC;0.0;928.0;928.1;927.8;1641.3;30.8;13.3;32.2;30.1;14.1;12.8;36.0;32.0;34.0;97;10.4;6.1
2019/01/02;2000 UTC;0.0;928.3;928.3;927.9;1083.5;30.0;13.3;31.0;30.0;13.7;12.3;36.0;33.0;36.0;89;10.4;5.3
2019/01/02;2100 UTC;0.0;928.6;928.6;928.3;238.2;28.3;13.4;30.0;28.3;13.6;13.1;40.0;36.0;40.0;97;9.6;3.8
2019/01/02;2200 UTC;0.0;928.9;928.9;928.6;;27.0;13.9;28.3;27.0;13.9;13.3;44.0;40.0;44.0;100;6.8;3.7
2019/01/02;2300 UTC;0.0;929.4;929.4;928.9;;25.4;14.4;27.0;25.4;14.4;13.9;50.0;44.0;50.0;115;6.0;2.5
2019/01/03;0000 UTC;0.0;929.8;929.8;929.4;;24.8;14.8;25.4;24.7;14.8;14.4;54.0;50.0;54.0;124;3.9;1.9
2019/01/03;0100 UTC;0.0;929.8;930.0;929.8;;24.2;15.2;24.9;24.2;15.2;14.7;57.0;54.0;57.0;118;7.5;3.6
2019/01/03;0200 UTC;0.0;929.6;929.8;929.6;;23.0;16.1;24.3;23.0;16.1;15.3;65.0;57.0;65.0;118;8.4;3.5
2019/01/03;0300 UTC;0.0;928.9;929.6;928.9;;22.5;17.0;23.1;22.5;17.0;16.1;71.0;65.0;71.0;125;7.3;3.1
2019/01/03;0400 UTC;0.0;928.0;928.9;928.0;;21.5;17.0;22.5;21.5;17.1;17.0;76.0;71.0;76.0;129;5.7;2.8
2019/01/03;0500 UTC;0.0;928.1;928.1;928.0;;20.4;16.8;21.5;20.4;17.1;16.8;80.0;76.0;80.0;162;5.1;1.2
2019/01/03;0600 UTC;0.0;928.0;928.2;928.0;;19.9;17.1;20.5;19.8;17.1;16.8;84.0;80.0;84.0;155;5.0;2.7
2019/01/03;0700 UTC;0.0;928.3;928.3;928.0;;19.1;16.8;19.9;19.1;17.1;16.8;87.0;84.0;87.0;177;5.1;2.4
2019/01/03;0800 UTC;0.0;928.7;928.8;928.3;;18.6;16.7;19.1;18.6;16.9;16.7;89.0;87.0;89.0;175;4.6;2.5
2019/01/03;0900 UTC;0.0;929.1;929.1;928.7;128.7;19.2;16.7;19.2;18.6;16.8;16.6;89.0;85.0;85.0;159;6.2;3.1
2019/01/03;1000 UTC;0.0;929.8;929.8;929.1;900.5;21.2;16.7;21.2;19.2;16.8;16.4;85.0;76.0;76.0;142;8.5;4.1
2019/01/03;1100 UTC;0.0;930.3;930.3;929.8;1870.3;23.3;16.5;23.3;21.0;16.7;16.0;76.0;65.0;65.0;133;8.5;4.2
2019/01/03;1200 UTC;0.0;930.6;930.6;930.3;2715.7;24.8;16.1;24.9;22.9;16.8;16.0;66.0;58.0;58.0;113;8.4;4.6
2019/01/03;1300 UTC;0.0;930.4;930.7;930.4;3406.8;26.6;15.3;27.1;24.6;16.5;15.1;59.0;49.0;50.0;107;8.4;4.8
2019/01/03;1400 UTC;0.0;929.8;930.4;929.8;3837.3;28.7;14.6;28.9;26.6;16.0;14.6;50.0;42.0;42.0;123;8.6;4.5
2019/01/03;1500 UTC;0.0;929.0;929.8;929.0;3993.5;30.0;13.9;30.0;28.5;15.1;13.7;43.0;37.0;37.0;99;8.6;4.5
2019/01/03;1600 UTC;0.0;928.2;929.0;928.2;3881.9;30.6;12.6;31.0;29.5;14.1;12.2;38.0;32.0;33.0;99;9.5;5.1
2019/01/03;1700 UTC;0.0;926.9;928.2;926.9;3555.1;31.8;12.7;31.9;30.3;13.1;11.3;33.0;29.0;31.0;87;9.8;4.7
2019/01/03;1800 UTC;0.0;926.3;927.0;926.3;2966.9;32.1;11.8;32.2;31.1;12.5;10.9;32.0;28.0;29.0;98;9.5;3.7
2019/01/03;1900 UTC;0.0;926.4;926.4;926.2;2226.3;31.0;12.0;32.1;31.0;12.6;11.2;31.0;28.0;31.0;93;9.5;4.8
2019/01/03;2000 UTC;0.0;927.0;927.0;926.4;1231.2;30.4;12.7;31.7;30.3;12.9;12.0;34.0;31.0;34.0;93;9.5;5.3
2019/01/03;2100 UTC;0.0;927.5;927.5;927.0;246.3;28.4;12.9;30.4;28.4;13.2;12.5;38.0;34.0;38.0;91;8.2;4.3
2019/01/03;2200 UTC;0.0;927.9;927.9;927.5;;26.7;13.0;28.4;26.7;13.0;12.9;43.0;38.0;43.0;100;7.2;3.2
2019/01/03;2300 UTC;0.0;928.5;928.5;927.9;;24.8;13.5;26.7;24.8;13.5;13.0;49.0;43.0;49.0;115;5.0;2.5
2019/01/04;0000 UTC;0.0;929.1;929.1;928.5;;24.1;13.7;24.8;24.1;13.7;13.5;52.0;49.0;52.0;119;4.2;2.4
2019/01/04;0100 UTC;0.0;929.2;929.2;929.1;;23.7;13.9;24.1;23.6;13.9;13.7;54.0;52.0;54.0;131;4.2;1.7
2019/01/04;0200 UTC;0.0;928.5;929.2;928.5;;23.0;14.0;23.7;23.0;14.1;13.8;57.0;54.0;57.0;127;3.4;1.4
2019/01/04;0300 UTC;0.0;927.9;928.5;927.8;;22.5;14.1;23.1;22.5;14.2;14.1;59.0;57.0;59.0;138;2.7;1.2
2019/01/04;0400 UTC;0.0;928.0;928.1;927.8;;21.8;15.7;22.5;21.6;15.7;14.0;68.0;59.0;68.0;123;6.3;3.0
2019/01/04;0500 UTC;0.0;928.3;928.3;928.0;;21.3;16.8;21.8;21.3;17.3;15.7;76.0;68.0;76.0;125;9.0;3.1
2019/01/04;0600 UTC;0.0;928.7;928.7;928.3;;20.8;17.3;21.3;20.7;17.4;16.8;81.0;76.0;81.0;124;6.0;2.9
2019/01/04;0700 UTC;0.0;928.7;928.7;928.5;;20.3;17.3;20.8;20.3;17.4;17.3;82.0;81.0;82.0;128;6.1;2.4
2019/01/04;0800 UTC;0.0;929.5;929.5;928.7;;19.9;16.9;20.4;19.9;17.3;16.9;83.0;82.0;83.0;160;5.4;2.0
2019/01/04;0900 UTC;0.0;930.2;930.2;929.5;115.4;20.1;17.1;20.1;19.6;17.1;16.9;85.0;83.0;83.0;134;4.2;2.2
2019/01/04;1000 UTC;0.0;930.7;930.7;930.2;856.0;22.3;17.5;22.3;20.1;17.5;17.1;83.0;74.0;74.0;130;5.9;2.9
2019/01/04;1100 UTC;0.0;931.1;931.2;930.7;1813.4;23.5;17.2;23.7;22.3;17.6;17.2;74.0;68.0;68.0;146;6.4;3.7
2019/01/04;1200 UTC;0.0;931.1;931.3;931.1;2668.7;25.6;17.7;25.6;23.5;17.8;17.2;69.0;62.0;62.0;133;6.4;2.9
2019/01/04;1300 UTC;0.0;930.7;931.1;930.7;3356.1;26.7;17.1;27.3;25.4;18.0;17.0;62.0;55.0;55.0;122;6.2;3.2
2019/01/04;1400 UTC;0.0;930.2;930.7;930.2;3849.2;28.5;17.2;29.1;26.8;18.0;16.8;56.0;49.0;51.0;133;8.2;3.1
2019/01/04;1500 UTC;0.0;929.1;930.2;929.1;3886.9;30.3;16.3;30.8;28.4;17.6;15.3;51.0;41.0;43.0;105;6.7;2.2
2019/01/04;1600 UTC;0.0;928.3;929.1;928.3;3599.6;30.8;13.7;31.2;29.8;16.7;13.6;43.0;35.0;35.0;127;5.1;1.0
2019/01/04;1700 UTC;0.0;927.0;928.3;927.0;3560.4;32.0;13.3;32.4;30.4;14.3;12.9;35.0;32.0;32.0;1;5.1;0.9
2019/01/04;1800 UTC;0.0;926.4;927.0;926.4;1141.2;30.6;13.6;31.9;30.5;15.0;13.2;38.0;32.0;36.0;67;4.9;0.9
2019/01/04;1900 UTC;0.0;926.4;926.5;926.2;898.1;26.2;16.9;31.3;26.2;17.2;13.3;57.0;34.0;57.0;188;10.7;5.9
2019/01/04;2000 UTC;0.0;926.1;926.5;926.1;987.3;30.0;14.7;30.5;26.0;17.4;13.8;57.0;37.0;39.0;187;9.6;1.7
2019/01/04;2100 UTC;0.0;926.3;926.4;926.1;245.6;28.5;15.2;30.3;28.5;15.2;14.3;45.0;38.0;45.0;136;4.0;0.6
2019/01/04;2200 UTC;0.0;927.1;927.1;926.3;;26.8;15.3;28.5;26.8;15.8;15.2;49.0;45.0;49.0;126;3.4;1.5
2019/01/04;2300 UTC;0.0;927.7;927.8;927.1;;26.5;15.5;27.3;26.3;15.5;15.1;51.0;47.0;51.0;33;8.0;2.2
2019/01/05;0000 UTC;0.0;927.7;927.7;927.3;;25.4;15.6;26.5;25.3;15.6;15.3;55.0;51.0;55.0;67;4.2;2.1
2019/01/05;0100 UTC;0.0;928.2;928.2;927.7;;25.2;15.5;25.4;24.9;15.8;15.5;57.0;55.0;55.0;75;4.8;3.0
2019/01/05;0200 UTC;0.0;928.3;928.4;928.2;;23.5;15.3;25.2;23.5;15.5;15.3;60.0;55.0;60.0;156;4.8;1.1
2019/01/05;0300 UTC;0.0;927.8;928.3;927.7;;24.2;15.4;24.2;23.2;15.5;15.3;61.0;58.0;58.0;108;4.0;2.6
2019/01/05;0400 UTC;0.0;927.6;927.8;927.5;;23.1;15.7;24.3;23.1;15.7;15.3;63.0;58.0;63.0;130;4.2;1.6
2019/01/05;0500 UTC;0.0;927.2;927.6;927.2;;21.8;16.6;23.1;21.8;16.6;15.7;72.0;63.0;72.0;136;4.7;1.4
2019/01/05;0600 UTC;0.0;927.4;927.6;927.1;;21.2;17.8;21.9;21.2;17.8;16.6;81.0;72.0;81.0;175;4.1;2.6
2019/01/05;0700 UTC;0.0;927.8;927.8;927.4;;20.9;17.8;21.2;20.8;17.8;17.5;82.0;80.0;82.0;162;4.3;2.5
2019/01/05;0800 UTC;0.0;928.3;928.3;927.8;;20.3;17.7;21.0;20.3;17.9;17.7;85.0;82.0;85.0;167;6.6;3.2
2019/01/05;0900 UTC;0.0;928.9;929.0;928.3;107.2;20.9;17.8;20.9;20.3;17.9;17.7;85.0;82.0;83.0;163;7.7;3.8
2019/01/05;1000 UTC;0.0;929.5;929.5;928.9;816.6;22.4;16.6;22.5;20.9;17.9;16.6;83.0;70.0;70.0;156;8.2;4.2
2019/01/05;1100 UTC;0.0;930.1;930.1;929.5;1347.2;24.0;16.5;24.0;22.4;16.6;16.0;70.0;63.0;63.0;132;9.0;3.7
2019/01/05;1200 UTC;0.0;930.1;930.4;930.1;2293.6;26.4;16.7;26.5;23.8;16.9;16.1;63.0;55.0;55.0;123;7.5;2.7
2019/01/05;1300 UTC;0.0;929.8;930.2;929.8;3282.2;28.5;16.5;28.9;26.3;17.3;16.1;55.0;48.0;48.0;91;6.3;2.7
2019/01/05;1400 UTC;0.0;929.2;929.8;929.2;3791.6;30.3;15.8;30.8;28.0;17.1;15.8;50.0;41.0;42.0;92;5.9;2.3
2019/01/05;1500 UTC;0.0;928.7;929.3;928.7;3710.1;30.8;15.5;32.0;29.9;16.7;15.1;43.0;38.0;40.0;48;6.8;1.5
2019/01/05;1600 UTC;1.6;928.0;928.7;928.0;1000.3;24.9;15.9;32.0;24.7;19.2;14.7;70.0;37.0;57.0;149;13.0;4.0
2019/01/05;1700 UTC;0.0;927.0;928.0;927.0;675.8;25.1;18.2;26.9;24.9;19.9;16.0;69.0;56.0;65.0;132;13.0;3.6
2019/01/05;1800 UTC;0.0;926.4;927.0;925.9;1306.1;28.8;17.5;28.8;25.1;19.0;15.3;68.0;47.0;51.0;121;7.5;1.0
2019/01/05;1900 UTC;0.4;926.8;926.8;925.9;1016.3;22.0;18.6;29.6;22.0;19.2;15.7;81.0;44.0;81.0;132;10.6;5.3
2019/01/05;2000 UTC;16.6;929.2;930.2;926.8;13.5;18.9;17.2;22.0;18.4;18.9;16.9;94.0;81.0;90.0;31;10.6;3.3
2019/01/05;2100 UTC;1.0;928.8;929.6;928.6;;19.6;17.3;20.1;18.9;17.7;16.9;90.0;83.0;87.0;211;7.0;4.0
2019/01/05;2200 UTC;1.4;929.6;929.6;928.8;;18.7;16.9;19.6;18.2;17.7;16.3;91.0;85.0;89.0;185;9.5;3.6
