Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;952.9;952.9;951.7;;26.9;16.4;27.3;26.1;16.6;16.1;55.0;50.0;53.0;151.0;5.2;3.1
2019/01/01;0100 UTC;0.0;953.3;953.3;952.9;;24.8;16.7;26.9;24.8;16.8;16.3;61.0;53.0;61.0;187.0;5.2;1.6
2019/01/01;0200 UTC;0.0;953.2;953.4;953.2;;24.1;17.9;24.8;24.1;17.9;16.7;68.0;61.0;68.0;203.0;3.1;1.8
2019/01/01;0300 UTC;0.0;952.9;953.2;952.9;;24.4;18.7;24.4;23.7;18.7;17.9;71.0;68.0;71.0;191.0;3.1;1.5
2019/01/01;0400 UTC;0.0;952.6;952.9;952.6;;24.7;19.8;24.8;24.4;19.8;18.7;74.0;71.0;74.0;157.0;5.9;2.7
2019/01/01;0500 UTC;0.0;952.9;953.0;952.6;;23.9;19.5;24.7;23.9;19.8;19.5;76.0;74.0;76.0;150.0;6.5;3.2
2019/01/01;0600 UTC;0.0;953.3;953.3;952.9;;23.3;19.3;23.9;23.3;19.5;19.3;78.0;76.0;78.0;153.0;6.0;2.6
2019/01/01;0700 UTC;0.0;953.9;954.0;953.3;;23.0;19.4;23.3;22.9;19.4;19.2;80.0;78.0;80.0;147.0;5.0;2.8
2019/01/01;0800 UTC;0.0;954.8;954.8;953.9;;22.6;19.3;23.0;22.6;19.4;19.2;81.0;80.0;81.0;146.0;6.4;2.7
2019/01/01;0900 UTC;0.0;955.5;955.5;954.8;46.0;22.9;19.0;22.9;22.5;19.3;19.0;82.0;79.0;79.0;130.0;5.6;3.3
2019/01/01;1000 UTC;0.0;956.0;956.0;955.5;351.2;24.1;18.5;24.1;22.9;19.1;18.2;79.0;71.0;71.0;131.0;6.6;3.8
2019/01/01;1100 UTC;0.0;956.6;956.6;956.0;567.7;24.6;17.6;24.9;23.9;18.4;17.4;71.0;64.0;65.0;123.0;7.5;3.4
2019/01/01;1200 UTC;0.0;956.8;956.9;956.6;1138.0;25.7;17.5;26.0;24.5;18.3;17.3;66.0;60.0;61.0;110.0;6.9;3.6
2019/01/01;1300 UTC;0.0;956.6;957.0;956.6;2241.1;28.9;16.7;28.9;25.6;18.0;16.2;62.0;48.0;48.0;124.0;8.8;4.1
2019/01/01;1400 UTC;0.0;955.9;956.7;955.9;2627.6;29.0;16.5;29.9;26.9;17.2;15.5;53.0;44.0;47.0;122.0;8.3;3.9
2019/01/01;1500 UTC;0.0;955.2;956.0;955.2;2610.6;30.1;15.0;30.6;27.8;16.9;14.6;48.0;39.0;40.0;60.0;8.1;3.1
2019/01/01;1600 UTC;0.0;954.1;955.2;954.1;2744.2;31.2;14.6;31.9;30.0;15.6;13.7;41.0;33.0;37.0;118.0;9.4;3.4
2019/01/01;1700 UTC;0.0;953.3;954.1;953.3;2723.8;32.0;14.0;32.9;30.6;15.1;13.7;38.0;32.0;33.0;136.0;8.5;3.8
2019/01/01;1800 UTC;0.0;952.7;953.3;952.7;2220.7;33.0;13.5;33.3;31.9;14.5;13.4;33.0;31.0;31.0;130.0;8.3;4.2
2019/01/01;1900 UTC;0.0;952.5;952.7;952.4;1528.2;32.8;13.4;33.2;31.5;13.9;12.8;32.0;30.0;31.0;135.0;8.3;4.3
2019/01/01;2000 UTC;0.0;952.5;952.6;952.4;949.6;32.3;12.9;33.4;32.2;13.8;12.2;32.0;29.0;31.0;125.0;7.9;4.5
2019/01/01;2100 UTC;0.0;952.8;952.8;952.4;226.2;30.7;12.3;32.3;30.7;13.0;12.2;32.0;30.0;32.0;114.0;7.1;3.3
2019/01/01;2200 UTC;0.0;953.1;953.1;952.8;;29.4;12.2;30.7;29.3;12.5;11.9;35.0;32.0;35.0;98.0;5.8;3.0
2019/01/01;2300 UTC;0.0;953.8;953.8;953.1;;29.2;12.2;29.7;29.1;12.2;11.9;35.0;34.0;35.0;96.0;5.9;3.4
2019/01/02;0000 UTC;0.0;954.4;954.4;953.8;;28.5;13.9;29.5;28.5;14.0;12.2;41.0;35.0;41.0;97.0;9.1;4.9
2019/01/02;0100 UTC;0.0;955.1;955.1;954.4;;27.1;16.8;28.6;27.0;16.8;14.0;54.0;41.0;54.0;110.0;9.4;5.4
2019/01/02;0200 UTC;0.0;955.3;955.3;955.0;;25.4;18.2;27.1;25.4;18.2;16.8;64.0;54.0;64.0;129.0;10.7;3.2
2019/01/02;0300 UTC;0.0;955.2;955.4;955.1;;24.6;19.0;25.4;24.6;19.0;18.2;71.0;64.0;71.0;128.0;6.5;3.0
2019/01/02;0400 UTC;0.0;954.5;955.2;954.5;;24.0;19.5;24.6;24.0;19.5;19.0;76.0;71.0;76.0;124.0;7.4;3.5
2019/01/02;0500 UTC;0.0;954.4;954.5;954.3;;24.0;19.5;24.0;23.9;19.6;19.5;77.0;76.0;76.0;128.0;5.9;3.8
2019/01/02;0600 UTC;0.0;954.5;954.5;954.3;;23.7;19.7;24.1;23.6;19.7;19.5;78.0;76.0;78.0;115.0;7.9;4.5
2019/01/02;0700 UTC;0.2;954.6;954.7;954.4;;22.1;20.3;23.7;21.9;20.4;19.6;90.0;78.0;89.0;108.0;7.1;2.5
2019/01/02;0800 UTC;0.2;955.0;955.0;954.6;;21.7;20.4;22.1;21.6;20.5;20.3;93.0;89.0;93.0;91.0;5.6;3.2
2019/01/02;0900 UTC;0.0;955.6;955.6;955.0;39.8;22.2;20.6;22.2;21.6;20.6;20.3;93.0;90.0;91.0;140.0;5.9;1.5
2019/01/02;1000 UTC;0.0;955.9;955.9;955.6;352.1;23.1;21.1;23.1;22.1;21.6;20.6;92.0;88.0;88.0;129.0;4.1;2.3
2019/01/02;1100 UTC;0.2;956.6;956.6;955.9;764.1;24.0;20.2;24.0;23.2;21.2;19.7;88.0;79.0;79.0;102.0;5.4;2.3
2019/01/02;1200 UTC;0.0;956.8;956.9;956.6;1456.0;26.5;18.3;26.8;24.1;20.3;16.7;79.0;56.0;61.0;114.0;8.0;5.0
2019/01/02;1300 UTC;0.0;956.5;956.9;956.5;2483.1;28.8;16.0;29.6;26.2;18.4;16.0;60.0;45.0;46.0;90.0;8.9;4.8
2019/01/02;1400 UTC;0.0;956.1;956.5;956.0;2577.2;29.4;16.6;29.6;27.8;17.1;15.8;50.0;44.0;46.0;111.0;9.7;5.0
2019/01/02;1500 UTC;0.0;955.5;956.1;955.5;2384.0;30.5;15.7;31.0;28.3;17.0;15.2;48.0;40.0;41.0;109.0;8.7;3.9
2019/01/02;1600 UTC;0.0;954.7;955.5;954.7;2199.9;30.5;15.2;31.5;29.2;16.1;14.5;43.0;37.0;40.0;110.0;10.6;3.3
2019/01/02;1700 UTC;0.0;953.9;954.7;953.8;2282.4;31.8;14.5;33.0;30.4;15.5;14.0;40.0;33.0;35.0;105.0;10.6;3.9
2019/01/02;1800 UTC;0.0;953.2;953.9;953.2;2027.6;32.6;12.9;33.1;31.4;14.7;12.9;35.0;30.0;30.0;108.0;9.3;4.7
2019/01/02;1900 UTC;0.0;952.9;953.2;952.9;1393.2;32.9;12.7;33.2;31.8;13.3;12.0;31.0;29.0;29.0;101.0;9.4;4.4
2019/01/02;2000 UTC;0.0;953.0;953.0;952.8;924.5;32.2;13.0;33.0;31.9;13.2;12.5;32.0;29.0;31.0;110.0;8.7;3.6
