Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;999.8;999.8;999.3;;23.7;20.6;24.5;23.6;20.9;20.3;83.0;78.0;83.0;206.0;1.6;0.4
2019/01/01;0100 UTC;0.0;1000.2;1000.2;999.8;;22.3;20.4;23.8;22.1;21.2;20.0;89.0;83.0;89.0;226.0;1.0;0.5
2019/01/01;0200 UTC;0.0;999.9;1000.4;999.9;;22.3;20.8;22.3;21.5;20.8;19.8;92.0;89.0;92.0;323.0;1.3;0.5
2019/01/01;0300 UTC;0.0;999.1;999.9;999.1;;21.6;20.5;22.3;21.1;20.9;19.8;93.0;91.0;93.0;356.0;1.5;1.1
2019/01/01;0400 UTC;0.0;998.8;999.1;998.8;;21.8;20.8;21.8;20.9;20.9;19.8;95.0;93.0;94.0;351.0;1.5;0.3
2019/01/01;0500 UTC;0.0;999.1;999.1;998.8;;21.7;20.8;21.9;21.5;21.0;20.6;95.0;94.0;95.0;163.0;1.1;0.4
2019/01/01;0600 UTC;0.0;999.3;999.3;999.1;;21.4;20.6;21.8;21.4;20.9;20.5;95.0;94.0;95.0;358.0;1.4;0.5
2019/01/01;0700 UTC;0.0;1000.1;1000.1;999.3;;21.4;20.8;21.6;20.9;20.9;20.0;96.0;95.0;96.0;356.0;1.1;0.8
2019/01/01;0800 UTC;0.0;1001.0;1001.0;1000.1;;21.9;21.1;21.9;21.4;21.1;20.7;96.0;95.0;95.0;18.0;2.3;0.9
2019/01/01;0900 UTC;0.0;1001.7;1001.7;1000.9;73.8;22.2;21.3;22.2;21.8;21.3;21.0;95.0;95.0;95.0;336.0;2.3;0.6
2019/01/01;1000 UTC;0.2;1002.1;1002.1;1001.6;755.2;25.0;22.0;25.4;22.1;23.4;21.2;95.0;83.0;84.0;108.0;1.8;0.7
2019/01/01;1100 UTC;0.6;1002.4;1002.4;1002.1;1405.8;27.3;23.9;27.3;24.6;24.0;22.2;90.0;82.0;82.0;52.0;3.3;0.7
2019/01/01;1200 UTC;0.0;1002.3;1002.4;1002.3;1477.3;27.0;22.0;28.0;26.4;23.4;21.4;82.0;72.0;74.0;280.0;3.0;0.5
2019/01/01;1300 UTC;0.0;1001.9;1002.3;1001.9;2278.1;30.3;21.5;30.5;26.8;22.8;20.9;75.0;58.0;59.0;109.0;5.3;2.4
2019/01/01;1400 UTC;0.0;1001.1;1001.9;1001.1;2918.9;31.5;20.0;32.2;30.0;22.0;19.2;61.0;50.0;50.0;51.0;5.3;2.9
2019/01/01;1500 UTC;0.0;1000.6;1001.1;1000.6;3462.7;33.0;19.6;33.9;31.5;20.4;17.8;51.0;40.0;45.0;74.0;6.1;3.0
2019/01/01;1600 UTC;0.0;999.8;1000.6;999.8;2473.0;33.7;19.5;33.9;31.6;19.8;17.8;47.0;40.0;44.0;39.0;6.1;2.9
2019/01/01;1700 UTC;0.0;998.9;999.8;998.9;2726.2;33.2;17.6;35.0;33.0;19.1;16.7;43.0;35.0;40.0;116.0;6.8;1.9
2019/01/01;1800 UTC;0.0;998.4;998.9;998.3;2602.3;33.4;18.5;34.7;32.3;18.8;17.0;43.0;36.0;41.0;85.0;8.5;3.2
2019/01/01;1900 UTC;0.0;998.4;998.4;998.2;1732.1;31.7;18.8;33.6;31.4;19.6;18.1;47.0;40.0;46.0;91.0;7.9;4.1
2019/01/01;2000 UTC;0.0;998.9;998.9;998.4;1174.9;30.8;19.2;32.4;30.8;19.2;18.4;50.0;44.0;50.0;77.0;7.6;4.2
2019/01/01;2100 UTC;0.0;999.6;999.6;998.9;341.0;28.5;19.6;30.9;28.5;19.7;19.3;59.0;50.0;59.0;85.0;7.7;3.5
2019/01/01;2200 UTC;0.0;1000.7;1000.7;999.6;3.4;26.4;19.5;28.5;26.3;19.7;19.5;66.0;59.0;66.0;95.0;6.4;2.3
2019/01/01;2300 UTC;0.0;1001.6;1001.6;1000.7;;24.2;20.0;26.4;24.2;20.2;19.4;77.0;66.0;77.0;333.0;4.1;0.7
2019/01/02;0000 UTC;0.0;1002.4;1002.4;1001.6;;24.2;20.3;24.5;23.8;20.4;19.5;79.0;76.0;79.0;30.0;3.2;1.1
2019/01/02;0100 UTC;0.0;1002.9;1002.9;1002.4;;22.1;20.1;24.3;22.1;20.8;19.3;88.0;78.0;88.0;184.0;1.8;0.7
2019/01/02;0200 UTC;0.0;1002.7;1002.9;1002.7;;21.2;19.8;22.3;21.1;20.6;19.4;91.0;88.0;91.0;109.0;1.0;0.4
2019/01/02;0300 UTC;0.0;1001.8;1002.7;1001.8;;20.7;19.6;21.4;20.6;20.2;19.4;93.0;91.0;93.0;163.0;0.8;0.2
2019/01/02;0400 UTC;0.0;1000.9;1001.8;1000.9;;20.1;19.2;21.2;19.9;20.2;18.9;94.0;93.0;94.0;50.0;0.8;0.5
2019/01/02;0500 UTC;0.0;1000.8;1000.9;1000.8;;19.6;18.9;21.0;19.2;20.3;18.2;96.0;94.0;96.0;90.0;1.0;0.3
2019/01/02;0600 UTC;0.0;1000.7;1000.8;1000.7;;20.1;19.5;20.5;19.3;19.9;18.6;98.0;95.0;96.0;11.0;0.8;0.3
2019/01/02;0700 UTC;0.0;1000.9;1000.9;1000.6;;20.0;19.4;20.8;19.4;20.2;18.8;97.0;96.0;97.0;13.0;1.1;0.5
2019/01/02;0800 UTC;0.0;1001.4;1001.4;1000.9;;20.6;19.9;20.6;19.5;19.9;18.8;97.0;96.0;96.0;106.0;1.0;0.4
2019/01/02;0900 UTC;0.0;1002.1;1002.1;1001.4;100.7;21.5;20.7;21.5;20.3;20.8;19.6;96.0;96.0;96.0;140.0;1.7;0.9
2019/01/02;1000 UTC;0.0;1002.4;1002.5;1002.1;645.7;23.5;21.9;23.6;21.4;22.5;20.7;96.0;91.0;91.0;68.0;1.9;0.4
2019/01/02;1100 UTC;0.0;1002.8;1002.8;1002.4;1280.4;25.6;21.8;25.7;23.4;22.5;21.4;91.0;79.0;79.0;239.0;2.0;0.7
2019/01/02;1200 UTC;0.0;1003.1;1003.1;1002.8;1917.4;28.1;21.5;28.5;25.5;22.7;21.4;80.0;67.0;67.0;96.0;3.5;1.8
2019/01/02;1300 UTC;0.0;1002.8;1003.1;1002.8;2738.6;29.1;20.8;30.2;27.1;22.5;20.6;71.0;60.0;61.0;146.0;5.0;2.1
2019/01/02;1400 UTC;0.0;1002.1;1002.8;1002.1;3233.5;31.0;20.6;31.5;29.0;21.7;20.0;62.0;53.0;54.0;133.0;5.9;3.5
2019/01/02;1500 UTC;0.0;1001.4;1002.1;1001.4;3073.2;32.8;19.4;32.8;30.4;21.0;18.8;54.0;45.0;45.0;115.0;5.7;2.8
2019/01/02;1600 UTC;0.0;1001.1;1001.5;1001.0;3295.8;32.8;19.6;33.5;30.4;21.6;17.7;56.0;41.0;46.0;69.0;8.6;3.2
2019/01/02;1700 UTC;0.0;1000.6;1001.1;1000.6;2070.2;30.9;18.7;33.7;30.7;20.5;18.1;51.0;44.0;49.0;85.0;6.7;4.0
2019/01/02;1800 UTC;0.0;1000.1;1000.6;1000.1;2201.2;32.7;19.7;33.1;30.6;20.3;18.4;50.0;44.0;46.0;100.0;8.6;4.4
2019/01/02;1900 UTC;0.0;1000.1;1000.2;1000.0;1632.6;30.8;19.4;32.7;30.4;19.4;18.2;51.0;45.0;51.0;65.0;8.6;3.3
2019/01/02;2000 UTC;0.0;1000.2;1000.2;1000.1;1174.6;29.9;18.9;30.9;29.9;19.2;18.1;53.0;47.0;52.0;84.0;6.6;3.6
2019/01/02;2100 UTC;0.0;1000.8;1000.8;1000.2;345.3;27.9;18.8;30.0;27.9;19.2;18.7;58.0;52.0;58.0;72.0;6.0;2.8
2019/01/02;2200 UTC;0.0;1001.0;1001.0;1000.8;2.4;25.6;19.1;27.9;25.6;19.2;18.7;67.0;58.0;67.0;23.0;4.9;1.4
2019/01/02;2300 UTC;0.0;1001.5;1001.5;1001.0;;23.6;20.2;25.7;23.6;20.5;19.1;81.0;67.0;81.0;191.0;3.0;0.6
2019/01/03;0000 UTC;0.0;1002.0;1002.0;1001.5;;21.5;19.2;23.6;21.5;20.4;19.2;87.0;81.0;87.0;345.0;1.2;0.4
2019/01/03;0100 UTC;0.0;1002.3;1002.3;1002.0;;20.5;18.9;21.6;20.5;19.8;18.7;91.0;86.0;91.0;327.0;1.0;0.3
2019/01/03;0200 UTC;0.0;1001.9;1002.3;1001.9;;20.0;18.8;20.6;19.6;19.2;18.2;93.0;91.0;93.0;64.0;0.9;0.3
2019/01/03;0300 UTC;0.0;1001.3;1001.9;1001.3;;20.0;18.9;20.5;19.7;19.4;18.6;94.0;93.0;94.0;70.0;0.8;0.4
2019/01/03;0400 UTC;0.0;1000.8;1001.3;1000.8;;20.6;19.6;20.7;20.0;19.7;19.0;94.0;94.0;94.0;166.0;0.8;0.3
2019/01/03;0500 UTC;0.0;1000.1;1000.8;1000.1;;19.8;19.0;20.7;19.7;19.7;18.8;95.0;94.0;95.0;48.0;1.3;0.8
2019/01/03;0600 UTC;0.0;999.9;1000.1;999.9;;19.5;18.7;20.0;19.0;19.2;18.2;96.0;95.0;96.0;47.0;1.3;0.4
2019/01/03;0700 UTC;0.0;1000.2;1000.3;999.9;;19.8;19.1;19.8;19.0;19.1;18.3;96.0;96.0;96.0;328.0;1.2;0.3
2019/01/03;0800 UTC;0.0;1000.8;1000.8;1000.2;;19.6;18.8;19.8;19.1;19.2;18.4;96.0;95.0;96.0;117.0;1.2;0.7
2019/01/03;0900 UTC;0.0;1001.8;1001.8;1000.8;103.8;20.3;19.6;20.3;19.1;19.6;18.4;96.0;96.0;96.0;101.0;1.8;0.4
2019/01/03;1000 UTC;0.0;1002.2;1002.2;1001.8;808.5;23.3;20.4;23.7;20.3;22.0;19.6;96.0;83.0;84.0;357.0;2.1;1.2
2019/01/03;1100 UTC;0.0;1002.5;1002.5;1002.2;1702.4;25.6;20.6;26.6;23.3;21.6;20.3;84.0;72.0;74.0;208.0;2.3;1.0
2019/01/03;1200 UTC;0.0;1002.3;1002.5;1002.2;2094.8;27.1;20.6;27.8;25.5;21.5;20.4;76.0;66.0;68.0;20.0;3.2;1.0
2019/01/03;1300 UTC;0.0;1001.7;1002.3;1001.7;2308.2;29.5;20.2;29.5;26.8;21.6;19.7;70.0;58.0;58.0;30.0;3.5;1.5
2019/01/03;1400 UTC;0.0;1000.9;1001.7;1000.9;2055.7;29.4;19.5;30.9;28.8;20.7;18.8;59.0;52.0;55.0;340.0;3.6;1.3
2019/01/03;1500 UTC;0.0;1000.3;1000.9;1000.3;2830.6;31.0;17.7;32.0;29.3;19.8;17.7;55.0;45.0;45.0;270.0;3.9;1.1
2019/01/03;1600 UTC;0.0;999.1;1000.3;999.1;3686.3;33.0;17.7;33.6;30.9;19.7;16.9;47.0;38.0;40.0;57.0;5.2;1.8
2019/01/03;1700 UTC;0.0;998.2;999.1;998.2;2449.3;32.8;17.2;34.3;31.4;19.4;16.9;47.0;37.0;40.0;111.0;5.0;2.2
2019/01/03;1800 UTC;0.0;997.5;998.2;997.4;2222.4;32.2;16.0;34.3;31.6;18.4;15.5;44.0;33.0;38.0;86.0;6.7;3.5
2019/01/03;1900 UTC;0.0;997.3;997.5;997.2;1736.6;32.9;15.8;33.8;31.7;17.2;14.5;40.0;32.0;36.0;95.0;7.1;2.7
2019/01/03;2000 UTC;0.0;997.7;997.7;997.3;1221.8;31.6;17.5;32.9;31.6;17.5;15.0;43.0;34.0;43.0;58.0;6.5;3.4
2019/01/03;2100 UTC;0.0;998.4;998.4;997.7;346.6;28.9;18.1;31.6;28.9;18.2;17.5;52.0;43.0;52.0;77.0;6.5;3.3
2019/01/03;2200 UTC;0.0;999.1;999.1;998.4;3.2;26.9;18.3;28.9;26.9;18.4;18.1;59.0;52.0;59.0;73.0;6.0;2.3
2019/01/03;2300 UTC;0.0;999.6;999.6;999.1;;25.3;18.1;26.9;25.3;18.3;18.0;64.0;59.0;64.0;60.0;4.4;0.9
2019/01/04;0000 UTC;0.0;1000.8;1000.8;999.6;;23.3;19.2;25.3;23.0;19.2;18.0;78.0;64.0;78.0;337.0;2.8;0.8
2019/01/04;0100 UTC;0.0;1001.4;1001.5;1000.8;;21.5;18.8;23.8;21.5;19.5;18.0;85.0;75.0;85.0;353.0;1.5;0.5
2019/01/04;0200 UTC;0.0;1001.3;1001.8;1001.3;;19.9;18.1;21.5;19.9;19.2;18.0;90.0;84.0;89.0;42.0;1.7;0.6
2019/01/04;0300 UTC;0.0;1000.4;1001.3;1000.4;;19.4;18.1;20.2;19.4;18.7;18.1;93.0;89.0;92.0;87.0;1.1;0.4
2019/01/04;0400 UTC;0.0;1000.0;1000.4;1000.0;;19.9;18.9;20.1;19.1;19.1;18.0;94.0;92.0;94.0;49.0;1.1;0.4
2019/01/04;0500 UTC;0.0;1000.0;1000.0;999.8;;20.4;19.5;20.4;19.8;19.5;18.8;94.0;94.0;94.0;9.0;0.9;0.5
2019/01/04;0600 UTC;0.0;1000.0;1000.1;999.9;;20.3;19.4;20.5;20.2;19.6;19.3;95.0;94.0;95.0;108.0;1.5;0.7
2019/01/04;0700 UTC;0.0;1000.5;1000.5;1000.0;;19.3;18.5;20.4;19.1;19.6;18.2;95.0;94.0;95.0;86.0;1.6;1.0
2019/01/04;0800 UTC;0.0;1001.1;1001.2;1000.5;;20.1;19.4;20.3;19.3;19.6;18.5;96.0;95.0;96.0;62.0;1.6;0.5
2019/01/04;0900 UTC;0.0;1001.9;1001.9;1001.1;77.7;20.2;19.5;20.2;19.7;19.5;19.0;96.0;96.0;96.0;64.0;1.1;0.7
2019/01/04;1000 UTC;0.0;1002.3;1002.3;1001.9;590.1;23.5;21.4;23.5;20.2;22.1;19.6;96.0;88.0;88.0;81.0;1.3;0.7
2019/01/04;1100 UTC;0.0;1002.4;1002.4;1002.2;1303.4;25.9;21.2;26.0;23.5;21.6;20.6;88.0;74.0;75.0;211.0;2.7;0.8
2019/01/04;1200 UTC;0.0;1002.6;1002.6;1002.4;1586.8;26.9;20.1;27.5;25.9;21.5;20.1;76.0;66.0;66.0;301.0;3.4;1.4
2019/01/04;1300 UTC;0.0;1001.7;1002.6;1001.7;2843.1;29.7;19.9;30.3;26.5;21.2;19.4;70.0;54.0;56.0;288.0;3.4;1.5
2019/01/04;1400 UTC;0.0;1000.6;1001.7;1000.6;2711.9;31.4;19.0;31.9;28.8;20.7;19.0;58.0;47.0;48.0;152.0;3.7;1.4
2019/01/04;1500 UTC;0.0;999.7;1000.6;999.7;3400.7;32.2;17.0;33.6;30.3;19.4;16.3;50.0;36.0;40.0;309.0;4.4;1.8
2019/01/04;1600 UTC;0.0;999.0;999.7;999.0;2715.7;33.6;14.7;34.0;31.4;18.6;14.7;43.0;32.0;32.0;344.0;5.8;2.1
2019/01/04;1700 UTC;0.0;997.9;999.0;997.9;3151.5;34.2;16.3;35.0;32.6;17.1;14.3;36.0;31.0;34.0;39.0;6.3;2.1
2019/01/04;1800 UTC;0.0;996.9;997.9;996.9;2433.4;33.0;15.7;35.4;32.8;16.7;14.8;36.0;31.0;35.0;49.0;6.8;1.5
