Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;985.4;985.4;984.9;;25.1;17.1;27.1;25.1;18.2;17.0;62.0;57.0;62.0;148.0;2.6;0.9
2019/01/01;0100 UTC;0.0;986.0;986.0;985.4;;28.5;17.4;28.9;24.2;18.2;16.3;66.0;48.0;51.0;23.0;5.7;3.2
2019/01/01;0200 UTC;0.0;986.3;986.3;986.0;;28.2;18.5;28.5;27.7;18.5;17.4;56.0;51.0;55.0;24.0;7.8;3.8
2019/01/01;0300 UTC;0.0;986.2;986.3;986.1;;27.5;17.6;28.2;27.5;18.5;17.6;57.0;54.0;55.0;19.0;9.7;5.4
2019/01/01;0400 UTC;0.0;985.9;986.2;985.9;;26.6;18.2;27.5;26.6;18.2;17.6;60.0;55.0;60.0;7.0;9.7;3.1
2019/01/01;0500 UTC;0.0;986.2;986.2;985.9;;26.1;19.0;26.6;26.1;19.0;18.2;65.0;60.0;65.0;357.0;7.0;3.0
2019/01/01;0600 UTC;0.0;986.4;986.4;986.2;;25.7;19.5;26.1;25.7;19.6;19.0;69.0;65.0;69.0;7.0;6.0;2.6
2019/01/01;0700 UTC;0.0;987.1;987.1;986.4;;24.7;20.1;25.7;24.7;20.1;19.5;76.0;69.0;76.0;20.0;4.3;1.6
2019/01/01;0800 UTC;0.0;988.0;988.0;987.1;;24.2;20.3;24.7;24.0;20.3;20.1;79.0;76.0;79.0;58.0;2.7;0.8
2019/01/01;0900 UTC;0.0;988.6;988.6;988.0;11.6;25.1;20.8;25.1;23.8;20.8;20.0;79.0;77.0;77.0;28.0;2.4;1.4
2019/01/01;1000 UTC;0.0;989.0;989.0;988.6;215.9;26.5;20.8;26.5;25.1;20.9;20.7;77.0;71.0;71.0;50.0;4.6;2.7
2019/01/01;1100 UTC;0.0;989.3;989.3;989.0;625.4;28.1;19.6;28.4;26.3;21.0;18.7;71.0;57.0;60.0;110.0;6.8;3.1
2019/01/01;1200 UTC;0.0;989.2;989.3;989.1;1525.9;30.5;17.8;30.5;28.1;19.7;17.2;60.0;46.0;47.0;134.0;7.2;3.5
2019/01/01;1300 UTC;0.0;989.1;989.3;989.0;1866.2;30.8;16.4;31.5;29.8;17.8;16.4;47.0;41.0;42.0;120.0;7.9;2.7
2019/01/01;1400 UTC;0.0;988.3;989.1;988.3;2080.1;32.4;15.7;33.0;30.8;17.4;15.4;44.0;36.0;37.0;140.0;8.6;4.0
