Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;977.9;977.9;977.1;0.0;28.4;18.7;28.9;28.3;18.7;16.6;56.0;48.0;56.0;3.0;5.1;2.2
2019/01/01;0100 UTC;0.0;978.4;978.4;977.9;0.0;27.0;20.0;28.5;27.0;20.1;18.8;66.0;56.0;66.0;357.0;4.9;1.7
2019/01/01;0200 UTC;0.0;978.6;978.6;978.4;0.0;26.2;20.8;27.0;26.2;20.8;20.0;72.0;66.0;72.0;12.0;3.9;1.4
2019/01/01;0300 UTC;0.0;978.4;978.6;978.3;0.0;25.4;21.1;26.3;25.4;21.2;20.8;77.0;72.0;77.0;348.0;4.7;1.4
2019/01/01;0400 UTC;0.0;978.1;978.4;978.0;0.0;25.0;21.3;25.4;25.0;21.3;21.1;80.0;77.0;80.0;336.0;3.2;1.5
2019/01/01;0500 UTC;0.0;978.0;978.1;977.9;0.0;24.5;21.3;25.0;24.4;21.3;21.2;83.0;80.0;83.0;26.0;3.5;2.1
2019/01/01;0600 UTC;0.0;978.4;978.4;978.0;0.0;23.9;21.3;24.5;23.9;21.3;21.3;86.0;83.0;86.0;34.0;3.8;1.8
2019/01/01;0700 UTC;0.0;978.8;978.8;978.3;0.0;23.4;21.2;23.9;23.4;21.3;21.2;88.0;86.0;88.0;49.0;3.4;1.9
2019/01/01;0800 UTC;0.0;979.8;979.8;978.8;0.0;23.0;21.4;23.4;23.0;21.4;21.2;91.0;88.0;91.0;70.0;3.4;1.8
2019/01/01;0900 UTC;0.0;980.1;980.2;979.8;23.8;22.7;21.7;23.0;22.7;21.7;21.4;94.0;91.0;94.0;39.0;4.1;1.3
2019/01/01;1000 UTC;0.0;980.9;980.9;980.1;428.1;23.9;22.0;23.9;22.7;22.0;21.7;94.0;88.0;89.0;57.0;2.5;1.2
2019/01/01;1100 UTC;0.0;981.2;981.2;980.9;967.2;25.7;21.7;26.3;23.8;22.3;21.6;89.0;76.0;79.0;111.0;3.0;1.3
2019/01/01;1200 UTC;0.0;981.3;981.4;981.2;2111.2;28.7;21.6;28.7;25.7;22.3;21.1;79.0;65.0;65.0;124.0;5.2;2.2
2019/01/01;1300 UTC;0.0;980.9;981.3;980.9;2786.2;30.8;19.4;31.2;28.1;21.5;19.1;65.0;49.0;51.0;117.0;8.3;3.8
2019/01/01;1400 UTC;0.0;980.3;981.0;980.3;3535.2;32.6;18.4;32.9;30.8;20.1;18.2;51.0;42.0;43.0;122.0;8.5;3.4
2019/01/01;1500 UTC;0.0;979.4;980.4;979.4;3657.3;33.1;17.7;34.1;31.5;18.8;17.6;46.0;38.0;40.0;116.0;8.1;3.1
2019/01/01;1600 UTC;0.0;978.4;979.4;978.4;3549.6;33.7;18.1;34.2;32.5;18.4;16.6;41.0;36.0;40.0;109.0;8.6;2.7
2019/01/01;1700 UTC;0.0;977.6;978.4;977.6;3224.2;34.6;16.4;35.1;33.6;19.1;16.4;40.0;34.0;34.0;111.0;7.0;3.0
2019/01/01;1800 UTC;0.0;976.7;977.6;976.7;2662.9;34.5;16.5;35.9;33.9;17.6;15.2;36.0;30.0;34.0;98.0;7.1;2.9
2019/01/01;1900 UTC;0.0;976.5;976.7;976.4;1853.3;34.6;15.7;35.3;33.9;16.6;15.3;35.0;31.0;32.0;100.0;8.3;3.4
2019/01/01;2000 UTC;0.0;976.8;976.8;976.4;1136.0;34.0;15.3;34.7;33.8;16.2;14.9;34.0;31.0;33.0;119.0;8.0;2.7
2019/01/01;2100 UTC;0.0;977.0;977.1;976.7;241.4;31.7;16.0;34.0;31.7;16.0;15.0;39.0;32.0;39.0;124.0;5.5;1.3
2019/01/01;2200 UTC;0.0;977.5;977.5;977.0;0.0;29.8;15.9;31.7;29.8;16.1;15.7;43.0;39.0;43.0;128.0;2.6;1.0
2019/01/01;2300 UTC;0.0;978.2;978.2;977.5;0.0;28.8;15.7;29.8;28.7;16.0;15.6;45.0;43.0;45.0;131.0;2.1;0.9
2019/01/02;0000 UTC;0.0;978.5;978.5;978.2;0.0;27.5;17.2;28.8;27.5;17.2;15.6;54.0;45.0;54.0;182.0;1.9;0.8
2019/01/02;0100 UTC;0.0;979.1;979.1;978.5;0.0;26.6;16.9;27.5;26.1;17.7;16.5;58.0;54.0;55.0;70.0;2.6;1.4
2019/01/02;0200 UTC;0.0;979.0;979.1;978.9;0.0;26.1;16.2;26.8;26.1;16.9;16.0;55.0;52.0;54.0;355.0;3.5;1.6
2019/01/02;0300 UTC;0.0;979.1;979.1;978.9;0.0;25.8;15.7;26.7;25.8;16.1;15.4;54.0;50.0;54.0;359.0;2.7;1.6
2019/01/02;0400 UTC;0.0;978.8;979.1;978.8;0.0;25.2;17.0;25.8;25.2;17.0;15.7;61.0;54.0;61.0;1.0;3.2;1.0
2019/01/02;0500 UTC;0.0;978.9;979.0;978.8;0.0;24.3;17.9;25.2;24.3;17.9;17.0;67.0;61.0;67.0;339.0;2.4;0.7
2019/01/02;0600 UTC;0.0;979.0;979.0;978.8;0.0;23.6;18.2;24.5;23.6;18.2;17.7;72.0;67.0;72.0;206.0;2.2;0.7
2019/01/02;0700 UTC;0.0;979.3;979.3;979.0;0.0;22.7;18.4;23.6;22.7;18.6;18.1;78.0;72.0;77.0;181.0;1.9;0.7
2019/01/02;0800 UTC;0.0;979.8;979.8;979.3;0.0;22.6;18.8;22.8;22.3;18.8;18.4;79.0;77.0;79.0;217.0;2.1;1.0
2019/01/02;0900 UTC;0.0;980.4;980.4;979.8;31.9;22.6;18.7;22.9;22.5;18.9;18.7;79.0;78.0;79.0;198.0;2.0;1.3
2019/01/02;1000 UTC;0.0;980.9;980.9;980.4;540.7;26.5;19.9;26.5;22.4;20.4;18.6;80.0;67.0;67.0;119.0;2.1;0.6
2019/01/02;1100 UTC;0.0;981.1;981.1;980.9;1433.8;27.6;20.6;28.2;25.7;21.5;19.9;73.0;64.0;65.0;103.0;8.5;3.8
2019/01/02;1200 UTC;0.0;981.5;981.5;981.1;2389.8;29.3;19.7;29.9;27.6;21.4;19.4;66.0;55.0;56.0;105.0;10.1;4.6
2019/01/02;1300 UTC;0.0;981.1;981.5;981.1;2918.2;30.9;19.4;31.1;29.3;19.9;18.5;57.0;48.0;50.0;97.0;10.8;4.3
2019/01/02;1400 UTC;0.0;980.4;981.1;980.3;3426.3;32.7;18.7;32.9;30.0;19.7;17.8;52.0;42.0;44.0;103.0;10.9;4.1
2019/01/02;1500 UTC;0.0;979.3;980.4;979.3;3769.2;33.2;17.5;33.9;32.2;19.3;17.2;45.0;38.0;39.0;104.0;9.9;4.7
2019/01/02;1600 UTC;0.0;978.3;979.3;978.3;2307.6;32.6;16.9;33.8;32.0;18.3;16.4;42.0;37.0;39.0;73.0;9.6;3.9
2019/01/02;1700 UTC;0.0;977.6;978.3;977.6;2781.2;34.4;17.0;35.2;32.6;17.9;16.0;39.0;33.0;36.0;92.0;;3.2
2019/01/02;1800 UTC;0.0;977.0;977.6;977.0;2317.9;34.1;16.2;35.9;33.7;17.2;15.7;37.0;31.0;34.0;116.0;;3.1
