Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/09/18;0000 UTC;;;;;;;;;;;;;;;;;
2019/09/18;0100 UTC;;;;;;;;;;;;;;;;;
2019/09/18;0200 UTC;;;;;;;;;;;;;;;;;
2019/09/18;0300 UTC;;;;;;;;;;;;;;;;;
2019/09/18;0400 UTC;;;;;;;;;;;;;;;;;
2019/09/18;0500 UTC;;;;;;;;;;;;;;;;;
2019/09/18;0600 UTC;;;;;;;;;;;;;;;;;
2019/09/18;0700 UTC;;;;;;;;;;;;;;;;;
2019/09/18;0800 UTC;;;;;;;;;;;;;;;;;
2019/09/18;0900 UTC;;;;;;;;;;;;;;;;;
2019/09/18;1000 UTC;;;;;;;;;;;;;;;;;
2019/09/18;1100 UTC;;;;;;;;;;;;;;;;;
2019/09/18;1200 UTC;;;;;;;;;;;;;;;;;
2019/09/18;1300 UTC;;;;;;;;;;;;;;;;;
2019/09/18;1400 UTC;;;;;;;;;;;;;;;;;
2019/09/18;1500 UTC;;;;;;;;;;;;;;;;;
2019/09/18;1600 UTC;;;;;;;;;;;;;;;;;
2019/09/18;1700 UTC;;;;;;;;;;;;;;;;;
2019/09/18;1800 UTC;0.0;1002.8;1003.3;1002.7;2775.3;33.8;19.7;35.2;33.5;21.1;19.5;46.0;42.0;44.0;99.0;8.5;3.6
2019/09/18;1900 UTC;0.0;1002.6;1002.8;1002.5;2023.0;33.4;20.1;34.7;33.4;20.8;19.2;46.0;40.0;46.0;82.0;9.0;4.3
2019/09/18;2000 UTC;0.0;1002.8;1002.8;1002.5;1013.4;33.1;20.5;34.0;33.0;20.7;20.1;48.0;45.0;48.0;89.0;7.6;3.1
2019/09/18;2100 UTC;0.0;1003.2;1003.3;1002.8;250.6;31.2;20.9;33.1;31.2;20.9;20.4;54.0;48.0;54.0;85.0;7.0;2.7
2019/09/18;2200 UTC;0.0;1003.8;1003.8;1003.2;0.0;29.5;21.4;31.2;29.5;21.4;20.9;62.0;54.0;62.0;80.0;4.7;2.7
2019/09/18;2300 UTC;0.0;1004.7;1004.7;1003.8;0.0;28.1;21.7;29.5;28.1;21.7;21.4;68.0;62.0;68.0;72.0;6.5;4.2
2019/09/19;0000 UTC;0.0;1005.4;1005.4;1004.7;0.0;27.0;21.4;28.1;27.0;21.7;21.4;72.0;68.0;72.0;72.0;7.4;3.3
2019/09/19;0100 UTC;0.0;1005.8;1005.8;1005.4;0.0;26.0;21.4;27.0;26.0;21.5;21.4;76.0;72.0;76.0;71.0;6.0;3.2
