Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;952.4;952.5;952.4;;23.2;20.1;24.3;23.2;20.1;19.6;83.0;75.0;83.0;192.0;9.5;5.2
2019/01/01;0100 UTC;0.0;952.7;952.7;952.3;;22.9;20.5;23.2;22.8;20.5;20.1;87.0;83.0;87.0;189.0;10.5;5.1
2019/01/01;0200 UTC;0.0;952.6;952.7;952.5;;22.5;20.6;22.9;22.5;20.7;20.4;89.0;87.0;89.0;187.0;8.8;4.8
2019/01/01;0300 UTC;0.0;952.0;952.6;952.0;;22.3;20.5;22.5;22.3;20.7;20.5;90.0;89.0;90.0;209.0;9.4;4.9
2019/01/01;0400 UTC;0.0;951.4;952.0;951.4;;22.1;20.6;22.3;22.0;20.7;20.5;91.0;90.0;91.0;190.0;7.7;3.0
2019/01/01;0500 UTC;0.0;951.7;951.7;951.4;;22.1;20.8;22.2;22.0;20.8;20.5;92.0;90.0;92.0;187.0;5.9;2.8
2019/01/01;0600 UTC;0.0;951.9;951.9;951.6;;22.1;21.0;22.2;22.0;21.0;20.8;94.0;92.0;94.0;193.0;8.9;3.8
2019/01/01;0700 UTC;0.0;952.6;952.6;951.9;;22.0;21.0;22.2;22.0;21.2;20.9;94.0;93.0;94.0;172.0;7.6;3.6
2019/01/01;0800 UTC;0.0;953.3;953.3;952.6;;21.9;21.0;22.1;21.8;21.1;20.9;95.0;94.0;95.0;187.0;6.3;3.5
2019/01/01;0900 UTC;0.0;953.8;953.8;953.3;249.8;22.7;21.3;22.7;21.8;21.4;20.9;95.0;92.0;92.0;188.0;7.0;4.0
2019/01/01;1000 UTC;0.0;954.1;954.2;953.8;919.7;24.0;20.8;24.0;22.7;21.6;20.5;92.0;82.0;83.0;185.0;7.0;3.9
2019/01/01;1100 UTC;0.0;954.4;954.4;954.1;1901.0;25.9;19.2;26.4;23.9;21.1;19.0;83.0;65.0;66.0;181.0;9.2;4.7
2019/01/01;1200 UTC;0.0;954.4;954.5;954.4;2334.8;26.6;18.4;28.0;25.9;19.9;18.1;66.0;58.0;61.0;173.0;8.7;3.8
2019/01/01;1300 UTC;0.0;953.9;954.4;953.9;2331.1;29.1;18.4;29.1;26.6;19.5;17.9;62.0;53.0;53.0;188.0;9.5;3.7
2019/01/01;1400 UTC;0.0;953.6;954.0;953.5;3297.2;29.9;17.4;30.7;28.5;18.8;17.4;54.0;46.0;47.0;172.0;9.1;4.1
2019/01/01;1500 UTC;0.0;952.7;953.5;952.7;3251.7;30.5;18.2;31.3;29.6;18.5;17.5;49.0;45.0;48.0;187.0;10.4;5.4
2019/01/01;1600 UTC;0.0;952.1;952.7;952.0;2939.6;29.3;18.9;32.5;29.3;19.1;17.3;54.0;42.0;54.0;178.0;12.2;6.9
2019/01/01;1700 UTC;0.0;951.7;952.2;951.7;2113.8;29.4;20.0;30.7;28.3;20.2;18.2;61.0;51.0;57.0;190.0;12.5;5.8
2019/01/01;1800 UTC;0.0;951.7;951.8;951.6;1967.9;28.4;19.4;30.5;28.4;20.0;18.0;58.0;50.0;58.0;189.0;10.3;5.2
2019/01/01;1900 UTC;0.0;951.8;951.9;951.5;1246.8;28.9;19.6;29.3;28.3;19.9;19.2;59.0;56.0;57.0;195.0;9.6;5.4
2019/01/01;2000 UTC;0.0;952.5;952.5;951.8;734.1;27.5;19.7;29.0;27.5;19.8;19.3;62.0;56.0;62.0;198.0;11.8;6.3
2019/01/01;2100 UTC;0.0;953.2;953.2;952.5;21.0;26.1;20.0;27.5;26.0;20.1;19.5;69.0;62.0;69.0;196.0;11.8;5.6
2019/01/01;2200 UTC;0.0;954.0;954.0;953.2;;25.2;19.7;26.1;25.2;20.0;19.6;71.0;69.0;71.0;187.0;9.5;4.3
2019/01/01;2300 UTC;0.0;954.7;954.7;954.0;;24.6;20.0;25.2;24.6;20.0;19.7;76.0;71.0;76.0;188.0;10.0;4.4
2019/01/02;0000 UTC;0.0;955.1;955.1;954.6;;24.1;20.5;24.6;24.1;20.5;20.0;80.0;76.0;80.0;190.0;7.9;3.9
2019/01/02;0100 UTC;0.0;954.9;955.1;954.8;;23.5;20.4;24.1;23.4;20.5;20.3;83.0;80.0;83.0;199.0;8.3;4.2
2019/01/02;0200 UTC;0.0;954.2;954.9;954.1;;22.8;20.4;23.5;22.8;20.5;20.3;86.0;83.0;86.0;200.0;7.4;3.5
2019/01/02;0300 UTC;0.0;953.5;954.2;953.5;;22.5;20.3;22.8;22.5;20.4;20.3;88.0;86.0;88.0;198.0;6.3;3.4
2019/01/02;0400 UTC;0.0;953.1;953.5;953.1;;22.5;20.4;22.5;22.4;20.5;20.3;89.0;88.0;88.0;194.0;6.3;3.3
2019/01/02;0500 UTC;0.0;953.0;953.1;953.0;;22.2;20.6;22.5;22.2;20.6;20.4;90.0;88.0;90.0;197.0;6.8;3.6
