Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;;998.2;998.2;997.9;;25.1;22.0;25.1;24.9;22.1;21.9;84.0;83.0;83.0;123.0;0.0;0.0
2019/01/01;0100 UTC;;998.1;998.2;998.1;;25.2;22.1;25.3;25.0;22.2;21.9;83.0;83.0;83.0;139.0;0.0;0.0
2019/01/01;0200 UTC;;997.8;998.1;997.8;;25.1;22.4;25.3;25.1;22.5;22.1;85.0;83.0;85.0;160.0;0.0;0.0
2019/01/01;0300 UTC;;997.3;997.8;997.3;;24.9;22.4;25.1;24.7;22.4;22.3;86.0;85.0;86.0;151.0;0.0;0.0
2019/01/01;0400 UTC;;996.7;997.3;996.7;;24.3;21.9;24.9;24.3;22.4;21.9;86.0;86.0;86.0;177.0;0.0;0.0
2019/01/01;0500 UTC;;996.8;996.8;996.6;;24.1;22.0;24.4;24.1;22.2;21.9;88.0;86.0;88.0;190.0;0.0;0.0
2019/01/01;0600 UTC;;997.3;997.3;996.8;;24.0;22.0;24.1;23.9;22.1;21.9;89.0;88.0;89.0;181.0;0.0;0.0
2019/01/01;0700 UTC;;997.5;997.5;997.3;;23.6;21.7;24.0;23.6;22.0;21.7;89.0;89.0;89.0;182.0;0.0;0.0
2019/01/01;0800 UTC;;998.5;998.5;997.6;;23.5;21.7;23.7;23.5;21.9;21.7;90.0;89.0;90.0;176.0;0.0;0.0
2019/01/01;0900 UTC;;999.2;999.2;998.5;196.0;24.5;22.4;24.5;23.4;22.4;21.6;90.0;88.0;88.0;174.0;0.0;0.0
2019/01/01;1000 UTC;;999.5;999.5;999.2;940.4;26.5;22.5;26.5;24.5;22.6;22.3;88.0;78.0;79.0;165.0;3.1;0.0
2019/01/01;1100 UTC;;999.6;999.6;999.3;1622.3;28.5;21.4;28.6;26.5;22.9;20.9;79.0;65.0;66.0;144.0;7.3;0.0
2019/01/01;1200 UTC;;999.6;999.8;999.5;1969.3;29.7;19.9;30.4;28.3;21.8;19.9;66.0;55.0;56.0;136.0;6.7;0.2
2019/01/01;1300 UTC;;999.3;999.6;999.2;2534.7;30.6;19.6;31.7;29.8;20.4;18.9;56.0;48.0;52.0;138.0;8.9;1.6
2019/01/01;1400 UTC;;999.2;999.3;999.0;2652.7;31.4;20.1;32.1;30.0;20.9;19.0;55.0;49.0;51.0;113.0;10.9;1.5
2019/01/01;1500 UTC;;998.5;999.2;998.5;2697.5;30.3;19.9;31.7;30.1;20.5;19.0;54.0;48.0;54.0;137.0;9.7;2.2
2019/01/01;1600 UTC;;997.8;998.5;997.7;2965.7;31.7;19.4;32.4;30.2;20.4;18.8;54.0;45.0;48.0;118.0;10.4;2.4
2019/01/01;1700 UTC;;997.2;997.8;997.1;2920.1;30.8;19.5;32.4;30.5;19.9;18.6;51.0;46.0;51.0;122.0;10.9;3.0
2019/01/01;1800 UTC;;996.9;997.2;996.9;2288.1;30.8;19.9;31.5;30.3;20.2;19.4;53.0;51.0;52.0;124.0;10.3;1.9
2019/01/01;1900 UTC;;997.2;997.2;996.9;1646.6;29.9;20.7;30.8;29.6;20.8;19.6;58.0;52.0;58.0;122.0;10.0;0.7
2019/01/01;2000 UTC;;997.9;998.0;997.2;790.6;28.2;20.6;30.1;28.2;20.8;19.8;64.0;56.0;64.0;126.0;9.3;0.5
2019/01/01;2100 UTC;;998.7;998.7;997.9;79.9;26.7;21.4;28.2;26.7;21.4;20.5;73.0;63.0;73.0;133.0;7.1;0.0
2019/01/01;2200 UTC;;999.5;999.5;998.7;;25.9;21.8;26.6;25.9;21.8;21.3;78.0;73.0;78.0;142.0;4.3;0.0
2019/01/01;2300 UTC;;1000.1;1000.1;999.5;;25.5;22.1;25.9;25.5;22.1;21.8;82.0;78.0;82.0;155.0;4.3;0.0
2019/01/02;0000 UTC;;1000.4;1000.4;1000.1;;25.1;22.1;25.5;25.1;22.2;22.0;83.0;81.0;83.0;165.0;0.0;0.0
2019/01/02;0100 UTC;;1000.1;1000.4;1000.1;;24.7;22.3;25.2;24.7;22.3;22.2;87.0;83.0;87.0;160.0;3.4;0.0
2019/01/02;0200 UTC;;999.7;1000.1;999.6;;24.5;22.5;24.7;24.5;22.5;22.3;88.0;87.0;88.0;178.0;3.4;0.0
2019/01/02;0300 UTC;;998.8;999.7;998.8;;24.3;22.6;24.6;24.3;22.7;22.5;90.0;88.0;90.0;171.0;0.0;0.0
2019/01/02;0400 UTC;;998.4;998.9;998.4;;24.1;22.6;24.3;24.1;22.7;22.5;91.0;90.0;91.0;171.0;0.0;0.0
2019/01/02;0500 UTC;;998.3;998.4;998.2;;24.1;22.6;24.1;24.1;22.7;22.5;92.0;91.0;91.0;171.0;0.0;0.0
2019/01/02;0600 UTC;;998.6;998.6;998.3;;23.8;22.4;24.1;23.8;22.6;22.3;92.0;91.0;92.0;163.0;0.0;0.0
2019/01/02;0700 UTC;;998.7;998.7;998.6;;23.6;22.2;23.8;23.6;22.4;22.2;92.0;92.0;92.0;163.0;0.0;0.0
2019/01/02;0800 UTC;;999.2;999.2;998.7;;23.7;22.3;23.7;23.5;22.3;22.2;92.0;92.0;92.0;156.0;0.0;0.0
2019/01/02;0900 UTC;;999.8;999.8;999.2;141.4;24.4;22.7;24.4;23.7;22.8;22.3;92.0;90.0;90.0;173.0;0.0;0.0
2019/01/02;1000 UTC;;999.7;999.8;999.6;758.8;26.5;22.6;26.6;24.4;23.5;22.6;90.0;79.0;79.0;134.0;8.6;0.6
2019/01/02;1100 UTC;;1000.0;1000.0;999.7;1304.5;28.1;22.2;28.2;26.4;23.3;22.1;81.0;70.0;70.0;120.0;8.6;0.7
2019/01/02;1200 UTC;;1000.2;1000.2;1000.0;1891.8;28.4;21.2;29.3;27.7;22.8;21.1;72.0;63.0;65.0;126.0;9.5;2.1
