Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;953.7;953.7;952.9;;28.2;20.9;28.9;26.8;22.2;20.9;76.0;63.0;65.0;327.0;4.7;1.9
2019/01/01;0100 UTC;0.0;954.1;954.3;953.7;;26.9;21.5;28.2;26.9;21.8;20.9;72.0;65.0;72.0;312.0;4.8;2.5
2019/01/01;0200 UTC;0.0;954.0;954.2;954.0;;26.2;22.1;26.9;26.2;22.1;21.5;78.0;72.0;78.0;328.0;5.1;2.2
2019/01/01;0300 UTC;0.0;953.3;954.0;953.3;;25.1;22.4;26.2;25.1;22.4;22.1;85.0;78.0;85.0;282.0;6.1;1.0
2019/01/01;0400 UTC;0.0;953.3;953.3;953.0;;24.6;22.6;25.1;24.1;22.6;22.4;91.0;85.0;89.0;252.0;3.0;1.9
2019/01/01;0500 UTC;0.0;953.3;953.4;953.2;;23.9;22.5;24.6;23.5;22.6;22.3;94.0;89.0;92.0;265.0;3.3;1.0
2019/01/01;0600 UTC;0.0;953.2;953.3;953.2;;22.3;22.3;23.9;22.3;22.7;22.3;100.0;92.0;100.0;68.0;2.9;0.0
2019/01/01;0700 UTC;0.0;953.6;953.6;953.2;;21.8;;22.5;21.8;;;;;;173.0;1.3;0.0
2019/01/01;0800 UTC;0.0;954.7;954.7;953.6;;21.5;;21.9;21.5;;;;;;273.0;1.2;0.0
2019/01/01;0900 UTC;0.0;955.6;955.6;954.7;64.5;22.3;;22.3;21.5;;;;;;334.0;2.1;0.0
2019/01/01;1000 UTC;0.0;956.3;956.3;955.6;381.6;24.3;23.0;24.3;22.3;23.1;22.5;100.0;92.0;92.0;322.0;1.2;0.3
2019/01/01;1100 UTC;0.0;956.6;956.6;956.3;1100.6;27.9;23.4;28.4;24.3;24.0;22.7;92.0;75.0;77.0;147.0;3.1;1.1
2019/01/01;1200 UTC;0.0;956.7;956.7;956.5;1985.1;30.1;23.5;30.1;27.7;23.9;22.6;78.0;67.0;68.0;107.0;7.8;4.3
2019/01/01;1300 UTC;0.0;956.6;956.7;956.6;1796.5;29.4;23.2;30.6;28.9;23.4;22.3;71.0;64.0;69.0;82.0;8.7;4.3
2019/01/01;1400 UTC;0.0;956.1;956.6;956.1;1664.7;31.9;23.0;32.0;29.1;23.9;22.6;71.0;59.0;59.0;59.0;8.6;4.4
2019/01/01;1500 UTC;0.0;955.0;956.1;955.0;2279.8;31.6;22.3;33.1;30.6;23.7;22.2;63.0;56.0;58.0;81.0;8.9;4.5
2019/01/01;1600 UTC;0.0;954.2;955.0;954.2;2133.4;32.8;22.5;33.4;31.5;23.1;21.7;59.0;53.0;55.0;83.0;9.5;4.7
2019/01/01;1700 UTC;0.0;953.3;954.2;953.3;2223.4;33.5;21.4;34.5;32.2;23.0;20.9;56.0;49.0;49.0;105.0;11.5;5.2
2019/01/01;1800 UTC;0.0;952.5;953.3;952.4;1515.0;32.8;21.1;34.1;32.2;22.1;20.8;52.0;48.0;50.0;97.0;9.3;3.9
2019/01/01;1900 UTC;0.0;952.2;952.5;952.2;642.8;32.9;20.7;33.1;32.1;21.6;20.7;54.0;49.0;49.0;86.0;7.2;1.6
