Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;;968.2;968.2;967.7;;28.9;22.2;29.8;28.9;23.1;22.2;68.0;67.0;67.0;356.0;6.5;2.1
2019/01/01;0100 UTC;;968.7;968.7;968.2;;28.4;22.2;29.0;28.4;22.3;22.1;69.0;67.0;69.0;343.0;4.4;1.3
2019/01/01;0200 UTC;;968.4;968.8;968.4;;28.0;21.9;28.5;28.0;22.2;21.8;70.0;69.0;70.0;1.0;2.5;0.7
2019/01/01;0300 UTC;;967.6;968.4;967.6;;27.3;21.6;28.0;27.3;21.9;21.6;71.0;69.0;71.0;19.0;2.0;0.0
2019/01/01;0400 UTC;;967.7;967.7;967.4;;27.1;21.7;27.4;27.0;21.7;21.5;72.0;71.0;72.0;108.0;1.9;0.8
2019/01/01;0500 UTC;;967.7;967.8;967.6;;26.4;20.9;27.1;26.4;21.8;20.9;73.0;72.0;72.0;230.0;2.0;1.4
2019/01/01;0600 UTC;;968.2;968.2;967.7;;25.7;20.4;26.4;25.7;21.0;20.4;73.0;72.0;73.0;214.0;2.3;1.1
2019/01/01;0700 UTC;;968.7;968.7;968.2;;25.5;20.4;25.7;25.5;20.6;20.2;74.0;73.0;74.0;177.0;1.8;1.1
2019/01/01;0800 UTC;;969.7;969.7;968.7;;25.5;20.6;25.6;25.4;20.7;20.4;75.0;74.0;75.0;185.0;1.7;0.1
2019/01/01;0900 UTC;;970.4;970.4;969.7;168.2;25.9;21.4;25.9;25.4;21.4;20.6;76.0;75.0;76.0;294.0;1.2;0.0
2019/01/01;1000 UTC;;971.1;971.1;970.4;947.0;28.1;23.2;28.1;25.9;23.3;21.4;76.0;75.0;75.0;65.0;1.6;0.4
2019/01/01;1100 UTC;;971.5;971.5;971.0;1546.3;28.9;23.8;28.9;28.1;23.8;23.2;75.0;73.0;74.0;72.0;5.8;2.4
2019/01/01;1200 UTC;;971.5;971.7;971.5;2516.8;30.1;24.5;30.1;28.9;24.5;23.8;74.0;72.0;72.0;78.0;7.8;3.7
2019/01/01;1300 UTC;;971.2;971.6;971.1;2759.7;30.6;24.7;30.6;30.0;24.7;24.1;72.0;71.0;71.0;70.0;9.0;3.8
2019/01/01;1400 UTC;;970.4;971.2;970.4;3324.4;30.8;24.8;31.0;30.5;25.1;24.5;71.0;70.0;71.0;63.0;9.0;2.7
2019/01/01;1500 UTC;;969.4;970.4;969.4;4022.4;31.4;24.9;31.4;30.8;25.2;24.6;71.0;68.0;69.0;89.0;8.9;4.1
2019/01/01;1600 UTC;;968.5;969.4;968.5;3417.1;31.4;24.5;31.7;31.1;25.0;24.5;69.0;67.0;67.0;86.0;8.4;3.6
2019/01/01;1700 UTC;;967.5;968.5;967.5;2514.8;31.1;23.9;31.6;30.9;24.7;23.9;68.0;65.0;65.0;84.0;9.2;4.3
2019/01/01;1800 UTC;;966.7;967.4;966.7;1709.4;31.3;23.7;31.5;30.7;24.3;23.4;67.0;64.0;64.0;88.0;8.3;3.3
