Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;981.0;981.0;980.5;;23.7;19.9;25.3;23.7;20.0;19.3;79.0;69.0;79.0;230.0;2.0;0.5
2019/01/01;0100 UTC;0.0;981.3;981.3;981.0;;23.0;20.3;23.7;22.9;20.3;19.9;85.0;79.0;85.0;34.0;1.7;0.3
2019/01/01;0200 UTC;0.0;981.7;981.8;981.3;;23.4;19.6;24.1;23.0;20.3;19.3;85.0;76.0;79.0;65.0;4.2;0.6
2019/01/01;0300 UTC;0.0;981.2;981.7;981.1;;22.2;19.9;23.4;22.2;20.0;19.6;87.0;79.0;87.0;129.0;2.3;0.6
2019/01/01;0400 UTC;0.0;980.7;981.2;980.7;;22.3;20.3;22.4;22.1;20.3;19.8;88.0;87.0;88.0;71.0;1.3;0.5
2019/01/01;0500 UTC;0.0;980.7;980.8;980.6;;22.0;20.2;22.4;21.9;20.4;19.9;89.0;88.0;89.0;78.0;1.5;0.7
2019/01/01;0600 UTC;0.0;981.0;981.0;980.7;;21.5;19.9;22.0;21.5;20.2;19.8;91.0;89.0;91.0;100.0;1.6;0.7
2019/01/01;0700 UTC;0.0;981.5;981.5;981.0;;22.7;21.0;22.7;21.5;21.0;19.9;91.0;90.0;90.0;267.0;1.8;0.2
2019/01/01;0800 UTC;0.0;982.2;982.2;981.5;;21.9;20.3;22.7;21.8;20.9;20.2;91.0;90.0;91.0;97.0;1.4;0.7
2019/01/01;0900 UTC;0.0;982.8;982.8;982.2;20.4;21.4;19.9;21.9;21.4;20.3;19.9;91.0;91.0;91.0;267.0;1.7;0.3
