Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.2;997.4;997.4;996.5;;25.0;24.6;25.1;24.9;24.7;24.4;97.0;97.0;97.0;197.0;1.6;0.5
2019/01/01;0100 UTC;0.0;998.8;998.9;997.4;;25.1;24.6;25.1;25.0;24.7;24.5;98.0;97.0;97.0;27.0;3.4;1.4
2019/01/01;0200 UTC;0.6;999.5;999.5;998.8;;24.0;23.2;25.2;24.0;24.6;22.9;97.0;91.0;95.0;36.0;4.3;1.6
2019/01/01;0300 UTC;1.0;999.4;999.5;999.3;;23.9;23.4;24.0;23.8;23.5;23.2;98.0;95.0;98.0;149.0;2.9;0.6
2019/01/01;0400 UTC;0.2;998.4;999.5;998.4;;23.8;23.5;23.9;23.7;23.5;23.4;98.0;98.0;98.0;337.0;2.7;0.3
2019/01/01;0500 UTC;1.2;998.1;998.4;998.1;;23.8;23.5;23.9;23.7;23.6;23.4;98.0;98.0;98.0;31.0;1.8;0.7
2019/01/01;0600 UTC;0.4;997.6;998.1;997.6;;23.7;23.5;23.8;23.7;23.5;23.4;98.0;98.0;98.0;24.0;3.5;1.6
2019/01/01;0700 UTC;0.0;997.5;997.7;997.5;;23.7;23.4;23.7;23.6;23.5;23.4;98.0;98.0;98.0;24.0;4.6;1.9
2019/01/01;0800 UTC;0.0;997.6;997.7;997.4;;23.6;23.2;23.7;23.6;23.4;23.2;98.0;98.0;98.0;35.0;4.3;2.0
2019/01/01;0900 UTC;0.2;997.6;997.6;997.5;;23.4;23.1;23.6;23.4;23.2;23.1;98.0;98.0;98.0;49.0;4.3;0.4
2019/01/01;1000 UTC;0.2;998.1;998.1;997.6;;23.4;23.1;23.5;23.4;23.2;23.1;98.0;98.0;98.0;27.0;2.2;0.4
2019/01/01;1100 UTC;0.0;999.4;999.4;998.1;13.1;23.4;23.1;23.5;23.3;23.2;23.0;98.0;98.0;98.0;69.0;2.3;1.3
2019/01/01;1200 UTC;0.0;1000.4;1000.4;999.4;155.1;23.7;23.3;23.7;23.4;23.4;23.1;98.0;98.0;98.0;55.0;4.2;1.1
2019/01/01;1300 UTC;0.0;1001.3;1001.3;1000.4;315.6;24.1;22.9;24.1;23.6;23.3;22.9;98.0;93.0;93.0;63.0;3.2;1.6
2019/01/01;1400 UTC;0.0;1001.7;1001.8;1001.3;508.9;24.8;23.0;24.8;24.1;23.4;22.7;95.0;90.0;90.0;65.0;3.1;1.8
2019/01/01;1500 UTC;0.0;1001.4;1001.7;1001.4;655.2;25.4;23.0;25.4;24.8;23.2;22.7;90.0;86.0;87.0;54.0;4.2;1.9
2019/01/01;1600 UTC;0.0;1000.8;1001.4;1000.8;806.3;25.8;22.7;26.1;25.2;23.2;22.5;87.0;82.0;83.0;35.0;4.1;1.8
2019/01/01;1700 UTC;0.0;999.9;1000.8;999.9;1203.3;27.0;22.9;27.0;25.7;23.3;22.6;85.0;77.0;78.0;21.0;4.2;1.2
2019/01/01;1800 UTC;0.0;998.9;999.9;998.9;1620.6;27.6;23.0;27.9;27.0;23.4;22.4;80.0;75.0;76.0;14.0;4.3;1.5
2019/01/01;1900 UTC;0.0;998.0;998.9;998.0;1639.7;28.3;22.5;28.5;27.4;23.4;22.4;78.0;71.0;71.0;14.0;4.5;2.3
2019/01/01;2000 UTC;0.0;996.8;998.0;996.8;1413.6;28.4;23.3;28.5;27.9;23.3;22.2;74.0;70.0;74.0;47.0;4.5;1.6
2019/01/01;2100 UTC;0.0;996.3;996.8;996.3;1194.3;28.4;22.8;29.1;28.2;23.5;22.4;74.0;69.0;72.0;45.0;4.0;1.2
2019/01/01;2200 UTC;0.0;996.4;996.4;996.2;783.6;27.5;23.0;28.8;27.5;23.5;22.7;77.0;70.0;76.0;53.0;4.1;2.5
2019/01/01;2300 UTC;0.0;996.7;996.8;996.4;99.6;26.3;23.3;27.6;26.3;23.5;23.0;84.0;76.0;84.0;48.0;4.0;1.5
2019/01/02;0000 UTC;0.0;997.2;997.2;996.7;;25.3;23.3;26.3;25.3;23.5;23.3;89.0;84.0;89.0;78.0;2.7;1.6
2019/01/02;0100 UTC;0.0;998.2;998.2;997.2;;24.7;23.1;25.3;24.7;23.3;23.1;91.0;89.0;91.0;83.0;2.8;1.0
2019/01/02;0200 UTC;0.0;998.4;998.5;998.2;;24.4;23.2;24.7;24.4;23.2;23.0;93.0;91.0;93.0;81.0;3.1;0.7
2019/01/02;0300 UTC;0.0;999.0;999.1;998.4;;23.9;23.2;24.4;23.9;23.3;23.1;95.0;93.0;95.0;135.0;2.0;0.2
2019/01/02;0400 UTC;0.0;998.8;999.2;998.8;;23.5;23.0;23.9;23.5;23.2;23.0;97.0;95.0;97.0;281.0;1.2;0.2
2019/01/02;0500 UTC;0.0;998.3;998.8;998.3;;23.2;22.9;23.5;23.1;23.0;22.7;98.0;97.0;98.0;271.0;1.1;0.0
2019/01/02;0600 UTC;0.0;997.7;998.3;997.7;;22.7;22.4;23.2;22.7;22.9;22.4;98.0;98.0;98.0;230.0;0.7;0.0
2019/01/02;0700 UTC;0.0;997.5;997.7;997.5;;22.8;22.6;22.8;22.6;22.6;22.3;99.0;98.0;99.0;45.0;1.5;0.3
2019/01/02;0800 UTC;0.0;997.7;997.7;997.4;;22.3;22.1;22.8;22.3;22.6;22.1;99.0;98.0;99.0;72.0;1.4;0.8
2019/01/02;0900 UTC;0.0;998.5;998.5;997.6;;22.3;22.1;22.4;22.3;22.2;22.1;99.0;99.0;99.0;61.0;1.4;0.0
2019/01/02;1000 UTC;0.0;999.2;999.2;998.5;;22.3;22.1;22.4;22.3;22.2;22.0;99.0;99.0;99.0;248.0;0.0;0.0
2019/01/02;1100 UTC;0.0;1000.3;1000.3;999.2;88.0;22.8;22.5;22.8;22.2;22.5;22.0;99.0;99.0;99.0;68.0;0.9;0.1
2019/01/02;1200 UTC;0.0;1000.9;1000.9;1000.3;562.2;24.1;23.3;24.2;22.7;23.5;22.5;99.0;95.0;95.0;57.0;3.6;2.0
2019/01/02;1300 UTC;0.0;1001.8;1001.8;1000.9;807.6;25.0;23.2;25.1;24.1;23.6;22.7;95.0;89.0;89.0;67.0;4.1;2.8
2019/01/02;1400 UTC;0.0;1001.8;1001.9;1001.8;2081.7;28.4;23.4;28.5;25.0;24.3;22.9;90.0;74.0;75.0;60.0;4.6;2.4
2019/01/02;1500 UTC;0.0;1001.4;1001.8;1001.4;3004.6;29.8;23.3;29.8;28.3;24.2;22.4;74.0;67.0;68.0;53.0;6.2;2.2
2019/01/02;1600 UTC;0.0;1000.6;1001.4;1000.6;2267.4;29.3;22.3;30.5;29.0;23.9;22.2;70.0;65.0;66.0;61.0;6.2;1.6
2019/01/02;1700 UTC;0.0;999.7;1000.6;999.7;1757.8;30.1;23.4;30.2;29.2;23.9;22.7;70.0;65.0;67.0;360.0;5.0;1.6
2019/01/02;1800 UTC;0.0;998.2;999.7;998.2;3359.0;30.7;22.0;31.7;29.6;24.3;21.9;70.0;58.0;60.0;43.0;5.1;2.0
2019/01/02;1900 UTC;0.0;996.8;998.2;996.8;3136.4;31.3;22.4;31.9;30.4;24.8;21.7;69.0;58.0;59.0;48.0;6.9;2.0
2019/01/02;2000 UTC;0.0;995.6;996.8;995.6;2510.4;31.6;21.9;32.5;30.8;23.1;20.7;61.0;54.0;56.0;65.0;5.2;1.9
2019/01/02;2100 UTC;0.0;995.2;995.7;995.2;1650.9;29.0;23.2;33.0;29.0;24.1;21.5;73.0;54.0;71.0;7.0;7.2;2.5
