Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.2;1001.4;1001.4;1000.3;;25.0;22.0;25.1;24.7;22.6;21.9;87.0;84.0;84.0;;;
2019/01/01;0100 UTC;3.8;1001.9;1001.9;1001.3;;24.5;21.9;25.0;24.5;22.0;21.7;85.0;83.0;85.0;;;
2019/01/01;0200 UTC;1.0;1001.9;1002.1;1001.7;;24.0;21.3;24.6;24.0;22.2;21.3;87.0;85.0;85.0;;;
2019/01/01;0300 UTC;0.6;1002.2;1002.3;1001.9;;23.5;20.6;24.0;23.5;21.3;20.6;85.0;84.0;84.0;;;
2019/01/01;0400 UTC;7.8;1001.9;1002.2;1001.9;;22.8;21.0;23.5;22.8;21.0;20.3;90.0;84.0;90.0;;;
2019/01/01;0500 UTC;2.8;1001.1;1001.9;1001.1;;23.0;21.5;23.0;22.8;21.5;21.0;91.0;90.0;91.0;;;
2019/01/01;0600 UTC;1.8;1000.9;1001.1;1000.8;;23.1;21.6;23.2;23.0;21.7;21.5;92.0;91.0;92.0;;;
2019/01/01;0700 UTC;0.0;1000.5;1000.9;1000.4;;23.0;21.6;23.2;23.0;21.7;21.6;92.0;92.0;92.0;;;
2019/01/01;0800 UTC;0.0;1001.1;1001.1;1000.5;;23.0;21.7;23.1;23.0;21.7;21.6;92.0;92.0;92.0;;;
2019/01/01;0900 UTC;0.2;1001.8;1001.8;1001.1;;23.1;21.9;23.2;22.9;21.9;21.6;93.0;92.0;92.0;;;
2019/01/01;1000 UTC;0.0;1002.4;1002.4;1001.8;51.8;23.2;21.9;23.2;23.0;21.9;21.7;93.0;92.0;93.0;;;
2019/01/01;1100 UTC;0.0;1002.8;1002.8;1002.4;322.0;23.6;22.3;23.6;23.1;22.3;21.9;93.0;92.0;92.0;;;
2019/01/01;1200 UTC;0.0;1003.7;1003.7;1002.8;906.2;25.2;22.4;25.2;23.6;23.2;22.2;92.0;85.0;85.0;;;
2019/01/01;1300 UTC;0.0;1004.2;1004.2;1003.7;756.3;26.0;22.3;26.1;25.0;22.6;21.8;85.0;80.0;80.0;;;
2019/01/01;1400 UTC;0.0;1003.7;1004.3;1003.7;1085.7;27.3;22.0;27.3;25.7;22.7;21.3;80.0;73.0;73.0;;;
