Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/07/11;0000 UTC;;;;;;;;;;;;;;;;;
2019/07/11;0100 UTC;;;;;;;;;;;;;;;;;
2019/07/11;0200 UTC;;;;;;;;;;;;;;;;;
2019/07/11;0300 UTC;;;;;;;;;;;;;;;;;
2019/07/11;0400 UTC;;;;;;;;;;;;;;;;;
2019/07/11;0500 UTC;;;;;;;;;;;;;;;;;
2019/07/11;0600 UTC;;;;;;;;;;;;;;;;;
2019/07/11;0700 UTC;;;;;;;;;;;;;;;;;
2019/07/11;0800 UTC;;;;;;;;;;;;;;;;;
2019/07/11;0900 UTC;;;;;;;;;;;;;;;;;
2019/07/11;1000 UTC;;;;;;;;;;;;;;;;;
2019/07/11;1100 UTC;;;;;;;;;;;;;;;;;
2019/07/11;1200 UTC;0.0;991.3;991.3;990.8;1297.7;27.5;15.9;27.5;23.5;17.3;15.6;68.0;49.0;49.0;126.0;3.9;1.9
2019/07/11;1300 UTC;;;;;;;;;;;;;;;;;
2019/07/11;1400 UTC;;;;;;;;;;;;;;;;;
