Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.2;989.4;989.4;988.6;;24.0;22.1;24.5;23.8;22.1;21.8;90.0;85.0;90.0;358.0;2.9;0.7
2019/01/01;0100 UTC;0.8;990.0;990.0;989.4;;23.6;22.1;24.0;23.6;22.2;22.1;91.0;89.0;91.0;124.0;2.6;1.0
2019/01/01;0200 UTC;0.0;990.4;990.4;990.0;;23.5;22.1;23.6;23.5;22.1;22.1;92.0;91.0;92.0;146.0;2.2;0.4
2019/01/01;0300 UTC;0.0;990.1;990.5;990.1;;23.5;22.2;23.6;23.5;22.2;22.1;92.0;92.0;92.0;344.0;0.9;0.4
2019/01/01;0400 UTC;0.0;989.6;990.1;989.6;;23.6;22.2;23.6;23.5;22.3;22.2;92.0;92.0;92.0;13.0;2.7;1.4
2019/01/01;0500 UTC;0.0;988.7;989.6;988.7;;23.4;22.0;23.6;23.4;22.2;22.0;92.0;92.0;92.0;41.0;2.7;0.6
2019/01/01;0600 UTC;0.0;988.5;988.7;988.5;;23.2;21.9;23.4;23.2;22.0;21.9;92.0;92.0;92.0;185.0;1.1;0.4
2019/01/01;0700 UTC;0.0;988.7;988.8;988.5;;23.2;21.9;23.3;23.2;22.0;21.9;93.0;92.0;93.0;331.0;1.8;1.1
2019/01/01;0800 UTC;0.0;988.7;988.8;988.7;;23.2;21.9;23.2;23.1;22.0;21.9;93.0;93.0;93.0;80.0;2.0;0.7
2019/01/01;0900 UTC;0.0;988.9;989.0;988.7;;22.9;21.6;23.2;22.9;21.9;21.6;93.0;92.0;92.0;180.0;1.6;0.4
2019/01/01;1000 UTC;0.0;989.9;989.9;988.9;7.4;23.1;21.7;23.1;22.8;21.7;21.5;93.0;92.0;92.0;32.0;2.8;0.9
2019/01/01;1100 UTC;0.0;991.1;991.1;989.9;215.8;23.7;22.2;23.7;23.1;22.3;21.7;92.0;91.0;91.0;343.0;2.3;0.9
2019/01/01;1200 UTC;0.0;991.6;991.6;991.1;466.4;24.4;22.0;24.4;23.7;22.4;22.0;91.0;87.0;87.0;49.0;3.1;1.6
2019/01/01;1300 UTC;0.2;991.8;991.8;991.6;584.2;25.7;23.0;25.7;24.3;23.0;22.0;87.0;84.0;85.0;17.0;3.1;0.8
2019/01/01;1400 UTC;1.2;991.9;992.0;991.8;920.3;25.8;22.9;26.2;25.4;23.3;22.1;85.0;81.0;84.0;344.0;3.1;1.1
2019/01/01;1500 UTC;4.8;991.5;992.0;991.5;1001.4;24.7;23.0;25.9;24.3;23.2;21.3;91.0;80.0;90.0;321.0;6.2;2.2
2019/01/01;1600 UTC;0.2;990.7;991.4;990.7;1184.7;25.0;22.8;25.0;24.4;23.1;22.3;90.0;87.0;87.0;321.0;6.1;2.9
2019/01/01;1700 UTC;0.2;989.6;990.7;989.6;1537.8;25.8;22.7;25.8;24.8;22.8;22.2;88.0;82.0;83.0;289.0;6.1;2.1
2019/01/01;1800 UTC;0.0;988.7;989.6;988.7;2296.4;27.3;22.8;27.5;25.8;23.2;22.1;84.0;74.0;77.0;306.0;5.7;2.5
2019/01/01;1900 UTC;0.0;988.0;988.7;988.0;1447.0;27.1;22.7;28.1;26.9;23.3;22.1;77.0;72.0;77.0;275.0;4.6;1.7
2019/01/01;2000 UTC;0.0;987.6;988.0;987.6;698.1;27.6;22.9;27.6;26.9;23.0;22.3;78.0;74.0;75.0;266.0;3.8;1.0
2019/01/01;2100 UTC;0.2;988.5;988.5;987.6;377.4;24.8;22.0;27.9;24.8;23.0;21.6;84.0;72.0;84.0;28.0;6.5;2.7
2019/01/01;2200 UTC;9.4;989.3;989.3;988.5;28.0;23.2;21.9;24.8;22.9;22.0;21.3;93.0;84.0;93.0;333.0;10.4;1.7
