Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;3.4;992.4;992.4;991.6;;21.5;21.3;21.6;21.4;21.3;21.1;99;98;99.0;145.0;4.9;0.8
2019/01/01;0100 UTC;0.2;992.3;992.5;992.3;;21.7;21.5;21.7;21.5;21.5;21.2;99;99;99.0;207.0;2.4;1.3
2019/01/01;0200 UTC;0.0;991.9;992.3;991.9;;21.8;21.6;21.8;21.7;21.6;21.5;99;99;99.0;193.0;2.6;1.3
2019/01/01;0300 UTC;0.2;991.6;991.9;991.5;;21.8;21.6;21.9;21.8;21.7;21.6;99;99;99.0;96.0;2.6;0.4
2019/01/01;0400 UTC;0.0;991.0;991.6;991.0;;22.0;21.8;22.0;21.7;21.8;21.5;99;99;99.0;102.0;3.5;1.4
2019/01/01;0500 UTC;0.0;990.1;991.0;990.1;;21.8;21.6;22.0;21.7;21.8;21.5;99;99;99.0;110.0;3.5;0.9
2019/01/01;0600 UTC;0.0;990.5;990.5;990.0;;21.7;21.5;21.8;21.6;21.6;21.4;99;99;99.0;2.0;3.0;1.3
2019/01/01;0700 UTC;0.0;990.2;990.5;990.1;;21.5;21.4;21.8;21.5;21.6;21.3;99;99;99.0;348.0;2.6;0.9
2019/01/01;0800 UTC;0.0;991.1;991.1;990.2;;21.7;21.5;21.7;21.4;21.6;21.2;99;99;99.0;15.0;1.9;0.9
2019/01/01;0900 UTC;0.0;992.3;992.3;991.1;0.1;21.8;21.6;21.8;21.6;21.7;21.4;99;99;99.0;357.0;1.9;0.7
2019/01/01;1000 UTC;0.0;993.2;993.2;992.3;131.5;22.0;21.8;22.1;21.8;21.9;21.6;99;99;99.0;293.0;2.1;0.7
2019/01/01;1100 UTC;0.0;994.1;994.1;993.2;526.5;22.9;22.3;22.9;22.0;22.6;21.8;99;97;97.0;172.0;2.3;0.7
2019/01/01;1200 UTC;0.2;994.1;994.1;994.0;897.4;23.8;22.1;24.3;22.9;22.4;21.7;97;88;90.0;196.0;2.3;0.9
2019/01/01;1300 UTC;0.0;994.5;994.5;994.1;1399.0;25.3;22.7;25.5;23.8;22.8;22.0;91;83;85.0;127.0;2.5;1.1
2019/01/01;1400 UTC;0.0;994.0;994.5;994.0;3512.0;27.5;23.7;27.8;25.3;24.3;22.3;86;74;80.0;116.0;3.8;1.6
2019/01/01;1500 UTC;0.0;993.4;994.0;993.4;2956.2;28.7;23.9;28.7;27.0;23.9;22.4;79;72;75.0;38.0;4.1;1.5
2019/01/01;1600 UTC;0.0;992.2;993.4;992.2;2980.0;29.6;22.8;29.9;28.1;24.3;22.5;75;67;67.0;199.0;3.3;1.3
2019/01/01;1700 UTC;0.0;991.0;992.2;991.0;2821.0;30.9;23.5;31.0;29.2;24.3;22.7;72;65;65.0;26.0;3.6;0.8
2019/01/01;1800 UTC;0.0;989.9;991.0;989.9;2896.6;30.9;23.6;31.1;30.2;25.0;22.8;72;63;65.0;224.0;3.5;1.8
2019/01/01;1900 UTC;0.0;989.3;989.9;989.2;2067.3;30.6;24.3;31.3;30.5;24.4;23.2;69;63;69.0;158.0;3.6;1.3
2019/01/01;2000 UTC;0.0;988.8;989.3;988.7;825.5;29.3;24.4;30.6;28.2;24.8;23.4;79;67;75.0;1.0;4.6;0.4
2019/01/01;2100 UTC;0.0;989.5;989.5;988.8;606.9;28.8;25.6;31.1;28.5;25.8;24.2;85;70;83.0;9.0;1.4;0.6
2019/01/01;2200 UTC;0.0;990.6;990.6;989.5;106.7;26.6;25.0;28.9;26.6;25.8;25.0;93;82;91.0;15.0;4.5;2.2
2019/01/01;2300 UTC;1.4;991.4;992.3;990.6;;22.1;21.3;26.6;22.1;25.0;21.2;95;77;95.0;194.0;11.3;1.2
2019/01/02;0000 UTC;0.2;992.5;992.5;991.4;;22.3;21.8;22.4;22.0;21.8;21.3;97;95;97.0;214.0;2.6;1.0
2019/01/02;0100 UTC;0.2;992.9;993.0;992.4;;22.8;21.9;22.8;22.3;22.1;21.9;97;95;95.0;128.0;2.6;1.2
2019/01/02;0200 UTC;0.6;992.8;992.9;992.6;;22.5;21.9;22.7;22.5;22.0;21.8;96;95;96.0;145.0;2.5;0.8
2019/01/02;0300 UTC;0.2;992.1;992.8;992.1;;22.3;22.0;22.5;22.3;22.0;21.8;98;96;98.0;359.0;2.1;0.8
2019/01/02;0400 UTC;0.0;991.3;992.1;991.3;;22.5;22.1;22.7;22.3;22.3;22.0;98;98;98.0;1.0;3.0;1.6
2019/01/02;0500 UTC;0.0;990.2;991.3;990.2;;22.1;21.8;22.5;22.0;22.1;21.7;98;97;98.0;40.0;3.6;0.5
2019/01/02;0600 UTC;0.0;989.7;990.2;989.6;;22.0;21.8;22.1;22.0;21.9;21.7;98;98;98.0;133.0;1.5;0.2
2019/01/02;0700 UTC;0.0;990.3;990.3;989.7;;22.1;21.8;22.1;21.9;21.9;21.6;99;98;98.0;331.0;3.0;1.1
2019/01/02;0800 UTC;0.0;991.3;991.3;990.3;;21.7;21.4;22.1;21.7;21.9;21.4;98;98;98.0;280.0;2.6;0.5
2019/01/02;0900 UTC;0.2;992.2;992.2;991.3;;21.6;21.4;21.7;21.4;21.4;21.2;99;98;99.0;68.0;1.2;0.2
2019/01/02;1000 UTC;0.0;992.7;992.7;992.2;219.9;23.2;23.0;23.2;21.6;23.0;21.4;99;98;98.0;188.0;1.4;0.8
2019/01/02;1100 UTC;0.0;993.3;993.3;992.7;838.5;25.1;23.3;25.1;23.2;23.4;22.6;99;88;90.0;219.0;1.8;1.0
2019/01/02;1200 UTC;0.0;993.4;993.5;993.3;1962.0;27.4;23.2;27.4;25.0;23.4;21.8;89;76;78.0;153.0;2.6;1.4
2019/01/02;1300 UTC;0.0;993.8;993.8;993.4;2489.1;29.0;24.8;29.0;26.9;24.8;22.8;80;73;78.0;112.0;4.2;1.8
2019/01/02;1400 UTC;0.0;993.0;993.8;993.0;3012.5;30.0;24.0;30.1;28.5;24.9;23.2;77;70;70.0;133.0;4.4;1.2
2019/01/02;1500 UTC;0.0;992.3;993.0;992.3;3620.9;31.4;24.5;31.6;29.9;25.3;23.5;74;64;67.0;147.0;4.4;2.2
2019/01/02;1600 UTC;0.0;991.7;992.3;991.7;3837.1;32.6;24.4;32.8;31.2;25.5;23.6;69;61;62.0;128.0;4.6;1.4
2019/01/02;1700 UTC;0.0;990.5;991.7;990.5;3850.9;33.0;24.1;33.7;32.3;26.0;23.8;66;57;60.0;138.0;5.2;1.7
2019/01/02;1800 UTC;0.0;988.7;990.5;988.7;2965.1;32.6;24.2;34.0;32.6;25.4;23.2;64;55;61.0;138.0;4.9;2.7
2019/01/02;1900 UTC;0.0;988.4;988.7;988.3;2091.0;33.2;24.5;34.0;31.1;25.1;23.3;69;55;61.0;129.0;8.1;3.2
2019/01/02;2000 UTC;0.0;988.5;988.6;988.1;1154.2;31.1;24.0;33.2;31.1;24.7;22.6;66;57;66.0;328.0;6.0;2.1
2019/01/02;2100 UTC;0.0;988.9;988.9;988.4;572.5;29.5;23.9;31.1;29.5;24.9;22.9;73;65;72.0;293.0;4.1;1.3
2019/01/02;2200 UTC;0.0;989.4;989.4;988.9;48.7;25.9;23.5;29.5;25.9;24.5;23.4;87;72;87.0;286.0;3.0;1.2
2019/01/02;2300 UTC;0.0;990.0;990.0;989.4;;25.2;22.9;25.9;24.9;23.6;22.9;91;86;87.0;313.0;2.8;1.9
2019/01/03;0000 UTC;0.0;991.0;991.0;990.0;;24.9;23.0;25.2;24.7;23.3;22.9;90;87;89.0;335.0;4.2;1.9
2019/01/03;0100 UTC;0.0;991.3;991.3;991.0;;23.8;22.7;24.9;23.8;23.1;22.7;94;89;94.0;286.0;3.8;0.8
2019/01/03;0200 UTC;0.0;991.3;991.3;991.2;;23.1;22.8;23.8;22.8;22.8;22.3;98;94;98.0;255.0;1.7;0.7
