Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;1010.5;1010.5;1009.6;0.0;25.6;23.8;25.6;25.3;23.8;23.6;90.0;90.0;90.0;43.0;5.3;1.5
2019/01/01;0100 UTC;0.0;1010.8;1010.8;1010.5;0.0;25.7;23.8;25.7;25.5;23.9;23.8;91.0;90.0;90.0;50.0;6.2;2.5
2019/01/01;0200 UTC;0.0;1010.5;1010.9;1010.5;0.0;25.1;23.5;25.8;25.1;23.9;23.5;91.0;89.0;91.0;42.0;6.2;1.7
2019/01/01;0300 UTC;0.0;1010.2;1010.5;1010.2;0.0;24.8;23.4;25.2;24.8;23.6;23.4;92.0;91.0;92.0;29.0;3.5;1.2
2019/01/01;0400 UTC;0.0;1009.9;1010.2;1009.8;0.0;24.1;23.1;24.8;24.1;23.5;23.1;94.0;92.0;94.0;328.0;2.6;0.8
2019/01/01;0500 UTC;0.0;1009.9;1009.9;1009.8;0.0;23.9;23.1;24.2;23.9;23.3;23.0;95.0;94.0;95.0;350.0;2.3;1.0
2019/01/01;0600 UTC;0.0;1010.3;1010.3;1009.8;0.0;23.6;22.9;23.9;23.6;23.1;22.9;96.0;95.0;96.0;346.0;2.0;1.0
2019/01/01;0700 UTC;0.0;1010.9;1010.9;1010.3;0.0;23.3;22.7;23.6;23.2;22.9;22.6;96.0;96.0;96.0;356.0;2.6;1.4
2019/01/01;0800 UTC;0.0;1011.6;1011.6;1010.9;0.2;23.4;22.8;23.5;23.3;22.9;22.7;96.0;96.0;96.0;330.0;3.2;1.4
2019/01/01;0900 UTC;0.0;1012.3;1012.3;1011.6;84.5;23.5;22.9;23.5;23.4;22.9;22.8;97.0;96.0;96.0;324.0;2.6;1.0
2019/01/01;1000 UTC;0.0;1012.8;1012.8;1012.3;343.3;24.5;23.6;24.5;23.5;23.7;22.9;97.0;95.0;95.0;28.0;4.5;1.6
2019/01/01;1100 UTC;0.0;1013.0;1013.1;1012.8;1259.7;27.1;24.1;27.1;24.5;24.3;23.3;95.0;83.0;84.0;39.0;6.6;2.3
2019/01/01;1200 UTC;0.8;1013.3;1013.3;1013.0;2193.1;26.3;24.0;28.9;26.2;24.4;23.1;89.0;75.0;88.0;23.0;8.0;3.3
2019/01/01;1300 UTC;7.0;1013.1;1013.5;1013.1;2655.7;28.4;24.5;28.6;24.1;25.7;22.8;95.0;78.0;80.0;46.0;7.0;3.4
2019/01/01;1400 UTC;0.0;1012.7;1013.1;1012.7;3674.5;29.9;24.5;30.2;28.4;25.2;23.8;81.0;71.0;73.0;70.0;7.5;4.0
2019/01/01;1500 UTC;0.0;1012.1;1012.7;1012.1;3938.6;30.4;24.3;30.7;29.6;25.3;23.9;75.0;69.0;70.0;81.0;7.8;4.5
2019/01/01;1600 UTC;0.0;1012.2;1012.2;1011.9;3622.1;29.9;23.3;31.0;29.4;24.8;23.3;72.0;67.0;68.0;61.0;8.5;3.9
2019/01/01;1700 UTC;0.0;1011.5;1012.4;1011.5;2112.2;30.8;23.6;30.8;25.6;24.0;20.5;83.0;66.0;66.0;101.0;7.3;3.3
2019/01/01;1800 UTC;0.0;1010.6;1011.5;1010.6;2793.4;30.2;23.0;30.9;28.3;24.3;21.8;76.0;62.0;65.0;71.0;7.8;4.9
2019/01/01;1900 UTC;0.0;1010.3;1010.6;1010.2;2235.0;29.5;22.7;30.4;29.4;23.6;22.3;68.0;63.0;67.0;70.0;8.8;4.7
