Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;924.9;925.0;924.4;0.0;19.6;18.9;20.0;19.4;19.0;18.5;95.0;93.0;95.0;;;
2019/01/01;0100 UTC;0.0;925.7;925.7;924.9;0.0;19.8;19.1;19.8;19.3;19.1;18.6;96.0;95.0;96.0;;;
2019/01/01;0200 UTC;0.0;925.7;926.0;925.7;0.0;19.7;18.7;20.4;19.5;19.5;18.7;96.0;93.0;94.0;;;
2019/01/01;0300 UTC;0.2;925.1;925.7;925.1;0.0;19.9;18.6;20.0;19.6;19.0;18.6;95.0;92.0;92.0;;;
2019/01/01;0400 UTC;0.0;925.1;925.2;925.0;0.0;19.6;18.6;19.9;19.3;18.7;18.2;94.0;92.0;94.0;;;
2019/01/01;0500 UTC;0.0;924.8;925.1;924.7;0.0;19.5;18.1;20.2;19.1;18.6;17.5;94.0;88.0;92.0;;;
2019/01/01;0600 UTC;0.0;924.9;924.9;924.7;0.0;19.6;18.5;20.2;19.4;18.8;18.1;94.0;91.0;93.0;;;
2019/01/01;0700 UTC;0.0;925.2;925.3;924.9;0.0;19.0;18.2;20.2;18.7;19.2;17.4;96.0;92.0;95.0;;;
2019/01/01;0800 UTC;0.0;926.0;926.0;925.2;0.0;18.8;18.2;19.1;18.5;18.5;17.7;96.0;95.0;96.0;;;
2019/01/01;0900 UTC;0.0;927.2;927.2;926.0;64.2;19.1;18.6;19.3;18.3;18.9;17.6;97.0;96.0;97.0;;;
2019/01/01;1000 UTC;0.0;928.2;928.2;927.2;476.3;22.0;21.4;22.0;19.1;21.4;18.7;97.0;96.0;96.0;;;
2019/01/01;1100 UTC;0.0;928.6;928.6;928.2;1178.1;22.9;19.9;22.9;22.0;21.6;19.7;96.0;83.0;83.0;;;
2019/01/01;1200 UTC;0.0;929.0;929.1;928.6;2068.4;24.9;18.6;25.1;22.8;20.6;18.6;84.0;68.0;68.0;;;
2019/01/01;1300 UTC;0.0;929.0;929.1;929.0;3352.0;26.5;19.4;26.8;24.8;20.2;18.6;73.0;64.0;65.0;;;
2019/01/01;1400 UTC;0.0;928.5;929.1;928.5;3776.1;26.7;19.3;27.8;26.0;20.6;18.2;69.0;60.0;64.0;;;
2019/01/01;1500 UTC;0.0;927.7;928.5;927.7;3940.5;28.3;19.4;29.0;26.7;21.2;18.2;67.0;53.0;58.0;;;
2019/01/01;1600 UTC;0.0;927.3;927.7;927.3;2217.2;26.1;20.2;29.2;25.9;20.7;18.1;72.0;54.0;70.0;;;
2019/01/01;1700 UTC;0.0;926.2;927.3;926.2;3875.4;29.3;19.8;29.5;26.1;21.2;18.8;72.0;53.0;57.0;;;
2019/01/01;1800 UTC;0.0;926.5;926.5;926.1;1839.6;24.8;19.2;30.2;24.8;20.8;18.2;72.0;50.0;71.0;;;
2019/01/01;1900 UTC;15.6;926.3;927.3;926.3;530.7;22.6;20.8;24.7;20.0;20.9;17.9;94.0;71.0;89.0;;;
2019/01/01;2000 UTC;0.0;926.1;926.3;926.0;1682.1;24.9;19.7;25.1;22.6;21.7;19.4;91.0;72.0;73.0;;;
2019/01/01;2100 UTC;0.0;926.5;926.7;926.1;803.3;24.5;19.9;26.4;24.5;20.2;18.4;75.0;62.0;75.0;;;
2019/01/01;2200 UTC;0.0;927.6;927.6;926.5;22.7;22.9;20.1;24.5;22.9;20.3;19.4;85.0;74.0;85.0;;;
2019/01/01;2300 UTC;0.0;928.1;928.1;927.6;0.0;22.0;19.9;22.9;22.0;20.2;19.8;88.0;84.0;88.0;;;
2019/01/02;0000 UTC;0.0;928.4;928.4;928.1;0.0;21.5;19.8;22.1;21.3;20.2;19.6;91.0;86.0;90.0;;;
2019/01/02;0100 UTC;0.0;928.9;928.9;928.4;0.0;20.9;19.5;21.9;20.9;20.0;19.4;92.0;88.0;92.0;;;
2019/01/02;0200 UTC;0.0;928.8;929.1;928.8;0.0;19.9;18.9;21.0;19.9;19.8;18.9;94.0;92.0;94.0;;;
2019/01/02;0300 UTC;0.0;928.2;928.8;928.2;0.0;19.5;18.7;20.1;19.5;19.4;18.7;96.0;94.0;95.0;;;
2019/01/02;0400 UTC;0.0;927.7;928.2;927.7;0.0;19.5;18.8;20.0;19.5;19.3;18.6;96.0;95.0;96.0;;;
2019/01/02;0500 UTC;0.0;927.4;927.7;927.4;0.0;19.3;18.7;19.6;19.2;18.9;18.5;96.0;96.0;96.0;;;
2019/01/02;0600 UTC;0.0;927.1;927.4;927.1;0.0;19.1;18.5;19.4;19.1;18.8;18.5;97.0;96.0;97.0;;;
2019/01/02;0700 UTC;0.0;927.7;927.7;927.1;0.0;18.5;18.0;19.3;18.4;18.8;17.9;97.0;96.0;97.0;;;
2019/01/02;0800 UTC;0.0;928.6;928.6;927.7;0.0;18.5;18.1;18.7;18.3;18.3;17.8;98.0;97.0;97.0;;;
2019/01/02;0900 UTC;0.0;929.2;929.2;928.6;90.0;19.5;19.1;19.5;18.4;19.1;18.0;98.0;97.0;98.0;;;
2019/01/02;1000 UTC;0.0;929.6;929.6;929.2;622.6;22.1;20.9;22.1;19.5;21.2;19.2;98.0;93.0;93.0;;;
2019/01/02;1100 UTC;0.0;930.0;930.0;929.6;1825.2;24.3;20.8;24.3;22.1;21.1;20.0;93.0;80.0;81.0;;;
