Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;942.1;942.1;941.1;;21.1;19.8;21.4;21.0;20.0;19.7;92.0;91.0;92.0;131.0;2.5;0.6
2019/01/01;0100 UTC;0.0;942.4;942.5;942.1;;21.0;19.9;21.1;20.9;20.0;19.8;93.0;92.0;93.0;32.0;2.4;0.0
2019/01/01;0200 UTC;0.0;943.2;943.2;942.4;;21.1;20.1;21.1;20.9;20.1;19.8;94.0;93.0;94.0;55.0;4.5;2.6
2019/01/01;0300 UTC;0.2;942.5;943.4;942.5;;20.0;18.6;21.2;20.0;20.2;18.4;94.0;88.0;92.0;12.0;8.3;3.0
2019/01/01;0400 UTC;6.6;941.5;942.5;941.5;;19.7;18.8;20.0;19.6;18.8;18.4;94.0;92.0;94.0;280.0;5.7;1.4
2019/01/01;0500 UTC;1.0;940.6;941.5;940.4;;20.3;19.1;20.3;19.7;19.2;18.8;94.0;93.0;93.0;11.0;4.4;1.1
2019/01/01;0600 UTC;0.0;941.1;941.1;940.4;;20.0;19.1;20.3;20.0;19.1;19.0;94.0;93.0;94.0;47.0;5.0;3.2
2019/01/01;0700 UTC;0.0;941.7;941.7;941.1;;20.0;19.0;20.1;20.0;19.2;19.0;95.0;94.0;94.0;253.0;5.0;1.5
2019/01/01;0800 UTC;0.0;942.3;942.3;941.7;;20.2;19.3;20.2;20.0;19.3;19.0;94.0;94.0;94.0;250.0;2.1;0.0
2019/01/01;0900 UTC;0.0;942.7;942.7;942.2;14.1;20.5;19.4;20.6;20.2;19.6;19.3;94.0;93.0;93.0;165.0;3.2;1.2
2019/01/01;1000 UTC;0.0;943.4;943.4;942.7;280.3;20.8;19.9;20.8;20.4;19.9;19.3;94.0;93.0;94.0;129.0;3.6;2.0
2019/01/01;1100 UTC;0.0;944.4;944.4;943.4;593.1;21.4;19.9;21.5;20.8;20.2;19.8;94.0;91.0;91.0;139.0;4.6;0.7
2019/01/01;1200 UTC;0.0;944.8;944.8;944.4;633.8;22.1;20.0;22.3;21.4;20.4;19.9;92.0;88.0;88.0;183.0;3.5;1.5
2019/01/01;1300 UTC;0.0;944.8;944.9;944.8;1887.6;24.1;20.8;24.1;22.0;21.1;19.9;89.0;80.0;82.0;86.0;3.0;0.4
2019/01/01;1400 UTC;0.0;944.5;944.8;944.5;2451.8;26.1;21.4;26.1;24.1;21.7;20.0;82.0;75.0;75.0;109.0;4.3;0.3
2019/01/01;1500 UTC;0.0;943.6;944.6;943.6;3426.0;27.6;20.2;27.9;25.2;21.2;19.0;77.0;59.0;64.0;29.0;3.2;0.8
2019/01/01;1600 UTC;0.0;942.9;943.7;942.9;4093.0;28.4;18.9;28.6;26.9;20.1;17.9;65.0;54.0;57.0;24.0;4.5;0.6
2019/01/01;1700 UTC;0.0;941.9;942.9;941.9;3374.0;29.3;19.0;29.6;28.3;20.3;18.0;59.0;51.0;54.0;345.0;4.2;0.2
2019/01/01;1800 UTC;0.0;941.7;941.9;941.6;3255.0;28.7;18.8;29.9;27.5;20.2;17.7;60.0;49.0;55.0;316.0;9.7;2.9
2019/01/01;1900 UTC;0.0;941.6;941.7;941.4;1022.4;25.7;19.6;28.8;25.6;20.0;18.1;70.0;54.0;69.0;242.0;6.9;2.1
2019/01/01;2000 UTC;0.0;941.6;941.6;941.5;561.9;25.5;19.1;25.7;25.4;19.7;18.7;70.0;66.0;68.0;93.0;3.9;0.4
2019/01/01;2100 UTC;0.0;941.8;941.8;941.4;361.5;24.6;21.0;25.7;24.6;21.1;18.9;81.0;67.0;80.0;73.0;2.3;0.3
2019/01/01;2200 UTC;0.0;942.9;942.9;941.8;69.3;23.3;21.0;24.6;23.3;21.3;20.8;87.0;80.0;87.0;45.0;2.0;0.7
2019/01/01;2300 UTC;0.0;943.5;943.5;942.9;;22.9;20.6;23.5;22.8;21.2;20.5;88.0;85.0;87.0;233.0;2.5;0.0
2019/01/02;0000 UTC;0.0;944.0;944.0;943.5;;22.5;20.7;22.9;22.5;20.9;20.6;90.0;87.0;90.0;215.0;1.4;0.2
2019/01/02;0100 UTC;0.0;943.7;944.0;943.7;;22.4;20.8;22.9;22.2;21.0;20.7;92.0;89.0;91.0;235.0;2.3;1.5
2019/01/02;0200 UTC;0.0;944.0;944.0;943.7;;21.5;20.2;22.5;21.4;20.8;19.9;92.0;89.0;92.0;111.0;2.2;0.4
2019/01/02;0300 UTC;0.0;943.3;944.0;943.3;;21.4;20.3;21.9;21.1;20.6;19.9;94.0;92.0;94.0;210.0;1.7;0.0
2019/01/02;0400 UTC;0.0;942.7;943.3;942.7;;21.3;20.2;21.5;21.3;20.4;20.2;94.0;93.0;93.0;267.0;1.9;0.0
2019/01/02;0500 UTC;0.0;942.6;942.7;942.4;;21.3;20.3;21.3;20.8;20.3;19.7;94.0;93.0;94.0;129.0;2.6;1.3
2019/01/02;0600 UTC;0.0;942.5;942.7;942.5;;21.1;20.0;21.3;21.1;20.3;20.0;94.0;93.0;93.0;228.0;3.1;0.6
2019/01/02;0700 UTC;0.0;942.6;942.6;942.5;;21.1;19.9;21.3;21.1;20.1;19.9;93.0;93.0;93.0;260.0;2.0;0.3
2019/01/02;0800 UTC;0.2;943.2;943.2;942.6;;20.4;19.5;21.1;20.2;19.9;19.2;94.0;93.0;94.0;247.0;1.5;0.0
2019/01/02;0900 UTC;0.0;943.8;943.8;943.2;21.5;20.3;19.4;20.5;20.1;19.6;19.2;95.0;94.0;95.0;255.0;0.0;0.0
2019/01/02;1000 UTC;0.0;944.2;944.2;943.8;571.7;22.6;20.8;22.6;20.3;21.1;19.4;95.0;89.0;90.0;35.0;0.0;0.0
2019/01/02;1100 UTC;0.0;944.9;944.9;944.2;1406.5;24.4;20.2;24.8;22.6;21.6;20.0;90.0;76.0;77.0;151.0;3.1;1.2
2019/01/02;1200 UTC;0.0;945.4;945.4;944.9;2151.3;26.4;19.8;26.7;24.3;21.1;19.8;79.0;67.0;67.0;137.0;4.8;2.8
2019/01/02;1300 UTC;0.0;945.6;945.7;945.4;3063.3;27.2;20.7;27.6;26.2;21.1;19.5;70.0;65.0;68.0;74.0;5.9;2.1
2019/01/02;1400 UTC;0.0;944.9;945.6;944.9;3639.0;28.7;20.6;29.3;27.0;21.4;19.6;68.0;59.0;62.0;69.0;4.8;2.0
2019/01/02;1500 UTC;0.0;944.0;944.9;944.0;3816.3;29.3;19.6;30.1;28.5;21.3;18.8;64.0;53.0;56.0;45.0;5.6;1.9
2019/01/02;1600 UTC;0.0;943.3;944.0;943.3;4333.6;31.0;18.3;31.1;29.3;20.5;17.8;57.0;46.0;47.0;79.0;5.1;1.7
2019/01/02;1700 UTC;0.0;942.3;943.3;942.3;3840.1;32.1;19.6;32.1;30.4;20.4;18.1;53.0;46.0;48.0;52.0;5.7;0.7
2019/01/02;1800 UTC;0.0;941.4;942.3;941.4;3239.3;32.1;17.1;32.4;30.8;20.5;17.1;52.0;41.0;41.0;124.0;5.6;1.6
2019/01/02;1900 UTC;0.0;940.8;941.4;940.8;2778.1;31.9;18.6;32.7;31.3;19.9;16.9;49.0;41.0;45.0;96.0;6.5;2.6
2019/01/02;2000 UTC;0.0;940.5;940.8;940.5;463.8;29.1;18.2;31.9;29.1;20.3;17.4;57.0;45.0;52.0;139.0;5.7;1.9
2019/01/02;2100 UTC;0.0;940.5;940.5;940.4;409.4;30.1;20.1;30.4;28.9;20.5;18.3;59.0;51.0;55.0;132.0;3.2;0.2
2019/01/02;2200 UTC;0.0;941.2;941.2;940.4;77.3;26.0;20.5;30.2;26.0;21.0;19.5;74.0;53.0;72.0;138.0;1.8;0.2
2019/01/02;2300 UTC;0.0;941.7;941.7;941.2;;24.4;21.2;26.2;24.4;21.5;19.9;83.0;69.0;83.0;218.0;1.5;0.2
2019/01/03;0000 UTC;0.0;942.4;942.4;941.7;;23.4;21.1;24.5;23.4;21.5;20.6;87.0;80.0;87.0;234.0;1.4;0.4
2019/01/03;0100 UTC;0.0;943.0;943.0;942.4;;24.3;19.2;24.7;22.5;21.2;19.2;88.0;73.0;73.0;160.0;5.1;3.0
2019/01/03;0200 UTC;0.0;942.9;943.2;942.9;;23.0;19.6;24.3;23.0;19.6;19.0;81.0;73.0;81.0;179.0;5.1;0.9
2019/01/03;0300 UTC;0.0;942.1;942.9;942.1;;21.1;19.3;23.0;21.0;19.7;19.1;90.0;81.0;90.0;131.0;2.5;0.0
2019/01/03;0400 UTC;0.0;941.7;942.1;941.6;;20.6;19.1;21.5;20.6;19.7;19.0;91.0;88.0;91.0;131.0;1.7;0.2
2019/01/03;0500 UTC;0.0;941.2;941.7;941.2;;19.9;18.5;21.3;19.9;19.6;18.5;92.0;89.0;92.0;235.0;1.9;0.6
2019/01/03;0600 UTC;0.0;940.8;941.2;940.8;;19.8;18.5;20.4;19.8;19.1;18.5;93.0;91.0;92.0;287.0;2.0;0.1
2019/01/03;0700 UTC;0.0;940.9;941.0;940.7;;19.7;18.6;19.9;19.3;18.8;18.1;94.0;92.0;94.0;217.0;1.3;0.1
2019/01/03;0800 UTC;0.0;941.5;941.5;940.9;;19.7;18.3;20.3;19.2;19.1;18.0;94.0;92.0;92.0;228.0;2.1;0.1
2019/01/03;0900 UTC;0.0;942.2;942.2;941.5;20.1;18.4;17.3;19.7;18.4;18.3;17.3;94.0;91.0;94.0;242.0;1.4;0.1
2019/01/03;1000 UTC;0.0;942.9;942.9;942.2;532.4;22.7;20.4;22.7;18.4;20.4;17.3;94.0;87.0;87.0;195.0;1.4;0.0
2019/01/03;1100 UTC;0.0;943.4;943.4;942.9;1442.8;24.7;19.5;24.8;22.7;20.6;19.3;87.0;73.0;73.0;174.0;2.8;1.4
2019/01/03;1200 UTC;0.0;944.0;944.0;943.4;2346.9;26.8;20.2;26.9;24.5;20.8;19.1;74.0;66.0;67.0;113.0;3.5;1.1
2019/01/03;1300 UTC;0.0;943.9;944.0;943.9;3130.5;27.9;18.2;28.5;26.8;20.6;17.0;68.0;54.0;56.0;57.0;4.5;2.5
2019/01/03;1400 UTC;0.0;943.4;943.9;943.4;3711.6;29.4;18.5;29.7;27.7;19.1;17.5;57.0;50.0;52.0;59.0;8.0;2.5
2019/01/03;1500 UTC;0.0;942.6;943.4;942.6;4010.4;30.4;18.1;30.8;29.3;19.0;17.0;53.0;45.0;48.0;20.0;5.7;2.5
2019/01/03;1600 UTC;0.0;942.0;942.6;942.0;4096.5;31.4;16.4;32.0;30.2;18.9;16.1;50.0;40.0;40.0;24.0;5.5;1.3
2019/01/03;1700 UTC;0.0;941.0;942.0;941.0;3507.2;31.5;17.0;32.6;31.1;18.3;14.3;45.0;33.0;42.0;40.0;4.6;1.4
2019/01/03;1800 UTC;0.0;940.1;941.0;940.1;3420.2;32.8;14.7;33.6;31.5;16.2;13.2;42.0;30.0;34.0;294.0;3.7;0.5
