Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;1007.5;1007.5;1007.1;;23.0;22.8;24.0;23.0;23.3;22.8;99.0;94.0;99.0;277.0;1.3;0.0
2019/01/01;0100 UTC;0.0;1008.1;1008.1;1007.5;;22.4;22.4;23.0;22.4;22.9;22.4;100.0;99.0;100.0;137.0;1.7;0.1
2019/01/01;0200 UTC;0.0;1008.0;1008.2;1007.9;;21.9;21.9;22.6;21.8;22.6;21.8;100.0;100.0;100.0;317.0;1.4;0.1
2019/01/01;0300 UTC;0.0;1007.2;1008.0;1007.2;;21.8;21.8;22.3;21.5;22.3;21.5;100.0;100.0;100.0;87.0;1.9;0.4
2019/01/01;0400 UTC;0.0;1007.4;1007.4;1007.2;;21.2;21.2;21.8;21.2;21.8;21.2;100.0;100.0;100.0;264.0;1.7;0.2
2019/01/01;0500 UTC;0.0;1007.7;1007.7;1007.3;;21.3;21.3;21.4;21.1;21.4;21.1;100.0;100.0;100.0;315.0;1.0;0.4
2019/01/01;0600 UTC;0.0;1007.7;1007.7;1007.6;;21.0;21.0;21.3;21.0;21.3;21.0;100.0;100.0;100.0;298.0;0.9;0.0
2019/01/01;0700 UTC;0.0;1008.2;1008.2;1007.6;;20.8;20.8;21.0;20.8;21.0;20.8;100.0;100.0;100.0;230.0;1.0;0.0
2019/01/01;0800 UTC;0.0;1009.0;1009.0;1008.2;;20.8;20.8;20.9;20.7;20.9;20.7;100.0;100.0;100.0;280.0;1.1;0.0
2019/01/01;0900 UTC;0.0;1009.8;1009.8;1009.0;116.4;22.1;22.1;22.1;20.8;22.1;20.8;100.0;100.0;100.0;256.0;1.3;0.0
2019/01/01;1000 UTC;0.0;1010.2;1010.2;1009.8;744.6;25.2;24.0;25.2;22.1;24.3;22.1;100.0;92.0;93.0;63.0;0.0;0.0
2019/01/01;1100 UTC;0.0;1010.8;1010.8;1010.2;1492.1;26.7;21.9;26.8;24.9;24.6;21.4;94.0;73.0;75.0;235.0;4.5;2.4
2019/01/01;1200 UTC;0.0;1010.7;1010.9;1010.7;2487.8;28.7;20.6;29.3;26.7;22.7;20.3;74.0;60.0;62.0;179.0;4.5;2.1
2019/01/01;1300 UTC;0.0;1010.3;1010.8;1010.3;3136.9;30.6;22.1;30.6;28.6;22.4;20.4;65.0;56.0;60.0;218.0;4.6;1.3
2019/01/01;1400 UTC;0.0;1010.0;1010.3;1010.0;3393.4;30.5;21.0;31.3;30.1;22.4;20.5;63.0;55.0;57.0;152.0;5.2;2.6
2019/01/01;1500 UTC;0.0;1009.7;1010.0;1009.7;1873.0;31.8;20.6;32.0;30.3;22.1;20.5;59.0;51.0;51.0;213.0;5.6;1.6
2019/01/01;1600 UTC;0.0;1009.0;1009.8;1009.0;3601.3;33.0;20.7;33.5;31.8;21.9;19.1;55.0;44.0;49.0;233.0;5.4;1.9
2019/01/01;1700 UTC;0.0;1008.0;1009.0;1008.0;3012.1;33.8;20.9;33.9;32.2;22.1;19.4;52.0;45.0;47.0;201.0;5.3;1.6
2019/01/01;1800 UTC;0.0;1007.2;1007.9;1007.2;2908.5;34.7;20.6;34.9;33.4;22.5;19.5;49.0;42.0;44.0;207.0;4.4;1.1
2019/01/01;1900 UTC;0.0;1006.7;1007.2;1006.7;2002.3;33.4;21.1;34.9;33.4;22.0;19.7;50.0;42.0;49.0;154.0;3.3;1.3
2019/01/01;2000 UTC;0.0;1006.5;1006.8;1006.5;1178.0;33.3;21.7;34.7;33.0;22.4;20.0;52.0;44.0;51.0;70.0;3.3;0.2
2019/01/01;2100 UTC;0.0;1007.4;1007.4;1006.5;386.2;30.8;22.9;33.8;30.8;23.6;21.6;64.0;50.0;63.0;275.0;1.7;0.1
2019/01/01;2200 UTC;0.0;1008.3;1008.3;1007.3;14.8;28.0;22.6;30.8;28.0;23.7;21.6;76.0;61.0;72.0;23.0;3.4;0.1
2019/01/01;2300 UTC;0.0;1009.0;1009.0;1008.3;;28.0;24.5;28.9;27.4;24.5;22.4;84.0;70.0;81.0;326.0;3.7;0.2
2019/01/02;0000 UTC;0.0;1010.2;1010.3;1009.0;;28.4;21.8;28.9;26.8;25.5;21.8;92.0;67.0;68.0;248.0;7.4;2.8
2019/01/02;0100 UTC;0.0;1010.3;1010.6;1010.2;;25.7;23.8;28.4;25.7;23.8;21.6;89.0;68.0;89.0;221.0;5.5;0.1
2019/01/02;0200 UTC;0.0;1010.0;1010.3;1009.9;;24.4;24.2;25.7;24.4;24.4;23.9;99.0;89.0;99.0;269.0;1.5;0.1
2019/01/02;0300 UTC;0.0;1009.2;1010.0;1009.2;;23.9;23.9;24.5;23.9;24.4;23.9;100.0;99.0;100.0;180.0;2.1;0.0
2019/01/02;0400 UTC;0.0;1008.7;1009.2;1008.7;;23.8;23.8;24.1;23.8;24.1;23.8;100.0;100.0;100.0;106.0;2.0;0.1
2019/01/02;0500 UTC;0.0;1008.4;1008.7;1008.2;;23.3;23.3;23.8;23.3;23.8;23.3;100.0;100.0;100.0;313.0;1.0;0.0
2019/01/02;0600 UTC;0.0;1008.7;1008.7;1008.4;;23.0;;23.4;23.0;;;;;;252.0;0.0;0.0
2019/01/02;0700 UTC;0.0;1009.0;1009.0;1008.6;;22.6;22.6;23.0;22.6;;;;;100.0;323.0;0.0;0.0
2019/01/02;0800 UTC;0.0;1009.6;1009.6;1009.0;;22.4;22.4;22.7;22.4;22.7;22.4;100.0;100.0;100.0;274.0;0.5;0.0
2019/01/02;0900 UTC;0.0;1010.4;1010.4;1009.6;179.8;24.3;24.3;24.3;22.3;24.3;22.3;100.0;100.0;100.0;107.0;0.0;0.0
2019/01/02;1000 UTC;0.0;1011.0;1011.0;1010.5;418.9;25.1;24.5;25.1;24.3;24.8;24.3;100.0;96.0;96.0;239.0;0.0;0.0
2019/01/02;1100 UTC;0.0;1011.3;1011.5;1011.0;1360.3;27.6;25.2;27.6;25.1;25.7;24.1;97.0;87.0;87.0;96.0;1.8;0.3
2019/01/02;1200 UTC;0.0;1011.3;1011.3;1011.1;2683.7;29.5;23.2;30.6;27.6;25.1;22.5;87.0;64.0;69.0;155.0;4.5;2.2
2019/01/02;1300 UTC;0.0;1010.8;1011.3;1010.8;2237.9;30.1;23.2;30.2;29.3;24.2;23.0;72.0;67.0;67.0;183.0;4.3;1.9
2019/01/02;1400 UTC;0.0;1010.1;1010.8;1010.1;3684.2;31.7;24.4;31.9;30.1;24.5;22.0;70.0;59.0;65.0;203.0;5.4;1.6
2019/01/02;1500 UTC;0.0;1009.4;1010.1;1009.4;3716.6;32.6;23.5;32.9;31.2;24.3;22.2;65.0;56.0;59.0;169.0;5.3;2.4
2019/01/02;1600 UTC;0.0;1008.7;1009.4;1008.7;3275.8;33.3;22.4;33.9;32.2;24.3;21.8;61.0;52.0;53.0;189.0;5.3;1.9
2019/01/02;1700 UTC;0.0;1007.7;1008.7;1007.7;3561.0;34.7;23.6;34.7;33.1;24.0;21.9;57.0;50.0;53.0;194.0;5.5;1.4
2019/01/02;1800 UTC;0.0;1007.0;1007.7;1007.0;2480.2;33.8;22.4;35.2;33.7;24.3;21.6;55.0;47.0;52.0;161.0;4.1;1.7
2019/01/02;1900 UTC;0.4;1007.0;1007.0;1006.6;1268.1;30.3;24.4;33.8;29.7;26.7;21.7;84.0;50.0;71.0;45.0;6.8;1.9
2019/01/02;2000 UTC;0.0;1006.1;1007.0;1006.1;1435.0;32.6;22.5;32.9;30.0;26.0;22.1;79.0;54.0;56.0;79.0;4.2;0.8
2019/01/02;2100 UTC;0.0;1006.2;1006.2;1005.9;510.9;29.7;23.4;33.2;29.7;24.9;22.8;70.0;55.0;69.0;93.0;2.4;0.0
2019/01/02;2200 UTC;0.0;1006.9;1006.9;1006.2;14.5;28.5;23.1;29.8;27.4;25.9;22.9;92.0;69.0;73.0;47.0;2.8;1.1
2019/01/02;2300 UTC;0.0;1008.0;1008.0;1006.9;;27.3;25.4;28.6;26.9;25.9;22.3;92.0;69.0;89.0;255.0;2.8;0.0
2019/01/03;0000 UTC;0.0;1008.4;1008.5;1008.0;;26.3;25.8;27.3;26.2;26.0;25.2;97.0;89.0;97.0;138.0;1.1;0.0
2019/01/03;0100 UTC;0.0;1008.8;1008.8;1008.4;;25.8;25.1;27.0;25.8;25.8;24.8;97.0;88.0;96.0;13.0;2.7;0.0
2019/01/03;0200 UTC;0.0;1008.6;1008.9;1008.6;;25.0;24.9;25.8;24.9;25.1;24.8;100.0;96.0;99.0;340.0;0.6;0.0
2019/01/03;0300 UTC;0.0;1007.8;1008.6;1007.8;;24.5;24.5;25.0;24.5;25.0;24.5;100.0;99.0;100.0;262.0;0.0;0.0
2019/01/03;0400 UTC;0.0;1007.2;1007.8;1007.2;;24.3;24.3;24.6;24.3;24.6;24.3;100.0;100.0;100.0;116.0;0.0;0.0
2019/01/03;0500 UTC;0.0;1006.7;1007.2;1006.7;;23.9;;24.3;23.8;24.3;24.0;100.0;100.0;;106.0;0.0;0.0
2019/01/03;0600 UTC;0.0;1006.7;1006.7;1006.4;;23.5;;23.9;23.3;;;;;;23.0;0.0;0.0
2019/01/03;0700 UTC;0.0;1006.9;1006.9;1006.7;;23.2;;23.5;23.2;;;;;;266.0;0.0;0.0
2019/01/03;0800 UTC;0.0;1007.5;1007.5;1006.9;;23.3;;23.5;23.1;;;;;;242.0;0.0;0.0
2019/01/03;0900 UTC;0.0;1008.0;1008.0;1007.5;100.9;24.3;;24.3;23.3;;;;;;296.0;0.0;0.0
2019/01/03;1000 UTC;0.0;1008.1;1008.1;1008.0;432.8;26.7;26.2;26.7;24.3;26.2;24.8;100.0;95.0;97.0;77.0;1.4;0.0
2019/01/03;1100 UTC;0.0;1008.4;1008.4;1008.1;1342.7;28.5;23.1;28.9;26.7;26.5;23.1;97.0;72.0;73.0;156.0;3.7;1.7
2019/01/03;1200 UTC;0.2;1008.4;1008.5;1008.4;1722.0;31.8;23.1;31.8;28.3;25.3;22.4;84.0;60.0;60.0;230.0;5.1;1.8
2019/01/03;1300 UTC;0.0;1007.9;1008.4;1007.9;2902.0;31.7;22.8;32.3;30.8;23.8;22.2;65.0;57.0;59.0;233.0;5.1;2.4
2019/01/03;1400 UTC;0.0;1007.3;1007.9;1007.3;3181.6;32.9;22.7;33.2;31.7;24.1;22.0;61.0;53.0;55.0;219.0;6.4;2.3
2019/01/03;1500 UTC;0.0;1006.4;1007.3;1006.4;3537.1;34.0;22.8;34.3;32.6;23.5;21.7;57.0;49.0;52.0;240.0;6.3;2.2
2019/01/03;1600 UTC;0.0;1005.4;1006.4;1005.3;3687.2;35.0;22.1;35.2;33.9;23.5;21.2;54.0;45.0;47.0;235.0;6.1;3.1
2019/01/03;1700 UTC;0.0;1004.4;1005.4;1004.4;3468.0;35.9;22.6;36.0;34.8;23.5;21.2;51.0;44.0;46.0;226.0;6.7;2.0
2019/01/03;1800 UTC;0.0;1003.7;1004.4;1003.7;2827.7;36.2;23.0;36.6;35.4;23.4;20.9;49.0;41.0;47.0;176.0;5.6;1.6
2019/01/03;1900 UTC;0.0;1003.3;1003.7;1003.3;2255.5;36.8;19.7;37.2;36.1;22.5;19.4;47.0;35.0;37.0;222.0;6.0;1.3
2019/01/03;2000 UTC;0.0;1003.0;1003.3;1003.0;1445.5;36.6;19.5;36.9;36.4;20.8;18.6;40.0;34.0;37.0;202.0;4.2;0.6
2019/01/03;2100 UTC;0.0;1003.5;1003.5;1003.0;522.9;32.7;21.9;36.6;32.7;21.9;18.0;53.0;34.0;53.0;291.0;3.6;0.8
2019/01/03;2200 UTC;0.0;1004.0;1004.0;1003.5;12.5;28.7;23.3;32.6;28.7;23.7;21.8;74.0;53.0;73.0;142.0;1.9;0.0
2019/01/03;2300 UTC;0.0;1005.0;1005.0;1004.0;;32.2;21.6;32.2;27.6;24.8;21.6;85.0;54.0;54.0;259.0;5.8;2.5
2019/01/04;0000 UTC;0.0;1007.7;1007.7;1005.0;;28.1;20.9;32.6;28.1;21.5;20.3;65.0;51.0;65.0;251.0;12.4;3.3
2019/01/04;0100 UTC;0.0;1008.6;1008.8;1007.6;;26.6;23.8;28.1;26.2;24.0;20.9;88.0;65.0;85.0;359.0;7.2;0.6
2019/01/04;0200 UTC;0.0;1008.1;1008.6;1008.1;;26.5;23.6;26.6;25.9;24.6;23.6;92.0;84.0;84.0;231.0;2.9;0.3
2019/01/04;0300 UTC;0.0;1007.1;1008.1;1007.1;;25.9;24.5;26.5;25.8;24.7;23.8;93.0;84.0;92.0;298.0;2.3;0.5
2019/01/04;0400 UTC;0.0;1006.5;1007.1;1006.3;;25.8;24.2;25.9;25.5;24.9;24.2;96.0;90.0;91.0;243.0;3.0;0.4
2019/01/04;0500 UTC;0.0;1006.5;1006.6;1006.3;;24.8;24.0;25.9;24.8;24.3;24.0;96.0;90.0;95.0;158.0;7.2;1.5
2019/01/04;0600 UTC;0.0;1006.4;1006.5;1006.1;;24.7;24.0;24.9;24.6;24.1;23.9;97.0;94.0;96.0;161.0;3.0;1.3
2019/01/04;0700 UTC;0.0;1006.8;1006.8;1006.3;;24.5;23.8;24.9;24.4;24.0;23.7;96.0;94.0;96.0;215.0;3.2;1.2
2019/01/04;0800 UTC;0.0;1007.2;1007.2;1006.8;;24.3;24.0;24.5;24.1;24.1;23.8;99.0;96.0;98.0;219.0;4.1;0.4
2019/01/04;0900 UTC;0.0;1007.4;1007.5;1007.2;136.3;25.1;24.1;25.1;24.2;24.3;23.7;98.0;94.0;95.0;234.0;3.5;1.6
2019/01/04;1000 UTC;0.0;1007.7;1007.7;1007.4;790.6;27.0;22.2;27.0;25.1;24.4;22.0;95.0;75.0;75.0;232.0;4.9;2.5
2019/01/04;1100 UTC;0.0;1008.1;1008.1;1007.7;1502.6;28.3;22.5;28.4;26.9;23.4;22.0;79.0;71.0;71.0;229.0;5.3;2.4
2019/01/04;1200 UTC;0.0;1007.9;1008.1;1007.9;2319.1;29.8;22.0;30.1;28.3;23.0;21.7;73.0;62.0;63.0;235.0;5.7;2.8
2019/01/04;1300 UTC;0.0;1007.5;1008.0;1007.5;2992.0;31.6;22.7;31.6;29.7;23.4;21.7;65.0;57.0;59.0;237.0;6.1;2.9
2019/01/04;1400 UTC;0.0;1006.7;1007.5;1006.7;3518.3;32.6;22.5;32.6;31.4;23.6;21.9;61.0;54.0;56.0;227.0;6.5;3.2
2019/01/04;1500 UTC;0.0;1006.2;1006.7;1006.2;3729.0;33.6;22.0;33.9;32.5;23.1;21.0;56.0;48.0;51.0;221.0;8.4;3.2
2019/01/04;1600 UTC;0.0;1005.4;1006.2;1005.4;3675.1;34.8;20.9;34.9;33.6;22.9;20.0;52.0;43.0;44.0;218.0;8.4;3.1
2019/01/04;1700 UTC;0.0;1004.2;1005.4;1004.1;3476.8;35.4;20.9;35.6;34.8;22.0;20.0;47.0;41.0;43.0;223.0;8.4;3.1
2019/01/04;1800 UTC;0.0;1003.2;1004.2;1003.2;2649.9;35.5;21.2;36.0;35.0;21.4;19.4;45.0;38.0;43.0;238.0;7.5;1.8
2019/01/04;1900 UTC;0.0;1003.2;1003.4;1002.8;1699.2;35.3;20.8;36.3;34.3;21.4;19.0;45.0;39.0;43.0;236.0;6.2;2.2
2019/01/04;2000 UTC;0.0;1003.4;1003.5;1002.7;444.4;32.8;23.8;35.3;32.3;23.8;20.2;60.0;42.0;59.0;297.0;5.3;0.7
2019/01/04;2100 UTC;0.0;1005.3;1005.3;1003.4;176.2;28.1;20.0;33.2;27.9;24.0;17.3;62.0;42.0;61.0;345.0;12.7;3.5
2019/01/04;2200 UTC;27.2;1009.7;1009.7;1005.3;2.3;22.2;22.2;28.7;22.2;22.5;19.6;100.0;58.0;100.0;226.0;7.4;0.3
2019/01/04;2300 UTC;11.0;1010.0;1010.4;1009.7;;23.1;23.1;23.2;22.2;23.1;22.3;100.0;100.0;100.0;266.0;7.8;3.4
2019/01/05;0000 UTC;1.2;1009.4;1010.1;1009.4;;22.7;22.7;23.4;22.6;23.1;22.3;100.0;94.0;100.0;218.0;8.6;2.4
2019/01/05;0100 UTC;0.0;1009.6;1009.9;1009.4;;22.9;22.9;23.0;22.7;23.0;22.7;100.0;100.0;100.0;252.0;4.5;1.3
2019/01/05;0200 UTC;0.0;1008.7;1009.6;1008.7;;22.6;22.6;23.2;22.5;23.1;22.5;100.0;98.0;100.0;86.0;3.0;0.1
2019/01/05;0300 UTC;0.0;1007.8;1008.7;1007.8;;21.5;;22.6;21.5;22.5;21.6;100.0;100.0;;225.0;1.7;0.0
2019/01/05;0400 UTC;0.0;1007.4;1007.8;1007.3;;21.0;;21.5;21.0;;;;;;294.0;1.7;0.0
2019/01/05;0500 UTC;0.0;1007.0;1007.4;1007.0;;21.0;;21.1;20.7;;;;;;288.0;1.9;0.2
2019/01/05;0600 UTC;0.0;1006.3;1007.0;1006.3;;21.1;;21.4;20.9;;;;;;206.0;1.7;0.4
2019/01/05;0700 UTC;0.0;1006.7;1006.7;1006.3;;20.5;;21.1;20.5;;;;;;290.0;2.1;0.2
2019/01/05;0800 UTC;0.0;1007.6;1007.6;1006.7;;21.5;;21.9;20.5;;;;;;182.0;3.3;0.5
2019/01/05;0900 UTC;0.0;1008.4;1008.4;1007.6;150.5;22.6;22.6;22.6;21.0;22.6;21.0;100.0;100.0;100.0;163.0;2.9;1.4
2019/01/05;1000 UTC;0.0;1008.7;1008.7;1008.4;807.3;24.0;23.4;24.0;22.6;23.6;22.6;100.0;96.0;96.0;193.0;3.3;1.6
2019/01/05;1100 UTC;0.0;1009.1;1009.1;1008.6;1344.7;25.3;23.7;25.3;24.0;24.2;23.2;97.0;89.0;91.0;195.0;3.8;1.5
2019/01/05;1200 UTC;0.0;1009.1;1009.3;1009.0;2388.9;27.6;20.4;27.6;25.3;24.5;19.9;93.0;65.0;65.0;219.0;3.5;2.0
2019/01/05;1300 UTC;0.0;1009.1;1009.2;1009.0;3058.1;28.9;22.0;29.0;27.5;22.5;20.6;70.0;64.0;67.0;228.0;4.5;2.1
2019/01/05;1400 UTC;0.2;1008.6;1009.1;1008.6;3266.4;30.0;22.9;30.0;28.7;23.1;21.1;70.0;63.0;66.0;229.0;5.3;2.5
2019/01/05;1500 UTC;0.0;1007.9;1008.6;1007.8;3694.2;31.0;22.8;31.1;29.9;23.6;21.9;67.0;59.0;62.0;234.0;5.2;2.3
2019/01/05;1600 UTC;0.0;1007.1;1007.9;1007.1;3657.6;32.4;23.3;32.5;31.0;23.5;22.1;63.0;54.0;59.0;193.0;4.6;1.8
2019/01/05;1700 UTC;0.0;1006.5;1007.1;1006.5;2940.7;32.5;22.4;33.0;31.9;23.2;21.1;60.0;51.0;55.0;181.0;4.4;1.9
2019/01/05;1800 UTC;0.0;1005.5;1006.5;1005.5;2732.5;33.4;22.4;33.7;32.5;23.0;20.8;56.0;48.0;53.0;132.0;3.4;1.2
2019/01/05;1900 UTC;0.0;1004.8;1005.5;1004.8;1896.2;33.6;21.2;34.3;33.0;22.8;20.9;54.0;48.0;48.0;217.0;3.1;0.5
2019/01/05;2000 UTC;0.0;1006.2;1006.2;1004.7;1389.4;29.2;19.4;34.5;29.2;22.9;19.3;55.0;47.0;55.0;89.0;10.7;5.2
2019/01/05;2100 UTC;0.0;1006.3;1006.4;1006.0;374.7;27.4;19.3;29.2;27.4;19.7;18.7;61.0;55.0;61.0;39.0;10.6;0.5
2019/01/05;2200 UTC;0.0;1008.1;1008.2;1006.2;33.2;28.0;19.7;28.2;26.5;20.6;19.1;66.0;60.0;61.0;115.0;5.8;3.3
2019/01/05;2300 UTC;3.2;1008.1;1008.6;1008.0;;23.4;23.4;28.3;23.0;23.4;18.5;100.0;57.0;100.0;352.0;5.8;0.5
2019/01/06;0000 UTC;0.0;1008.9;1009.0;1008.1;;23.0;23.0;24.1;22.9;23.6;22.9;100.0;93.0;100.0;303.0;3.5;0.5
2019/01/06;0100 UTC;0.0;1009.5;1009.5;1008.9;;22.3;;23.0;22.3;23.0;22.3;100.0;100.0;;228.0;1.6;0.0
2019/01/06;0200 UTC;0.0;1009.5;1009.7;1009.5;;22.0;;22.3;21.9;;;;;;297.0;1.2;0.3
2019/01/06;0300 UTC;0.2;1009.1;1009.5;1009.1;;22.0;;22.2;21.9;;;;;;162.0;1.3;0.0
2019/01/06;0400 UTC;0.0;1008.5;1009.1;1008.5;;21.6;;22.0;21.6;;;;;;266.0;1.0;0.1
2019/01/06;0500 UTC;0.0;1008.2;1008.5;1008.1;;21.3;;21.7;21.3;;;;;;286.0;0.9;0.0
2019/01/06;0600 UTC;0.0;1007.8;1008.2;1007.7;;20.9;20.9;21.3;20.9;;;;;100.0;287.0;0.4;0.0
2019/01/06;0700 UTC;0.0;1008.1;1008.1;1007.8;;20.5;20.5;20.9;20.5;20.9;20.5;100.0;100.0;100.0;131.0;0.0;0.0
2019/01/06;0800 UTC;0.0;1008.9;1008.9;1008.1;;20.3;20.3;20.7;20.3;20.7;20.3;100.0;100.0;100.0;299.0;0.7;0.0
2019/01/06;0900 UTC;0.0;1009.6;1009.6;1008.9;119.6;21.3;21.3;21.3;20.3;21.3;20.3;100.0;100.0;100.0;253.0;0.7;0.0
2019/01/06;1000 UTC;0.0;1009.7;1009.7;1009.6;804.0;24.7;23.7;24.7;21.2;23.9;21.2;100.0;94.0;94.0;249.0;1.6;0.0
2019/01/06;1100 UTC;0.0;1010.0;1010.0;1009.6;1660.6;26.6;21.7;26.7;24.1;24.5;21.1;95.0;71.0;75.0;230.0;4.4;2.3
2019/01/06;1200 UTC;0.0;1009.8;1010.1;1009.8;2474.4;28.9;22.0;29.0;26.6;22.5;20.9;77.0;63.0;66.0;228.0;4.4;1.2
2019/01/06;1300 UTC;0.0;1009.7;1009.8;1009.7;3080.1;29.9;21.4;30.0;28.5;22.4;20.8;67.0;59.0;61.0;147.0;3.9;1.7
