Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;963.3;963.3;962.9;;21.2;19.0;21.5;21.0;19.3;18.6;88.0;86.0;87.0;69.0;3.2;1.7
2019/01/01;0100 UTC;0.0;964.1;964.1;963.3;;20.8;19.2;21.3;20.7;19.3;18.8;90.0;87.0;90.0;277.0;3.0;0.8
2019/01/01;0200 UTC;0.0;964.0;964.2;964.0;;21.4;19.5;21.4;20.7;19.6;19.0;91.0;89.0;89.0;23.0;1.5;1.0
2019/01/01;0300 UTC;0.0;963.4;964.0;963.4;0.6;21.6;19.7;21.6;21.3;19.7;19.3;89.0;88.0;89.0;86.0;3.3;2.0
2019/01/01;0400 UTC;0.0;962.9;963.4;962.9;0.5;21.7;19.9;21.7;21.5;19.9;19.6;90.0;89.0;90.0;87.0;3.4;2.0
2019/01/01;0500 UTC;0.0;962.5;963.0;962.5;;20.9;19.4;21.8;20.9;20.1;19.4;91.0;90.0;91.0;344.0;2.9;1.6
2019/01/01;0600 UTC;0.0;962.7;962.7;962.5;;20.7;19.4;21.2;20.6;20.0;19.3;93.0;91.0;92.0;301.0;2.2;0.8
2019/01/01;0700 UTC;0.0;963.1;963.1;962.7;;20.4;19.2;21.0;20.2;19.8;19.0;93.0;92.0;93.0;324.0;1.3;0.7
2019/01/01;0800 UTC;0.0;963.5;963.5;963.1;;21.1;20.0;21.1;20.4;20.0;19.3;93.0;93.0;93.0;47.0;1.0;0.7
2019/01/01;0900 UTC;0.0;964.3;964.3;963.5;9.0;20.9;19.8;21.1;20.3;20.0;19.2;94.0;93.0;94.0;4.0;1.4;0.6
2019/01/01;1000 UTC;0.0;964.8;964.8;964.3;77.8;22.2;20.2;22.4;20.9;21.0;19.8;94.0;89.0;89.0;29.0;2.0;0.7
2019/01/01;1100 UTC;0.0;965.2;965.2;964.8;243.8;23.8;19.5;24.7;22.1;20.9;19.4;89.0;75.0;77.0;120.0;2.5;1.6
2019/01/01;1200 UTC;0.0;965.3;965.3;965.1;1727.5;26.0;19.3;26.4;23.8;20.4;19.1;78.0;66.0;67.0;64.0;3.3;1.8
2019/01/01;1300 UTC;0.0;964.9;965.3;964.9;3047.7;27.0;20.2;27.3;25.6;21.2;19.0;72.0;65.0;66.0;103.0;3.8;1.5
2019/01/01;1400 UTC;0.0;964.6;964.9;964.6;3585.0;29.2;20.3;29.8;26.8;21.6;19.7;68.0;58.0;58.0;229.0;4.2;2.0
2019/01/01;1500 UTC;0.0;964.0;964.6;964.0;3162.1;30.5;19.5;30.7;28.5;20.9;19.0;61.0;51.0;52.0;243.0;4.5;1.8
2019/01/01;1600 UTC;0.0;963.3;964.0;963.3;3571.2;31.7;19.7;32.4;30.5;21.0;19.0;54.0;47.0;49.0;273.0;4.8;2.3
2019/01/01;1700 UTC;0.0;962.6;963.3;962.6;2928.3;31.9;18.3;33.4;31.0;21.0;17.9;52.0;40.0;44.0;297.0;5.3;3.0
2019/01/01;1800 UTC;0.0;962.0;962.6;961.9;1610.8;29.3;18.9;31.9;27.7;19.7;18.0;60.0;45.0;54.0;327.0;9.2;2.8
2019/01/01;1900 UTC;0.0;962.9;962.9;961.6;1069.6;24.7;20.5;30.7;24.7;20.5;18.2;78.0;49.0;78.0;87.0;11.4;7.2
2019/01/01;2000 UTC;0.0;964.2;964.3;962.8;24.4;24.1;20.5;24.7;24.0;20.7;20.1;80.0;78.0;80.0;87.0;12.1;1.4
2019/01/01;2100 UTC;0.0;964.9;964.9;964.2;48.5;24.2;20.0;24.4;24.1;20.9;20.0;81.0;78.0;78.0;53.0;3.8;2.3
2019/01/01;2200 UTC;0.0;965.5;965.5;964.9;3.9;24.0;20.1;24.2;23.7;20.1;19.9;80.0;78.0;79.0;13.0;3.8;0.5
2019/01/01;2300 UTC;0.0;966.1;966.1;965.5;;24.1;20.4;24.1;23.7;20.6;20.1;82.0;79.0;80.0;291.0;1.5;0.5
2019/01/02;0000 UTC;0.0;966.6;966.6;966.1;;23.7;20.3;24.1;23.6;20.7;20.3;83.0;80.0;81.0;318.0;2.8;1.7
2019/01/02;0100 UTC;0.0;966.5;966.6;966.4;;22.7;20.2;23.7;22.7;20.4;20.1;86.0;81.0;86.0;326.0;2.8;1.4
2019/01/02;0200 UTC;0.0;966.1;966.5;966.1;0.2;22.7;20.5;22.8;22.5;20.7;20.2;88.0;86.0;87.0;32.0;2.2;1.0
2019/01/02;0300 UTC;0.0;965.3;966.1;965.3;;22.2;20.3;22.7;22.1;20.6;20.0;90.0;87.0;89.0;325.0;2.2;1.0
