Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;898.1;898.1;897.3;;16.4;16.0;17.5;16.3;16.6;15.8;97.0;94.0;97.0;47.0;4.2;0.7
2019/01/01;0100 UTC;0.0;898.2;898.2;898.0;;16.2;16.0;16.5;15.9;16.2;15.7;99.0;97.0;99.0;83.0;2.7;1.2
2019/01/01;0200 UTC;0.0;898.2;898.4;898.2;;16.4;16.3;16.4;15.8;16.3;15.6;99.0;99.0;99.0;7.0;2.4;1.1
2019/01/01;0300 UTC;0.0;897.6;898.2;897.6;;15.5;15.4;16.5;15.4;16.4;15.2;99.0;99.0;99.0;352.0;2.4;0.9
2019/01/01;0400 UTC;0.0;897.2;897.7;897.2;;15.9;15.8;16.2;15.5;16.1;15.4;99.0;99.0;99.0;8.0;2.7;1.7
2019/01/01;0500 UTC;0.0;897.1;897.3;897.1;;15.9;15.7;16.2;15.2;16.1;15.1;99.0;99.0;99.0;345.0;3.4;1.8
2019/01/01;0600 UTC;0.0;897.2;897.3;897.1;;15.8;15.7;16.2;15.4;16.0;15.3;99.0;99.0;99.0;18.0;3.5;1.8
2019/01/01;0700 UTC;0.0;897.5;897.5;897.2;;17.6;16.6;17.9;15.7;17.3;15.5;99.0;94.0;94.0;17.0;3.3;1.8
2019/01/01;0800 UTC;0.0;898.1;898.1;897.5;;18.0;16.9;18.1;17.1;17.2;16.1;96.0;93.0;94.0;47.0;4.4;1.3
2019/01/01;0900 UTC;0.0;898.9;898.9;898.1;76.0;18.9;17.4;18.9;17.9;17.4;16.8;94.0;91.0;91.0;75.0;4.8;2.1
2019/01/01;1000 UTC;0.0;899.4;899.5;898.9;475.0;19.8;17.7;19.9;18.8;17.8;17.3;91.0;87.0;88.0;72.0;6.1;2.7
2019/01/01;1100 UTC;0.0;899.7;899.8;899.4;425.0;19.7;17.6;19.9;19.7;17.7;17.5;88.0;86.0;88.0;63.0;7.7;3.0
2019/01/01;1200 UTC;0.0;900.0;900.0;899.7;332.7;19.8;18.2;19.8;19.4;18.2;17.6;92.0;88.0;91.0;61.0;7.1;2.4
2019/01/01;1300 UTC;0.0;899.9;900.1;899.8;1771.1;23.3;20.1;23.3;19.8;20.1;18.0;91.0;81.0;83.0;65.0;7.9;3.1
2019/01/01;1400 UTC;0.0;899.5;899.9;899.4;3661.4;24.5;19.0;24.6;22.7;19.8;18.2;82.0;69.0;72.0;73.0;8.7;4.0
2019/01/01;1500 UTC;0.0;899.5;899.6;899.4;2785.9;25.1;19.9;25.1;23.8;20.1;18.2;77.0;68.0;73.0;62.0;8.6;2.8
2019/01/01;1600 UTC;0.0;899.3;899.5;899.2;3217.4;25.3;19.0;26.3;23.7;21.0;18.4;77.0;67.0;68.0;62.0;7.2;3.3
2019/01/01;1700 UTC;0.0;898.8;899.3;898.8;2430.8;25.1;19.3;25.9;24.2;20.4;18.5;74.0;67.0;71.0;82.0;6.7;3.5
2019/01/01;1800 UTC;0.8;898.1;898.8;898.1;1662.4;25.2;19.9;25.4;23.5;21.2;18.6;83.0;69.0;73.0;77.0;6.5;2.3
2019/01/01;1900 UTC;0.0;897.8;898.1;897.7;848.7;23.4;19.4;25.9;23.1;20.3;18.8;84.0;67.0;79.0;360.0;5.7;1.5
2019/01/01;2000 UTC;0.0;898.6;898.6;897.6;266.0;22.9;18.6;24.1;22.6;19.7;18.6;82.0;72.0;77.0;38.0;4.9;1.0
2019/01/01;2100 UTC;0.0;899.1;899.3;898.4;54.2;20.2;19.3;22.9;20.0;19.4;18.7;95.0;77.0;95.0;210.0;4.2;1.5
2019/01/01;2200 UTC;0.0;899.5;899.6;899.1;5.3;19.8;19.2;20.2;19.7;19.4;19.1;97.0;94.0;97.0;270.0;4.0;1.1
2019/01/01;2300 UTC;0.0;900.0;900.0;899.4;;18.7;17.7;19.8;18.7;19.2;17.7;98.0;93.0;94.0;13.0;3.3;1.3
2019/01/02;0000 UTC;0.0;900.6;900.6;900.0;;17.6;17.3;18.8;17.6;17.9;17.3;98.0;94.0;98.0;327.0;3.1;0.7
2019/01/02;0100 UTC;0.0;900.8;900.8;900.5;;17.2;17.0;17.7;17.2;17.5;17.0;99.0;98.0;99.0;342.0;1.5;0.6
2019/01/02;0200 UTC;0.0;900.2;900.8;900.2;;17.1;17.0;17.5;16.7;17.3;16.6;99.0;99.0;99.0;274.0;1.3;0.4
2019/01/02;0300 UTC;0.0;899.5;900.2;899.5;;17.5;17.4;17.8;16.8;17.7;16.7;99.0;99.0;99.0;1.0;1.4;0.9
2019/01/02;0400 UTC;0.0;898.9;899.5;898.9;;17.7;17.6;18.4;17.0;18.3;16.9;99.0;99.0;99.0;32.0;2.6;1.5
2019/01/02;0500 UTC;0.0;898.5;898.9;898.5;;18.4;17.8;18.8;17.6;18.5;17.5;99.0;96.0;96.0;10.0;3.5;1.7
2019/01/02;0600 UTC;0.0;898.6;898.6;898.5;;18.1;17.7;18.7;17.9;18.3;17.3;98.0;96.0;97.0;26.0;3.0;1.3
