Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;948.0;948.0;947.0;;23.7;18.6;24.5;23.5;19.5;18.5;76.0;73.0;73.0;121.0;4.4;0.5
2019/01/01;0100 UTC;0.0;948.3;948.3;948.0;;22.6;18.4;23.7;22.4;19.0;18.4;81.0;72.0;77.0;15.0;3.3;2.2
2019/01/01;0200 UTC;0.0;948.3;948.5;948.3;;21.6;18.6;22.9;21.6;18.7;18.1;83.0;74.0;83.0;84.0;5.9;1.5
2019/01/01;0300 UTC;0.0;947.8;948.3;947.8;;21.7;18.8;21.8;21.5;18.8;18.7;84.0;83.0;84.0;97.0;3.5;0.2
2019/01/01;0400 UTC;0.0;947.7;947.8;947.6;;21.2;19.1;21.9;20.5;19.2;18.7;91.0;83.0;88.0;282.0;1.4;0.0
2019/01/01;0500 UTC;0.0;947.2;947.7;947.2;;21.6;19.9;21.8;21.1;19.9;19.1;90.0;87.0;90.0;47.0;3.4;1.6
2019/01/01;0600 UTC;0.0;947.1;947.2;947.0;;20.9;19.8;21.8;20.9;19.9;19.7;93.0;89.0;93.0;64.0;3.7;0.4
2019/01/01;0700 UTC;0.0;947.3;947.3;947.1;;20.3;19.3;21.0;20.1;20.0;19.3;96.0;93.0;94.0;79.0;2.2;0.1
2019/01/01;0800 UTC;0.0;947.8;947.8;947.3;;20.9;19.5;20.9;20.0;19.8;19.3;96.0;92.0;92.0;102.0;2.4;0.4
2019/01/01;0900 UTC;0.0;948.6;948.7;947.8;57.0;21.1;19.6;21.1;20.3;19.7;19.1;94.0;91.0;91.0;47.0;3.5;0.1
2019/01/01;1000 UTC;0.0;949.2;949.2;948.6;691.3;23.1;20.6;23.1;20.9;20.7;19.4;92.0;85.0;86.0;37.0;2.7;0.9
2019/01/01;1100 UTC;0.0;949.1;949.4;949.1;1482.8;24.7;20.9;24.7;22.9;21.3;20.0;86.0;79.0;80.0;66.0;4.8;3.1
2019/01/01;1200 UTC;0.0;949.3;949.3;949.0;2379.8;26.4;20.4;26.8;24.6;21.7;20.1;82.0;68.0;69.0;67.0;5.0;2.8
2019/01/01;1300 UTC;0.0;949.5;949.7;949.3;3078.3;28.4;20.8;28.4;26.4;21.3;19.8;71.0;62.0;63.0;48.0;5.2;2.8
2019/01/01;1400 UTC;0.0;949.3;949.6;949.3;3726.3;30.4;19.8;30.6;28.2;21.5;18.8;65.0;52.0;53.0;50.0;7.5;2.6
2019/01/01;1500 UTC;0.0;948.9;949.3;948.9;3158.9;30.8;19.0;31.7;29.9;20.5;17.8;56.0;47.0;50.0;243.0;7.4;1.0
2019/01/01;1600 UTC;0.0;948.1;948.9;948.1;3985.8;32.3;19.0;32.8;30.8;20.5;18.0;52.0;44.0;45.0;339.0;5.0;1.2
2019/01/01;1700 UTC;0.0;947.3;948.0;947.3;3456.3;32.9;19.6;33.1;31.8;20.0;17.6;48.0;41.0;46.0;243.0;5.5;0.5
2019/01/01;1800 UTC;0.0;946.7;947.4;946.7;1946.7;30.5;19.0;32.9;30.1;20.6;18.8;55.0;45.0;50.0;319.0;8.2;4.2
2019/01/01;1900 UTC;0.0;946.6;946.7;946.3;1349.9;30.2;19.4;30.8;29.0;20.4;18.5;60.0;50.0;52.0;109.0;6.9;0.5
2019/01/01;2000 UTC;0.0;947.3;947.3;946.6;885.4;27.7;19.6;31.0;27.4;20.6;19.2;67.0;51.0;62.0;173.0;6.5;3.1
2019/01/01;2100 UTC;1.6;949.0;949.0;947.2;596.2;24.5;21.5;28.5;24.5;21.5;19.6;83.0;61.0;83.0;279.0;8.4;2.5
2019/01/01;2200 UTC;33.0;950.2;950.2;949.0;15.5;21.7;21.2;24.5;21.7;21.8;21.0;97.0;84.0;97.0;206.0;8.4;0.5
2019/01/01;2300 UTC;3.2;951.4;951.4;950.1;;21.7;21.3;21.7;21.6;21.3;21.2;98.0;97.0;98.0;181.0;4.1;2.1
2019/01/02;0000 UTC;1.6;951.5;951.5;951.4;;21.6;21.2;21.7;21.6;21.3;21.2;98.0;98.0;98.0;89.0;3.2;0.1
2019/01/02;0100 UTC;0.0;951.3;951.5;951.3;;21.7;21.3;21.9;21.6;21.5;21.2;98.0;98.0;98.0;184.0;2.9;0.0
2019/01/02;0200 UTC;0.0;950.8;951.3;950.8;;21.7;21.3;21.7;21.6;21.4;21.3;98.0;98.0;98.0;132.0;0.9;0.0
2019/01/02;0300 UTC;0.0;950.1;950.8;950.1;;21.9;21.5;21.9;21.7;21.5;21.3;98.0;98.0;98.0;95.0;2.3;0.2
2019/01/02;0400 UTC;0.0;949.3;950.1;949.3;;21.6;21.2;21.9;21.5;21.5;21.1;98.0;97.0;98.0;148.0;2.0;1.1
2019/01/02;0500 UTC;0.0;948.6;949.3;948.5;;22.0;20.9;22.2;21.6;21.4;20.9;98.0;93.0;93.0;12.0;3.4;0.0
2019/01/02;0600 UTC;0.0;948.7;948.7;948.6;;21.6;21.1;22.0;21.6;21.1;20.8;97.0;93.0;97.0;284.0;1.9;0.8
2019/01/02;0700 UTC;0.0;949.1;949.1;948.7;;21.5;21.1;21.6;21.5;21.2;21.1;98.0;97.0;98.0;186.0;1.8;0.0
2019/01/02;0800 UTC;0.0;949.4;949.4;949.1;;21.5;21.0;21.8;21.5;21.3;21.0;98.0;97.0;97.0;267.0;3.0;0.5
2019/01/02;0900 UTC;0.0;950.1;950.1;949.5;50.6;21.7;21.3;21.8;21.5;21.4;21.0;97.0;97.0;97.0;329.0;2.2;0.1
2019/01/02;1000 UTC;0.0;950.2;950.3;950.0;493.5;23.4;21.7;23.6;21.7;22.3;21.3;98.0;90.0;90.0;128.0;2.3;0.4
2019/01/02;1100 UTC;0.4;950.5;950.5;950.1;1425.3;25.6;22.1;26.0;23.4;22.9;21.6;92.0;78.0;81.0;63.0;2.6;0.3
