Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;923.0;923.0;922.0;;20.7;19.7;20.9;20.7;19.9;19.7;94.0;94.0;94.0;106.0;3.2;1.6
2019/01/01;0100 UTC;0.0;923.5;923.6;923.0;;20.8;19.7;20.8;20.6;19.7;19.7;94.0;93.0;93.0;126.0;3.5;0.6
2019/01/01;0200 UTC;0.0;923.4;923.6;923.3;;20.5;19.5;20.9;20.4;19.7;19.4;94.0;93.0;94.0;167.0;2.0;1.2
2019/01/01;0300 UTC;0.0;922.9;923.4;922.9;;20.0;19.1;20.5;19.9;19.5;19.0;95.0;94.0;95.0;148.0;1.9;1.1
2019/01/01;0400 UTC;0.0;922.3;922.9;922.3;;19.7;18.9;20.0;19.7;19.2;18.9;95.0;95.0;95.0;117.0;3.3;1.6
2019/01/01;0500 UTC;0.0;922.1;922.3;922.1;;19.6;18.7;19.7;19.6;19.0;18.7;96.0;94.0;94.0;100.0;3.9;1.8
2019/01/01;0600 UTC;0.0;922.5;922.6;922.1;;19.3;18.3;19.7;19.2;18.8;18.2;94.0;94.0;94.0;122.0;3.8;1.4
2019/01/01;0700 UTC;0.0;923.1;923.1;922.5;;18.5;17.7;19.3;18.5;18.3;17.6;95.0;94.0;95.0;118.0;3.3;1.1
2019/01/01;0800 UTC;0.0;923.3;923.3;923.1;;18.5;17.7;18.6;18.5;17.8;17.6;95.0;95.0;95.0;135.0;4.1;1.8
2019/01/01;0900 UTC;0.0;924.4;924.4;923.3;36.0;18.5;17.6;18.5;18.4;17.7;17.5;95.0;94.0;94.0;123.0;4.4;1.7
2019/01/01;1000 UTC;0.0;925.8;925.8;924.4;625.4;20.9;17.8;21.0;18.5;18.6;17.5;94.0;83.0;83.0;198.0;3.9;0.4
2019/01/01;1100 UTC;0.0;926.4;926.4;925.8;1110.1;22.2;18.0;22.2;20.7;18.4;17.5;84.0;77.0;77.0;87.0;3.0;1.3
2019/01/01;1200 UTC;0.0;926.6;926.6;926.4;1912.3;22.8;17.4;23.5;22.0;18.8;17.0;78.0;68.0;72.0;46.0;3.4;1.1
2019/01/01;1300 UTC;0.0;926.2;926.6;926.2;2789.4;26.0;18.3;26.0;22.7;18.8;17.2;72.0;61.0;63.0;119.0;3.6;1.7
2019/01/01;1400 UTC;0.0;925.8;926.2;925.8;3552.8;26.2;17.0;27.0;24.9;18.7;17.0;65.0;57.0;57.0;26.0;3.6;1.5
2019/01/01;1500 UTC;0.0;925.4;925.8;925.4;3856.4;27.8;17.7;28.3;26.2;18.8;17.0;60.0;52.0;54.0;217.0;3.8;1.2
2019/01/01;1600 UTC;0.0;924.7;925.4;924.7;3465.8;30.5;18.7;30.5;27.8;19.5;17.3;56.0;48.0;49.0;206.0;3.8;1.6
2019/01/01;1700 UTC;0.0;924.0;924.7;924.0;3231.1;30.5;18.5;31.3;29.7;19.8;17.1;52.0;45.0;49.0;110.0;4.1;0.9
2019/01/01;1800 UTC;0.0;923.2;924.0;923.2;3280.7;31.3;18.4;32.1;30.0;19.7;17.3;50.0;43.0;47.0;182.0;4.5;2.1
2019/01/01;1900 UTC;0.0;922.4;923.2;922.4;2876.8;31.7;16.8;32.5;31.0;19.2;16.3;48.0;39.0;41.0;201.0;4.6;1.6
2019/01/01;2000 UTC;0.0;921.7;922.4;921.7;2027.4;31.7;17.9;32.6;31.0;19.0;16.0;47.0;38.0;44.0;113.0;5.3;1.5
2019/01/01;2100 UTC;0.0;921.7;921.7;921.6;1061.0;31.3;17.4;32.3;31.2;18.3;16.4;45.0;40.0;43.0;162.0;3.8;1.2
2019/01/01;2200 UTC;0.0;922.1;922.1;921.7;244.6;27.6;18.4;31.3;27.6;18.5;17.4;58.0;43.0;57.0;100.0;3.0;0.6
2019/01/01;2300 UTC;0.0;923.1;923.1;922.1;;25.0;19.0;27.6;25.0;19.2;18.4;69.0;57.0;69.0;97.0;2.7;1.4
2019/01/02;0000 UTC;0.0;924.2;924.2;923.1;;23.1;19.2;25.0;23.1;19.3;19.0;79.0;69.0;79.0;106.0;2.7;1.3
2019/01/02;0100 UTC;0.0;924.5;924.5;924.2;;22.5;19.0;23.1;22.4;19.3;19.0;81.0;79.0;81.0;106.0;3.2;1.7
2019/01/02;0200 UTC;0.0;924.9;924.9;924.4;;22.3;18.8;22.8;22.2;19.1;18.8;81.0;79.0;81.0;106.0;3.9;1.9
2019/01/02;0300 UTC;0.0;925.0;925.1;924.9;;22.2;18.5;23.0;22.2;18.8;18.5;81.0;77.0;80.0;111.0;5.7;2.2
2019/01/02;0400 UTC;0.0;924.3;925.0;924.3;;21.6;19.1;22.2;21.6;19.1;18.5;85.0;80.0;85.0;109.0;5.9;2.9
2019/01/02;0500 UTC;0.0;924.0;924.3;923.9;;21.0;19.1;21.6;21.0;19.1;19.0;89.0;85.0;89.0;150.0;5.4;1.7
2019/01/02;0600 UTC;0.0;923.4;924.0;923.4;;20.6;19.1;21.0;20.6;19.2;19.0;91.0;89.0;91.0;100.0;3.5;1.2
2019/01/02;0700 UTC;0.0;924.4;924.4;923.3;;20.0;18.8;20.6;20.0;19.1;18.8;93.0;91.0;93.0;126.0;2.6;0.7
