Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;901.1;901.1;900.5;;19.6;19.0;20.3;19.6;19.6;18.9;96.0;95.0;96.0;255.0;0.0;0.0
2019/01/01;0100 UTC;0.0;902.2;902.2;901.1;;19.2;18.6;19.7;19.2;19.1;18.6;96.0;96.0;96.0;156.0;1.3;0.0
2019/01/01;0200 UTC;0.0;902.4;902.4;902.1;;18.7;18.1;19.3;18.7;18.7;18.1;97.0;96.0;97.0;132.0;1.4;0.0
2019/01/01;0300 UTC;0.0;902.0;902.5;901.9;;18.5;18.0;18.9;18.4;18.3;17.8;97.0;97.0;97.0;312.0;3.6;0.2
2019/01/01;0400 UTC;0.0;901.7;902.0;901.6;;17.8;17.3;18.5;17.7;17.8;17.2;97.0;97.0;97.0;90.0;1.6;0.0
2019/01/01;0500 UTC;0.0;901.8;901.8;901.5;;16.6;16.1;17.8;16.3;17.3;15.8;97.0;97.0;97.0;10.0;2.9;0.1
2019/01/01;0600 UTC;0.0;901.9;902.0;901.8;;16.9;16.4;17.1;16.3;16.6;15.9;97.0;97.0;97.0;71.0;1.7;0.0
2019/01/01;0700 UTC;0.0;902.2;902.2;901.9;;16.8;16.3;17.1;16.2;16.6;15.8;97.0;97.0;97.0;73.0;1.6;0.1
2019/01/01;0800 UTC;0.0;902.9;902.9;902.2;;16.7;16.3;17.2;16.2;16.7;15.7;97.0;97.0;97.0;319.0;1.9;0.0
2019/01/01;0900 UTC;0.0;903.3;903.3;902.9;18.0;17.0;16.5;17.1;16.4;16.7;16.0;97.0;97.0;97.0;178.0;0.0;0.0
2019/01/01;1000 UTC;0.2;904.0;904.0;903.3;230.6;17.9;17.4;17.9;17.0;17.4;16.6;97.0;97.0;97.0;287.0;0.0;0.0
2019/01/01;1100 UTC;0.0;904.8;904.8;904.0;874.1;20.5;18.8;21.0;17.9;20.4;17.5;97.0;90.0;90.0;298.0;5.0;0.6
2019/01/01;1200 UTC;0.0;904.9;904.9;904.8;748.8;21.2;18.6;21.2;20.3;19.1;18.1;91.0;83.0;85.0;317.0;5.5;0.9
2019/01/01;1300 UTC;0.0;905.1;905.1;904.9;1199.6;22.7;18.3;22.7;21.1;19.0;18.0;86.0;75.0;76.0;345.0;4.6;1.4
2019/01/01;1400 UTC;0.0;904.6;905.2;904.5;2434.8;24.8;19.1;24.8;22.7;19.8;17.8;79.0;67.0;71.0;324.0;5.3;1.0
