Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;954.1;954.5;954.0;;24.9;19.6;25.8;24.6;19.7;19.3;74.0;67.0;73.0;80.0;3.9;0.6
2019/01/01;0100 UTC;0.0;954.5;954.6;954.1;;24.6;20.1;24.9;24.2;20.1;19.6;76.0;73.0;76.0;103.0;2.8;1.1
2019/01/01;0200 UTC;0.0;955.3;955.3;954.5;;24.3;19.2;24.8;23.4;20.1;19.2;81.0;73.0;73.0;83.0;2.9;0.3
2019/01/01;0300 UTC;0.0;955.0;955.3;955.0;;23.8;19.1;24.3;23.7;19.3;18.9;76.0;72.0;75.0;73.0;4.2;1.1
2019/01/01;0400 UTC;0.0;954.5;955.0;954.5;;23.7;19.3;23.9;23.5;19.3;19.0;77.0;75.0;77.0;86.0;4.2;0.8
2019/01/01;0500 UTC;0.0;954.1;954.5;954.0;;23.4;19.5;23.8;23.4;19.6;19.3;78.0;76.0;78.0;116.0;3.5;0.4
2019/01/01;0600 UTC;0.0;954.1;954.2;954.0;;23.6;19.6;23.6;23.1;19.6;19.5;80.0;78.0;78.0;67.0;4.6;1.4
2019/01/01;0700 UTC;0.0;954.6;954.6;954.1;;23.7;19.4;23.8;23.5;19.6;19.4;78.0;77.0;77.0;67.0;5.1;1.9
2019/01/01;0800 UTC;0.0;955.0;955.0;954.6;;23.9;19.4;23.9;23.6;19.4;19.3;77.0;76.0;76.0;67.0;5.8;2.3
2019/01/01;0900 UTC;0.0;955.6;955.6;955.0;2.0;24.0;19.4;24.0;23.7;19.4;19.3;77.0;76.0;76.0;68.0;8.2;2.6
