Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;1012.2;1012.3;1012.0;;25.1;;25.1;25.0;;;;;;106.0;0.0;0.0
2019/01/01;0100 UTC;0.0;1012.1;1012.4;1012.1;;24.8;;25.2;24.8;;;;;;75.0;5.6;2.1
2019/01/01;0200 UTC;0.0;1011.9;1012.2;1011.9;;24.9;;24.9;24.7;;;;;;55.0;5.9;0.2
2019/01/01;0300 UTC;0.0;1011.4;1011.9;1011.4;;24.9;;25.1;24.6;;;;;;56.0;6.4;0.0
2019/01/01;0400 UTC;0.0;1010.9;1011.3;1010.8;;24.7;;24.9;24.7;;;;;;53.0;7.5;3.0
2019/01/01;0500 UTC;0.0;1010.9;1011.0;1010.7;;24.5;;24.8;24.4;;;;;;43.0;8.9;5.2
2019/01/01;0600 UTC;0.0;1011.0;1011.1;1010.9;;24.3;;24.5;24.2;;;;;;48.0;8.9;0.9
2019/01/01;0700 UTC;0.0;1011.4;1011.4;1011.0;;24.3;;24.4;24.2;;;;;;53.0;7.9;5.0
2019/01/01;0800 UTC;0.0;1011.8;1011.8;1011.3;;24.2;;24.3;24.1;;;;;;41.0;8.1;1.7
2019/01/01;0900 UTC;0.0;1013.0;1013.0;1011.8;55.2;24.4;;24.4;24.2;;;;;;34.0;6.1;0.0
