Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;940.9;941.1;940.8;;24.0;19.9;25.0;24.0;20.0;19.6;78.0;72.0;78.0;236.0;3.8;0.3
2019/01/01;0100 UTC;0.0;941.4;941.4;940.9;;24.1;20.3;24.1;23.8;20.3;19.9;80.0;78.0;79.0;236.0;3.4;1.6
2019/01/01;0200 UTC;0.0;941.8;941.8;941.2;;23.8;20.9;24.1;23.5;21.0;20.2;84.0;79.0;84.0;236.0;3.4;0.3
2019/01/01;0300 UTC;0.0;941.9;942.2;941.8;;23.9;21.4;24.0;23.2;21.5;20.9;87.0;84.0;86.0;236.0;2.4;0.9
2019/01/01;0400 UTC;0.0;941.0;941.9;941.0;;22.9;21.2;23.9;22.8;21.5;20.9;90.0;86.0;90.0;236.0;4.2;1.6
2019/01/01;0500 UTC;0.0;940.7;941.0;940.7;;23.1;21.2;23.4;22.9;21.6;21.2;91.0;89.0;89.0;236.0;5.2;1.3
2019/01/01;0600 UTC;0.0;941.0;941.1;940.6;;22.5;21.4;23.1;22.4;21.6;21.2;94.0;89.0;94.0;236.0;5.0;2.9
2019/01/01;0700 UTC;0.0;941.5;941.5;941.0;;23.0;20.7;23.0;22.1;21.4;20.7;94.0;87.0;87.0;236.0;4.6;2.8
2019/01/01;0800 UTC;0.0;942.0;942.0;941.5;;21.7;20.4;23.0;21.7;20.6;20.2;93.0;85.0;93.0;236.0;4.4;1.6
2019/01/01;0900 UTC;0.0;942.8;942.8;942.0;26.0;22.4;20.6;22.6;21.6;21.0;20.5;95.0;89.0;89.0;236.0;5.6;2.9
2019/01/01;1000 UTC;0.0;943.3;943.3;942.8;296.0;23.0;21.3;23.1;22.1;21.3;20.5;91.0;88.0;90.0;236.0;6.2;2.0
2019/01/01;1100 UTC;0.2;944.0;944.0;943.3;1330.5;24.9;20.2;25.7;22.9;21.7;20.2;91.0;74.0;75.0;236.0;7.1;4.2
2019/01/01;1200 UTC;0.0;944.0;944.1;943.9;1019.8;24.9;19.8;25.2;24.5;20.5;19.3;77.0;72.0;73.0;236.0;9.4;4.7
2019/01/01;1300 UTC;0.0;944.1;944.2;943.9;2898.0;28.1;20.7;28.3;24.9;21.3;19.5;74.0;63.0;64.0;236.0;8.5;4.6
2019/01/01;1400 UTC;0.0;944.1;944.2;944.1;3015.8;28.8;21.1;29.2;27.5;21.9;20.4;67.0;62.0;63.0;236.0;7.8;4.1
2019/01/01;1500 UTC;0.0;944.0;944.2;943.9;3996.7;30.0;21.5;31.2;28.8;23.2;20.7;66.0;60.0;60.0;236.0;7.9;3.9
2019/01/01;1600 UTC;0.0;943.4;944.0;943.3;3848.2;30.7;22.1;30.8;29.2;22.7;21.0;65.0;58.0;60.0;236.0;7.9;3.5
2019/01/01;1700 UTC;0.0;942.9;943.4;942.9;3930.8;30.3;22.1;30.9;29.9;23.2;21.2;66.0;58.0;62.0;236.0;7.8;1.9
2019/01/01;1800 UTC;0.0;942.1;942.9;942.1;3522.2;31.4;22.0;31.4;30.3;22.9;20.9;63.0;56.0;58.0;236.0;5.7;1.9
2019/01/01;1900 UTC;0.0;941.2;942.1;941.2;1265.2;30.1;21.1;31.4;30.0;22.4;20.8;62.0;55.0;59.0;236.0;4.9;1.5
2019/01/01;2000 UTC;0.0;940.9;941.2;940.7;1203.4;30.2;20.8;31.3;29.8;22.4;20.4;60.0;54.0;57.0;236.0;4.4;2.3
2019/01/01;2100 UTC;0.0;941.0;941.1;940.8;973.6;29.4;21.0;31.0;29.4;21.5;19.8;62.0;51.0;60.0;236.0;4.1;1.4
2019/01/01;2200 UTC;0.0;941.6;941.7;941.0;147.9;28.9;19.9;29.4;28.8;21.1;19.7;61.0;57.0;58.0;236.0;3.0;0.7
2019/01/01;2300 UTC;0.0;941.7;941.7;941.5;4.0;27.9;19.7;28.9;27.7;19.9;19.3;61.0;58.0;61.0;236.0;1.7;0.4
2019/01/02;0000 UTC;0.0;942.8;942.8;941.7;;27.8;19.3;28.1;27.5;19.8;19.3;63.0;59.0;60.0;236.0;1.6;0.7
2019/01/02;0100 UTC;0.0;943.5;943.5;942.8;;27.8;19.4;28.1;27.8;19.5;19.1;60.0;59.0;60.0;236.0;1.8;0.4
2019/01/02;0200 UTC;0.0;943.5;943.6;943.5;;27.1;19.7;27.9;27.0;19.7;19.3;64.0;60.0;64.0;236.0;2.6;1.3
2019/01/02;0300 UTC;0.0;942.9;943.5;942.9;;26.1;20.4;27.1;26.1;20.4;19.7;71.0;64.0;71.0;236.0;2.7;0.9
2019/01/02;0400 UTC;0.0;942.0;942.9;942.0;;26.5;19.7;26.6;26.0;20.5;19.7;71.0;66.0;66.0;236.0;4.3;2.4
2019/01/02;0500 UTC;0.0;941.2;942.0;941.2;;27.1;19.1;27.1;26.3;19.7;19.1;67.0;62.0;62.0;236.0;5.2;3.1
2019/01/02;0600 UTC;0.0;941.2;941.3;941.1;;25.1;20.1;27.1;25.0;20.2;19.1;75.0;62.0;74.0;236.0;4.4;2.5
2019/01/02;0700 UTC;0.0;941.6;941.6;941.2;;25.4;19.9;25.7;25.1;20.1;19.9;74.0;70.0;72.0;236.0;4.6;2.8
2019/01/02;0800 UTC;0.0;941.9;941.9;941.6;;24.7;20.2;25.6;24.7;20.3;19.9;76.0;71.0;76.0;236.0;5.8;3.9
2019/01/02;0900 UTC;0.0;942.6;942.6;941.9;26.6;24.2;20.6;24.7;24.2;20.6;20.2;80.0;76.0;80.0;236.0;6.9;4.3
2019/01/02;1000 UTC;0.0;943.5;943.5;942.6;503.5;25.2;20.7;25.2;24.2;20.7;20.4;80.0;76.0;76.0;236.0;8.9;4.9
2019/01/02;1100 UTC;0.0;943.9;944.0;943.4;1480.8;26.9;21.0;27.0;25.2;21.3;20.6;76.0;70.0;70.0;236.0;9.0;5.6
