Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2019/01/01;0000 UTC;0.0;937.3;937.3;936.4;;24.1;21.2;24.1;23.7;21.5;21.2;87.0;84.0;84.0;10.0;2.5;1.4
2019/01/01;0100 UTC;0.0;937.1;937.4;937.1;;24.0;21.5;24.5;24.0;21.5;21.2;86.0;83.0;86.0;19.0;3.9;2.0
2019/01/01;0200 UTC;0.0;937.0;937.1;936.7;;24.2;21.4;24.8;23.9;21.7;20.9;87.0;79.0;84.0;348.0;5.5;1.8
2019/01/01;0300 UTC;0.0;936.8;937.2;936.8;;22.6;21.8;24.2;22.6;21.8;21.4;95.0;84.0;95.0;55.0;3.2;1.5
2019/01/01;0400 UTC;0.0;936.6;936.8;936.6;;21.9;21.3;22.7;21.8;21.8;21.2;97.0;95.0;96.0;24.0;3.2;2.1
2019/01/01;0500 UTC;0.0;936.7;936.7;936.6;;22.2;21.3;22.4;21.9;21.3;21.1;96.0;93.0;95.0;28.0;3.2;2.2
2019/01/01;0600 UTC;0.0;936.8;936.8;936.6;;21.8;21.1;22.2;21.7;21.3;21.1;97.0;95.0;96.0;10.0;3.4;2.0
2019/01/01;0700 UTC;0.0;937.2;937.3;936.8;;21.8;21.3;22.1;21.6;21.3;21.0;97.0;95.0;97.0;10.0;3.6;1.9
2019/01/01;0800 UTC;0.0;938.0;938.0;937.2;;21.6;21.1;22.8;21.6;21.3;20.4;97.0;87.0;97.0;22.0;5.0;2.9
2019/01/01;0900 UTC;0.0;938.7;938.7;938.0;140.1;23.2;20.4;23.3;21.4;21.1;20.3;98.0;83.0;84.0;351.0;6.1;3.0
2019/01/01;1000 UTC;0.0;939.6;939.6;938.7;882.3;24.7;21.0;24.8;23.1;21.6;20.3;85.0;79.0;80.0;3.0;6.1;2.5
2019/01/01;1100 UTC;0.0;939.8;939.8;939.6;1725.6;26.1;21.2;26.2;24.7;21.6;20.6;81.0;74.0;75.0;6.0;6.2;2.8
2019/01/01;1200 UTC;0.0;939.8;939.9;939.7;2559.3;27.3;21.3;27.5;25.9;22.2;20.8;77.0;69.0;70.0;341.0;7.4;2.7
2019/01/01;1300 UTC;0.0;939.7;939.9;939.7;3266.9;29.1;21.9;29.5;27.3;22.5;21.0;73.0;62.0;65.0;317.0;6.0;2.9
2019/01/01;1400 UTC;0.0;939.8;939.8;939.6;2433.2;29.7;21.4;30.1;28.9;22.4;20.6;66.0;57.0;61.0;270.0;7.8;2.5
2019/01/01;1500 UTC;0.0;939.4;939.8;939.4;1589.4;30.4;20.7;30.8;29.4;22.2;20.7;63.0;55.0;57.0;274.0;6.0;2.2
2019/01/01;1600 UTC;0.0;938.9;939.4;938.9;1590.4;30.1;21.5;31.3;29.8;22.1;20.6;61.0;55.0;60.0;265.0;5.5;2.0
2019/01/01;1700 UTC;0.0;938.2;938.9;938.2;1625.4;30.2;22.2;31.8;30.0;23.0;21.0;62.0;55.0;62.0;360.0;4.4;1.9
2019/01/01;1800 UTC;0.0;937.2;938.2;937.2;2378.2;31.7;21.3;32.0;30.1;22.8;20.8;64.0;52.0;54.0;7.0;4.4;2.3
2019/01/01;1900 UTC;0.0;936.5;937.2;936.5;2370.2;31.6;21.4;32.3;31.4;21.8;20.6;57.0;51.0;55.0;25.0;7.7;2.7
