Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;953.3;953.4;952.1;0.0;24.5;20.0;24.9;24.5;21.0;19.9;79.0;75.0;76.0;38.0;5.5;1.9
2020/01/01;0100 UTC;0.0;953.7;953.8;953.3;0.0;25.7;19.4;25.7;24.3;20.1;19.4;77.0;68.0;68.0;355.0;3.8;1.2
2020/01/01;0200 UTC;0.0;954.6;954.7;953.7;0.0;24.9;19.2;25.9;24.9;19.4;18.7;70.0;66.0;70.0;95.0;2.7;0.5
2020/01/01;0300 UTC;0.0;954.8;954.9;954.5;0.0;23.6;19.6;24.9;23.6;20.0;19.2;78.0;70.0;78.0;322.0;3.9;1.9
2020/01/01;0400 UTC;0.0;954.4;954.8;954.2;0.0;22.9;19.7;23.6;22.8;20.1;19.6;83.0;78.0;82.0;172.0;3.9;0.6
2020/01/01;0500 UTC;0.0;954.1;954.6;954.1;0.0;23.6;20.2;23.6;22.6;20.4;19.8;85.0;81.0;81.0;87.0;3.5;2.2
2020/01/01;0600 UTC;0.0;953.3;954.1;953.3;0.0;22.8;20.8;23.6;22.8;21.1;20.1;89.0;81.0;88.0;341.0;3.5;0.7
2020/01/01;0700 UTC;0.0;952.9;953.3;952.9;0.0;22.2;19.8;23.2;22.2;21.2;19.8;89.0;85.0;86.0;327.0;3.4;1.8
2020/01/01;0800 UTC;0.0;952.7;952.9;952.7;0.0;22.7;19.8;22.9;21.9;20.1;19.7;88.0;83.0;84.0;305.0;3.2;0.2
2020/01/01;0900 UTC;0.0;953.5;953.5;952.7;4.5;22.1;19.7;23.0;22.1;19.9;19.6;86.0;83.0;86.0;50.0;3.0;0.8
2020/01/01;1000 UTC;0.0;954.0;954.0;953.5;298.9;24.7;19.9;24.7;22.1;20.1;19.7;86.0;75.0;75.0;344.0;2.4;0.1
2020/01/01;1100 UTC;0.0;954.3;954.3;954.0;1171.8;27.0;20.6;27.0;24.7;20.7;19.8;75.0;67.0;68.0;292.0;5.4;3.1
2020/01/01;1200 UTC;0.0;954.4;954.5;954.3;2043.1;29.3;20.8;29.3;26.9;21.1;20.0;68.0;60.0;60.0;303.0;7.3;1.8
2020/01/01;1300 UTC;0.0;954.5;954.5;954.4;2493.4;29.7;20.3;30.2;28.4;21.0;19.8;61.0;56.0;57.0;298.0;6.0;2.3
2020/01/01;1400 UTC;0.0;954.1;954.5;954.1;3049.9;31.1;20.8;31.7;29.0;21.2;19.9;59.0;52.0;54.0;284.0;6.0;1.9
2020/01/01;1500 UTC;0.0;953.9;954.2;953.9;3306.8;31.9;20.6;32.3;30.6;21.3;20.0;54.0;51.0;52.0;248.0;6.6;2.4
2020/01/01;1600 UTC;0.0;953.0;953.9;953.0;3249.3;32.9;19.1;33.4;31.4;21.0;18.3;52.0;42.0;44.0;287.0;5.3;2.0
2020/01/01;1700 UTC;0.0;952.1;953.0;952.1;3230.9;33.4;20.3;33.7;30.8;20.4;19.1;52.0;44.0;46.0;32.0;6.1;2.6
2020/01/01;1800 UTC;0.0;950.5;952.1;950.5;2692.4;34.3;20.3;34.5;32.0;20.4;19.2;48.0;42.0;44.0;200.0;7.0;1.7
2020/01/01;1900 UTC;0.0;949.8;950.6;949.8;2028.4;33.1;16.8;34.8;32.0;20.3;15.4;47.0;33.0;38.0;281.0;7.0;2.8
2020/01/01;2000 UTC;0.0;949.2;949.8;949.1;1267.7;32.6;19.3;34.0;32.5;19.6;16.9;46.0;37.0;45.0;261.0;5.7;0.0
2020/01/01;2100 UTC;0.0;949.6;949.6;949.2;653.7;29.7;19.5;32.7;29.6;20.4;18.9;54.0;44.0;54.0;302.0;7.0;3.1
2020/01/01;2200 UTC;0.0;950.3;950.3;949.5;224.6;29.2;19.6;29.7;29.1;19.7;19.2;57.0;54.0;56.0;25.0;5.9;0.0
2020/01/01;2300 UTC;0.0;951.4;951.4;950.3;0.1;28.0;19.2;29.2;28.0;20.2;19.2;62.0;56.0;59.0;3.0;5.8;1.7
2020/01/02;0000 UTC;0.0;952.0;952.0;951.4;0.0;28.0;17.4;28.0;27.6;19.2;17.4;59.0;53.0;53.0;13.0;5.8;1.0
2020/01/02;0100 UTC;0.0;952.6;952.6;952.0;0.0;27.9;17.7;28.1;27.5;18.0;16.6;55.0;50.0;54.0;4.0;5.2;0.8
2020/01/02;0200 UTC;0.0;953.1;953.2;952.6;0.0;27.4;17.5;28.4;27.3;17.8;17.1;55.0;52.0;55.0;353.0;5.6;2.4
2020/01/02;0300 UTC;0.0;952.5;953.2;952.5;0.0;25.6;19.4;27.4;25.6;19.4;17.4;69.0;55.0;69.0;320.0;5.9;2.6
2020/01/02;0400 UTC;0.0;952.0;952.5;952.0;0.0;25.2;19.4;25.8;25.0;19.8;19.4;73.0;69.0;71.0;310.0;4.6;2.2
2020/01/02;0500 UTC;0.0;952.1;952.1;951.6;0.0;24.6;19.9;25.2;24.3;20.1;19.4;77.0;71.0;75.0;239.0;7.7;2.7
2020/01/02;0600 UTC;0.0;952.2;952.3;951.8;0.0;23.7;20.5;24.8;23.7;20.5;19.3;82.0;72.0;82.0;277.0;6.9;2.2
2020/01/02;0700 UTC;0.4;951.8;952.2;951.8;0.0;23.5;20.7;23.7;23.2;20.8;20.4;85.0;82.0;85.0;268.0;5.9;3.8
2020/01/02;0800 UTC;0.0;952.7;952.7;951.8;0.0;22.8;20.4;23.5;22.7;20.7;20.3;87.0;84.0;86.0;311.0;5.1;1.2
2020/01/02;0900 UTC;0.0;953.3;953.3;952.6;1.9;22.5;20.4;23.1;22.5;20.5;20.2;88.0;85.0;88.0;314.0;2.8;0.8
2020/01/02;1000 UTC;0.0;953.8;953.8;953.3;217.2;23.8;21.2;23.8;22.4;21.2;20.4;89.0;85.0;85.0;279.0;2.8;0.1
2020/01/02;1100 UTC;0.0;954.5;954.5;953.8;641.0;25.4;20.6;25.5;23.8;21.3;20.6;85.0;75.0;75.0;313.0;2.8;1.2
2020/01/02;1200 UTC;0.0;954.9;954.9;954.4;1221.3;27.1;20.2;27.8;25.3;21.3;20.2;75.0;65.0;66.0;325.0;5.9;3.3
2020/01/02;1300 UTC;0.0;955.0;955.0;954.9;1840.7;28.7;20.3;28.7;26.9;20.9;19.6;67.0;60.0;61.0;324.0;7.6;3.0
2020/01/02;1400 UTC;0.0;954.7;955.0;954.7;2982.4;30.4;20.3;31.5;28.3;20.9;19.7;61.0;52.0;55.0;290.0;7.6;3.7
2020/01/02;1500 UTC;0.0;954.0;954.7;954.0;3581.5;31.7;19.9;33.5;30.5;21.0;19.0;55.0;46.0;50.0;271.0;8.3;4.3
2020/01/02;1600 UTC;0.0;952.9;954.0;952.9;1671.6;31.9;19.5;33.8;31.0;20.6;19.5;52.0;45.0;48.0;279.0;8.7;3.6
2020/01/02;1700 UTC;0.0;952.0;952.9;951.9;1833.3;29.2;20.0;34.0;27.4;21.7;19.6;67.0;45.0;58.0;6.0;11.0;4.8
2020/01/02;1800 UTC;2.2;952.7;953.6;951.9;109.1;23.0;22.1;29.2;20.9;22.1;18.9;95.0;58.0;95.0;128.0;15.1;0.1
2020/01/02;1900 UTC;2.4;951.6;952.7;951.6;515.6;24.7;22.9;24.7;23.0;23.3;22.1;95.0;89.0;90.0;121.0;3.7;1.6
2020/01/02;2000 UTC;2.4;951.8;951.9;951.4;1086.9;26.9;22.8;26.9;24.6;23.3;22.4;90.0;77.0;78.0;289.0;4.9;0.0
2020/01/02;2100 UTC;2.6;952.5;952.5;951.7;338.4;26.7;22.8;27.0;26.5;22.9;22.0;80.0;75.0;79.0;347.0;2.0;0.0
2020/01/02;2200 UTC;2.4;953.2;953.2;952.4;106.9;25.7;23.1;26.7;25.7;23.7;22.8;87.0;79.0;85.0;208.0;4.2;1.6
2020/01/02;2300 UTC;2.0;953.4;953.9;953.2;0.8;24.2;22.0;25.7;24.2;23.0;22.0;88.0;82.0;88.0;111.0;4.2;0.0
