Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;900.7;900.7;900.0;;21.1;17.8;21.2;20.9;17.9;17.6;82.0;80.0;81.0;358.0;3.3;0.3
2020/01/01;0100 UTC;0.0;901.3;901.3;900.7;;21.7;16.9;21.8;20.9;17.8;16.9;82.0;74.0;74.0;302.0;2.6;2.0
2020/01/01;0200 UTC;0.0;901.6;901.6;901.3;;20.5;18.0;21.7;20.3;18.0;16.9;86.0;74.0;86.0;262.0;2.8;1.8
2020/01/01;0300 UTC;0.0;901.6;901.7;901.6;;20.4;17.9;20.8;20.4;18.1;17.7;87.0;83.0;85.0;292.0;2.8;0.3
2020/01/01;0400 UTC;0.0;901.2;901.6;901.2;;21.1;17.3;21.2;20.4;18.0;17.3;85.0;79.0;79.0;325.0;1.8;1.2
2020/01/01;0500 UTC;0.0;900.8;901.2;900.8;;20.4;17.6;21.1;20.3;17.6;17.1;84.0;79.0;84.0;322.0;4.2;2.6
2020/01/01;0600 UTC;0.0;900.7;900.9;900.7;;20.3;17.5;20.6;19.8;18.1;17.3;90.0;81.0;84.0;291.0;4.4;3.3
2020/01/01;0700 UTC;0.0;900.3;900.7;900.3;;20.1;17.2;20.8;20.1;17.5;16.8;84.0;78.0;84.0;327.0;4.3;2.3
2020/01/01;0800 UTC;0.0;900.8;900.8;900.2;;20.4;17.1;20.7;20.1;17.3;16.7;84.0;78.0;81.0;350.0;3.8;2.1
2020/01/01;0900 UTC;0.0;901.0;901.0;900.8;6.3;20.3;17.1;20.8;20.3;17.1;17.0;82.0;79.0;82.0;41.0;3.3;1.0
2020/01/01;1000 UTC;0.0;901.4;901.4;901.0;345.8;22.0;17.8;22.0;20.1;18.0;17.1;85.0;77.0;77.0;54.0;3.7;0.9
2020/01/01;1100 UTC;0.0;901.8;901.8;901.4;771.3;23.3;18.2;23.3;22.0;18.4;17.5;79.0;73.0;73.0;12.0;2.2;1.1
2020/01/01;1200 UTC;0.0;901.9;901.9;901.8;2190.1;24.9;18.7;25.1;23.1;19.3;17.9;74.0;68.0;69.0;333.0;4.1;2.3
2020/01/01;1300 UTC;0.0;902.0;902.1;901.9;2644.8;25.6;18.0;26.5;24.9;19.2;17.6;70.0;60.0;63.0;300.0;5.5;2.7
2020/01/01;1400 UTC;0.0;901.4;902.0;901.4;3520.5;26.6;17.7;27.9;25.6;20.2;17.5;68.0;55.0;58.0;310.0;6.2;2.3
2020/01/01;1500 UTC;0.0;901.1;901.4;901.1;1740.4;24.8;18.2;26.7;24.8;18.7;17.0;67.0;56.0;67.0;65.0;8.5;5.8
2020/01/01;1600 UTC;4.4;901.5;901.6;900.9;601.9;20.0;18.3;24.8;19.9;19.7;18.1;90.0;67.0;90.0;262.0;8.1;3.7
2020/01/01;1700 UTC;3.8;900.0;901.5;900.0;869.4;22.4;19.0;22.4;19.6;19.5;18.1;93.0;81.0;81.0;293.0;5.4;1.8
2020/01/01;1800 UTC;0.0;899.1;900.0;899.1;2108.8;24.6;19.2;24.6;22.4;20.8;18.2;82.0;69.0;72.0;323.0;4.6;1.6
