Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;935.3;935.3;934.4;;21.9;20.8;22.2;21.6;21.0;20.2;95.0;90.0;93.0;11.0;3.1;1.0
2020/01/01;0100 UTC;0.0;936.2;936.2;935.3;;21.9;20.3;22.3;21.8;20.7;20.3;93.0;89.0;91.0;283.0;2.8;0.6
2020/01/01;0200 UTC;0.0;936.5;936.6;936.2;;21.7;20.6;22.1;21.5;20.7;20.2;94.0;90.0;93.0;330.0;2.7;0.7
2020/01/01;0300 UTC;0.0;936.5;936.6;936.4;;21.7;20.4;23.2;21.7;20.7;19.9;93.0;83.0;92.0;231.0;4.5;1.1
2020/01/01;0400 UTC;0.0;936.3;936.6;936.3;;21.4;20.3;22.6;21.4;20.8;20.0;94.0;88.0;94.0;217.0;3.3;1.1
2020/01/01;0500 UTC;0.0;935.6;936.3;935.6;;20.8;20.0;21.5;20.7;20.5;19.8;95.0;93.0;95.0;120.0;3.2;1.4
2020/01/01;0600 UTC;0.0;935.0;935.6;935.0;;20.8;20.1;21.0;20.7;20.2;19.9;96.0;95.0;96.0;33.0;1.9;0.0
2020/01/01;0700 UTC;0.0;934.7;935.0;934.6;;20.5;19.7;20.8;20.5;20.1;19.7;96.0;95.0;95.0;24.0;1.7;0.3
2020/01/01;0800 UTC;0.0;935.3;935.3;934.7;;20.1;19.4;20.8;20.0;20.0;19.3;96.0;94.0;96.0;253.0;2.3;1.2
2020/01/01;0900 UTC;0.0;935.5;935.5;935.3;;20.2;19.6;20.2;19.9;19.6;19.3;96.0;96.0;96.0;298.0;2.3;0.1
2020/01/01;1000 UTC;0.0;936.1;936.1;935.5;218.1;20.9;20.2;20.9;20.1;20.2;19.5;96.0;96.0;96.0;272.0;1.6;0.1
2020/01/01;1100 UTC;0.0;936.4;936.4;936.0;898.7;22.9;20.6;23.0;20.9;21.1;20.2;96.0;86.0;87.0;313.0;3.6;1.3
2020/01/01;1200 UTC;0.0;936.7;936.7;936.4;1634.6;24.7;21.0;24.7;22.9;21.2;20.3;87.0;79.0;80.0;322.0;3.9;1.7
2020/01/01;1300 UTC;0.0;936.5;936.8;936.5;2667.0;26.9;21.5;26.9;24.7;21.7;20.7;81.0;71.0;72.0;336.0;4.2;1.2
2020/01/01;1400 UTC;0.0;936.1;936.6;936.1;2775.2;27.9;21.8;28.1;26.6;22.5;20.7;74.0;66.0;70.0;273.0;4.1;2.5
2020/01/01;1500 UTC;0.0;935.6;936.1;935.6;2927.4;29.7;20.7;29.7;27.9;22.6;20.2;71.0;58.0;58.0;277.0;4.8;1.6
