Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;906.2;906.2;905.4;;19.3;18.6;20.0;19.1;18.6;18.1;96.0;92.0;96.0;146.0;1.1;0.5
2020/01/01;0100 UTC;0.0;906.5;906.5;906.1;;18.8;18.1;19.3;18.8;18.6;18.1;96.0;95.0;95.0;236.0;1.0;0.2
2020/01/01;0200 UTC;0.0;906.8;906.8;906.5;;19.3;18.5;19.3;18.6;18.5;17.9;96.0;95.0;95.0;286.0;1.5;0.3
2020/01/01;0300 UTC;0.0;906.4;906.8;906.4;;19.5;18.1;19.7;19.3;18.8;18.1;95.0;92.0;92.0;146.0;1.5;0.4
2020/01/01;0400 UTC;0.0;906.4;906.5;906.4;;18.6;17.9;19.5;18.6;18.2;17.7;96.0;92.0;96.0;45.0;2.1;0.5
2020/01/01;0500 UTC;0.0;906.1;906.4;906.1;;18.5;17.9;18.7;18.1;18.0;17.5;97.0;96.0;97.0;180.0;1.4;0.4
2020/01/01;0600 UTC;0.0;905.8;906.1;905.7;;18.4;17.9;18.5;18.0;18.0;17.4;97.0;97.0;97.0;75.0;1.4;0.5
2020/01/01;0700 UTC;0.0;905.4;905.8;905.3;;18.2;17.7;18.7;18.1;18.2;17.6;97.0;97.0;97.0;181.0;1.4;0.4
2020/01/01;0800 UTC;0.0;905.5;905.5;905.3;;18.4;17.9;18.6;18.1;18.1;17.6;97.0;97.0;97.0;325.0;1.0;0.2
2020/01/01;0900 UTC;0.0;905.8;905.9;905.5;5.6;18.2;17.8;18.4;18.1;17.9;17.6;97.0;97.0;97.0;149.0;0.9;0.3
2020/01/01;1000 UTC;0.0;906.2;906.2;905.8;198.4;19.6;19.0;19.6;18.2;19.0;17.8;97.0;97.0;97.0;305.0;1.4;0.2
2020/01/01;1100 UTC;0.0;906.8;906.8;906.2;735.1;21.4;18.4;21.4;19.6;19.4;18.3;97.0;83.0;83.0;24.0;1.5;0.5
2020/01/01;1200 UTC;0.0;907.1;907.1;906.8;1852.0;23.1;19.5;23.9;21.4;20.1;18.6;85.0;75.0;80.0;50.0;2.0;0.9
2020/01/01;1300 UTC;0.0;907.0;907.2;907.0;1722.7;25.6;19.8;25.7;23.1;20.5;19.5;82.0;69.0;70.0;22.0;2.4;0.8
2020/01/01;1400 UTC;0.0;906.6;907.0;906.5;2009.0;25.6;19.6;26.5;25.4;20.6;18.6;72.0;64.0;70.0;349.0;2.7;0.6
2020/01/01;1500 UTC;4.2;906.4;906.8;906.3;773.5;23.3;20.4;25.6;21.1;20.9;18.5;90.0;70.0;84.0;84.0;3.3;1.0
2020/01/01;1600 UTC;7.6;906.3;906.4;905.9;1254.5;22.2;20.6;25.5;22.2;21.4;19.5;91.0;73.0;91.0;47.0;3.9;1.0
2020/01/01;1700 UTC;4.8;905.0;906.3;905.0;612.8;21.4;19.7;22.2;20.7;20.4;18.9;92.0;89.0;90.0;59.0;4.9;0.8
2020/01/01;1800 UTC;0.4;903.9;905.0;903.9;984.9;23.5;21.1;23.5;21.4;21.5;19.6;91.0;86.0;86.0;203.0;2.5;1.0
2020/01/01;1900 UTC;0.0;902.9;903.9;902.9;2396.4;26.2;20.6;26.8;23.5;21.6;19.6;87.0;67.0;71.0;71.0;3.0;1.1
2020/01/01;2000 UTC;0.0;902.2;902.9;902.2;1799.5;27.5;20.4;27.6;26.2;21.3;19.0;72.0;60.0;65.0;23.0;3.0;1.1
2020/01/01;2100 UTC;0.0;902.8;902.8;902.1;590.6;24.9;18.4;27.7;24.9;20.4;18.4;69.0;60.0;67.0;343.0;3.9;0.8
2020/01/01;2200 UTC;0.0;903.3;903.4;902.8;40.7;23.0;19.0;24.9;23.0;19.2;18.4;78.0;67.0;78.0;332.0;3.9;0.6
2020/01/01;2300 UTC;0.0;904.1;904.1;903.3;;21.6;19.1;23.0;21.6;19.5;19.0;86.0;78.0;86.0;255.0;2.3;0.5
2020/01/02;0000 UTC;0.0;905.5;905.5;904.1;;21.7;19.3;22.1;21.6;19.6;19.2;87.0;85.0;86.0;336.0;1.5;0.3
2020/01/02;0100 UTC;0.0;906.5;906.5;905.5;;21.3;19.3;22.1;21.2;19.8;19.2;90.0;86.0;89.0;201.0;1.1;0.3
2020/01/02;0200 UTC;0.0;906.5;906.7;906.5;;21.9;19.2;22.0;21.2;19.7;19.2;89.0;85.0;85.0;343.0;1.6;0.5
2020/01/02;0300 UTC;0.0;906.0;906.6;906.0;;21.4;19.3;21.9;21.3;19.4;19.1;88.0;85.0;88.0;329.0;2.1;0.7
2020/01/02;0400 UTC;0.0;905.2;906.0;905.2;;21.3;18.9;21.4;21.2;19.3;18.9;89.0;86.0;86.0;324.0;2.4;0.9
2020/01/02;0500 UTC;0.0;905.0;905.2;905.0;;21.2;19.0;21.3;21.1;19.0;18.7;88.0;85.0;88.0;314.0;2.4;0.5
2020/01/02;0600 UTC;0.2;904.4;905.1;904.4;;21.2;19.4;21.2;21.0;19.5;19.0;90.0;88.0;89.0;318.0;1.9;0.6
2020/01/02;0700 UTC;0.0;904.6;904.7;904.4;;21.0;19.5;21.2;20.9;19.5;19.3;91.0;89.0;91.0;338.0;1.8;0.3
2020/01/02;0800 UTC;0.0;905.2;905.2;904.6;;21.1;19.2;21.2;21.0;19.5;19.2;91.0;89.0;89.0;316.0;2.0;0.5
2020/01/02;0900 UTC;0.0;906.0;906.0;905.2;;21.2;19.4;21.2;21.0;19.4;19.2;90.0;89.0;90.0;313.0;1.6;0.2
2020/01/02;1000 UTC;0.0;906.5;906.5;906.0;158.9;21.7;19.4;21.7;21.2;19.5;19.3;90.0;87.0;87.0;307.0;1.9;0.3
2020/01/02;1100 UTC;0.0;906.9;906.9;906.5;471.9;22.4;19.4;22.4;21.6;19.7;19.3;87.0;83.0;83.0;326.0;2.6;0.6
2020/01/02;1200 UTC;0.0;907.2;907.2;906.8;597.1;23.1;19.2;23.1;22.3;19.5;18.9;84.0;78.0;79.0;309.0;2.1;0.7
2020/01/02;1300 UTC;0.0;907.2;907.3;907.2;1584.1;24.4;18.9;25.2;23.1;19.7;18.5;79.0;70.0;72.0;315.0;4.0;1.3
2020/01/02;1400 UTC;0.0;907.2;907.4;907.2;1520.3;24.6;18.6;25.0;24.3;19.3;18.4;72.0;68.0;69.0;316.0;5.3;1.1
2020/01/02;1500 UTC;0.0;906.5;907.2;906.5;1549.2;25.8;19.4;25.8;24.6;19.6;18.5;70.0;67.0;68.0;301.0;3.9;0.7
2020/01/02;1600 UTC;1.2;905.8;906.5;905.8;1573.2;25.5;19.9;25.9;23.3;21.2;18.8;84.0;66.0;71.0;297.0;4.3;1.1
2020/01/02;1700 UTC;0.0;904.6;905.8;904.6;2111.5;26.1;19.4;27.5;25.4;20.6;19.0;72.0;61.0;67.0;261.0;7.4;3.0
2020/01/02;1800 UTC;0.0;904.1;904.6;904.0;865.3;25.3;19.7;26.0;25.1;20.4;18.2;74.0;64.0;71.0;253.0;7.4;2.2
2020/01/02;1900 UTC;0.0;904.0;904.1;903.6;786.5;24.6;20.0;25.9;24.5;20.4;19.6;77.0;69.0;76.0;222.0;7.0;2.9
2020/01/02;2000 UTC;0.0;904.0;904.2;903.9;304.5;24.1;19.9;24.6;23.8;20.3;19.6;79.0;76.0;77.0;216.0;7.0;2.0
2020/01/02;2100 UTC;0.0;904.6;904.6;903.9;336.7;23.9;20.4;24.3;23.9;20.4;19.9;81.0;78.0;81.0;220.0;5.0;2.1
2020/01/02;2200 UTC;0.0;905.3;905.3;904.6;68.1;23.2;20.5;23.9;23.2;20.5;20.3;85.0;81.0;85.0;72.0;4.2;0.6
2020/01/02;2300 UTC;0.0;906.2;906.2;905.3;;22.0;20.2;23.3;22.0;20.5;20.0;90.0;85.0;90.0;90.0;3.0;0.4
2020/01/03;0000 UTC;0.0;906.7;906.7;906.0;;21.3;19.9;22.0;21.3;20.1;19.7;92.0;88.0;92.0;186.0;1.1;0.5
2020/01/03;0100 UTC;0.0;907.5;907.5;906.7;;21.1;19.0;21.7;20.9;20.2;19.0;92.0;88.0;88.0;49.0;2.1;0.9
2020/01/03;0200 UTC;0.0;907.5;907.6;907.3;;20.0;18.5;21.1;19.9;19.0;18.5;92.0;88.0;91.0;95.0;2.8;0.9
2020/01/03;0300 UTC;0.0;907.4;907.6;907.3;;20.4;18.2;20.4;20.0;18.5;18.1;91.0;87.0;88.0;43.0;2.5;0.6
2020/01/03;0400 UTC;0.0;906.8;907.4;906.8;;20.5;18.7;20.6;20.3;18.8;18.2;90.0;88.0;90.0;5.0;2.1;0.4
2020/01/03;0500 UTC;0.0;906.2;906.8;906.2;;20.1;18.6;20.6;20.1;18.8;18.6;91.0;89.0;91.0;325.0;1.5;0.3
2020/01/03;0600 UTC;0.0;905.9;906.3;905.9;;20.0;19.0;20.2;19.9;19.1;18.6;94.0;91.0;94.0;356.0;1.1;0.4
2020/01/03;0700 UTC;0.0;905.6;906.0;905.6;;19.7;18.9;20.0;19.7;19.1;18.9;95.0;94.0;95.0;292.0;1.6;0.3
2020/01/03;0800 UTC;0.0;905.6;905.6;905.6;;19.6;19.0;19.8;19.3;19.1;18.7;96.0;95.0;96.0;13.0;1.0;0.3
2020/01/03;0900 UTC;0.0;906.1;906.1;905.6;2.1;19.8;19.2;19.8;19.3;19.3;18.7;97.0;96.0;97.0;81.0;1.0;0.2
2020/01/03;1000 UTC;0.0;906.6;906.6;906.1;118.0;20.5;19.6;20.5;19.8;19.8;19.2;97.0;95.0;95.0;323.0;1.2;0.3
2020/01/03;1100 UTC;0.0;907.2;907.2;906.6;381.2;21.7;19.9;21.7;20.5;19.9;19.4;95.0;89.0;89.0;349.0;2.2;0.5
2020/01/03;1200 UTC;0.0;907.7;907.7;907.2;1247.8;23.6;19.9;23.6;21.7;20.4;19.6;89.0;80.0;80.0;333.0;3.5;0.8
2020/01/03;1300 UTC;0.0;908.0;908.0;907.7;1881.7;24.8;19.3;25.3;23.4;20.0;18.9;80.0;70.0;71.0;337.0;4.5;0.9
2020/01/03;1400 UTC;0.0;907.7;908.0;907.7;2669.2;25.9;19.4;26.3;24.6;19.6;18.5;72.0;63.0;67.0;327.0;4.8;1.0
2020/01/03;1500 UTC;0.0;907.0;907.7;907.0;1958.1;26.4;19.2;26.8;25.4;19.9;18.3;68.0;62.0;65.0;346.0;4.3;1.1
2020/01/03;1600 UTC;0.0;906.0;907.0;906.0;2451.0;26.8;19.3;28.0;25.7;20.2;18.0;69.0;60.0;64.0;318.0;3.6;0.9
2020/01/03;1700 UTC;0.0;904.9;906.0;904.9;2766.8;28.9;18.4;29.2;26.2;19.4;17.6;65.0;50.0;53.0;304.0;4.6;1.2
2020/01/03;1800 UTC;0.0;903.9;904.9;903.9;2486.6;28.4;20.0;29.7;27.1;20.8;16.7;63.0;48.0;60.0;264.0;5.8;1.9
2020/01/03;1900 UTC;0.0;903.1;903.9;903.1;1744.0;27.8;18.0;28.9;27.0;20.2;17.4;61.0;54.0;55.0;296.0;6.8;1.3
2020/01/03;2000 UTC;0.0;903.1;903.1;902.8;1755.4;27.5;17.9;29.3;27.5;18.6;17.5;57.0;49.0;56.0;279.0;5.5;1.2
2020/01/03;2100 UTC;0.0;903.5;903.5;903.1;461.0;26.4;18.1;27.5;26.4;18.4;17.6;60.0;56.0;60.0;291.0;4.1;0.8
2020/01/03;2200 UTC;0.0;904.4;904.4;903.5;29.8;24.9;19.2;26.5;24.9;19.2;18.1;70.0;60.0;70.0;295.0;4.8;1.2
2020/01/03;2300 UTC;0.0;905.4;905.4;904.3;;22.6;20.3;24.9;22.6;20.3;19.2;86.0;70.0;86.0;251.0;5.0;2.0
2020/01/04;0000 UTC;0.6;906.3;906.3;905.4;;21.7;20.2;22.7;21.7;20.5;20.2;91.0;86.0;91.0;247.0;4.0;1.8
